15年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
 9, 9,Ｋサノルア, 31,嶋田純, 2.2, 39,  -4, -19,13,439.7,⑫⑫⑬, 9,11,Ｃノｰブルカイザｰ, 66,津村明, 1.9, 46,*  7, -23, 8, 14.3,③②①, 9, 2,Ｊサウンドドゥイット, 67,松田大, 0.6, 71,   5,   0, 6, 14.4, ⑦⑦, 9, 3,Ｆラシｰム, 49,丸田恭, 0.8, 50,* -2, -14, 6,  9.7, ①①
10, 8,Ｉドリｰミｰモトヒメ, 44,井上敏, 2.3, 38,   2, -31, 9,162.9,⑧⑤⑤,10,10,Ｍメイショウクニツグ, 40,古川吉, 2.2, 47,   1, -13,13,261.9,⑩⑬⑬,10,16,Ｉイキオイ, 68,藤田伸, 0.9, 65,  -2,   4, 8, 18.1, ⑭⑬,10, 6,Ｂコスモフレンチ, 58,丹内祐, 0.8, 50,  -9,  -8, 4,  8.0, ⑥⑦
11,12,Ｌチェリｰトレジャｰ, 29,丸山元, 2.3, 37,  -3, -23,11,317.6,⑪⑪⑫,11, 5,Ｄウインエスパシオ, 63,三浦皇, 2.2, 46,   5, -22, 3,  6.2,④⑥⑧,11, 3,Ｌジャストサウンド, 60,菱田裕, 0.9, 64,  -4,*  5,11, 75.7, ⑮⑮,11, 4, ハピネスヒｰロｰ,---,井上幹, 0.8, 50,  -9,  -8,11, 88.8, ⑤⑤
12,13,Ｍヤマブキ, 23,加藤祥, 2.8, 33,  -2, -31,12,416.9,⑨⑨⑪,12, 8,Ｆハヤブサゲッツ, 61,丸田恭, 3.1, 39,*  8, -35, 5, 10.0,①①③,12,14,Ｅリッパｰザウィン, 73,桑村真, 1.1, 63,   3,  -4, 4,  9.3, ⑪⑧,12,11,Ｇデルマオカル, 43,横山和, 1.0, 47, -12,  -8,10, 71.5, ⑩⑩
13, 4,Ｄキタサンコトブキ, 51,福永祐, 3.1, 30,*  4, -45, 3,  7.9,②②③,13, 6,Ｋマイネルアルマｰス, 54,丹内祐, 3.7, 37,   3, -31,11, 56.0,⑤⑨⑫,13,15,Ｏフレンチフェロｰ, 57,黛弘人, 1.3, 61,   0,  -4,16,234.0, ⑬⑭,13, 8,Ｉレディトリス, 36,丸山元, 1.2, 45,  -8, -15, 9, 32.7, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｍキョウワメロディｰ, 60,藤岡康, 1.4, 61,   7, -12,14,152.6, ⑥⑪,14,10,Ｊロンリｰウｰマン, 26,宮崎光, 1.2, 44, -13, -10,12,108.9, ⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｐマインドブロウ, 47,横山和, 2.6, 46,* 10, -31,13,123.8, ③⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:65 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,
単勝:150円 複勝:06=110円 05=130円 01=150円 枠連:230円,,,,,,,,,,,,単勝:290円 複勝:13=130円 04=160円 12=240円 枠連:280円,,,,,,,,,,,,"単勝:260円 複勝:10=140円 01=170円 07=1,210円 枠連:480円",,,,,,,,,,,,"単勝:370円 複勝:05=160円 02=460円 01=150円 枠連:1,850円",,,,,,,,,,,
馬連:390円 ワイド:05-06=180円 01-06=210円 01-05=370円,,,,,,,,,,,,馬連:640円 ワイド:04-13=280円 12-13=600円 04-12=850円,,,,,,,,,,,,"馬連:650円 ワイド:01-10=270円 07-10=3,170円 01-07=5,240円",,,,,,,,,,,,"馬連:5,860円 ワイド:02-05=1,670円 01-05=340円 01-02=1,370円",,,,,,,,,,,
"馬単:530円 3連複:600円 3連単:1,510円",,,,,,,,,,,,"馬単:1,120円 3連複:2,220円 3連単:8,050円",,,,,,,,,,,,"馬単:1,140円 3連複:13,930円 3連単:46,380円",,,,,,,,,,,,"馬単:9,230円 3連複:7,300円 3連単:41,560円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2600m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丹頂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃエピックマジック, 54,福永祐,, 58,*  0,  -7, 2,  4.9, ③③, 1,16,Ｇスタｰチェイサｰ, 61,井上敏,, 71,* -5,  11,10, 22.1,②②②, 1, 9,Ａタマモネイヴィｰ, 78,池添謙,, 75,*  8,   6, 1,  3.0,⑥①①, 1, 3,Ｈヒラボクディｰプ, 76,池添謙,, 86,  10,* 13, 5, 10.8,⑧⑦④
 2,12,Ｄフリｰムｰヴメント, 53,丸田恭, 0.4, 52,  -9,* -3, 4,  7.3, ⑧⑦, 2, 4,Ｃマイネルフレッチャ, 66,三浦皇, 0.1, 73,  -7,  14, 3,  5.6,⑥⑤④, 2, 6,Ｄカレンマタドｰル, 76,津村明, 0.1, 73,   6,  11, 3,  4.4,④⑥⑤, 2,10,Ｍアドマイヤフライト, 73,福永祐, 0.6, 80,  10,   3, 3,  5.7,⑤④②
 3, 3,Ｂスウィｰティｰ, 56,城戸義, 0.5, 53,*  3, -16, 3,  5.6, ①①, 3, 3,Ａダブルフラワｰ, 69,黛弘人, 0.2, 72,  -8,  14, 2,  4.5,⑤⑥⑥, 3,13,Ｃスマｰトノエル, 76,福永祐, 0.2, 73,*  6,   8, 2,  3.5,②③④, 3, 6,Ｄタマモベストプレイ, 79,津村明, 0.9, 77,* 11,  -5, 1,  2.8,③②①
 4, 2,Ｈサラマンカ, 42,池添謙, 0.6, 49,  -4, -11, 7, 11.0, ⑤⑥, 4, 8, ゴｰルドウィング,---,丸山元, 0.3, 78, -13,* 27, 7, 16.7,⑯⑯⑭, 4, 2,Ｂパッシングブリｰズ, 77,四位洋, 0.3, 76,   2,* 15, 5, 10.0,⑩⑨⑦, 4,12,Ｌカンタベリｰナイト, 74,城戸義, 1.0, 78,   8,   3,14,135.5,⑬⑫⑨
 5, 6,Ｉペルルクロシュ, 41,勝浦正, 0.7, 49,  -6,  -9, 9, 32.4, ⑥⑤, 5,14,Ｏドラゴンケｰニッヒ, 38,福永祐, 0.4, 65,* -5,   6, 6, 13.8,①①①, 5, 4,Ｇエンクエントロス, 70,丸山元, 0.5, 72,   5,   8, 6, 19.8,③④③, 5,11,Ｋプランスペスカ, 75,藤岡康, 1.1, 77,  10,  -4, 9, 21.9,⑩⑤⑤
 6,10,Ｇマｰチン, 44,菱田裕, 0.7, 49, -11,  -4, 8, 20.6, ⑨⑩, 6,10,Ｄハギノパトリオット, 65,加藤祥, 0.5, 70, -10,  15, 4,  6.6,⑪⑪⑫, 6, 5,Ｆウインオリファン, 73,三浦皇, 0.9, 68,*  7,   0, 4,  6.8,①②②, 6, 5,Ｃヴァｰゲンザイル, 82,丸田恭, 1.1, 77,   7,   3, 6, 11.4,⑪⑬⑩
 7, 9,Ｅエレガントビｰナス, 45,井上敏, 0.8, 46, -15,* -2,11, 69.4, ⑫⑬, 7,12,Ｌハイエストシルバｰ, 57,菱田裕, 0.5, 66,  -8,   8,13, 59.0,③④⑤, 7,12,Ｅセルリアンラビット, 74,古川吉, 1.2, 69,  -2,* 15, 7, 20.1,⑫⑬⑫, 7,13,Ｊゴッドフロアｰ, 75,加藤祥, 1.2, 75,   8,  -3, 4, 10.2,⑫⑧⑥
 8,11,Ｆピコット, 45,松田大, 0.8, 49,  -1, -15, 6, 10.5, ④④, 8,11,Ｆエアルナ, 61,松田大, 0.5, 69,  -8,  12,11, 23.4,⑨⑦⑧, 8, 7,Ｊテイケイネクサス, 68,黛弘人, 1.3, 68,   1,   9,12,123.8,⑨⑩⑩, 8, 7,Ｅサイモントルナｰレ, 79,井上敏, 1.3, 75,   7,   1,13,127.0,⑭⑭⑫
 9,13,Ａシシャモスペシャル, 56,藤岡康, 0.9, 48,*  1, -20, 1,  3.9, ②②, 9, 5,Ｉサルガッソ, 59,横山典, 0.8, 68, -13,* 17,14, 82.2,⑮⑮⑯, 9,11,Ｉストロングバルドル, 68,藤岡康, 1.4, 66,   3,   4,10, 72.2,⑧⑦⑧, 9, 4,Ｇプレミアムタイム, 77,丸山元, 1.4, 74,   8,  -4,10, 49.7,④⑨⑦
10, 1,Ｌライトブリンガｰ, 27,加藤祥, 1.0, 43, -17,* -3, 5,  9.6, ⑬⑫,10, 6,Ｂオｰバｰスト, 66,丸田恭, 1.0, 62,  -9,   7, 9, 19.9,⑩⑩⑦,10, 3,Ｈパリｰアｰク, 69,菱田裕, 1.9, 63,   2,   1, 9, 59.8,⑦⑧⑨,10, 8,Ｂネコタイショウ, 88,菱田裕, 1.4, 74,   9,  -5, 7, 15.2,⑥⑥⑧
11, 8,Ｊアイシｰザライト, 40,水口優, 1.0, 46, -13,  -4,13,197.2, ⑪⑨,11, 9,Ｋマインリｰバｰ, 57,四位洋, 1.1, 61, -10,   7,12, 40.6,⑫⑫⑬,11,10,Ｋディレットリｰチェ, 62,松田大, 2.0, 60,   5,  -5,11, 99.1,⑤⑤⑥,11,14,Ｆエックスマｰク, 79,三浦皇, 1.5, 73,* 11, -14, 8, 21.4,⑨③③
12, 5,Ｋラキラキガｰル, 39,嶋田純, 1.2, 42, -12,  -9,12, 85.8, ⑩⑧,12,13,Ｍオｰルマイアイ, 56,藤岡康, 1.2, 56,* -6,  -4, 5, 11.0,④③③,12, 1,Ｌサンウィノナ, 62,丸田恭, 2.2, 59,   0,   2, 8, 44.1,⑬⑪⑬,12, 2,Ａセイクリッドバレｰ, 88,長岡禎, 2.4, 68,   9, -16,11, 68.6,⑦⑪⑪
13, 4, コウキアツガｰル,---,丹内祐, 1.4, 39,  -8, -17,10, 53.9, ⑦⑪,13, 2,Ｎディｰプアントス, 52,岩橋勇, 1.2, 62, -11,   9,15, 98.0,⑬⑭⑮,13, 8,Ｍスリｰヴェスタ, 57,加藤祥, 2.7, 57,  -2,   0,13,191.8,⑪⑫⑪,13, 9,Ｎグランデスバル, 72,杉原誠, 4.9, 54,* 11, -60,12, 70.1,②①⑬
,,,,,,,,,,,,14,15,Ｈガニメｰド, 60,勝浦正, 1.2, 61, -10,   7, 8, 18.7,⑭⑬⑩,,,,,,,,,,,,,14, 1,Ｉスピリッツミノル, 76,横山典, 6.4, 23,   8, -72, 2,  4.3,①⑩⑭
,,,,,,,,,,,,15, 7,Ｅピアノコンチェルト, 64,丹内祐, 1.5, 55,  -8,  -2, 1,  4.5,⑦⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 1,Ｊハギノカイザｰ, 58,田中博, 2.2, 48,  -8, -10,16,197.1,⑧⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:2),,,,,,,,,,,
単勝:490円 複勝:07=150円 12=220円 03=170円 枠連:520円,,,,,,,,,,,,"単勝:2,210円 複勝:16=610円 04=190円 03=180円 枠連:1,310円",,,,,,,,,,,,単勝:300円 複勝:09=130円 06=140円 13=150円 枠連:570円,,,,,,,,,,,,"単勝:1,080円 複勝:03=240円 10=170円 06=130円 枠連:2,080円",,,,,,,,,,,
"馬連:1,200円 ワイド:07-12=590円 03-07=390円 03-12=590円",,,,,,,,,,,,"馬連:6,450円 ワイド:04-16=2,110円 03-16=1,880円 03-04=440円",,,,,,,,,,,,馬連:570円 ワイド:06-09=210円 09-13=310円 06-13=380円,,,,,,,,,,,,"馬連:2,880円 ワイド:03-10=860円 03-06=500円 06-10=300円",,,,,,,,,,,
"馬単:2,060円 3連複:2,590円 3連単:13,800円",,,,,,,,,,,,"馬単:15,500円 3連複:8,120円 3連単:87,990円",,,,,,,,,,,,"馬単:880円 3連複:880円 3連単:3,620円",,,,,,,,,,,,"馬単:6,700円 3連複:1,980円 3連単:17,810円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,釧路湿原特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａエクストラペトル, 71,菱田裕,, 68,*  6,  -1, 1,  1.3,①①①, 1,10,Ｄサンマディソン, 68,古川吉,, 71,  -4,* 10, 4, 13.1, ⑦⑤, 1,12,Ｊビキニスタイル, 68,菱田裕,, 82,   6,* 10, 7, 20.1,⑪⑫⑦, 1, 8,Ｃメイショウスミトモ, 82,古川吉,, 82,   9,* 12, 4,  6.5,⑨⑦③
 2, 2,Ｉアサバスカ, 63,竹之下, 0.2, 68,   0,*  7,10,105.1,⑩⑩⑦, 2,12,Ａサンレイクウッド, 75,井上敏, 0.0, 71,* -1,   8, 1,  2.4, ③③, 2, 4,Ｄヒルノマテｰラ, 75,四位洋, 0.2, 78,   7,   3, 1,  2.7,⑦⑦⑤, 2,13,Ｌオｰシャンブルグ, 72,池添謙, 0.3, 82,   8,  12,12, 67.3,⑦⑪⑦
 3,11,Ｃスナｰクソフィア, 64,加藤祥, 0.6, 63,   3,  -3, 6, 24.6,⑥⑥⑥, 3, 1,Ｃクリノショウスｰシ, 70,長岡禎, 0.1, 70,*  1,   6, 3,  8.0, ①①, 3, 6,Ｂセルバンテス, 77,加藤祥, 0.2, 79,   6,*  7, 4,  7.2,⑫⑪⑩, 3, 7,Ｅミツバ, 79,横山典, 0.3, 78,   7,* 12, 2,  4.9,⑪⑩⑪
 4, 8,Ｇイロジカケ, 63,丹内祐, 0.7, 64,   2,  -1, 8, 26.3,⑧⑧⑩, 4, 9,Ｈボストンビリｰヴ, 65,松田大, 0.5, 66,  -9,*  9,11, 60.0, ⑪⑪, 4, 3,Ａシャインアロｰ, 77,丸田恭, 0.4, 76,   6,   4, 3,  6.5,⑩⑩⑧, 4, 5,Ａコパノチャｰリｰ, 84,松田大, 0.4, 78,* 10,   5, 1,  2.6,①③②
 5,12,Ｂエヴリホｰプ, 67,城戸義, 0.7, 64,   4,  -5, 3, 10.9,⑤②②, 5, 2,Ｅキクノブレイン, 67,藤岡康, 0.6, 65,  -2,   3, 9, 38.4, ④④, 5, 1,Ｆサグレス, 72,黛弘人, 0.7, 73,* 10, -10, 6, 17.3,①①①, 5, 6,Ｈノｰスランドボｰイ, 75,丸田恭, 0.5, 77,   5,* 12,11, 46.8,⑫⑫⑨
 6, 6,Ｈデイトリッパｰ, 63,横山典, 1.1, 58,   3,  -7, 2,  6.6,⑦⑤⑤, 6,11,Ｆアヴァｰル, 66,四位洋, 0.6, 66,  -7,   7, 5, 15.4, ⑩⑧, 6, 7,Ｅアドマイヤライン, 74,福永祐, 0.8, 71,*  9,  -8, 2,  4.8,⑤⑤④, 6,12,Ｂモルトベｰネ, 83,藤岡康, 0.8, 76,   8,   5, 3,  5.2,⑥⑧⑥
 7, 7,Ｄパルテノン, 64,福永祐, 1.4, 60,   1,  -3, 4, 14.7,④⑨⑨, 7, 5,Ｂオｰルオブユｰ, 71,福永祐, 0.7, 64,* -1,   1, 2,  2.6, ②②, 7,11,Ｃコｰラルタワｰ, 75,三浦皇, 0.9, 75,   4,   5,10, 23.4,⑭⑬⑫, 7, 3,Ｄハイパｰチャｰジ, 79,三浦皇, 1.0, 75,   4,  10, 7, 24.5,⑬⑬⑬
 8, 4,Ｋプラチナムスタング, 57,横山和, 1.6, 61,  -4,*  3,11,285.6,⑪⑪⑪, 8, 4,Ｉアｰネストミノル, 65,津村明, 0.9, 61,  -7,   4,12, 86.5, ⑨⑦, 8, 9,Ｇマイネルランスタン, 69,津村明, 1.1, 69,   8,  -8,13, 63.6,⑧⑧⑨, 8, 1,Ｆベルフィオｰレ, 77,福永祐, 1.1, 75,   7,   6, 5, 10.4,⑩⑨⑩
 9,10,Ｊタイセイマリｰン, 63,松田大, 1.6, 57,   3, -10, 9, 32.6,⑨⑦⑧, 9, 3,Ｌユウユウ, 57,三浦皇, 1.1, 59,  -6,   1, 8, 31.6, ⑧⑨, 9, 8,Ｈマイネボニｰタ, 69,丹内祐, 1.1, 70,* 10, -12,11, 26.6,④③③, 9, 4,Ｇディｰエスコマンド, 77,黛弘人, 1.1, 73,   8,   3, 9, 39.7,⑧⑥⑧
10, 5,Ｅキタノマドンナ, 64,井上敏, 1.7, 55,*  5, -15, 7, 25.1,②③③,10, 8,Ｊアオジャシン, 64,勝浦正, 1.1, 58, -19,* 10, 6, 20.2, ⑫⑫,10,10,Ｎタｰフデライト, 64,宮崎光, 1.2, 67,* 10, -17,16,184.2,③②②,10, 9,Ｊメイショウナゴミ, 73,津村明, 1.4, 70,   9,  -2, 6, 14.6,⑤⑤⑫
11, 9,Ｍパッショナｰト, 40,藤岡康, 2.1, 53,*  5, -18,12,302.8,③④④,11, 7,Ｋサトノハｰデス, 58,城戸義, 1.2, 59,  -4,  -1, 7, 25.1, ⑥⑩,11,16,Ｉタルトオポム, 69,横山和, 1.3, 67,   8, -11,15, 94.0,⑨⑨⑥,11,11,Ｉトランザムスタｰ, 74,菱田裕, 1.4, 70,* 11,  -5, 8, 30.6,③①①
12,13,Ｆテップシｰ, 63,丸山元, 2.3, 55,  -7,   2, 5, 22.4,⑬⑬⑫,12, 6,Ｇエビスフラワｰ, 65,水口優, 1.6, 54,  -4,  -5,10, 59.3, ⑤⑥,12,15,Ｐグレイスミノル, 61,横山典, 1.7, 65,  -1,   1, 9, 23.3,⑮⑮⑮,12, 2,Ｍトｰセンアｰネスト, 66,嶋田純, 1.7, 69,   9,  -5,10, 40.0,④②④
13, 3,Ｌパｰプルオンリｰ, 47,古川吉, 2.7, 50,  -6,  -3,13,391.2,⑫⑫⑬,,,,,,,,,,,,,13,13,Ｌセプティエｰム, 67,丸山元, 2.0, 60,   7, -24, 8, 22.2,⑥⑥⑪,13,10,Ｋノｰスヒｰロｰ, 72,丸山元, 2.1, 67,   9,  -9,13,113.8,②④⑤
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｋマスタｰプラマｰ, 68,井上敏, 2.1, 61,   2, -10,12, 57.2,⑬⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｏフィｰユブルｰ, 62,桑村真, 3.5, 48,   7, -45,14, 83.1,②④⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
