15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:790円 3連複:890円 3連単:3,350円",,,,,,,,,,,,"馬単:2,270円 3連複:5,390円 3連単:16,580円",,,,,,,,,,,,"馬単:2,670円 3連複:2,480円 3連単:15,090円",,,,,,,,,,,,"馬単:24,330円 3連複:90,680円 3連単:388,310円",,,,,,,,,,,
■ 2R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝﾀｰｽﾞｽﾃｰｸｽ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇシャインレッド, 46,吉田隼,, 59,  -3,* -3, 3,  4.8,⑩⑨⑧, 1, 2, マツリダバッハ,---,蛯名正,, 48, -27,   3, 2,  5.0,④③④, 1, 7,Ｂキョウエイハピネス, 80,松岡正,, 75,   5,  10, 2,  4.0, ⑥⑥, 1, 2,Ａストレイトガｰル, 91,戸崎圭,, 86,  -9,* 23, 1,  4.4, ⑧⑨
 2, 9,Ｄキャプテンロブロイ, 47,ルメｰ, 0.0, 61,  -6,*  4, 1,  3.2,⑮⑮⑪, 2, 3, シンボリラパス,---,江田照, 0.2, 41,*-25,  -2, 3,  5.1,②②②, 2, 4,Ａキタサンサジン, 82,岩田康, 0.0, 75,   6,   8, 1,  2.8, ③③, 2, 4,Ｆサクラゴスペル, 86,横山典, 0.1, 84,  -6,  19,11, 28.8, ⑤⑥
 3,15,Ｋノンシュガｰ, 38,岩田康, 0.6, 54,  -4, -11, 7, 15.0,⑧⑩⑥, 3, 7, ミヤビエンブレム,---,四位洋, 0.3, 43, -28,   2, 4,  6.7,⑥⑤⑥, 3, 8,Ｃアトランタ, 78,戸崎圭, 0.1, 74,*  8,   6, 3,  4.6, ②②, 3, 6,Ｈウキヨノカゼ, 85,四位洋, 0.2, 85, -16,* 26, 9, 19.6, ⑬⑫
 4,12,Ｈアルマカイルア, 44,勝浦正, 0.7, 53,  -5,  -9, 9, 41.9,⑭⑫⑩, 4,11, エレクトロポップ,---,デムｰ, 0.3, 41, -28,   2, 1,  2.5,⑤⑥⑤, 4, 2,Ｉディｰプミタカ, 71,藤岡康, 0.4, 72,   4,   8, 7, 26.3, ⑧⑤, 4,13,Ｉミッキｰアイル, 85,浜中俊, 0.2, 81,* -2,  13, 4,  6.5, ③③
 5, 4,Ｊフジマサスペシャル, 42,江田照, 1.1, 47,   0, -26, 6, 12.5,④⑤⑤, 5, 9, ドｰノデルソｰレ,---,松岡正, 0.4, 43, -27,  -2,11, 61.9,③④③, 5, 9,Ｈビｰビｰボイジャｰ, 71,伴啓太, 0.5, 72,  -4,* 14, 9, 40.3, ⑭⑬, 5,12,Ｃウリウリ, 90,岩田康, 0.2, 84, -12,* 23, 3,  5.0, ⑫⑩
 6, 2,Ｅカリスマフォンテン, 46,浜中俊, 1.2, 48,  -5, -13,10, 51.5,⑪⑬⑮, 6, 5, ネイチャｰレット,---,丸山元, 0.5, 46, -32,*  8, 5, 12.3,⑩⑪⑫, 6,11,Ｄセクシｰボｰイ, 77,横山典, 0.6, 69,  -8,* 17, 4,  6.9, ⑮⑫, 6, 1, リッチタペストリｰ,---,ルメｰ, 0.2, 83,  -8,  19, 6, 14.7, ⑦⑦
