15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10,11,Ｇマラカイトスタｰ, 49,柴山雄, 4.0, 39,  -7, -16, 7, 39.9,⑮⑭⑬,10,11,Ｋグロｰリアスレイ, 44,吉田豊, 1.2, 47,  -9,  -4, 6, 18.0,⑯⑯⑭,10,15,Ｆユキノマルガリｰタ, 66,蛯名正, 0.7, 60,   5,  -2,13, 52.4, ⑦⑧,10, 5,Ｌフェスティヴタロｰ, 75,田中勝, 0.7, 76,   7,  -1,10, 43.0,⑩⑬⑬
11,16,Ｏサンフィアクル, 33,嘉藤貴, 4.0, 39,* -3, -25,13,196.7,①①③,11, 2,Ｐショウナンマドロス, 26,内田博, 1.2, 45,  -7, -11,15,180.0,⑧⑨⑩,11, 8,Ｈシｰロア, 65,内田博, 0.8, 58,  -1,   3, 4,  6.9, ⑭⑬,11, 3,Ｈマイネルディアベル, 80,柴田大, 1.1, 71,* 16, -20, 9, 21.2,③④③
12,10,Ｌルｰチェスプマンテ, 37,田中博, 4.6, 36,* -4, -29, 9, 50.6,④③⑫,12, 8,Ｌキｰルコネクション, 43,戸崎圭, 1.3, 44,  -8,  -8, 9, 32.4,⑮⑬⑬,12,12,Ｊレディｰピンク, 64,武士沢, 1.0, 57,*  9,  -8,12, 45.0, ③③,12,14,Ｍキョウエイストｰム, 73,石橋脩, 1.1, 72,   9,  -9,16,213.5,⑪⑫⑪
13, 2,Ｊエナチャン, 44,石川裕, 5.0, 34,  -9, -22,10, 57.0,⑬⑮⑮,13,12,Ｎクロノスバロｰズ, 38,田中勝, 1.4, 45,  -7,  -9,10, 43.1,⑬⑭⑯,13, 6,Ｉアイティダイヤ, 65,田辺裕, 1.2, 56,* 10, -10,11, 37.5, ②②,13, 8,Ｐカラダレジェンド, 63,田辺裕, 1.1, 70,  11, -15,14, 65.2,⑤⑧⑦
14, 6,Ｍミヤコエンパイア, 34,柴田大, 5.3, 34,  -6, -29,12, 99.7,⑨⑬⑭,14, 3,Ｅブリエアヴェニｰル, 53,西田雄, 1.7, 38,* -4, -23,14,172.0,③③③,14, 9,Ｌオｰガンディｰ, 64,石川裕, 1.3, 54,   2,  -4,15, 98.6, ⑧⑨,14,13,Ｇミナレット, 81,石川裕, 1.5, 65,  10, -16,11, 44.0,⑨⑩⑫
15, 4,Ｐフジノキララ, 30,横山和, 6.0, 32,  -9, -28,16,494.4,⑯⑯⑯,15,10,Ｆクリノトイトイ, 52,江田照, 1.8, 39,  -8, -16,13,144.4,⑪⑪⑮,15, 3,Ｐユニバｰサルビｰチ, 57,柴田大, 1.6, 52,   0,  -5,16,156.4, ⑫⑭,15, 4,Ｎレオアクティブ, 72,江田照, 1.6, 65,   6, -10,13, 56.5,⑭⑯⑯
16, 5,Ｋラブセレナｰド, 42,西田雄, 7.6, 24,  -5, -50,15,400.0,③⑨⑪,16,16,Ｊラビットボｰテ, 44,黛弘人, 2.8, 31,* -2, -44,16,233.8,①①①,16, 1,Ｅベニノラッキｰマン, 66,三浦皇, 2.4, 46,* 10, -21, 3,  6.7, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:1),,,,,,,,,,,
