15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:780円 3連複:4,220円 3連単:10,070円",,,,,,,,,,,,"馬単:51,150円 3連複:43,370円 3連単:508,240円",,,,,,,,,,,,"馬単:34,390円 3連複:153,160円 3連単:800,710円",,,,,,,,,,,,"馬単:12,050円 3連複:37,750円 3連単:184,760円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,毎日王冠 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅサバイバルポケット, 55,デムｰ,, 65,  10,*-10, 6, 16.5, ⑦⑤, 1, 5, クィｰンズベスト,---,岩田康,, 62,*-21,* 12, 2,  3.3,①①①, 1, 8,Ｂマッチレスヒｰロｰ, 78,横山典,, 72,   3,  11, 1,  2.9, ⑤⑤, 1,13,Ｅエイシンヒカリ, 89,武豊  ,, 85,* 15,   6, 1,  4.9,①①①
 2, 2,Ｈビレッジシャトル, 49,吉田豊, 0.6, 63,   9, -15, 8, 29.3, ⑪⑨, 2, 6, ウムブルフ,---,ルメｰ, 0.1, 62,*-21,* 12, 1,  2.4,③④③, 2,12,Ｎプエルト, 62,北村宏, 0.1, 74,   3,   9, 6, 11.4, ④④, 2, 4,Ｂディサイファ, 91,四位洋, 0.2, 85,  11,  12, 4,  6.7,⑤⑤⑤
 3, 1,Ｄミネット, 55,北村宏, 0.6, 62,   6,*-11, 2,  4.4, ⑭⑬, 3,12, ジャガンツ,---,横山典, 0.3, 57,*-21,   8, 7, 21.3,②②②, 3, 1,Ｄシャｰクベイ, 72,内田博, 0.2, 74,  -1,* 16, 4,  8.3, ⑪⑪, 3, 6,Ｌイスラボニｰタ, 82,蛯名正, 0.2, 87,  11,  11, 7,  9.2,④⑥⑥
 4, 9,Ｃピュアブリリアン, 57,横山典, 0.6, 62,   2,* -4, 3,  5.9, ⑱⑱, 4, 9, メゾンリｰ,---,北村宏, 0.7, 56, -23,   6, 9, 43.6,⑦⑤⑤, 4, 9,Ａツクバロｰレル, 79,柴田善, 0.4, 73,  -3,* 17, 3,  5.7, ⑬⑬, 4, 9,Ｆダノンシャｰク, 87,岩田康, 0.3, 86,  10,  13,10, 34.8,⑥⑦⑦
 5,14,Ｋシャイニングアロｰ, 45,木幡初, 0.7, 60,   5,*-10,15,221.9, ⑰⑯, 5, 1, ウインガｰネット,---,三浦皇, 1.0, 54, -24,   6, 6, 19.7,⑧⑩⑧, 5,14,Ｆモシモシ, 69,石川裕, 0.7, 72,   1,   8,10, 49.5, ⑧⑧, 5, 8,Ｋトｰセンスタｰダム, 83,内田博, 0.4, 85,   8,  15,11, 39.0,⑨⑨⑨
 6,13,Ａストライクショット, 69,ルメｰ, 0.9, 56,   9, -22, 1,  2.2, ⑧⑧, 6,11, ステイパｰシスト,---,デムｰ, 1.2, 53, -26,  10, 3,  4.9,⑫⑫⑪, 6, 5,Ｏファｰストオｰサｰ, 57,木幡初, 0.8, 71,  -5,* 16,14,249.8, ⑭⑭, 6, 7,Ｉアンビシャス, 84,デムｰ, 0.5, 83,   4,* 21, 2,  5.0,⑬⑬⑬
 7, 3,Ｏウィズエモｰション, 41,柴山雄, 1.0, 56,* 13, -29,10, 58.1, ③③, 7, 4, マイネルクラフト,---,柴田大, 1.4, 51, -27,   5, 8, 28.9,⑨⑧⑩, 7, 2,Ｈハナズウェポン, 68,伴啓太, 0.9, 70,   2,   5, 8, 26.4, ⑦⑦, 7,11,Ｍステファノス, 82,戸崎圭, 0.5, 84,   6,* 18, 6,  8.8,⑪⑪⑪
 8, 8,Ｊヨイミヤ, 47,江田照, 1.0, 56,  11, -24,11, 60.8, ⑤⑥, 8, 7, アメンボ,---,吉田豊, 1.7, 42, -22,  -8,12,118.3,④③④, 8, 7,Ｋスカｰボロフェア, 66,松岡正, 1.0, 70,  -4,* 15, 9, 38.0, ⑯⑮, 8, 3,Ｄクラレント, 89,三浦皇, 0.7, 82,   7,  12, 9, 22.7,⑩⑩⑩
 9,11,Ｉウェｰニｰウィキｰ, 48,勝浦正, 1.0, 56,* 12, -26, 5, 14.3, ④④, 9, 8, ギンザマトリックス,---,蛯名正, 1.9, 43, -25,  -5, 5, 18.8,⑪⑨⑨, 9,15,Ｃスペｰスクルｰズ, 74,四位洋, 1.1, 66,*  4,  -1, 2,  4.4, ②②, 9, 5,Ｃヴァンセンヌ, 91,横山典, 0.7, 78,* 13,   0, 3,  5.6,③③③
10, 4,Ｎヤマニンエトフ, 42,丸山元, 1.1, 56,   6, -19,16,243.8, ⑬⑭,10, 2, ミラフィｰリア,---,丹内祐, 2.2, 36, -25, -10,11,116.8,⑥⑦⑦,10,11,Ｅギンパリ, 71,戸崎圭, 1.4, 64,   1,   2, 7, 17.0, ⑨⑨,10,12,Ｊスピルバｰグ, 83,北村宏, 0.8, 82,   4,  16, 5,  8.6,⑫⑫⑫
11,18,Ｆアｰトラヴァｰ, 54,蛯名正, 1.1, 56,  10, -26, 4,  9.9, ⑥⑦,11,10, フサリア,---,武豊  , 2.5, 31, -22, -18, 4, 10.5,⑤⑥⑥,11,16,Ｍデストリｰライズ, 62,三浦皇, 1.6, 63,  -2,   4,11, 57.6, ⑫⑫,11, 1,Ａグランデッツァ, 91,福永祐, 0.8, 77,* 13,  -1, 8, 16.4,②②②
12, 6,Ｂペイシャマリヤ, 57,丸田恭, 1.2, 53,   9, -25,13,138.2, ⑩⑩,12, 3, モリトオオトネ,---,柴田善, 2.7, 32, -27, -11,10, 97.3,⑩⑪⑫,12, 3,Ｊケンベストカフェ, 67,蛯名正, 1.7, 61,   3,  -5, 5,  8.8, ③③,12,10,Ｇリアルインパクト, 85,ルメｰ, 1.0, 74,* 13,  -4,12, 48.3,⑦④④
13, 7,Ｍグレイスノｰト, 42,田中勝, 1.2, 56,   8, -21, 7, 20.3, ⑫⑫,13,13, ラサンタクルス,---,柴山雄, 2.8, 35, -29,  -8,13,294.2,⑬⑬⑬,13,13,Ｉダテノトライアンフ, 68,柴田大, 1.9, 61,   3,  -4,13,174.6, ⑥⑥,13, 2,Ｈマｰティンボロ, 84,川田将, 1.1, 77,   9,   4,13,103.9,⑧⑧⑧
14,17,Ｌラインセイラ, 43,松岡正, 1.6, 51,   9, -31, 9, 33.9, ⑨⑪,,,,,,,,,,,,,14, 6,Ｇマンオブグァテマラ, 69,江田照, 1.9, 59,   0,  -1,12, 67.0, ⑩⑩,,,,,,,,,,,,
15,12,Ｐセイムヒアｰ, 36,岩部純, 2.3, 43,   4, -32,18,554.4, ⑯⑮,,,,,,,,,,,,,15,10,Ｌサンマルスピリット, 63,小島太, 2.0, 58,*  7, -13,16,353.9, ①①,,,,,,,,,,,,
16,10,Ｇリップルトウショウ, 49,大野拓, 2.4, 42,* 13, -51,12, 64.8, ②②,,,,,,,,,,,,,16, 4,Ｐヴィクトリｰノヴァ, 56,井上敏, 2.3, 60,  -5,   5,15,292.5, ⑮⑯,,,,,,,,,,,,
17,16,Ｑナリノスワンキｰ, 36,石川裕, 2.5, 40,   5, -37,14,206.0, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15,Ｒクロコ,  4,井上敏, 4.5,  8,* 15, -84,17,301.5, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
