15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:540円 3連複:590円 3連単:1,510円",,,,,,,,,,,,"馬単:1,060円 3連複:900円 3連単:4,400円",,,,,,,,,,,,"馬単:22,460円 3連複:35,330円 3連単:314,380円",,,,,,,,,,,,"馬単:13,780円 3連複:20,360円 3連単:125,870円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 5R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,2015ﾌｪｱｳｪﾙｽﾃｰｸｽ,,,,,,,,,,,,ﾊｯﾋﾟｰｴﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10, マイティｰゴｰルド,---,戸崎圭,, 68,*  2,*  4, 1,  2.3,②②②, 1,16,Ｎドラゴンビュｰティ, 66,戸崎圭,, 75,   8,*  4, 6, 18.1,⑬⑬⑭, 1, 9,Ａキｰプインタッチ, 86,デムｰ,, 83,  14,*  7, 2,  4.7,⑬⑨⑩, 1,12,Ｄアドマイヤゴッド, 76,デムｰ,, 76,  -4,* 11, 2,  5.4, ⑮⑬
 2, 8, インザバブル,---,蛯名正, 0.0, 71,   1,*  7, 5, 13.3,⑩④③, 2, 1,Ｇハナズウェポン, 72,石川裕, 0.0, 78,   8,*  5, 9, 25.5,⑮⑮⑫, 2, 6,Ｂリッカルド, 85,大野拓, 0.0, 84,* 17,   1, 1,  3.4,⑥③②, 2,11,Ｃアルティマブラッド, 76,ルメｰ, 0.0, 76,   4,   3, 1,  2.8, ⑥⑤
 3,13, ディアクｰシｰ,---,岩田康, 0.7, 64,*  3,  -3, 6, 21.3,①①①, 3,14,Ｂピアシングステア, 75,内田博, 0.0, 76,  10,*  2, 3,  6.8,⑭⑪⑪, 3, 1,Ｆハギノタイクｰン, 84,川田将, 0.4, 81,* 17,  -4, 6, 13.7,②②③, 3, 6,Ｅタケデンタイガｰ, 76,岩田康, 0.2, 74,   3,   2, 3,  6.2, ⑦⑦
 4, 5, プライズコレクタｰ,---,吉田豊, 0.7, 64,   0,*  5, 2,  4.0,⑪⑦④, 4, 8,Ｃトラキアンコｰド, 75,岩田康, 0.4, 72,* 12,  -6, 4, 14.0,④③③, 4, 3,Ｃクロスボウ, 85,吉田豊, 0.5, 81,  12,*  5, 4,  8.1,⑫⑫⑫, 4, 8,Ｂアスペンサミット, 81,石川裕, 0.3, 72,  -1,   4, 4,  6.6, ⑪⑪
 5, 3, ハヤブサプリプリ,---,吉田隼, 2.8, 52,   0, -13, 8, 26.1,⑧⑧⑥, 5,11,Ｄマイネルボルソｰ, 74,柴田大, 0.6, 73,  10,  -3, 7, 19.1,⑨⑨⑧, 5,15,Ｅニットウビクトリｰ, 84,柴田善, 0.5, 82,  11,*  9, 5,  8.9,⑯⑬⑬, 5,16,Ｋクリノスイｰトピｰ, 70,西田雄, 0.3, 72,*  9,  -4, 9, 33.9, ②②
 6, 9, ヤサカブレイブ,---,的場勇, 3.2, 49,   0, -16,11,107.2,⑦⑥⑧, 6, 5,Ｍテイエムコンドル, 68,松若風, 0.7, 73,  11,  -6,11, 84.2,③④④, 6,13,Ｄエルマンボ, 85,アッゼ, 0.6, 81,  15,   0, 3,  6.0,⑦⑧⑨, 6,10,Ｉヤマニンマルキｰザ, 71,柴田大, 0.4, 72,*  7,  -4, 6, 12.2, ③③
