15年 3月21日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月21日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
 9, 6,Ｃシゲルエイサｰ, 59,古川吉, 3.4, 44,  -2, -13, 6, 15.4,⑪⑩⑪, 9, 7, ティｰエスハｰツ,,林満明,203.3,,,,11, 74.0,②⑧⑧, 9, 4,Ｇニホンピロピｰス, 54,藤懸貴, 0.5, 55,*  2, -16,14,139.7,②②②, 9, 2,Ｋラグジｰドライブ, 68,長岡禎, 1.2, 70,   3,   2,14,221.1,⑬⑬⑬
10,16,Ｋオランピア, 46,伴啓太, 3.5, 44,  -4, -10,13,149.7,⑮⑮⑬,10, 9, コスモパトラ,,浜野谷,203.5,,,, 8, 36.5,⑬⑩⑪,10,13,Ｊトワイライトキッス, 52,丸山元, 0.6, 53,  -1, -12, 7, 29.2,⑦⑦⑤,10,10,Ｍキズナエンドレス, 68,丸田恭, 1.3, 66,*  7, -12,10, 56.1,①①①
11,14, テイエムカンベエ,---,義英真, 3.9, 40,  -5, -13,15,223.9,⑬⑭⑭,11, 4, カッパドキア,,西谷誠,204.2,,,, 1,  1.7,③④④,11, 1,Ｐラムレイ, 35,北村宏, 0.6, 56,  -3,  -4, 6, 26.1,⑭⑮⑯,11, 3,Ｌジャングルパサｰ, 68,丸山元, 1.6, 66,   0,   2,11, 60.0,⑩⑭⑭
12,11,Ｊワンダｰヘルト, 46,丹内祐, 4.1, 37,   0, -22,10, 87.2,⑥⑥⑦,12, 8, ラノララク,,小野寺,206.1,,,,12,125.5,①③⑤,12, 6,Ｍトウカイエンプレス, 45,丸田恭, 1.0, 51,  -3,  -9,13,102.4,⑮⑰⑮,12, 7,Ｉダノンロンシャン, 71,小崎綾, 1.6, 65,   4,  -9, 8, 13.3,②⑤⑥
13, 5,Ｇシャイニｰシチｰ, 49,熊沢重, 4.3, 37,  -1, -23,11,106.7,⑤⑦⑥,13,12, ホワイトクリスマス,,高野和,208.3,,,,14,269.2,⑦⑭⑬,13,18,Ｈベルメｰル, 53,勝浦正, 1.1, 49,  -2, -17, 8, 30.5,⑨⑨⑩,13,13,Ｎトｰセンウィンドウ, 68,勝浦正, 1.7, 65,   3,  -5,13, 81.6,⑪⑩⑫
14,13,Ｌメイショウムラシゲ, 45,幸英明, 4.7, 35,  -5, -20, 9, 54.3,⑫⑬⑮,14, 2, エンジョイタイム,,中村将,208.4,,,, 9, 38.1,⑩⑬⑭,14,11,Ｆパッションエレナ, 56,難波剛, 1.3, 47,  -1, -21,11, 50.1,⑧⑧⑨,14,14,Ｇタイダルベイスン, 74,北村宏, 1.9, 62,   5, -16, 2,  5.7,⑨⑦⑤
15, 3,Ｏセルリアンレｰク, 19,田中博, 4.8, 36,  -3, -23,14,189.2,⑨⑪⑫,,,,,,,,,,,,,15,10,Ｏサウンドバゴダンス, 39,国分恭, 1.7, 47,  -5, -11,18,493.1,⑱⑱⑱,,,,,,,,,,,,
16, 7,Ｎバラモノガタリ, 34,小野寺, 5.2, 34,  -6, -19,16,517.2,⑯⑯⑯,,,,,,,,,,,,,16, 2,Ｌサンセドナ, 46,井上敏, 1.9, 42,*  3, -39,17,375.7,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,16, オレンジピュｰレ,---,松岡正, 2.5, 39,  -3, -32,16,167.0,⑯⑯⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｋアラビアンロｰズ, 51,吉田隼, 3.0, 33,   1, -47,15,154.2,⑥⑥⑦,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:5),,,,,,,,,,,
"単勝:1,420円 複勝:02=360円 01=160円 04=500円 枠連:1,940円",,,,,,,,,,,,"単勝:990円 複勝:13=460円 11=1,170円 03=1,400円 枠連:3,380円",,,,,,,,,,,,"単勝:510円 複勝:08=210円 12=320円 14=170円 枠連:4,020円",,,,,,,,,,,,"単勝:1,690円 複勝:05=300円 12=170円 09=140円 枠連:2,300円",,,,,,,,,,,
"馬連:1,940円 ワイド:01-02=700円 02-04=1,710円 01-04=1,000円",,,,,,,,,,,,"馬連:8,330円 ワイド:11-13=1,890円 03-13=3,790円 03-11=9,360円",,,,,,,,,,,,"馬連:5,610円 ワイド:08-12=1,590円 08-14=400円 12-14=1,060円",,,,,,,,,,,,"馬連:4,290円 ワイド:05-12=1,200円 05-09=1,050円 09-12=380円",,,,,,,,,,,
"馬単:5,040円 3連複:7,900円 3連単:52,880円",,,,,,,,,,,,"馬単:18,730円 3連複:79,240円 3連単:436,820円",,,,,,,,,,,,"馬単:7,910円 3連複:6,060円 3連単:39,030円",,,,,,,,,,,,"馬単:10,480円 3連複:4,180円 3連単:40,190円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝3300m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1400m 3 歳ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中日ｽﾎﾟｰﾂ賞ﾌｧﾙｺﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｄラインシュナイダｰ, 66,国分恭,, 72,*  3,*  6, 2,  4.4, ②②, 1, 1, オジュウチョウサン,,山本康,,,,, 3,  6.0,⑦⑤③, 1,13,Ｃアグネスユニコｰン, 74,吉田隼,, 70,*  6,   3, 3,  7.1,③③③, 1, 1,Ｑタガノアザガル, 61,松田大,, 81,* 17,  -8,14, 78.3, ④③
 2, 7,Ｅマルカメテオ, 63,松山弘, 0.1, 72,*  3,*  4, 6, 13.0, ①①, 2, 2, アドマイヤサイモン,,西谷誠,220.1,,,,13,127.6,⑥⑥⑥, 2, 8,Ｂアドマイヤキンカク, 75,藤岡康, 0.2, 72,   4,*  7, 2,  5.2,⑧⑦⑥, 2, 3,Ｅアクティブミノル, 71,藤岡康, 0.0, 82,* 20, -11, 4,  7.6, ①①
 3, 6,Ａブラゾンドゥリス, 73,松田大, 0.5, 67,   1,*  3, 4,  8.4, ③③, 3,10, テイエムオペラドン,,中村将,220.9,,,,10, 37.2,⑫⑧⑨, 3, 1,Ａデンコウリキ, 75,松若風, 0.2, 72,   4,*  6, 1,  1.9,⑨⑧⑦, 3, 8,Ｉヤマカツエｰス, 70,藤田伸, 0.0, 77,   9,*  1, 5,  8.5, ⑬⑪
 4, 1,Ｇスクワｰル, 63,藤岡康, 1.0, 62,  -1,   1, 1,  2.5, ⑨⑨, 4,11, テンジンキヨモリ,,江田勇,221.2,,,, 7, 10.8,⑤④⑤, 4, 9,Ｇオアフライダｰ, 69,藤田伸, 0.7, 70,   2,*  5, 7, 20.8,⑪⑩⑨, 4,13,Ｄフミノムｰン, 73,幸英明, 0.3, 75,  11,* -3, 1,  4.7, ⑪⑩
 5, 3,Ｃプレｰケストｰレン, 67,丸田恭, 1.3, 59,  -2,   0, 8, 17.2, ⑫⑩, 5, 8, ワンダｰバライル,,佐久間,221.4,,,,11, 57.4,⑪⑫⑩, 5, 5,Ｈララガニエ, 69,バルジ, 0.8, 67,   4,  -1, 4,  8.9,⑤⑤⑤, 5,17,Ｃブラッククロｰバｰ, 74,松山弘, 0.3, 76,  13,  -6,12, 44.2, ⑥⑥
 6, 9, マルシゲジャパン,---,鮫島克, 1.5, 58,  -3,  -1,13,337.7, ⑬⑭, 6,13, ハヤブサゴッド,,草野太,221.7,,,, 4,  6.7,③②②, 6,10,Ｉミッキｰバルｰン, 68,小崎綾, 1.1, 66,   2,   2, 9, 63.0,⑦⑨⑪, 6,11,Ｆケツァルテナンゴ, 71,丸山元, 0.4, 72,   9,* -4, 8, 15.0, ⑩⑫
 7,11,Ｆスルｰプオブウォｰ, 63,北村宏, 1.5, 59,   0,  -4, 3,  6.9, ⑧⑧, 7, 5, プレミアムウォｰズ,,小野寺,222.0,,,,14,151.3,①①①, 7, 2,Ｄアサクサニッポン, 73,丸田恭, 1.2, 63,   5,  -4, 5, 11.2,④④④, 7, 9,Ａアポロノシンザン, 76,勝浦正, 0.4, 73,  10,* -2, 7,  9.2, ⑫⑬
 8,14,Ｂエルクンバンチェロ, 67,勝浦正, 1.5, 59,*  1,  -7, 5,  8.4, ④④, 8, 4, リアルブラック,,林満明,222.6,,,, 5,  9.0,④⑦⑦, 8, 7,Ｅセルリアンラビット, 72,古川吉, 1.2, 66,   2,   1,10, 65.1,⑫⑪⑩, 8,18,Ｈブリクスト, 70,北村友, 0.9, 67,   8,  -7, 3,  6.8, ⑮⑭
 9,10,Ｈタイキクロスビｰ, 54,小崎綾, 1.8, 56,  -2,  -5, 7, 13.5, ⑩⑪, 9, 7, ハギノセゾン,,北沢伸,223.1,,,, 8, 11.3,⑧⑪⑪, 9, 4,Ｆレオネプチュｰン, 71,岩部純, 1.4, 64,   4,  -3, 6, 15.3,⑥⑥⑧, 9,16,Ｍセカンドテｰブル, 68,バルジ, 1.1, 69,* 20, -25, 9, 23.3, ②②
10, 2,Ｌコウエイサムライ, 47,北村友, 2.6, 50,   1, -14,10,106.0, ⑥⑥,10, 3, サンマルボス,,高野和,223.2,,,,12,118.2,⑬⑬⑫,10,11,Ｊリライブナカヤマ, 66,丸山元, 1.4, 63,*  7,  -9,11, 87.5,②②②,10, 6,Ｇゴｰルドペガサス, 71,丸田恭, 1.1, 66,  12, -15,16, 95.4, ⑦⑦
11,15,Ｋサトノシュトラｰル, 49,義英真, 2.8, 48,*  1, -18,12,250.2, ⑤⑤,11, 9, レッドアｰヴィング,,平沢健,225.7,,,, 1,  4.3,②③④,11, 6,Ｌサンレイレッカｰ, 60,義英真, 1.9, 58,*  6, -14,13,164.8,①①①,11, 2,Ｊコパノハｰト, 70,小崎綾, 1.2, 65,  14, -17,13, 65.7, ⑤⑤
12,12,Ｊオランジュバトｰ, 52,川須栄, 3.0, 48,   1, -18,11,164.1, ⑦⑦,,,,,,,,,,,,,12,12,Ｋリリｰクライマｰ, 61,伴啓太, 3.0, 53,  -1,  -9,12, 88.0,⑬⑫⑬,12, 4,Ｌビヨンジオｰル, 68,横山典, 1.2, 62,   3,  -5, 2,  6.0, ⑰⑯
13, 4,Ｉガルｰダ, 54,幸英明, 3.4, 44,  -4, -15, 9, 56.8, ⑭⑬,,,,,,,,,,,,,13, 3,Ｎカンタベリｰラウス, 48,井上敏, 3.2, 55,  -1, -10,14,303.6,⑩⑬⑫,13,10,Ｂライドオンウインド, 74,古川吉, 1.2, 64,  11, -15,11, 31.2, ⑨⑨
14, 5, ルスナイエリザベス,---,伴啓太, 3.8, 39, -12,  -9,14,431.2, ⑯⑯,,,,,,,,,,,,,14,14,Ｍロｰドガンブラック, 59,北村宏, 3.8, 52,  -9,   2, 8, 38.6,⑭⑭⑭,14,15,Ｎレンイングランド, 68,松岡正, 1.6, 60,  11, -20, 6,  8.9, ⑧⑧
15, 8,Ｍクリノチｰホｰ, 41,古川吉, 3.9, 42,  -4, -18,15,444.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｒペイシャオブロｰ, 57,吉田隼, 1.9, 55,   3, -14,17,160.1, ⑯⑰
16,13, デルマオハツ,---,畑端省, 7.0, 20,  -2, -47,16,603.7, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｏワキノヒビキ, 66,北村宏, 1.9, 56,   3, -14,10, 24.7, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｋマジックシャトル, 69,国分恭, 2.2, 55,* 17, -35,15, 92.2, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,Ｐメイショウマサカゼ, 66,太宰啓, 2.5, 49,   6, -25,18,200.0, ⑭⑮
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:5),,,,,,,,,,,
"単勝:440円 複勝:16=160円 07=330円 06=270円 枠連:2,310円",,,,,,,,,,,,"単勝:600円 複勝:01=250円 02=2,600円 10=980円 枠連:9,980円",,,,,,,,,,,,"単勝:710円 複勝:13=160円 08=160円 01=110円 枠連:1,260円",,,,,,,,,,,,"単勝:7,830円 複勝:01=1,640円 03=340円 08=270円 枠連:4,340円",,,,,,,,,,,
"馬連:2,070円 ワイド:07-16=720円 06-16=650円 06-07=1,350円",,,,,,,,,,,,"馬連:22,720円 ワイド:01-02=6,200円 01-10=5,320円 02-10=21,260円",,,,,,,,,,,,"馬連:2,070円 ワイド:08-13=570円 01-13=230円 01-08=230円",,,,,,,,,,,,"馬連:24,640円 ワイド:01-03=6,980円 01-08=5,670円 03-08=1,460円",,,,,,,,,,,
"馬単:3,960円 3連複:5,290円 3連単:27,960円",,,,,,,,,,,,"馬単:28,580円 3連複:182,310円 3連単:1,158,180円",,,,,,,,,,,,"馬単:3,850円 3連複:1,220円 3連単:11,380円",,,,,,,,,,,,"馬単:67,470円 3連複:66,990円 3連単:638,950円",,,,,,,,,,,
■ 3R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1900m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａプレフェリｰト, 74,勝浦正,, 72,   1,  10, 1,  3.0, ⑥③, 1, 1,Ａテイクウォｰニング, 64,藤岡康,, 71,* 14, -20, 1,  3.3, ①①, 1, 7,Ｊハッピｰチャｰト, 63,高倉稜,, 71,   4,*  5,11, 27.9, ⑩⑫, 1,12,Ｊナムララオウ, 77,松田大,, 77,* 10,   3, 8, 30.3,⑪④⑤
 2, 3,Ｎシュウギン, 60,岩崎翼, 0.0, 74,*  5,   7,11, 49.9, ②②, 2, 5,Ｅヘットロｰ, 61,北村宏, 0.2, 60,  -4,* -5, 4,  9.5, ⑪⑩, 2,12,Ｍタイセイティグレス, 60,勝浦正, 0.0, 69,   4,*  5, 6, 11.2, ⑪⑩, 2,14,Ｈヴェルデホ, 78,バルジ, 0.2, 76,   7,   6, 5, 13.2,⑦⑧⑧
 3, 6,Ｃホワイトポピｰ, 71,小崎綾, 0.5, 69,*  7,   1, 3,  7.6, ①①, 3, 3,Ｉデルマチョウスケ, 59,小崎綾, 0.3, 59,  -2,  -7, 6, 15.7, ⑨⑧, 3,14,Ｐグルｰヴァｰ, 46,小崎綾, 0.2, 69,* 10,  -4, 1,  3.6, ③③, 3,15,Ｐアｰスコネクタｰ, 69,中谷雄, 0.4, 74,* 10,  -3,11, 64.0,②②②
 4, 7,Ｊヒカルランナｰ, 66,石神深, 1.0, 63,  -1,   4, 9, 26.7, ⑨⑧, 4, 6,Ｈエクレｰル, 59,横山典, 0.4, 58,   2, -12, 3,  8.8, ⑥⑥, 4, 6,Ｂテラノココロ, 70,松田大, 0.7, 66,* 10,  -8, 2,  6.4, ①①, 4, 7,Ｂエルズミｰア, 85,吉田隼, 0.4, 72,* 10,  -2, 1,  2.0,③③③
 5,12,Ｄプラネットスコア, 71,北村友, 1.0, 63,  -6,   9, 2,  4.0, ⑬⑪, 5,18,Ｂアグネスリュシアン, 63,バルジ, 0.4, 58,   0, -11,12, 22.7, ⑦⑦, 5,10,Ａタニノセレナｰデ, 72,義英真, 1.0, 61,   6,  -6, 7, 11.9, ⑨⑨, 5, 6,Ｅヤマカツポセイドン, 81,国分恭, 0.5, 77,   3,* 13, 7, 26.1,⑮⑯⑮
 6, 8,Ｅサｰシスリｰフ, 68,バルジ, 1.3, 61,   1,  -1, 5, 10.7, ⑦⑤, 6,11,Ｃサワヤカムスメ, 62,松岡正, 0.7, 59,*  8, -22, 5, 14.3, ③③, 6, 9,Ｄコウエイテンペスタ, 66,北村友, 1.0, 62,* 10, -11, 4,  9.4, ②②, 6, 8,Ｃスナｰククラウン, 84,三津谷, 0.5, 75,   7,   4,10, 59.9,⑨⑨⑩
 7,11,Ｆドンビザッツウェイ, 68,丸田恭, 1.3, 60, -11,  10,14, 79.4, ⑭⑭, 7,10,Ｊヘッドドレス, 56,勝浦正, 0.9, 51,  -9,  -8,10, 18.4, ⑭⑭, 7,11,Ｋハンマｰクラビア, 62,バルジ, 1.1, 60,   2,  -2,10, 19.1, ⑬⑭, 7,11,Ｋメイショウソレイユ, 77,幸英明, 0.5, 76,   6,*  8,12, 64.1,⑬⑬⑭
 8, 5,Ｐシンサン, 24,伴啓太, 1.3, 61, -13,* 12,13, 75.2, ⑮⑮, 8, 4,Ｋデンコウハシャ, 56,太宰啓, 1.0, 51,  -4, -13,11, 20.0, ⑬⑪, 8, 1,Ｉウインドストリｰム, 63,松山弘, 1.3, 61,   8, -11, 9, 13.4, ⑤④, 8,16,Ｉゴｰイングベル, 77,岩崎翼, 0.6, 74,* 10,  -4, 9, 34.7,①①①
 9,10,Ｇクインズパｰル, 67,藤懸貴, 1.3, 61,  -4,   4, 6, 10.9, ⑪⑬, 9, 7,Ｆエｰスナンバｰ, 60,吉田隼, 1.2, 46,  -5, -16, 7, 16.9, ⑩⑫, 9, 4,Ｆパｰティブロッサム, 65,井上敏, 1.4, 59,   6,  -9, 8, 13.0, ⑧⑧, 8, 9,Ｇダンツキャッチ, 80,太宰啓, 0.6, 78,   5,*  8, 6, 25.7,⑫⑭⑬
10, 1,Ｈトｰセンスティング, 67,北村宏, 1.5, 60,  -6,   4, 7, 15.9, ⑫⑫,10,17,Ｎジョｰハリス, 49,松田大, 1.2, 51, -18,* -3,18,235.0, ⑮⑮,10, 8,Ｈセカイノカナ, 63,伴啓太, 1.4, 57,   2,  -4,15,107.4, ⑭⑬,10, 3,Ｆキネオフォルツァ, 80,北村宏, 0.7, 74,   9,  -1, 4,  7.8,⑤⑤④
11,15,Ｍスカイアクセス, 62,西村太, 1.6, 58, -20,* 16,10, 28.3, ⑯⑯,11,16,Ｇメッサｰウイング, 59,義英真, 1.2, 54,* 12, -33,13, 56.3, ②②,11, 5,Ｎクリアｰパッション, 56,古川吉, 1.6, 57,   3,  -6,12, 50.8, ⑫⑪,11, 1,Ｄサンライズウェイ, 83,藤岡康, 1.2, 70,   7,   0, 2,  5.2,⑩⑩⑨
12, 4,Ｉジェイケイホｰム, 66,井上敏, 1.7, 58,  -1,  -3, 8, 21.1, ⑧⑨,12,15,Ｍスナｰクエンジェル, 50,松若風, 1.3, 47,  -2, -20,15,123.1, ⑧⑨,12,16,Ｅアイティダイヤ, 66,丹内祐, 1.8, 54,   7, -14,13, 52.4, ⑥⑥,12,10,Ａメモリｰシャルマン, 85,古川吉, 1.5, 68,   6,  -3, 3,  6.5,⑭⑫⑫
13,14,Ｂチョウエンペラｰ, 71,熊沢重, 2.1, 55,   3,  -9, 4, 10.4, ⑤⑦,13, 2,Ｑネオヴォｰグ, 33,幸英明, 1.5, 44,  -6, -19,14, 78.4, ⑫⑬,13, 2,Ｃアイリッシュハｰプ, 66,松若風, 1.8, 56,   5, -12, 3,  7.0, ⑦⑦,13, 2,Ｎクｰルジャイロ, 70,勝浦正, 2.2, 63,   7, -11,14, 90.3,④⑦⑥
14,16,Ｋアワｰズヒロイン, 66,中谷雄, 2.2, 53,  -1,  -6,15,114.8, ⑩⑩,14, 9,Ｐクラウンラフィナ, 46,北村友, 1.6, 47, -26,* -1,17,184.7, ⑯⑯,14,15,Ｌメイショウポピュラ, 60,津村明, 2.0, 54,   1,  -6,16,259.3, ⑮⑮,14,13,Ｍメイショウビリｰヴ, 74,畑端省, 2.3, 63,   6,  -9,16,211.2,⑧⑪⑪
15, 9,Ｌダイワカリエンテ, 63,丸山元, 2.9, 47,   3, -16,12, 64.3, ④⑥,15,13,Ｄウェｰブランチャン, 61,藤懸貴, 1.9, 41,   5, -36, 8, 17.6, ④④,15, 3,Ｏチュウワアピｰル, 54,吉田隼, 2.6, 46,  -3,  -8,14, 76.5, ⑯⑯,15, 4,Ｏクリビツテンギョ, 70,川須栄, 2.3, 65,   4,  -4,15,152.3,⑯⑮⑯
