15年 6月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 6月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9,10, ヨドノナイト,---,高倉稜, 1.4, 46, -14,*  5, 6, 16.2, ⑮⑭, 9, 5, メイショウライウン,,田村太,203.9,,,, 6, 10.2,⑦⑤⑥, 9, 9,Ｋタイセイゼニス, 58,秋山真, 0.6, 63,   7,  -3,13,138.0, ⑤⑥, 9, 5,Ｌドラゴンピｰス, 84,伊藤工, 1.1, 76,   7,   9, 6, 15.2,⑮⑭⑮
10,14,Ｆメイショウアライソ, 53,幸英明, 1.8, 42, -11,  -2, 5, 14.1, ⑬⑬,10, 6, エトラ,,佐久間,206.3,,,,10, 68.0,⑩⑩⑩,10, 4,Ｌワキノキセキ, 58,国分恭, 0.6, 67,  11,  -6, 9, 37.3, ③③,10, 7,Ｋエイコｰンパス, 84,松山弘, 1.1, 77,  11,   1, 9, 40.8,⑦⑤⑥
11, 4,Ｋファインドミｰ, 45,中谷雄, 2.2, 41,   0, -16,14,185.7, ⑤⑦,,,,,,,,,,,,,11, 7,Ｊダンツメガヒット, 59,松山弘, 0.6, 63,   4,   0,10, 48.8, ⑧⑨,11,12,Ｊコウユｰヒｰロｰ, 85,岡田祥, 1.2, 78,   8,   7,14, 98.4,⑯⑮⑬
12, 7,Ｌキラキラ, 43,川島信, 2.4, 38,  -4, -14,15,214.5, ⑨⑨,,,,,,,,,,,,,12,15,Ａメイショウブイダン, 76,幸英明, 0.7, 65,  11,  -8, 1,  2.2, ⑥④,12,16,Ｇグレイレジェンド, 86,熊沢重, 1.3, 76,   9,   4,11, 72.9,⑩⑩⑫
13, 6, ダイゴキンリュウ,---,三津谷, 2.7, 34, -18,  -3,16,230.1, ⑯⑯,,,,,,,,,,,,,13,11,Ｍトシファイブスタｰ, 55,中井裕, 0.9, 59,   0,   0,14,178.4, ⑫⑫,13,15,Ｏセイカフォルテ, 83,高倉稜, 1.3, 77,  11,   1,12, 78.8,⑨⑨⑩
14, 5,Ｎニエロ, 27,佐藤友, 2.9, 35, -14,  -6,13,114.1, ⑭⑮,,,,,,,,,,,,,14, 3,Ｈテイエムシングン, 65,小牧太, 0.9, 56, -12,* 12,11, 54.5, ⑮⑮,14,14,Ｆマルケサス, 86,小牧太, 1.3, 77,   7,   8, 5, 11.2,⑭⑯⑯
15, 9,Ｃプリュクベル, 61,松山弘, 5.1, 15,  -2, -40, 3,  6.2, ⑦⑪,,,,,,,,,,,,,15, 5,Ｏベルエアファルコン, 34,鮫島良, 1.1, 56,  -6,   4,15,241.0, ⑬⑭,15, 2,Ｉタガノビリｰヴィン, 85,岩崎翼, 1.6, 73,   9,   1, 8, 17.1,⑪⑫⑨
16,13,Ｍリッカギムレットｰ, 39,岡田祥, 5.3, 15,  -6, -37,10, 55.7, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｎブルｰタンザナイト, 83,国分恭, 2.8, 66,  11, -14,15,196.8,⑤⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-5),,,,,,,,,,,
"単勝:9,130円 複勝:08=1,170円 16=240円 03=170円 枠連:13,960円",,,,,,,,,,,,"単勝:490円 複勝:10=180円 09=850円 03=270円 枠連:9,080円",,,,,,,,,,,,"単勝:1,740円 複勝:14=410円 10=210円 12=360円 枠連:390円",,,,,,,,,,,,"単勝:380円 複勝:03=160円 01=190円 04=1,090円 枠連:710円",,,,,,,,,,,
"馬連:31,230円 ワイド:08-16=6,200円 03-08=2,660円 03-16=480円",,,,,,,,,,,,"馬連:9,890円 ワイド:09-10=3,160円 03-10=1,050円 03-09=4,630円",,,,,,,,,,,,"馬連:3,670円 ワイド:10-14=1,260円 12-14=2,290円 10-12=1,210円",,,,,,,,,,,,"馬連:1,010円 ワイド:01-03=440円 03-04=3,910円 01-04=4,260円",,,,,,,,,,,
"馬単:66,460円 3連複:23,060円 3連単:267,710円",,,,,,,,,,,,"馬単:15,000円 3連複:30,430円 3連単:152,740円",,,,,,,,,,,,"馬単:8,230円 3連複:10,420円 3連単:82,170円",,,,,,,,,,,,"馬単:1,890円 3連複:16,710円 3連単:58,050円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄトウカイパイロ, 62,岡田祥,, 70,   1,*  6, 5, 12.7,⑦⑧⑥, 1, 9, ウインクルサルｰテ,---,秋山真,, 48,*-21,   0, 5, 12.7, ①①, 1, 6,Ｆブランドベルグ, 67,藤岡佑,, 82,   8,*  6, 4,  5.0,⑤⑦⑥, 1, 1,Ｃスマｰトレイアｰ, 85,デムｰ,, 86,  11,*  6, 1,  3.5, ④③
 2,10,Ｃサンライズステラ, 63,松山弘, 0.3, 67,*  5,  -3, 7, 16.8,④②②, 2, 4, マイネルサグラ,---,高倉稜, 0.2, 50, -26,*  3, 4,  9.0, ⑥⑥, 2, 9,Ｂジェネラルゴジップ, 74,幸英明, 0.5, 79,   8,*  2, 2,  4.1,⑩⑩⑨, 2, 3,Ｅオリｰビン, 81,小牧太, 0.2, 86,* 14,   0, 5,  7.4, ①①
 3, 5,Ｇオウケンワｰルド, 59,佐藤友, 0.4, 64,*  6,  -8, 8, 17.5,①①①, 3, 3, デアリングエッジ,---,岩崎翼, 0.2, 47,*-22,  -2, 1,  2.1, ②②, 3, 2,Ｃトウキョウタフガイ, 74,松山弘, 0.7, 77,   8,  -1, 3,  5.0,⑨⑪⑧, 3,10,Ａメイショウヤタロウ, 85,秋山真, 0.3, 82,  12,   0, 7, 26.1, ③④
 4, 4,Ｈギンザセレクト, 58,デムｰ, 0.6, 61,   3,  -3, 1,  3.1,③⑤④, 4, 5, ダンツプリウス,---,松若風, 0.3, 47, -27,*  3, 3,  7.2, ⑦⑦, 4,10,Ａクレスト, 75,小牧太, 0.7, 75,*  9,  -7, 5,  6.8,⑥④③, 4, 8,Ｂロサギガンティア, 85,松山弘, 0.3, 85,   9,*  6, 3,  5.1, ⑦⑦
 5,12,Ｅシゲルホウネンサイ, 62,藤岡佑, 0.7, 60,*  4,  -6, 2,  4.6,⑧③③, 5, 6, ジェントルハｰト,---,デムｰ, 0.9, 36, -24, -10, 2,  3.8, ④③, 5,11,Ｄウィズアミッション, 73,デムｰ, 1.1, 72,   9,  -6, 1,  3.9,⑧⑧⑩, 5, 6,Ｆナリタスｰパｰワン, 81,幸英明, 0.4, 84,  11,   2, 9, 41.0, ⑤⑤
 6, 3,Ｆギョイ, 59,鮫島良, 1.2, 62,   2,  -6, 9, 18.1,⑤⑦⑦, 6, 7, パキラ,---,松山弘, 1.2, 36, -23, -14, 9, 40.2, ③④, 6, 1,Ｌロｰドフェンネル, 54,鮫島良, 1.3, 72,   7,  -8, 6, 22.7,⑦⑫⑪, 6, 2,Ｉタマモトッププレイ, 77,高倉稜, 0.5, 82,* 14,  -4, 8, 35.3, ②②
 7, 6,Ｂヒルノケルン, 65,中谷雄, 1.9, 55,   1, -10, 3,  6.5,⑪⑩⑨, 7, 2, フォｰルドイン,---,佐藤友, 1.8, 27, -28, -17, 7, 27.2, ⑧⑧, 7, 5,Ｅキンコバン, 69,鮫島克, 1.4, 67,* 11, -18, 7, 24.7,②②②, 7, 5,Ｄサンライズメジャｰ, 82,国分恭, 0.7, 82,  10,   1, 4,  6.4, ⑧⑧
 8,13,Ｎメイショウオウケン, 43,幸英明, 2.1, 57,  -4,*  0,11, 71.9,⑯⑯⑮, 8, 1, モズバンブルビｰ,---,藤岡佑, 2.3, 21, -29, -22, 6, 24.5, ⑨⑨, 8, 3,Ｇグラｰネ, 66,国分恭, 1.8, 66,* 11, -24, 8, 27.8,⑪①①, 8, 4,Ｈサトノルパン, 79,川島信, 1.5, 72,  11, -14, 2,  3.7, ⑥⑥
 9,16,Ｉスズカノｰチラス, 56,高倉稜, 2.3, 55,   2, -14,14,105.8,⑥⑥⑧, 9, 8, オンガエシ,---,幸英明, 2.4, 19, -25, -30, 8, 29.7, ⑤⑤, 9, 4,Ｊグランスエルテ, 63,秋山真, 2.0, 61,   8, -22,11, 52.6,④⑥④, 9, 9,Ｊマックスドリｰム, 77,松若風, 1.5, 69,   5,  -6,10, 52.8, ⑩⑩
10, 9,Ａラフィングクラブ, 67,松若風, 2.3, 55,  -2,  -9, 4,  6.7,⑫⑫⑫,,,,,,,,,,,,,10, 7,Ｈコｰトオブアｰムズ, 66,川島信, 2.3, 63,   6, -20, 9, 30.4,⑫⑨⑫,10, 7,Ｇマウントシャスタ, 80,藤岡佑, 2.3, 61,   6, -17, 6,  9.3, ⑨⑨
11,14,Ｍトミｰゴｰルド, 44,義英真, 2.6, 52,  -3,  -7,13, 95.9,⑬⑬⑭,,,,,,,,,,,,,11, 8,Ｉメイショウカシュウ, 65,義英真, 2.5, 58,   8, -30,12, 63.8,①⑤⑤,,,,,,,,,,,,
12, 2,Ｏエンパイアルｰラｰ, 35,熊沢重, 3.1, 48,  -2, -16,16,246.9,⑩⑪⑩,,,,,,,,,,,,,12,13,Ｋヒロフォｰシｰズン, 61,松若風, 3.2, 52,*  9, -41,10, 35.6,③③⑦,,,,,,,,,,,,
13,15,Ｊエイシンタｰザン, 55,小牧太, 3.6, 46,  -5, -13, 6, 13.8,⑮⑮⑯,,,,,,,,,,,,,13,12,Ｍウｰルｰズ, 47,佐藤友, 4.9, 41,  -1, -38,13,344.0,⑬⑬⑬,,,,,,,,,,,,
14, 7,Ｋウォｰタｰボンド, 52,藤懸貴, 3.6, 43,   4, -29,15,136.7,②④⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11, スリｰフルマｰク,---,岩崎翼, 3.8, 43,  -4, -18,12, 88.7,⑭⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 8,Ｌトｰコｰリバｰス, 51,中井裕, 5.3, 35,   0, -37,10, 23.5,⑨⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,270円 複勝:01=350円 10=350円 05=660円 枠連:2,630円",,,,,,,,,,,,"単勝:1,270円 複勝:09=220円 04=180円 03=110円 枠連:3,260円",,,,,,,,,,,,"単勝:500円 複勝:06=180円 09=150円 02=150円 枠連:1,000円",,,,,,,,,,,,"単勝:350円 複勝:01=160円 03=230円 10=480円 枠連:1,410円",,,,,,,,,,,
"馬連:9,290円 ワイド:01-10=2,750円 01-05=2,860円 05-10=5,180円",,,,,,,,,,,,"馬連:3,610円 ワイド:04-09=1,260円 03-09=510円 03-04=340円",,,,,,,,,,,,"馬連:1,070円 ワイド:06-09=450円 02-06=570円 02-09=390円",,,,,,,,,,,,"馬連:1,350円 ワイド:01-03=570円 01-10=1,490円 03-10=1,850円",,,,,,,,,,,
"馬単:16,500円 3連複:59,240円 3連単:396,130円",,,,,,,,,,,,"馬単:8,380円 3連複:1,940円 3連単:23,390円",,,,,,,,,,,,"馬単:2,240円 3連複:1,530円 3連単:8,310円",,,,,,,,,,,,"馬単:2,150円 3連複:8,790円 3連単:31,970円",,,,,,,,,,,
■ 3R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小豆島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｄケントオｰ, 60,中谷雄,, 66,   1,   9, 9, 37.7, ⑩⑧, 1, 1,Ａディアブルｰダｰ, 88,デムｰ,, 74,* 11,  -1, 1,  1.4,①①①, 1, 3,Ｂダノンムｰン, 79,デムｰ,, 77,  -8,  14, 2,  3.6, ③③, 1, 5,Ａルミナスパレｰド, 79,藤岡佑,, 70,   8,  -2, 1,  3.2, ⑥⑦
 2, 9,Ｈティｰエスバラ, 58,松山弘, 0.0, 65,*  7,  -1, 5, 10.7, ②②, 2,12,Ｂキｰアシスト, 79,秋山真, 0.1, 74,* 10,  -1, 3,  8.7,③③②, 2, 1,Ｄアトム, 76,藤岡佑, 0.0, 79, -11,* 18, 1,  3.2, ⑩⑧, 2,10,Ｄビｰチパラソル, 74,岩崎翼, 0.1, 70,   7,  -1, 3,  7.3, ⑩⑧
 3, 8,Ｅシンボリシャガｰル, 59,岩崎翼, 0.2, 63,   4,   1, 8, 31.4, ⑤④, 3,15,Ｌコンセギｰル, 68,松若風, 0.2, 77,* 10,  -1,14,174.2,⑤⑤④, 3, 7,Ｌクロイゼリンチャン, 65,国分恭, 0.1, 76,* -5,   8, 9, 41.8, ①①, 3, 2,Ｇクレアドｰル, 72,義英真, 0.1, 70,   7,  -1, 5,  9.7, ⑫⑪
 4,17,Ｃノミネｰション, 63,松若風, 0.2, 62,*  9,  -6, 2,  3.4, ①①, 4,14,Ｃサトノロブロイ, 79,川島信, 0.3, 75,  10,  -1, 2,  4.7,⑩⑦⑤, 4, 8,Ｈノｰブルコロネット, 74,高倉稜, 0.1, 78, -10,  13, 5, 13.5, ⑤⑤, 4, 6,Ｂダイリュウキセキ, 79,秋山真, 0.2, 70,   9,  -4, 2,  4.2, ⑧⑤
 5, 5,Ｊトウカイルンバ, 58,柴田未, 0.3, 64,  -4,* 11,15,105.5, ⑪⑫, 5, 5,Ｉテイエムボッケモン, 71,竹之下, 0.7, 72,  10,  -4,13,112.6,④④⑥, 5, 5,Ｇレッドジゼル, 75,松山弘, 0.2, 76,  -8,  11, 6, 17.7, ④④, 5, 7,Ｌレディカリビアン, 68,国分恭, 0.4, 68,   5,  -1,15,114.6, ⑬⑫
 6, 2,Ｂバイザウェイ, 66,藤岡佑, 0.3, 63,  -9,* 16, 4,  8.2, ⑱⑯, 6,10,Ｊハッピｰメモリｰズ, 71,国分恭, 0.7, 73,  10,  -4,10, 63.1,⑦⑥⑦, 6,11,Ｅホッコｰアムｰル, 75,川島信, 0.4, 75, -10,   9,10, 58.1, ⑥⑥, 6, 9,Ｈモズマッテタワ, 71,岡田祥, 0.7, 64,   1,*  2, 7, 20.8, ⑯⑮
 7, 6,Ｋカルシャン, 57,秋山真, 0.4, 61,  -2,   7, 7, 17.4, ⑫⑪, 7,11,Ｎワｰルドリｰスタｰ, 67,松山弘, 0.8, 74,   4,*  7, 5, 24.7,⑯⑯⑭, 7, 4,Ａセウアズｰル, 81,岩崎翼, 0.4, 76, -10,  14, 3,  4.3, ⑧⑩, 7, 8,Ｃビｰトゴｰズオン, 75,佐藤友, 0.8, 63,   2,*  0,12, 31.0, ⑮⑯
 8, 7,Ｉカゼノカオリ, 58,幸英明, 0.5, 60,*  5,  -5, 3,  6.4, ③③, 8, 8,Ｄコウエイアｰス, 77,鮫島克, 1.0, 70,   8,  -3, 8, 43.3,⑪⑪⑩, 8, 6,Ｆジェルブドｰル, 75,幸英明, 0.7, 67,* -7,   0, 4,  6.3, ②②, 8,13,Ｊマｰトンパｰク, 70,松若風, 0.9, 63,   4,  -6, 4,  7.7, ⑭⑬
 9,11,Ａレッドディザｰブ, 70,デムｰ, 0.7, 58,  -6,   8, 1,  3.4, ⑭⑭, 9, 7,Ｍメジャｰシップ, 68,高倉稜, 1.1, 71,   8,  -4,11,103.7,⑥⑧⑨, 9, 2,Ｋサンマルホｰム, 65,鮫島良, 0.7, 74, -12,  11,12,152.6, ⑪⑫, 9, 4,Ｐシゲルシリベシ, 32,高倉稜, 0.9, 65,* 10, -12,16,170.5, ②②
10,12,Ｇゴｰルデンボｰダｰ, 58,義英真, 0.7, 57,   2,  -3,12, 69.0, ⑥⑥,10, 6,Ｋゼンノスサノヲ, 70,熊沢重, 1.2, 70,   7,  -3, 6, 34.4,⑬⑬⑫,10, 9,Ｊタガノリバレンス, 69,小牧太, 0.8, 68, -11,   6,11, 58.7, ⑨⑨,10, 3,Ｆニホンピロディｰル, 74,幸英明, 1.5, 61,* 10, -16,11, 27.3, ③⑥
11, 3,Ｆアングライフェン, 59,鮫島克, 1.1, 54,  -7,   5, 6, 11.1, ⑯⑬,11, 3,Ｈダイナミックショｰ, 72,小牧太, 1.6, 68,   4,  -1, 9, 51.3,⑮⑮⑯,11,12,Ｉダンツクロノス, 74,秋山真, 0.9, 65, -10,   3, 8, 30.7, ⑦⑦,11,15,Ｋメイショウルナ, 68,鮫島克, 1.5, 58,   7, -14,13, 31.3, ⑪⑩
12, 1,Ｌロｰズカリｰナ, 52,小牧太, 1.6, 49,   3, -12,11, 50.0, ⑧⑦,12, 4,Ｆメイショウクオン, 73,幸英明, 2.3, 61,* 11, -21, 4, 23.2,②②③,12,10,Ｃベアトリッツ, 79,松若風, 1.1, 65, -11,   4, 7, 18.1, ⑫⑪,12, 1,Ｅサンレイルｰジュ, 74,鮫島良, 1.6, 60,* 12, -20, 9, 24.9, ①①
13, 4, カネトシルミナ,---,森一馬, 1.9, 44,  -2, -13,17,390.5, ⑨⑩,13, 9,Ｅアマノウインジｰ, 77,義英真, 2.3, 61,   7, -13,12,106.7,⑭⑫⑪,,,,,,,,,,,,,13,11,Ｏキミニヒトメボレ, 52,デムｰ, 1.6, 58,* 10, -18,10, 26.9, ④③
14,14, ハッピｰジュエル,---,中井裕, 2.0, 44,  -6, -10,14,103.9, ⑬⑮,14,16,Ｇショウナンガッチャ, 73,中谷雄, 2.8, 58,   9, -20, 7, 34.7,⑧⑨⑧,,,,,,,,,,,,,14,12,Ｉマナオラナ, 71,松山弘, 2.4, 54,   7, -20, 6, 20.7, ⑦⑭
15,13,Ｏネオヴィｰヴ, 40,川島信, 2.1, 43,  -9,  -7,18,521.7, ⑮⑰,15,13,Ｏカミングアップ, 55,佐藤友, 2.8, 58,   5, -14,16,296.5,⑫⑭⑮,,,,,,,,,,,,,15,14,Ｎタイセイララバイ, 64,小牧太, 3.3, 45,   7, -30, 8, 23.6, ⑨⑨
16,16,Ｐエイシンアグライア, 39,国分恭, 3.2, 31,*  6, -39,13, 84.9, ④⑤,16, 2,Ｐライブリヘイロｰ, 23,伊藤工, 2.9, 57,   7, -18,15,255.7,⑨⑩⑬,,,,,,,,,,,,,16,16,Ｍテイエムステｰタス, 65,竹之下, 4.0, 39,   9, -38,14, 85.9, ⑤④
17,10,Ｍセレブデｰト, 46,鮫島良, 3.5, 29,  -9, -22,16,336.9, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15,Ｎサンライズビジュｰ, 43,藤懸貴, 4.0, 21,   2, -45,10, 46.6, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-5),,,,,,,,,,,
