15年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,外房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 8,Ｈマウシムトウショウ, 40,津村明, 0.6, 46,* -6, -17,13,157.9,④③④, 7,10, プｰルアンレｰヴ,---,柴田大, 1.0, 40,*-24,  -5, 7, 15.0,③③③, 7,14,Ｐシングンパワｰ, 52,長岡禎, 0.7, 63,  -1,   2,15,203.9, ⑧⑧, 7,10,Ｈメイショウカドマツ, 86,田辺裕, 1.0, 82,* 15,  -3,10, 31.7,②②②
 8, 7,Ｅワタシニマカセテ, 47,大庭和, 0.6, 54, -17,*  2, 9, 51.8,⑭⑮⑭, 8,11, ジャンボスピリット,---,田辺裕, 1.2, 42, -29,   3, 5, 10.5,⑪⑪⑪, 8, 9,Ｎフジゴウカイ, 59,松岡正, 0.7, 64,  -4,   6, 6, 17.4, ⑪⑩, 8, 2,Ｉオｰシャンブルｰ, 85,三浦皇, 1.0, 86,  13,   7,13, 78.2,⑧⑩⑪
 9,14,Ｍラガマフィン, 32,蛯名正, 0.6, 51, -10, -10, 2,  6.2,⑧⑨⑧, 9, 9, シｰクレットテラス,---,井上敏, 2.2, 23,*-24, -23,11, 54.5,②②②, 9, 2,Ｍワイエムテイラｰ, 60,木幡初, 0.8, 63,  -6,   6,13,153.4, ⑩⑪, 9,12,Ｇマイネルフロスト, 86,松岡正, 1.1, 84,  12,   7, 9, 21.6,⑪⑫⑫
10, 1,Ｂテイエムアムンゼン, 50,吉田隼, 0.8, 46, -10, -13, 5, 17.1,⑨⑧⑩,10, 7, タマモワッショイ,---,石橋脩, 2.2, 25, -25, -20,10, 38.6,⑤④⑤,10, 4,Ｃファインダッシュ, 72,田辺裕, 0.8, 62, -14,* 14, 7, 18.4, ⑯⑯,10,15,Ｄサトノノブレス, 90,内田博, 1.2, 81,  14,  -2, 8, 18.1,⑦⑥⑦
11, 3,Ｎヴァイオリニスト, 29,柴田大, 0.8, 46,  -7, -19, 7, 27.1,⑥④⑤,11, 6, ラブジェネラル,---,横山典, 2.7, 18, -27, -25, 9, 31.3,④⑥⑨,11, 6,Ｄディｰエスフェイム, 71,三浦皇, 0.9, 62,   2,  -2, 2,  5.2, ⑥⑥,11, 5,Ｃマイネルミラノ, 91,柴田大, 1.5, 79,* 17, -13, 5, 11.1,①①①
12, 6,Ｌニシノオウレイ, 34,村田一, 1.0, 47, -13, -12,11, 85.8,⑩⑩⑪,12, 5, ウインブルｰスカイ,---,丹内祐, 3.0, 22, -32, -15,12,127.5,⑬⑬⑬,12,15,Ｋカゼニモマケズ, 62,武士沢, 1.2, 60,  -8,   5,11, 73.9, ⑬⑫,12,11,Ｎタマモベストプレイ, 81,津村明, 1.6, 77,  14,  -5,11, 33.3,⑨⑧⑨
13, 9,Ｋマイネルラファル, 36,丹内祐, 1.2, 40,* -4, -28, 8, 49.8,②②②,13,13, ゴｰルドクリスエス,---,吉田豊, 3.1, 17, -29, -24, 8, 27.6,⑩⑫⑫,13, 7,Ｏジャストザオネスト, 57,柴山雄, 1.3, 58,*  9, -12,16,232.3, ②②,13, 8,Ｌメイショウカンパク, 82,吉田隼, 1.8, 75,  10,   1,15,226.1,⑬⑬⑬
14,16,Ｉドリｰミｰモトヒメ, 39,井上敏, 1.3, 41, -11, -17,15,228.2,⑬⑪⑫,,,,,,,,,,,,,14,16,Ｊナンヨｰルｰク, 62,江田照, 1.3, 58,  -1,  -3,12,116.1, ⑨⑨,14, 7,Ｆレッドレイヴン, 88,柴田善, 1.8, 76,   9,   5, 6, 12.3,⑭⑭⑭
15,15,Ｏスイｰトドリｰムス, 28,木幡初, 1.8, 43, -24,  -2,16,358.0,⑯⑯⑯,,,,,,,,,,,,,15,13,Ｉペガサスジュニア, 62,岩田康, 1.5, 56,  -7,   1, 9, 23.6, ⑫⑬,15, 1,Ｏセキショウ, 73,横山典, 2.4, 71,   6,   4,12, 46.3,⑮⑮⑮
16, 4,Ｐキンノオウカン, 18,田中勝, 3.9,  9, -16, -49,14,215.9,⑪⑬⑮,,,,,,,,,,,,,16, 1,Ｌフジマサレジェンド, 61,田中勝, 1.7, 54, -10,   2,14,199.7, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:150円 複勝:11=110円 05=330円 13=1,000円 枠連:1,060円",,,,,,,,,,,,単勝:360円 複勝:12=120円 03=130円 02=170円 枠連:680円,,,,,,,,,,,,"単勝:1,270円 複勝:08=300円 12=130円 11=470円 枠連:1,410円",,,,,,,,,,,,単勝:760円 複勝:03=230円 04=140円 09=340円 枠連:790円,,,,,,,,,,,
"馬連:1,330円 ワイド:05-11=560円 11-13=1,880円 05-13=8,550円",,,,,,,,,,,,馬連:770円 ワイド:03-12=290円 02-12=440円 02-03=440円,,,,,,,,,,,,"馬連:1,410円 ワイド:08-12=570円 08-11=2,490円 11-12=890円",,,,,,,,,,,,"馬連:1,010円 ワイド:03-04=450円 03-09=1,650円 04-09=830円",,,,,,,,,,,
"馬単:1,650円 3連複:20,060円 3連単:48,930円",,,,,,,,,,,,"馬単:1,430円 3連複:1,450円 3連単:5,430円",,,,,,,,,,,,"馬単:3,830円 3連複:6,170円 3連単:35,820円",,,,,,,,,,,,"馬単:2,390円 3連複:5,030円 3連単:24,060円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芙蓉ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆヴァシリｰサ, 63,内田博,, 64,*  3,  -3, 8, 29.3,④②②, 1,14,Ｄクロフネビｰムス, 74,吉田豊,, 73,  -4,* 18, 3,  6.7,⑪⑩⑦, 1, 7,Ｆプロディガルサン, 54,蛯名正,, 71,  -2,* 16, 2,  3.1,⑥⑥⑥, 1, 4,Ｋプレシャスルｰジュ, 70,石川裕,, 77,   5,  10, 4,  9.5, ④④
 2,14,Ｃミスタｰビン, 66,デムｰ, 0.2, 62,*  4,  -5, 1,  3.7,⑥③③, 2, 6,Ｃブルｰボサノヴァ, 74,丸田恭, 0.3, 70,  -4,* 16, 9, 24.9,⑩⑪⑨, 2, 9,Ａプランスシャルマン, 59,岩田康, 0.1, 68,   0,* 12, 1,  2.8,④④③, 2, 1,Ｆドラゴンゲｰト, 74,松岡正, 0.3, 73,   5,   8, 7, 19.6, ③③
