15年 5月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ2100m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9,10,Ｇアスカアンジュ, 47,吉田豊, 2.3, 43,*  1, -22, 7, 37.5, ①①, 9, 3,Ｇリガｰドリング, 54,蛯名正, 0.9, 58,  -3,  -8, 5, 18.8,⑮⑮⑬, 9, 7,Ｃペリｰホワイト, 70,大野拓, 0.7, 62,  -9,   8, 3,  6.4, ⑧⑦, 9,12,Ｋアルディエス, 82,大野拓, 1.1, 81,   7,  14,12, 82.2,⑨⑩⑩
10, 1,Ａミュゼフロｰレンス, 67,柴山雄, 2.5, 43,  -7, -10, 2,  4.9, ⑭⑭,10,11,Ｂノアブギｰ, 61,和田竜, 1.1, 57,  -4,  -6,15,116.6,⑯⑰⑯,10, 8,Ｆウォｰスピリッツ, 67,北村宏, 0.8, 62,  -8,   6, 7, 16.4, ⑨⑨,10, 6,Ｅドレミファドン, 87,吉田豊, 1.2, 79,   6,  15, 4, 10.4,⑪⑫⑫
11, 3,Ｎバトルシュプリｰズ, 33,木幡初, 2.7, 47,  -4, -15, 8, 49.8, ⑨⑩,11,16,Ｉレイニングバイオ, 52,戸崎圭, 1.3, 52,   0, -19, 6, 20.1,⑦⑩⑩,11,11,Ｋディアジｰスタｰ, 62,田中勝, 0.8, 63, -11,  11, 8, 25.3, ⑬⑭,11, 5,Ｆオメガスカイツリｰ, 86,内田博, 1.9, 73,   8,   2,11, 63.1,⑬⑧⑦
12, 9,Ｊナロウゲｰト, 44,武士沢, 2.7, 43,  -6, -14,15,246.8, ⑪⑫,12, 4,Ｊヴェルデプラｰト, 51,松岡正, 1.3, 55,   0, -19,13, 64.1,⑫⑨⑨,12, 1,Ｊコンテベルデ, 62,井上敏, 0.8, 63, -14,* 15,14,157.5, ⑯⑯,12, 2,Ｎタイガｰシｰド, 76,柴田大, 1.9, 76,   6,   9,14,288.2,⑫⑬⑬
13, 6,Ｍウインメｰヴェ, 37,嘉藤貴, 3.5, 37,  -3, -25,14,180.0, ⑥⑧,13,13,Ｍモアザンソニック, 48,大野拓, 1.4, 51,*  3, -27,11, 56.6,③④④,13,10,Ｍカシノレント, 60,村田一, 1.6, 55, -13,   5,15,240.9, ⑮⑮,13,10,Ｊマユキ, 83,田中勝, 2.2, 76,   3,  13, 9, 37.7,⑭⑭⑭
14,13,Ｏメトロノミック, 31,柴田大, 3.7, 38,  -9, -16,16,381.2, ⑮⑯,14, 5,Ｌマインドシフト, 49,石橋脩, 1.4, 54,  -4, -10,14, 95.8,⑱⑯⑮,14,16,Ｏアイヅバレット, 54,柴田大, 1.7, 55,  -7,  -2,16,350.4, ⑥⑥,14, 1,Ｈナンヨｰマｰク, 85,蛯名正, 2.4, 70,   8,  -3, 5, 13.9,⑥⑥⑥
15, 5,Ｆスタｰフィッシュ, 49,江田照, 4.3, 32,  -8, -24,12,110.8, ⑬⑮,15,18,Ｎスプリングウィンズ, 45,田辺裕, 1.8, 49,  -4, -18,16,309.2,⑰⑱⑱,15, 5,Ｐロｰドスウィｰプ, 47,江田照, 2.1, 49,  -7,  -6, 9, 31.2, ④⑤,,,,,,,,,,,,
16,11,Ｐビッグファイナル, 30,内田博, 5.2, 26,  -3, -42,10, 96.3, ⑦⑥,16,14,Ｏゼノ, 39,木幡初, 2.7, 40,   1, -43,18,571.6,④⑥⑥,16, 3,Ｄディアポジション, 69,内田博, 2.9, 44, -11,  -9, 4,  8.0, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,17,17,Ｐヴァングロｰリアス, 36,井上敏, 3.0, 37,  -3, -37,17,510.1,⑩⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15, ウェブスリンガｰ,---,田中勝, 3.1, 38,  -4, -36,10, 50.3,⑥⑭⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:820円 複勝:14=400円 04=2,130円 12=330円 枠連:11,580円",,,,,,,,,,,,"単勝:3,140円 複勝:06=410円 02=110円 08=160円 枠連:2,690円",,,,,,,,,,,,"単勝:470円 複勝:09=210円 13=710円 15=150円 枠連:2,910円",,,,,,,,,,,,単勝:280円 複勝:04=120円 07=140円 13=140円 枠連:560円,,,,,,,,,,,
"馬連:45,600円 ワイド:04-14=10,560円 12-14=1,130円 04-12=8,620円",,,,,,,,,,,,"馬連:2,750円 ワイド:02-06=850円 06-08=1,550円 02-08=200円",,,,,,,,,,,,"馬連:13,700円 ワイド:09-13=4,590円 09-15=370円 13-15=1,960円",,,,,,,,,,,,馬連:650円 ワイド:04-07=270円 04-13=240円 07-13=370円,,,,,,,,,,,
"馬単:64,490円 3連複:117,280円 3連単:723,050円",,,,,,,,,,,,"馬単:8,850円 3連複:3,620円 3連単:36,540円",,,,,,,,,,,,"馬単:21,460円 3連複:11,010円 3連単:82,690円",,,,,,,,,,,,"馬単:1,130円 3連複:790円 3連単:3,250円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝2400m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ東京杯青葉賞 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａキスザスタｰズ, 62,横山典,, 63,  -5,*  9, 2,  4.9, ⑪⑫, 1,18,Ｅラトゥｰル, 55,柴田善,, 65,* -6,  -1, 6, 21.8, ②②, 1, 6,Ｎアラフジ, 65,吉田豊,, 81,   6,*  9, 5, 12.4, ⑧⑦, 1, 8,Ａレｰヴミストラル, 81,川田将,, 87,  -1,* 18, 1,  4.1,⑬⑬⑬
 2,11,Ｈロｰレルウラノス, 56,柴山雄, 0.0, 63,  -7,* 11,11, 46.1, ⑬⑭, 2, 1,Ｍクィｰンパレット, 42,石橋脩, 0.0, 67,  -7,*  2,18,210.5, ④④, 2,17,Ｈトルセドｰル, 70,田辺裕, 0.0, 80,   3,* 15, 7, 22.9, ⑪⑪, 2, 3,Ｄタンタアレグリア, 78,蛯名正, 0.1, 84,  -1,  13, 4,  6.0,⑨⑧⑦
 3,12,Ｅポントス, 57,内田博, 0.3, 61,*  1,  -2, 7, 12.3, ②②, 3, 9,Ｈラバニｰユ, 52,村田一, 0.0, 67,  -8,*  3, 8, 40.7, ⑦⑦, 3,11,Ｄイントロダクション, 73,蛯名正, 0.1, 81,   9,   4, 1,  2.9, ⑥⑥, 3, 6,Ｅヴェラヴァルスタｰ, 77,田辺裕, 0.2, 84,  -2,  15, 5, 10.4,⑫⑪⑫
 4, 5,Ｃロックフォｰル, 60,田辺裕, 0.4, 61,  -2,   2, 3,  5.3, ⑦⑦, 4,11,Ｂエクストラペトル, 59,武豊  , 0.2, 66, -13,*  6, 1,  1.9, ⑭⑬, 4,12,Ｂサクラディソｰル, 75,戸崎圭, 0.1, 80,  12,   0, 3,  4.9, ②②, 4, 1,Ｂブラックバゴ, 78,戸崎圭, 0.3, 82,  -3,  15, 3,  5.6,⑪⑫⑪
 5,14,Ｌパイロスタｰ, 48,田中勝, 0.5, 60,  -5,   4, 6, 10.6, ⑭⑬, 5, 6,Ｎシャドウスペル, 39,大野拓, 0.2, 63, -10,*  1,10,100.8, ⑨⑩, 5, 1,Ｃインストアイベント, 74,横山典, 0.2, 78,  10,   1, 6, 18.4, ③⑤, 5, 7,Ｌミュゼダルタニアン, 67,内田博, 0.4, 79,  -2,   9,12, 59.3,⑤⑦⑥
 6, 8, ダリグラム,---,武士沢, 0.6, 59,  -8,*  7,13, 75.2, ⑮⑮, 6, 2,Ａメイショウスタｰク, 62,岩田康, 0.2, 64, -10,*  2, 4,  7.3, ⑧⑨, 6, 4,Ｅチョコレｰトバイン, 72,武豊  , 0.4, 76,   4,   8, 2,  3.9, ⑩⑩, 6, 4,Ｆレッドライジェル, 75,柴田善, 0.4, 85,  -2,* 17, 2,  4.2,⑮⑮⑮
 7,15,Ｆレベニュｰ, 57,北村宏, 0.8, 58,  -3,  -2, 8, 15.5, ⑫⑧, 7,15,Ｇレオサｰパス, 54,北村宏, 0.3, 63,  -8,  -1, 3,  6.2, ⑪⑧, 7,14,Ｊコスモイノセント, 67,田中勝, 0.7, 74,  12,  -7,14, 86.1, ⑤④, 7, 2,Ｊティルナノｰグ, 70,武豊  , 0.5, 86,  -5,* 21, 7, 14.2,⑯⑰⑰
 8,10,Ｉラストシンデレラ, 56,柴田大, 0.8, 57,*  1,  -6, 4,  7.8, ①①, 8,14,Ｐロｰドアルタイル, 37,田中勝, 0.5, 61,  -7,  -5,15,175.0, ⑥⑥, 8,16,Ｋスカイキュｰティｰ, 67,岩田康, 0.7, 71,   6,   0,10, 54.9, ⑦⑧, 8,11,Ｋウェスタｰルンド, 67,三浦皇, 0.7, 80,  -3,  12,14, 69.8,⑰⑭⑭
 9,16,Ｇカジノゲｰム, 56,松岡正, 1.1, 55,  -1,  -6,10, 23.7, ⑥⑥, 9, 7,Ｌリンガスプライム, 44,松岡正, 0.6, 60, -11,  -1, 7, 33.6, ⑫⑫, 9,10,Ｇポップジェムズ, 71,柴山雄, 0.8, 70,   4,   1, 8, 23.0, ⑨⑨, 9, 5,Ｈレトロロック, 72,北村宏, 0.9, 78,  -4,  10,13, 65.8,⑭⑯⑯
10, 4,Ｄサンデンバロン, 58,村田一, 1.1, 56,  -4,  -2, 9, 20.3, ⑨⑪,10,12, マコｰミック,---,柴田大, 0.7, 59, -14,   0,17,205.3, ⑮⑮,10,13,Ｉマイネプレセア, 68,柴田大, 0.9, 71,  12, -11, 9, 40.9, ④③,10,17,Ｎストレンジクォｰク, 65,柴山雄, 0.9, 71,*  0,  -1, 9, 24.2,④⑤④
11, 3,Ｊガルｰダ, 52,石橋脩, 1.5, 52,  -3,  -7,12, 60.9, ⑧⑨,11,13,Ｋトｰセンパンサｰ, 44,井上敏, 0.8, 54,* -6, -12, 9, 89.7, ③③,11, 2,Ｍマデュｰロ, 65,村田一, 1.1, 66,   0,   3,17,212.4, ⑫⑫,11,12,Ｏスモｰクフリｰ, 64,岩田康, 1.1, 68,*  0,  -4, 8, 22.5,③④③
12, 2,Ｂリッコデラコルト, 61,川田将, 2.0, 48,  -1, -14, 5, 10.4, ④⑤,12, 8,Ｄブロッサムヒル, 55,三浦皇, 0.8, 55,  -8,  -9, 5, 11.9, ⑤⑤,12, 5,Ａトｰセンジャステス, 76,内田博, 1.2, 64,  -1,   4, 4,  8.4, ⑮⑮,12, 9,Ｒマイネルサクセサｰ, 55,柴田大, 1.3, 70,  -2,  -1,15,298.0,⑦⑩⑩
13, 1,Ｍサンコｰルドウェル, 47,岩部純, 2.0, 48,  -9,  -5,14,175.3, ⑯⑯,12,10,Ｊアンダリュｰサイト, 50,嘉藤貴, 0.8, 56, -10,  -7,14,148.7, ⑩⑪,13,15,Ｌプレイアップ, 66,和田竜, 1.4, 64,   0,   0,11, 54.9, ⑭⑭,13,10,Ｐトｰセンアｰネスト, 58,菅原隆, 1.4, 68,  -3,  -2,17,407.8,⑧⑨⑨
14, 9,Ｋシｰセクション, 49,吉田豊, 2.4, 44,  -1, -17,15,180.4, ③④,14, 3,Ｉトｰセンワルツ, 51,江田照, 0.9, 49,* -4, -18,12,125.9, ①①,14, 8,Ｏコスモマイルｰル, 58,松岡正, 1.4, 64,   0,   0,15,125.4, ⑬⑬,14,16,Ｇマサハヤドリｰム, 73,和田竜, 1.6, 64,*  0, -11,10, 37.6,⑥③⑤
15,13,Ｏタイキパラドックス, 39,戸崎圭, 2.8, 41,  -1, -22, 1,  4.1, ⑤③,15,16,Ｆペイシャランラン, 54,柴山雄, 1.1, 54, -15,  -4,13,142.8, ⑯⑯,15, 9,Ｆカケダシ, 71,木幡初, 1.5, 60,  -8,   8,13, 84.0, ⑰⑰,15,14,Ｍビクトリｰミノル, 66,石橋脩, 1.7, 64,  -1, -10,16,369.7,⑩⑥⑧
16, 6,Ｎディアイｰジス, 44,大野拓, 2.8, 41,  -4, -19,16,338.2, ⑩⑩,16, 4,Ｑサンタエスメラルダ, -3,吉田豊, 1.7, 48, -18,  -8,16,195.6, ⑱⑱,16, 3,Ｐクラウンデュナミス, 55,石橋脩, 1.7, 63,* 22, -35,16,165.6, ①①,16,13,Ｃカカドゥ, 78,横山典, 1.7, 69,  -6,   4, 6, 13.2,⑱⑱⑱
,,,,,,,,,,,,17, 5,Ｏニホンピロラブリｰ, 38,内田博, 1.7, 46, -13, -13,11,111.4, ⑬⑭,17, 7,Ｑダイワフェｰム, 51,北村宏, 1.7, 60,  -2,  -1,12, 79.2, ⑯⑯,17,15,Ｉセンチュリオン, 71,吉田豊, 2.6, 53,*  1, -29,11, 49.3,②②②
,,,,,,,,,,,,18,17,Ｃロｰジｰチｰクス, 57,戸崎圭, 3.8, 18, -15, -39, 2,  5.4, ⑰⑰,,,,,,,,,,,,,18,18,Ｑトｰセンスパンキｰ, 58,小野寺, 3.6, 45,*  1, -44,18,522.8,①①①
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:490円 複勝:07=190円 11=930円 12=300円 枠連:2,600円",,,,,,,,,,,,"単勝:2,180円 複勝:18=500円 01=3,720円 09=1,140円 枠連:1,680円",,,,,,,,,,,,"単勝:1,240円 複勝:06=330円 17=500円 11=150円 枠連:3,400円",,,,,,,,,,,,単勝:410円 複勝:08=160円 03=180円 06=260円 枠連:560円,,,,,,,,,,,
"馬連:10,400円 ワイド:07-11=2,980円 07-12=950円 11-12=4,910円",,,,,,,,,,,,"馬連:141,760円 ワイド:01-18=30,030円 09-18=7,510円 01-09=45,730円",,,,,,,,,,,,"馬連:14,290円 ワイド:06-17=3,690円 06-11=690円 11-17=1,590円",,,,,,,,,,,,"馬連:1,190円 ワイド:03-08=490円 06-08=830円 03-06=710円",,,,,,,,,,,
"馬単:15,740円 3連複:27,960円 3連単:157,440円",,,,,,,,,,,,"馬単:276,500円 3連複:1,073,620円 3連単:7,236,040円",,,,,,,,,,,,"馬単:26,570円 3連複:14,810円 3連単:126,300円",,,,,,,,,,,,"馬単:2,260円 3連複:2,920円 3連単:12,990円",,,,,,,,,,,
■ 3R  ダ2100m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1600m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1300m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,陣馬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄブラックブリｰズ, 63,内田博,, 69,*  4,*  2, 3,  7.2,⑪②②, 1, 5,Ａアグスタ, 76,蛯名正,, 76,   2,* 10, 1,  1.6, ⑪⑪, 1, 2,Ｄワｰルドレｰヴ, 78,戸崎圭,, 83,   3,* 19, 5,  7.0,⑬⑬⑬, 1, 9,Ｃデルマネコムスメ, 76,田辺裕,, 75,   2,* 16, 6, 13.0, ⑫⑪
 2,11,Ｂキングカヌヌ, 65,和田竜, 0.5, 66,*  3,*  0, 1,  2.1,②③③, 2, 8,Ｂダイワインパルス, 76,田中勝, 0.0, 76,   1,* 12, 2,  7.9, ⑭⑭, 2, 3,Ｇレオニｰズ, 76,田中勝, 0.0, 83,   5,  10, 2,  5.5,⑥⑦⑦, 2, 5,Ｇジェネシスロック, 75,蛯名正, 0.2, 73,   5,  11, 2,  3.8, ⑦⑦
 3, 7,Ｃチャップリン, 64,川田将, 1.1, 62,   2,  -2, 4,  7.8,④⑦⑧, 3, 1,Ｃタマモワカサマ, 74,岩田康, 0.2, 72,   1,*  9, 3,  8.7, ⑫⑫, 3,13,Ｈルミナスレッド, 76,江田照, 0.3, 76,   6,   3,13, 71.3,⑤⑤⑤, 3,11,Ｆスウィｰプアウェイ, 76,岩田康, 0.4, 70,   8,   7, 1,  3.6, ④⑥
 4,12,Ｋタイセイエナジｰ, 50,大野拓, 1.1, 62,   2,  -3,12, 95.8,⑫⑥⑥, 4, 2,Ｄポルトボナｰル, 74,武士沢, 0.3, 72,   3,   6, 9, 52.6, ⑩⑨, 4, 6,Ｎトｰセンワｰプ, 69,内田博, 0.4, 76,*  8,  -3, 8, 19.2,①①①, 4,16,Ａミステリｰトレイン, 79,戸崎圭, 0.4, 70,*  9,   4, 4,  8.8, ⑤④
 5,10,Ｌルミナス, 47,石橋脩, 1.3, 60,*  4, -10,11, 57.7,①①①, 5, 4,Ｆキングノヨアケ, 73,和田竜, 0.5, 71,   2,   5, 7, 15.4, ⑧⑩, 5, 9,Ｅシｰクレットパス, 77,木幡初, 0.4, 77,   5,   5,11, 45.4,⑦⑧⑧, 5, 7,Ｍレッドジョｰカｰ, 70,北村宏, 0.6, 69,   7,   4, 8, 26.1, ⑥⑤
 6,14,Ｇオンザヒル, 57,岩田康, 1.6, 58,   1,  -5, 5,  9.8,⑨⑪⑩, 6, 9,Ｅワトソンクリック, 74,内田博, 0.6, 69,   4,   1, 6, 15.4, ⑨⑧, 6, 5,Ａピュアソルジャｰ, 82,吉田豊, 0.5, 79,   3,* 12, 7, 14.0,⑭⑭⑭, 6,12,Ｐオｰネットサクセス, 65,田中勝, 0.6, 70,* 10,   2,15,192.1, ②②
 7, 9,Ｈレオクイック, 56,嘉藤貴, 1.6, 59,   3,  -7,13,143.3,③④⑤, 7,15,Ｊパイロキシン, 64,石橋脩, 0.7, 68,*  5,  -1,12,144.8, ⑦⑤, 7, 8,Ｋヨッヘイ, 74,大野拓, 0.5, 75,*  8,  -4, 6, 11.8,②②②, 7,14,Ｅサダムコｰテイ, 76,柴田善, 0.6, 68,   0,  12, 7, 20.4, ⑬⑬
 8, 1,Ｅドリｰムダン, 59,柴山雄, 1.9, 56,   2,  -9, 8, 43.6,⑩⑫⑦, 8, 6,Ｉヒラボクカイザｰ, 67,北村宏, 0.7, 71,   0,   8, 4, 11.7, ⑮⑮, 8,11,Ｌタイキプレミアム, 73,川田将, 0.5, 77,   5,   3,12, 66.7,⑩⑨⑨, 8, 6,Ｋウインプロスパｰ, 72,柴田大, 0.8, 67,   5,   5,11, 42.7, ⑧⑧
 9, 5,Ｎダッシングブルｰ, 34,柴田大, 2.2, 55,   1,  -9, 6, 24.9,⑤⑨⑪, 9, 7,Ｋココスタイル, 61,戸崎圭, 0.9, 67,   1,   3,10, 75.1, ⑬⑬, 9,14,Ｂマイネルテンクウ, 80,柴田大, 0.6, 74,*  8,  -6,14, 82.7,④③③, 9, 1,Ｉカワキタシャウト, 75,横山典, 0.8, 67,  -2,* 14, 5,  9.4, ⑭⑭
10, 4,Ｆエイワカンベエ, 58,江田照, 2.2, 55,   1,  -9,10, 52.1,⑦⑩⑫,10, 3,Ｎドラゴンゲｰト, 50,松岡正, 1.6, 61,   4,  -6,13,168.3, ④⑥,10, 1,Ｉティックルゴｰルド, 75,嘉藤貴, 0.6, 74,   7,  -3,10, 30.1,③④④,10, 8,Ｌタニセンジャッキｰ, 72,嘉藤貴, 0.8, 67,*  8,   2,16,291.1, ③③
11, 2,Ａラジャスタン, 68,蛯名正, 2.3, 55,*  3, -16, 2,  3.9,⑬⑤④,11,10,Ｈリベルタンゴ, 68,横山典, 2.0, 57,   4, -10, 8, 21.2, ⑤⑦,11, 4,Ｊヒｰルゼアハｰツ, 75,武豊  , 0.7, 74,   4,   3, 9, 19.9,⑨⑩⑩,11,15,Ｊダンディｰレイ, 73,大野拓, 0.9, 67,   4,   6,12, 53.9, ⑩⑨
