07年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■ 4R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
14,13,Ｉフォンテｰヌ, 35,北村宏, 2.3, 28, -11, -21, 6, 27.7, ⑦⑦,14,10,Ｎカネツサンバ, 46,丹内祐, 2.5, 43,  -4, -11, 9, 60.3, ⑨⑩,14, 1,Ｑメジロビアンカ, 45,高野和, 1.1, 56, -12,  12,15,142.4,⑬⑮⑯,14, 1, ルプソワｰル,---,村田一, 1.1, 46, -10,   0,16,150.2, ⑧⑩
15,12,Ｃコロネット, 50,横山典, 2.3, 30,* -8, -23, 8, 34.4, ②③,15, 2,Ｄウイビリｰブ, 63,松岡正, 2.5, 43,  -5, -11, 5,  9.4, ⑨⑩,15,16,Ｋポンデアスｰカル, 56,五十嵐, 1.1, 46,  -6,  -1,10, 26.5,⑥③⑧,15,14,Ｎボｰデンゼｰ, 48,津村明, 1.2, 47,  -5,  -8,15,125.8, ④④
16, 4,Ｐセンゴクカイドウ,-26,高山太, 2.8, 26, -11, -24,14,407.9, ⑦⑨,,,,,,,,,,,,,16,15,Ｐアイランドカフェ, 48,丸田恭, 1.9, 38, -11,  -8,14,110.0,⑩⑫⑬,16, 3,Ｏスタｰオブアフリカ, 39,丹内祐, 1.4, 47,* -4, -13,12, 43.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｎコウヨウパイオニア, 50,池崎祐, 2.3, 34, -14,  -6,13,101.9,⑯⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-6),,,,,,,,,,,
"単勝:220円 複勝:15=110円 05=130円 11=1,060円 枠連:280円",,,,,,,,,,,,"単勝:340円 複勝:01=160円 05=260円 15=1,330円 枠連:1,030円",,,,,,,,,,,,単勝:370円 複勝:04=160円 13=260円 09=190円 枠連:970円,,,,,,,,,,,,"単勝:250円 複勝:06=130円 15=840円 12=170円 枠連:1,770円",,,,,,,,,,,
"馬連:350円 ワイド:05-15=180円 11-15=2,160円 05-11=3,110円",,,,,,,,,,,,"馬連:1,580円 ワイド:01-05=730円 01-15=2,360円 05-15=5,460円",,,,,,,,,,,,"馬連:1,680円 ワイド:04-13=620円 04-09=500円 09-13=910円",,,,,,,,,,,,"馬連:6,390円 ワイド:06-15=1,630円 06-12=350円 12-15=2,110円",,,,,,,,,,,
"馬単:690円 3連複:6,450円",,,,,,,,,,,,"馬単:2,530円 3連複:18,380円",,,,,,,,,,,,"馬単:2,910円 3連複:3,650円",,,,,,,,,,,,"馬単:8,230円 3連複:7,380円 3連単:50,330円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 5R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■ 8R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.2,,,,,■11R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,昇仙峡特別,,,,,,,,,,,,ﾌﾞﾗｼﾞﾙｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａマルタｰズオリジン, 61,後藤浩,, 64,*-10,* 10, 2,  2.7, ②②, 1, 8,Ｃダイワエルパソ, 65,後藤浩,, 76,  -1,* 13, 4,  6.7, ⑧⑧, 1, 8,Ｅマイネカンナ, 68,吉田隼,, 71,  -6,  23, 2,  3.2,⑤⑤⑤, 1, 8,Ｃエアアドニス, 81,蛯名正,, 86,   7,* 17, 1,  3.6, ⑧⑥
 2, 7,Ｇエアマックｰル, 37,田中博, 0.5, 51,*-11,   3, 5, 10.7, ②③, 2,12,Ｇナムラオルフェ, 61,丸田恭, 0.2, 68,   1,   6, 9, 21.3, ⑥④, 2, 1,Ｄセプタｰレイン, 69,北村宏, 0.0, 70,  -5,  22, 4,  8.6,⑥⑤⑤, 2, 4,Ｋアルバレスト, 74,柴山雄, 0.3, 80,   5,  15, 8, 15.9, ⑩⑧
 3, 1,Ｆスｰパｰウｰマン, 38,吉田豊, 0.5, 51,*-10,   3, 7, 70.2, ①①, 3,14,Ｉディｰアｰルボｰイ, 59,江田照, 0.4, 65,*  5,   1, 6, 11.0, ②②, 3, 9,Ｂブラックオリｰブ, 73,松岡正, 0.2, 61,* -2,  12, 1,  3.1,②②②, 3, 5,Ｉバトルハｰトオｰ, 77,勝浦正, 0.5, 78,   2,* 15,15, 99.7, ⑫⑫
 4, 4,Ｂトｰセンステルス, 55,田中勝, 0.8, 49, -12,   3, 1,  2.0, ④⑤, 4,13,Ｐヌｰサ, 40,草野太, 0.5, 62,*  3,   0,12, 63.6, ③③, 4, 7,Ｆサプライズユｰ, 67,後藤浩, 0.2, 62,  -3,  15, 3,  4.9,②④③, 4,14,Ｄオヤマハリケｰン, 80,大野拓, 0.6, 78,   5,  12, 4,  8.1, ⑧⑧
 5, 3,Ｅアポロマハル, 46,蛯名正, 1.0, 45, -12,   0, 4,  9.2, ④⑤, 5, 6,Ｋマイネルガッチャ, 56,柴山雄, 0.9, 66,  -5,*  9,11, 45.9, ⑯⑮, 5, 4,Ｈケンブリッジマイア, 63,中舘英, 0.6, 58,* -1,   4, 7, 16.4,①①①, 5, 3,Ａウエスタンウッズ, 86,田中勝, 0.6, 77,* 13,   1, 6, 14.2, ①①
 6, 6,Ｊスズヨコジｰン,-23,佐藤聖, 1.0, 42, -15,   0, 8,187.7, ⑦⑤, 6, 5,Ｅヒカルマチェンドラ, 63,田中勝, 1.1, 63,  -5,   7, 7, 14.0, ⑭⑮, 6, 2,Ｃアイシクルアｰト, 70,田中勝, 0.9, 55,  -3,   4, 8, 19.4,②②③, 6,12,Ｏスウォｰドキャット, 72,江田照, 0.9, 75,   5,   9,10, 27.1, ⑩⑧
 7,10,Ｄカツヨサンマルコ, 47,大庭和, 1.1, 41, -12,  -4, 6, 68.3, ④③, 7, 3,Ｆキングエルドラド, 63,北村宏, 1.1, 61,  -2,   3, 2,  4.7, ⑩⑩, 7, 6,Ａナンヨｰイｰスト, 74,吉田豊, 0.9, 69, -15,* 28, 6, 13.1,⑦⑦⑦, 7,11,Ｌアイアムアドｰタｰ, 74,鈴来直, 0.9, 76,  -3,* 17,11, 40.1, ⑮⑮
 8, 5,Ｃシンボリバスティア, 48,柴山雄, 1.3, 41, -14,  -1, 3,  7.0, ⑦⑧, 8, 4,Ｏデザインシチｰ, 50,中舘英, 1.3, 57,   0,  -2,10, 44.5, ⑤⑦, 8, 3,Ｉレフィナｰダ, 61,横山典, 1.0, 72, -16,* 29, 5, 13.0,⑧⑧⑧, 8,10,Ｎモエレアドミラル, 73,小島太, 0.9, 76,* 12,   1,12, 45.6, ②②
 9, 8,Ｉマイネルナチュｰラ, 30,津村明, 1.6, 36, -15,  -5, 9,258.6, ⑩⑧, 9,16,Ａエイワヴァｰジニア, 69,田中博, 1.4, 56,  -4,   2, 8, 18.8, ⑩⑪, 9, 5,Ｇエイワジョリｰ, 66,安藤光, 1.6, 60, -18,  25, 9, 28.9,⑨⑨⑨, 9,16,Ｍアンジェロファニｰ, 74,吉田豊, 1.2, 73,  -3,  14, 7, 14.4, ⑮⑮
10, 9,Ｈジェイケイロｰレル, 36,二本柳, 2.1, 32, -14, -15,10,261.7, ⑦⑧,10,11,Ｌカズノブラック, 56,大野拓, 1.8, 51,  -1,  -6,15,139.7, ⑧⑧,,,,,,,,,,,,,10, 6,Ｈマイフラッグ, 78,津村明, 1.2, 71,* 10,  -1,13, 57.0, ③③
,,,,,,,,,,,,11,15,Ｊアルタントプチ, 59,津村明, 1.8, 51,   2,  -8, 3,  5.2, ⑥④,,,,,,,,,,,,,11,13,Ｆセトノシェｰバｰ, 80,石橋脩, 1.3, 72,   1,  10,16,136.0, ⑬⑬
,,,,,,,,,,,,12, 7,Ｍサンパレス, 53,田中剛, 1.9, 52,  -3,  -2,16,154.3, ⑬⑪,,,,,,,,,,,,,12, 1,Ｊマンジュデンコウベ, 75,武英智, 1.9, 66,   1,   4,14, 58.8, ⑭⑬
,,,,,,,,,,,,13, 9,Ｄキタサンナポレオン, 64,松岡正, 2.1, 50,  -3,  -4, 5,  9.9, ⑭⑪,,,,,,,,,,,,,13, 7,Ｇマルタｰズマッシブ, 79,後藤浩, 2.5, 62,  11, -12, 3,  6.6, ③③
,,,,,,,,,,,,14, 1,Ｂコスモルビｰ, 67,千葉直, 2.4, 44,  -4, -10,13, 71.5, ⑩⑪,,,,,,,,,,,,,14, 9,Ｅミネルバサウンド, 80,横山典, 2.6, 60,   4,  -7, 2,  4.6, ⑥⑧
,,,,,,,,,,,,15,10,Ｎパワフルリｰフ, 52,安藤光, 3.3, 43,*  5, -27,14, 94.8, ①①,,,,,,,,,,,,,15, 2,Ｂワンダフルドｰラ, 83,吉田隼, 2.9, 58,   7, -12, 5,  9.5, ⑥⑥
,,,,,,,,,,,,16, 2,Ｈエイワンタッチ, 61,横山典, 3.7, 41,   3, -28, 1,  4.1, ③④,,,,,,,,,,,,,16,15,Ｐフレンチビキニ, 71,菊沢隆, 4.2, 44,   9, -30, 9, 21.7, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,
"単勝:270円 複勝:02=150円 07=250円 01=1,010円 枠連:1,630円",,,,,,,,,,,,"単勝:670円 複勝:08=280円 12=430円 14=340円 枠連:5,520円",,,,,,,,,,,,単勝:320円 複勝:08=130円 01=190円 09=130円 枠連:600円,,,,,,,,,,,,"単勝:360円 複勝:08=150円 04=530円 05=2,480円 枠連:930円",,,,,,,,,,,
"馬連:1,520円 ワイド:02-07=430円 01-02=1,470円 01-07=2,810円",,,,,,,,,,,,"馬連:7,580円 ワイド:08-12=2,110円 08-14=1,450円 12-14=2,910円",,,,,,,,,,,,"馬連:1,300円 ワイド:01-08=440円 08-09=240円 01-09=400円",,,,,,,,,,,,"馬連:3,210円 ワイド:04-08=1,210円 05-08=6,520円 04-05=23,660円",,,,,,,,,,,
"馬単:2,190円 3連複:11,410円",,,,,,,,,,,,"馬単:14,100円 3連複:25,730円",,,,,,,,,,,,"馬単:2,190円 3連複:1,240円",,,,,,,,,,,,"馬単:5,500円 3連複:132,590円 3連単:485,650円",,,,,,,,,,,
■ 3R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■ 9R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,,,,,,■12R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ｵｰﾀﾑｼﾞｬﾝﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, ダノンインスパイア,---,田中勝,, 38, -36,* 10, 1,  2.5,⑧⑤④, 1, 3,Ｃコスモバｰン, 64,松岡正,, 74,  -6,* 20, 3,  8.3, ③③, 1,13, ベストグランチャ,,五十嵐,,,,, 3,  5.7,①①①, 1, 7,Ｅハネダテンシ, 75,蛯名正,, 76,*  6,  13, 2,  6.5, ③③
 2, 7, ストロングバサラ,---,蛯名正, 0.1, 28, -35,   5, 2,  3.9,③④②, 2,10,Ａヘイアンルモンド, 71,横山典, 0.3, 70,  -6,  18, 1,  1.5, ③③, 2, 1, メイショウタロｰ,,嘉堂信, 0.2,,,, 1,  3.0,②②②, 2,12,Ｍヴィヴァチッシモ, 68,北村宏, 0.0, 84,  -1,* 22, 3, 10.2, ⑭⑨
 3, 5, モレｰンレイク,---,松岡正, 0.1, 44, -39,* 12, 3,  4.6,⑥⑧⑦, 3, 9,Ｂリｰズレセプション, 69,勝浦正, 0.3, 66,* -5,  15, 2,  3.9, ②②, 3, 9, ノボライトニング,,横山義, 1.1,,,, 2,  4.9,⑨⑥④, 3, 3,Ｉコスモミｰル, 71,吉田豊, 0.0, 83,  -1,* 23, 9, 24.3, ⑨⑨
 4, 8, カネスダンク,---,後藤浩, 0.5, 13,*-33,  -5, 6, 16.7,④①①, 4, 2,Ｉフリｰトアドミラル, 49,田中勝, 0.7, 71, -12,* 22, 5, 17.5, ⑩⑦, 4, 4, マイネルヴェステン,,浜野谷, 1.5,,,, 9, 23.3,⑥④④, 4, 9,Ａポンテペルレ, 80,松岡正, 0.2, 72,   5,  12, 1,  2.0, ③③
 5, 2, ミスタｰボストン,---,吉田隼, 1.1,  8, -37,  -6, 4,  8.0,④⑤⑥, 5, 7,Ｄディアｰウィッシュ, 63,吉田隼, 1.0, 57,* -4,   7, 4, 13.1, ①①, 5, 2, メモリｰオブヨｰク,,沢昭典, 1.9,,,,14,152.5,⑫⑪⑧, 5, 2,Ｄパパラチア, 76,後藤浩, 0.3, 81,  -6,* 24,10, 26.3, ⑫⑮
 6, 3, クリノネオグリｰン,---,柴山雄, 1.2, 11, -41,   0, 8, 48.4,⑨⑨⑨, 6, 8,Ｅスピｰドカンニング, 55,後藤浩, 2.0, 52, -13,  11, 6, 39.3, ⑦⑧, 6,12, マチカネリュウセイ,,穂苅寿, 2.1,,,, 6, 13.6,④③③, 6,10,Ｌハイビスカス, 68,中舘英, 0.4, 75,  -3,  20,14, 76.1, ⑭⑫
 7, 1, スイｰトクレムリン,---,田中博, 1.3,-15, -38, -13, 7, 19.0,②②④, 7, 4,Ｇフュｰチュリズム, 51,鈴来直, 2.3, 49, -13,  10, 9,144.9, ⑨⑧, 7,14, サウスバトルマン,,平沢健, 2.3,,,, 5, 11.3,②④⑥, 7,18,Ｃトｰセングラマｰ, 76,津村明, 0.4, 66,*  9,   2, 4, 11.8, ①①
 8, 6, コウワスプラッシュ,---,吉田豊, 1.4,  4, -39,  -6, 9, 64.5,⑥⑤⑦, 8, 6,Ｆジュリアスアロｰ, 51,大庭和, 2.4, 47, -10,   3, 8,143.4, ⑦⑥, 8, 8, パワｰホｰル,,金折知, 2.5,,,,11, 51.1,⑪⑧⑨, 8, 8,Ｎキラリダイヤモンド, 67,田中博, 0.6, 62,*  7,  -1,11, 29.5, ②②
 9, 9, コイノキセキ,---,江田照, 2.1,-53,*-35, -29, 5,  9.6,①②②, 9, 5,Ｈモリトヘイロｰ, 49,千葉直, 4.0, 37, -16,  -7, 7,127.4, ⑤⑩, 9, 6, レッツゴｰアテネ,,水出大, 2.6,,,,13,130.1,⑭⑭⑫, 9,13,Ｐタケデンサンバ, 65,菊沢隆, 0.6, 74,  -7,* 21,15,100.1, ⑰⑮
,,,,,,,,,,,,10,11,Ｊワンダｰティンバｰ, 46,的場勇, 4.2, 36, -18,  -4,10,212.7, ⑩⑪,10, 7, チャッティｰギャル,,蓑島靖, 2.8,,,,10, 29.0,④⑥⑦,10, 6,Ｏレインボｰロマンス, 66,石神深, 0.7, 70,  -6,  18,17,121.3, ⑯⑮
,,,,,,,,,,,,11, 1,Ｋロディｰヒット, 41,梶晃啓, 4.5, 14,  -9, -19,11,417.1, ⑤⑤,11, 5, クルワザｰド,,今村康, 2.9,,,, 4,  6.9,⑨⑪⑨,11,17,Ｋテンイムホウ, 70,柄崎将, 0.9, 61,   4,   2,16,116.9, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,12, 3, テレジェニック,,金子光, 3.3,,,, 8, 19.6,⑫⑪⑨,12, 4,Ｈリンガフランカ, 72,横山典, 0.9, 63,  -3,  12, 6, 16.7, ⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,13,11, ユウタｰアクセス,,大庭和,11.0,,,,12,106.8,⑥⑩⑭,13,14,Ｆパｰプルカフェ, 75,小島太, 0.9, 58,   2,   0,12, 44.3, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,14,10, マイネルオｰパｰ,,宗像徹,16.7,,,, 7, 15.4,⑥⑧⑫,14,11,Ｂスプリングタピアン, 78,石橋脩, 1.0, 60,*  6,  -2, 5, 16.5, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｑドリｰムキセキ, 63,小林淳, 1.1, 60,  -3,   9, 8, 23.1, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｒディｰズメンフィス, 54,五十嵐, 1.1, 58,  -1,   5,13, 57.3, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｇクインズプレイヤｰ, 72,二本柳, 1.3, 60, -11,  15, 7, 20.6, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｊピアニスト, 71,的場勇, 2.8,  1,*  5, -32,18,227.1, ③③
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-24 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+26 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,
単勝:250円 複勝:04=120円 07=130円 05=140円 枠連:510円,,,,,,,,,,,,単勝:830円 複勝:03=130円 10=100円 09=110円 枠連:430円,,,,,,,,,,,,単勝:570円 複勝:13=180円 01=140円 09=170円 枠連:610円,,,,,,,,,,,,"単勝:650円 複勝:07=240円 12=270円 03=550円 枠連:1,610円",,,,,,,,,,,
