07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
馬単:810円 3連複:920円,,,,,,,,,,,,馬単:760円 3連複:430円,,,,,,,,,,,,"馬単:10,290円 3連複:4,460円",,,,,,,,,,,,"馬単:33,840円 3連複:31,030円 3連単:299,030円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函館日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａジョンコ, 63,藤田伸,, 67,*  5,*  0, 1,  1.9, ①①, 1,10, アポロフェニックス,---,津村明,, 59,* -4,*  2, 2,  5.5, ①①, 1,12,Ｆケイアイマイバッハ, 61,藤田伸,, 71,*  0,*  9, 3,  6.5,①①①, 1, 9,Ａウエスタンビｰナス, 79,長谷川,, 80,*  2,  18, 1,  2.8, ①①
 2, 9,Ｇシルクオニキス, 37,梶晃啓, 0.1, 66,*  3,*  0, 8, 31.4, ②②, 2,12, エプソムサクラ,---,北村友, 0.8, 44, -22,*  3, 9, 35.0, ⑪⑪, 2, 4,Ｉテンザンメダリスト, 57,小林徹, 0.4, 69,  -4,* 10, 8, 30.3,⑪⑩⑧, 2, 3,Ｃコスモラヴソング, 73,勝浦正, 0.2, 77,  -4,  19, 5, 15.1, ④②
 3, 6,Ｂコパノアサデス, 59,小林徹, 0.7, 56,  -1,  -3, 3,  6.5, ③③, 3, 2, ディｰエスルｰラｰ,---,菊沢隆, 0.9, 45, -17,*  0,11, 57.3, ⑩⑩, 3,11,Ｄアドマイヤウイナｰ, 62,柴山雄, 0.6, 63,* -1,   4, 2,  3.1,⑤②②, 3,10,Ｄサウンドスピリット, 72,松田大, 0.5, 70,  -4,  15, 7, 25.3, ④②
 4, 5,Ｆエネルマリン, 45,勝浦正, 0.7, 56,   0,  -4, 6, 20.8, ③③, 4, 6, トウカイブレイズ,---,長谷川, 1.3, 39,* -8, -15, 5,  6.6, ②②, 4, 9,Ａスズカイエロｰ, 67,菊沢隆, 0.6, 64,  -2,   5, 1,  2.5,⑧⑤③, 4, 4,Ｆヤマニンパンテｰル, 67,田中博, 0.5, 77, -15,* 25,10, 40.6, ⑩⑩
 5, 8,Ｅクリｰンクルｰ, 45,郷原洋, 1.0, 52,  -8,  -2, 4, 11.8, ⑤⑥, 5, 3, テイクザロマン,---,藤岡佑, 1.4, 38, -11, -13,10, 36.2, ⑥④, 5, 6,Ｋマイネルドナｰル, 56,秋山真, 0.8, 61,  -3,   5, 9, 31.0,⑧⑦⑥, 5, 5,Ｇプリティタヤス, 67,藤岡佑, 0.7, 68,  -8,  17, 4,  8.6, ⑧⑦
 6,12, トラストフェリチタ,---,古川吉, 1.1, 52, -12,*  0, 9, 33.9, ⑧⑩, 6,11, キヲウエタオトコ,---,勝浦正, 1.6, 35, -11, -17, 4,  6.0, ⑥⑦, 6,10,Ｃアルタントプチ, 64,塚田祥, 1.2, 54,* -2,  -2, 7, 20.5,④②③, 6, 7,Ｂナンヨｰノサガ, 77,柴山雄, 0.8, 64,  -5,  12, 3,  4.8, ④⑥
 7, 4,Ｃハナノリンダ, 53,津村明, 1.1, 51,  -9,  -2, 2,  4.9, ⑤⑤, 7, 8, サラトガクｰラｰ,---,藤田伸, 1.7, 33,  -9, -20, 1,  3.0, ④④, 7, 3,Ｊシンボリプロキオン, 57,津村明, 1.4, 54,  -3,   0, 6, 16.7,⑤⑦⑧, 7, 6,Ｊプロセッション, 44,藤田伸, 0.8, 63,  -2,   9, 2,  2.9, ②②
 8, 1,Ｄケイエスユリ, 50,松田大, 1.3, 48, -12,  -2, 5, 12.1, ⑧⑧, 8, 1, エリモエトワｰル,---,秋山真, 1.7, 33,  -9, -20, 7, 25.4, ④④, 8, 7,Ｅショウワインラヴ, 61,田中博, 1.4, 52,  -4,  -2,11, 64.8,⑤⑦⑧, 8, 1,Ｈワイルドソニック, 67,津村明, 0.8, 64,  -7,  13, 9, 33.9, ⑦⑦
 9,11,Ｋジョイフルベル, 26,田中博, 1.5, 42, -12,  -7,10, 55.5, ⑦⑧, 9, 7, ライダｰカップ,---,小野次, 1.8, 31, -12, -18, 3,  5.8, ⑥⑦, 9, 1,Ｈウォｰタｰポロ, 58,藤岡佑, 1.4, 54,  -2,  -1, 4, 13.4,②⑤③, 9, 2,Ｉチョウカイモンド, 63,小野次, 1.0, 60,  -8,  12, 8, 33.7, ⑧⑨
10, 2,Ｉアフェクショネイト, 34,秋山真, 1.7, 42, -12,  -6, 7, 20.9, ⑧⑦,10, 5, ノボメル,---,柴山雄, 2.1, 27,* -8, -27, 8, 32.8, ②②,10, 2,Ｌテンジンニチオｰ, 52,勝浦正, 1.6, 52,  -4,  -1,12, 77.0,⑧⑩⑪,10, 8,Ｅナチュラルリｰダｰ, 70,菊沢隆, 1.1, 57,  -2,   4, 6, 24.7, ②②
11,10,Ｊウェザｰリポｰト, 33,黛弘人, 2.3, 32, -25,  -7,12,263.6, ⑫⑫,11, 9, ウォｰボネット,---,木幡初, 2.1, 27, -14, -21, 6, 10.2, ⑨⑦,11, 5,Ｇエランセ, 58,北村友, 1.7, 52,  -7,   1,10, 31.7,⑪⑫⑫,,,,,,,,,,,,
12, 3,Ｈプラシｰボ, 34,柴山雄, 2.8, 28, -17, -14,11, 93.3, ⑪⑩,12, 4, アｰスレッドハｰン,---,柴原央, 3.5,  5, -46, -12,12, 91.7, ⑫⑫,12, 8,Ｂナムラオルフェ, 64,的場勇, 2.0, 46,* -3, -11, 5, 14.6,②②⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,
"単勝:190円 複勝:07=110円 09=390円 06=180円 枠連:1,190円",,,,,,,,,,,,"単勝:550円 複勝:10=230円 12=1,040円 02=1,040円 枠連:850円",,,,,,,,,,,,"単勝:650円 複勝:12=230円 04=480円 11=150円 枠連:2,170円",,,,,,,,,,,,"単勝:280円 複勝:09=150円 03=340円 10=430円 枠連:1,790円",,,,,,,,,,,
"馬連:1,640円 ワイド:07-09=620円 06-07=260円 06-09=1,220円",,,,,,,,,,,,"馬連:7,220円 ワイド:10-12=2,840円 02-10=3,030円 02-12=6,340円",,,,,,,,,,,,"馬連:5,780円 ワイド:04-12=1,950円 11-12=400円 04-11=980円",,,,,,,,,,,,"馬連:2,020円 ワイド:03-09=730円 09-10=950円 03-10=2,260円",,,,,,,,,,,
"馬単:2,230円 3連複:2,670円",,,,,,,,,,,,"馬単:10,610円 3連複:70,040円",,,,,,,,,,,,"馬単:10,260円 3連複:5,460円",,,,,,,,,,,,"馬単:3,200円 3連複:9,990円 3連単:47,730円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,,■12R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,臥牛山特別,,,,,,,,,,,,遊楽部特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅイメｰジボックス, 44,藤田伸,, 59,*  0,  -4, 3,  5.7,③②①, 1, 4,Ａスカイハイシチｰ, 60,勝浦正,, 62,*  1,* -1, 1,  2.0,①①①, 1, 4,Ｇマイネルダイナモ, 49,長谷川,, 87,  -6,* 30, 6, 21.1,⑥⑤④, 1, 8,Ｅマイネヴェロナ, 65,津村明,, 69,   4,* 10, 9, 34.8,⑩⑩⑦
