07年 7月21日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月21日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,
 9, 3,Ｃフォルテ, 42,北村友, 3.4, 20, -35, -12, 5, 30.7, ⑨⑨, 9, 9,Ｆアブソルｰトライン, 48,小林徹, 1.5, 45, -16,   6, 9, 44.8,⑫⑨⑨, 9, 6,Ｇタイキプロバンス, 56,津村明, 2.2, 49,  -2, -12, 7, 18.3,③③⑦, 9, 5,Ｄマイネブリッツ, 55,長谷川, 0.6, 53, -12,   5, 9, 22.7, ⑩⑩
10, 2,Ｊティｰフォｰ, -7,四位洋, 3.8, 13, -35, -14, 4, 25.5, ⑩⑨,10,13,Ｌガオウ, 38,梶晃啓, 2.1, 40, -19,   5,12,190.8,⑩⑪⑪,10, 4,Ｉヤマノミライ, 51,服部茂, 3.5, 40,  -6, -19,10,116.4,⑦⑨⑩,10, 1, シグナルパス,---,服部茂, 0.7, 49,  -9,   1,11, 45.8, ⑦⑧
,,,,,,,,,,,,11, 3,Ｋシルクシャングリラ, 39,丸田恭, 2.2, 36, -20,   3,13,195.8,⑩⑪⑪,,,,,,,,,,,,,11,10, ストロングライデン,---,山口竜, 1.8, 35,*  0, -25,10, 40.4, ②②
,,,,,,,,,,,,12, 7,Ｉメゾマライズ, 42,安藤勝, 2.3, 37, -13,  -6, 3,  5.9,④④⑦,,,,,,,,,,,,,12,11,Ｃディアヤマト, 56,柴山雄, 2.0, 32, -19, -10, 8, 21.2, ⑫⑫
,,,,,,,,,,,,13, 8,Ｍスイｰトシャディｰ, 30,黛弘人, 3.1, 29, -24,   0,11,139.2,⑦⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,
単勝:750円 複勝:06=170円 05=120円 04=670円 枠連:510円,,,,,,,,,,,,単勝:250円 複勝:06=110円 12=140円 05=180円 枠連:360円,,,,,,,,,,,,"単勝:1,080円 複勝:08=250円 01=220円 10=580円 枠連:690円",,,,,,,,,,,,"単勝:8,030円 複勝:12=2,570円 09=230円 02=200円 枠連:4,900円",,,,,,,,,,,
"馬連:530円 ワイド:05-06=180円 04-06=1,820円 04-05=1,010円",,,,,,,,,,,,馬連:450円 ワイド:06-12=210円 05-06=370円 05-12=570円,,,,,,,,,,,,"馬連:2,380円 ワイド:01-08=1,060円 08-10=2,590円 01-10=1,700円",,,,,,,,,,,,"馬連:38,870円 ワイド:09-12=7,450円 02-12=6,050円 02-09=750円",,,,,,,,,,,
"馬単:1,390円 3連複:4,640円",,,,,,,,,,,,"馬単:890円 3連複:1,360円",,,,,,,,,,,,"馬単:7,140円 3連複:15,830円",,,,,,,,,,,,"馬単:94,730円 3連複:70,610円 3連単:662,470円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■ 8R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,松前特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａスズカトップ, 62,安藤勝,, 65,* -4,*  7, 1,  1.4,①②①, 1, 2,Ｉコスモプリマ, 47,横山典,, 68, -14,* 17, 8, 23.1, ⑨⑩, 1, 7,Ｃマンハッタンスカイ, 72,岩田康,, 84,  -1,* 25, 2,  3.0,④④②, 1, 5,Ｆオｰバｰカムオｰル, 66,古川吉,, 72,* -2,  18, 4,  8.9,④③②
 2, 8,Ｂマｰブルジｰン, 56,北村友, 0.5, 58,  -7,*  4, 2,  5.5,④③②, 2, 9,Ａイソノクイｰン, 61,北村友, 0.2, 55,* -1,   0, 6, 13.1, ①①, 2, 1,Ｆラッキｰリップス, 63,柴山雄, 0.2, 73,*  2,  17, 5, 10.1,①①①, 2, 2,Ｃミスタｰシｰザ, 68,長谷川, 0.1, 77,  -3,* 22, 7, 16.9,⑦⑥④
 3, 7,Ｆビクトリｰブランコ, 45,四位洋, 1.5, 57, -13,*  8, 5, 27.2,⑫⑪⑩, 3, 7,Ｂスマｰトフォルム, 59,柴山雄, 0.3, 63, -17,* 16, 2,  4.1, ⑪⑫, 3, 2,Ｂエプソムアルテマ, 73,藤田伸, 0.3, 78,   0,  22, 4,  7.0,⑤④④, 3, 9,Ｄダンスオｰルナイト, 67,藤田伸, 0.3, 79,  -5,* 23, 3,  7.4,⑪⑪⑤
 4,10,Ｉタイトルマン, 39,勝浦正, 1.6, 48,  -7,  -4,10,134.1,⑦⑤④, 4,13,Ｄエアルｰア, 57,菊沢隆, 0.4, 55,  -6,   4, 3,  5.2, ④④, 4, 6,Ａネヴァｰトルネｰド, 74,四位洋, 0.5, 73,   0,  19, 3,  4.4,⑤④④, 4,11,Ｈピエナオンリｰワン, 65,松田大, 0.6, 73,  -6,* 22, 9, 33.3,⑬⑬⑬
 5,12,Ｃマッティｰノ, 51,松田大, 1.7, 45,* -3, -10, 8, 46.9,⑨①②, 5,16,Ｋキングケイザンオｰ, 46,佐藤聖, 0.4, 51,  -9,   3,15,113.5, ④④, 5, 4,Ｅエキゾｰストノｰト, 69,池添謙, 2.3, 59,*  1, -12, 7, 34.2,②②②, 5, 6,Ａマストビｰトゥルｰ, 70,安藤勝, 0.8, 58,*  1,   2, 1,  2.7,②①①
 6, 3,Ｄダイワスワット, 47,横山典, 2.1, 46, -10,  -3, 4, 14.1,⑫⑨⑧, 6,15,Ｇトラストエｰス, 52,藤田伸, 0.5, 53,* -2,  -1, 4,  6.0, ②②, 6, 5,Ｇエルソルダｰド, 59,勝浦正, 2.9, 50,*  0, -19, 6, 14.6,③③⑥, 6,12,Ｉマイネルスパｰクル, 64,横山典, 1.0, 60,  -4,  11, 5, 10.0,⑩⑨⑨
 7, 4,Ｌマイネルソルダネラ, 33,佐々木, 2.2, 44,  -9,  -5, 6, 28.6,⑤⑧⑧, 7, 1,Ｊキュｰトザベスト, 47,五十嵐, 0.5, 57, -15,  11,11, 48.3, ⑪⑩,,,,,,,,,,,,, 7, 3,Ｋライトザキャンドル, 64,秋山真, 1.0, 59,  -5,  12, 2,  4.0,⑪⑪⑨
 8, 6,Ｈバトルルビｰ, 41,藤田伸, 2.5, 40,  -8, -10, 9, 52.7,②⑥⑦, 8,11,Ｍラｰドロジュノｰ, 40,秋山真, 0.7, 51, -12,   5,12, 68.4, ⑨⑦,,,,,,,,,,,,, 8, 4,Ｅボトムフィッシャｰ, 66,柴山雄, 1.1, 58,  -4,  10, 8, 31.5,⑦⑨⑨
 9, 1,Ｅマイネルシｰワ, 47,梶晃啓, 2.8, 38,  -7, -14, 7, 33.1,③⑥⑥, 9, 5,Ｌブラックウィッチ, 46,池添謙, 0.7, 55, -21,* 14, 7, 14.9, ⑮⑭,,,,,,,,,,,,, 9,10,Ｊユキノボｰイ, 64,武幸四, 1.4, 53,  -3,   4,13, 69.6,⑥⑥⑦
10, 9,Ｇメイプルスペシャル, 43,岩田康, 3.0, 38,  -5, -20, 3,  9.8,⑤③⑤,10,12,Ｆナムラハル, 52,岩田康, 0.7, 50,  -6,  -1, 5, 10.2, ④④,,,,,,,,,,,,,10, 7,Ｂネヴァベｰカリｰ, 69,梶晃啓, 1.5, 52,  -3,   1,11, 66.7,④⑥⑦
11, 5,Ｊオンワｰドトラップ, 34,丸田恭, 3.0, 35, -14,  -8,11,205.9,⑪⑪⑪,11,14,Ｈケンブリッジジャズ, 51,安藤勝, 0.8, 49,* -3,  -5, 1,  4.0, ②②,,,,,,,,,,,,,11,13,Ｇピサノシェンロン, 66,岩田康, 1.6, 52,  -2,  -4, 6, 10.8,⑨③⑤
12,11,Ｋスペシャルウィｰン, 33,黛弘人, 4.8, 26, -15, -23,13,330.2,⑨⑬⑬,12,10,Ｃサンワｰドソング, 57,津村明, 0.8, 51, -18,  10,13, 74.5, ⑬⑭,,,,,,,,,,,,,12, 1,Ｌヤマニンイグナイト, 63,勝浦正, 1.9, 55,*  0, -12,10, 35.5,①②②
13,13,Ｍナリタトップワン, 29,小林徹, 5.6, 14, -12, -32,12,258.9,⑦⑩⑫,13, 3,Ｎタツキミコ, 39,山口竜, 1.2, 44, -10,  -4,16,190.7, ⑦⑦,,,,,,,,,,,,,13, 8,Ｍトｰセンアダン, 57,津村明, 3.3,  8,  -2, -29,12, 68.3,③③⑨
,,,,,,,,,,,,14, 4,Ｐカフェアｰリントン, 31,勝浦正, 1.4, 40, -20,   2,10, 45.5, ⑭⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 8,Ｏクロスナビゲｰタｰ, 34,郷原洋, 1.6, 38, -21,   1,14,108.3, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 6,Ｅラギｰタ, 54,長谷川, 2.1, 29,  -9, -19, 9, 34.2, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-2),,,,,,,,,,,
単勝:140円 複勝:02=100円 08=130円 07=260円 枠連:160円,,,,,,,,,,,,"単勝:2,310円 複勝:02=730円 09=340円 07=150円 枠連:9,700円",,,,,,,,,,,,単勝:300円 複勝:07=170円 01=450円 枠連:0円,,,,,,,,,,,,"単勝:890円 複勝:05=310円 02=470円 09=240円 枠連:5,610円",,,,,,,,,,,
馬連:270円 ワイド:02-08=150円 02-07=420円 07-08=670円,,,,,,,,,,,,"馬連:17,140円 ワイド:02-09=5,000円 02-07=1,600円 07-09=870円",,,,,,,,,,,,"馬連:1,580円 ワイド:01-07=570円 02-07=420円 01-02=700円",,,,,,,,,,,,"馬連:7,320円 ワイド:02-05=2,480円 05-09=1,350円 02-09=1,720円",,,,,,,,,,,
"馬単:360円 3連複:1,050円",,,,,,,,,,,,"馬単:40,530円 3連複:15,010円",,,,,,,,,,,,"馬単:2,210円 3連複:2,640円",,,,,,,,,,,,"馬単:12,990円 3連複:18,160円 3連単:115,210円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,,■ 6R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,,■ 9R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,漁火ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅパスタイム, 48,横山典,, 57,   0,* -3, 1,  2.6, ③③, 1,10,Ｆアリアドネズライン, 57,横山典,, 73,   5,*  6, 3,  5.0, ②②, 1, 3,Ａサイレントプライド, 88,横山典,, 91,   7,* 24, 1,  1.9,③③⑤, 1, 7,Ｄスズカイエロｰ, 66,岩田康,, 77,  -1,* 14, 3,  4.0,⑧⑥②
 2,10,Ｃスギノマリアｰジュ, 49,武幸四, 0.0, 61,*  3,  -5, 3,  4.3, ②②, 2, 6,Ｉエアラホｰヤ, 52,北村友, 0.7, 62,   4,  -2, 5, 14.2, ②④, 2,12,Ｅフィｰルドベアｰ, 78,秋山真, 0.2, 89,   6,* 24, 3,  6.6,⑩⑥⑤, 2,10,Ｂブライトロジック, 69,安藤勝, 0.1, 69,*  1,   7, 2,  3.7,②①①
 3, 8,Ｇスノｰショコラ, 42,北村友, 0.3, 49,  -6,* -4, 6, 17.8, ⑦⑦, 3, 5,Ｄプラグマティック, 60,岩田康, 0.8, 62,  -2,   2, 4,  6.5, ⑤⑤, 3,11,Ｃアグネスアｰク, 84,長谷川, 0.3, 84,   7,  20, 5, 11.6,④③③, 3,13,Ｃキタノアラワシ, 68,秋山真, 0.7, 63,  -1,   5, 1,  2.5,⑤④②
 4, 7,Ｂフミノオリヒメ, 50,長谷川, 0.4, 51,  -1,  -6, 4, 14.5, ⑤④, 4, 8,Ｅシアトルレイナ, 59,丸田恭, 0.9, 59,  -9,*  4,11, 80.1, ⑧⑦, 4,10,Ｊサンデｰストリｰム, 73,藤田伸, 0.4, 84,   6,  21, 7, 23.1,⑦⑥⑦, 4, 6,Ｅエバンジェリスト, 65,横山典, 0.9, 64,  -2,   7, 5, 18.8,⑧⑧⑦
 5,12,Ａエネルマリン, 57,勝浦正, 1.0, 45,  -1, -12, 2,  2.8, ⑤④, 5, 4,Ｂコスモベル, 63,四位洋, 1.0, 59, -11,*  6, 1,  3.0, ⑨⑨, 5, 2,Ｄブレｰヴハｰト, 79,安藤勝, 0.5, 93,   1,* 30, 6, 20.7,⑫⑫⑨, 5, 8,Ｇスピｰドウエル, 62,武英智, 1.1, 62,  -4,   6, 9, 50.9,⑫⑩⑨
 6, 9,Ｆカシマミキティ, 44,鈴来直, 1.1, 53,*  6, -18, 7, 24.8, ①①, 6, 3,Ｈワンダｰヘネシ, 55,秋山真, 1.4, 54, -12,   3, 6, 18.2, ⑩⑩, 6, 7,Ｇスズカロｰラン, 75,藤岡佑, 0.7, 80,   4,  20,10,106.7,⑦⑧⑧, 6, 4,Ｈサンアントニオ, 60,北村友, 1.3, 54,*  0,  -4, 8, 41.0,③②②
 7, 5,Ｈロマノｰヴァ, 41,黛弘人, 1.1, 38,  -9, -10,10,120.2, ⑧⑧, 7,11,Ｇサｰブユアセルフ, 56,勝浦正, 1.4, 53,  -3,  -3, 7, 23.3, ⑤⑥, 7, 6,Ｌフレンチビキニ, 64,武幸四, 1.1, 70,* 13,  -4, 9, 89.2,①①①, 7, 5,Ｆマイネルハｰバｰド, 65,伊藤直, 1.4, 56,  -2,   0, 6, 31.4,⑥⑥⑦
 8, 2,Ｉグラスティアラ, 27,柴山雄, 1.4, 37, -11, -10, 9,110.9, ⑩⑩, 8, 9,Ｊトｰヨｰコジｰン, 52,柴山雄, 1.6, 51, -12,   1, 9, 35.8, ⑩⑩, 8, 5,Ｉハルクバニヤン, 74,四位洋, 1.3, 70,   4,  12, 8, 30.5,⑥⑩⑫, 8, 1,Ａニホンピロリｰガ, 69,藤田伸, 1.4, 55,  -1,  -1, 4,  7.6,①④②
 9, 1,Ｊサクラメフィウス, 26,藤田伸, 1.6, 35,  -8, -14, 5, 17.4, ⑧⑧, 9, 1,Ａナムラフランキｰ, 73,小林徹, 1.6, 49,*  6, -11, 2,  3.3, ②②, 9, 8,Ｈコスモダンスナイト, 75,北村友, 1.3, 67,   7,   5, 4, 11.4,④③③, 9, 9,Ｌロイバｰエクセル, 53,津村明, 1.4, 55,*  1,  -3,10, 56.3,④②②
10,11,Ｄランナｰズデヒア, 49,山口竜, 1.8, 37,   0, -21, 8, 36.2, ③④,10, 7,Ｋダノンスペシャル, 52,藤田伸, 1.7, 50,  -6,  -4,10, 49.9, ⑦⑦,10, 4,Ｋウルフボｰイ, 72,勝浦正, 1.4, 70,   2,  14,12,163.3,⑨⑪⑨,10,12,Ｊスズライトアップ, 57,鈴来直, 1.5, 56,  -3,   2,11, 68.3,⑩⑩⑨
11, 6,Ｋポｰトフォリオ, 22,五十嵐, 2.1, 30, -11, -17,12,161.0, ⑩⑩,11, 2,Ｃユｰオｰミｰ, 61,伊藤直, 1.8, 47,*  8, -14, 8, 32.9, ①①,11, 9,Ｂシェルズレイ, 86,岩田康, 1.5, 68,* 12,  -7, 2,  4.4,②②②,11, 2,Ｉオフィシャル, 58,菊沢隆, 1.6, 58,  -4,   4, 7, 36.7,⑬⑫⑫
12, 3,Ｌネヴァゾンタｰク, 12,竹之下, 2.3, 28, -19, -14,11,159.3, ⑫⑫,12,12,Ｌクリノダグラス, 45,佐藤聖, 2.5, 36, -14,  -9,12,319.8, ⑩⑫,12, 1,Ｆグレｰトバルサｰ, 76,柴山雄, 1.6, 65,   4,   6,11,114.4,⑩⑧⑨,12,11,Ｋノボプレゼンス, 56,柴山雄, 2.4, 49,  -5,  -3,12,122.7,⑩⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｍミスタｰショウ, 47,松田大, 2.6, 47,  -2,  -9,13,154.7,⑥⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
単勝:260円 複勝:04=130円 10=150円 08=380円 枠連:580円,,,,,,,,,,,,"単勝:500円 複勝:10=240円 06=410円 05=220円 枠連:1,060円",,,,,,,,,,,,単勝:190円 複勝:03=110円 12=150円 11=260円 枠連:340円,,,,,,,,,,,,単勝:400円 複勝:07=140円 10=150円 13=120円 枠連:710円,,,,,,,,,,,
"馬連:650円 ワイド:04-10=280円 04-08=1,170円 08-10=1,270円",,,,,,,,,,,,"馬連:4,500円 ワイド:06-10=1,470円 05-10=550円 05-06=1,340円",,,,,,,,,,,,馬連:530円 ワイド:03-12=220円 03-11=420円 11-12=940円,,,,,,,,,,,,馬連:820円 ワイド:07-10=320円 07-13=220円 10-13=250円,,,,,,,,,,,
"馬単:1,030円 3連複:5,120円",,,,,,,,,,,,"馬単:7,480円 3連複:8,310円",,,,,,,,,,,,"馬単:740円 3連複:1,500円 3連単:4,790円",,,,,,,,,,,,"馬単:1,670円 3連複:660円 3連単:4,490円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
