07年 6月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
 9, 8,Ｈカネコメハｰシル, 43,野元昭, 1.2, 24, -22, -10, 8, 38.8,③⑤⑥, 9,12, パシスタ,,沢昭典, 3.8,,,,12, 69.8,⑦⑥⑨, 9, 8,Ｊスタｰラビット, 57,中舘英, 3.0, 47,*  1, -18,11, 46.3,②②③, 9, 7,Ｉダブルキング, 66,北村友, 1.3, 63,   7,  -3,14,159.3,⑭⑭⑭
10, 2,Ｊクリノラブダンス, 40,川原正, 1.3, 22,*-19, -18,14, 90.3,①①①,10,10, マｰベラスチｰフ,,熊沢重, 4.5,,,, 9, 42.2,⑩⑫⑪,10,10,Ｋヒミノクリミナル, 56,藤岡康, 3.0, 43,  -5, -12,12, 89.9,⑩⑧⑩,10,12,Ｆフレアリングベスト, 70,川原正, 1.5, 61,  12, -17, 7, 12.2,⑬⑨⑧
11, 9, アブソルｰトライン,---,小牧太, 1.7,  6,*-20, -21,10, 61.4,⑬②③,11, 5, シゲルダイノウカイ,,北沢伸, 7.4,,,, 7, 35.4,④③⑤,11,13,Ｍワンダｰルビアノ, 53,秋山真, 3.4, 42,  -7,  -7,13,125.7,⑮⑮⑭,11, 4,Ｄマルブツライト, 74,川田将, 2.0, 57,  13, -28, 4,  8.9,②⑤③
12,14, スペシャルウィｰン,---,吉田稔, 2.3,  4, -27, -16, 9, 52.1,⑩⑭⑬,12, 7, ハｰベストタｰフ,,今村康, 9.3,,,,11, 57.4,⑥⑩⑫,12, 6,Ｇドリｰムシｰカｰ, 59,吉田稔, 3.5, 41,  -6, -11,14,141.8,⑭⑫⑬,12, 8,Ｍガラディナｰ, 60,藤岡佑, 2.0, 57,  13, -28,12, 66.9,④⑤③
13,16,Ｃダンシングナナ, 55,四位洋, 2.3,-17, -23, -24, 5, 11.6,③⑦⑪,,,,,,,,,,,,,13, 3,Ｈネバｰエンディング, 58,太宰啓, 4.2, 37,  -7, -16,10, 34.6,⑦⑭⑮,13,14,Ｂエキサイトラン, 78,中舘英, 2.1, 56,  13, -29, 9, 16.0,②⑤⑫
14,12, ファニｰブライド,---,川島信, 2.4,-11, -25, -21,16,139.1,⑦⑪⑬,,,,,,,,,,,,,14,15,Ｏセブンゴｰルデン, 48,野元昭, 4.3, 37,*  1, -30, 9, 30.7,②②⑤,14,10,Ａディルシｰド, 83,上村洋, 3.3, 46,* 15, -51, 3,  6.0,①①③
15, 4, エアセイレン,---,藤岡康, 2.7,-22, -30, -21,11, 73.2,⑩⑮⑮,,,,,,,,,,,,,15, 2,Ｎグラスアフリｰト, 52,中村将, 4.8, 31,  -5, -29,15,142.9,⑤⑩⑪,,,,,,,,,,,,
16, 7,Ｂアドマイヤジュエル, 56,川田将, 2.8,-16, -29, -19, 4, 11.3,⑩⑯⑮,,,,,,,,,,,,,16, 4,Ｐレインボｰサンサン, 47,大下智, 5.0, 30, -10, -23,16,427.7,⑫⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:不良(指数:6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:5),,,,,,,,,,,
"単勝:270円 複勝:06=140円 15=1,690円 11=1,060円 枠連:780円",,,,,,,,,,,,"単勝:800円 複勝:04=190円 06=190円 11=110円 枠連:1,690円",,,,,,,,,,,,単勝:400円 複勝:11=170円 12=120円 09=190円 枠連:640円,,,,,,,,,,,,"単勝:1,080円 複勝:13=330円 02=420円 03=590円 枠連:3,840円",,,,,,,,,,,
"馬連:12,330円 ワイド:06-15=3,020円 06-11=2,240円 11-15=21,510円",,,,,,,,,,,,"馬連:2,120円 ワイド:04-06=540円 04-11=310円 06-11=280円",,,,,,,,,,,,馬連:650円 ワイド:11-12=260円 09-11=770円 09-12=300円,,,,,,,,,,,,"馬連:5,310円 ワイド:02-13=1,700円 03-13=2,370円 02-03=2,360円",,,,,,,,,,,
"馬単:15,070円 3連複:139,000円",,,,,,,,,,,,"馬単:5,120円 3連複:1,170円",,,,,,,,,,,,"馬単:1,620円 3連複:1,530円",,,,,,,,,,,,"馬単:11,670円 3連複:30,160円 3連単:161,520円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■ 5R  芝2500m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC賞 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｌタｰニングリｰフ, 44,吉田稔,, 49, -14,*  5,11, 59.5, ⑯⑭, 1,11,Ｆカｰリングストｰン, 47,藤岡佑,, 55,*-21,* 18, 1,  2.9,⑥⑥④, 1,11,Ｅコアレスソニック, 70,岩田康,, 79,  11,  10, 1,  2.8, ⑥⑤, 1, 5,Ｊブラックバｰスピン, 83,四位洋,, 96,  13,  22,10, 23.9, ⑧③
 2,13,Ａソルヴィエント, 63,岩田康, 0.0, 53,*  4, -13, 1,  1.8, ③③, 2, 5,Ｄリバｰパッション, 49,角田晃, 0.0, 46,*-20,  13, 5, 14.0,①①②, 2,15,Ａベレッツァ, 78,浜中俊, 0.1, 77,* 15,   1, 3,  4.9, ③③, 2,11,Ｎナカヤマパラダイス, 74,木幡初, 0.1, 89,* 17,  16, 7, 15.2, ②③
 3,18,Ｑカシノテンカ, 14,二本柳, 0.2, 47,  -2, -10,18,255.1, ⑧④, 3, 1,Ｇマイネアプレイザｰ, 45,藤岡康, 0.1, 39,*-22,  10, 7, 26.7,②②①, 3,17,Ｄリッカバクシンオ, 71,小牧太, 0.2, 79,* 17,   1, 2,  4.1, ③③, 3, 6,Ｉアグネスラズベリ, 84,角田晃, 0.1, 93,  13,  21, 8, 17.9, ⑧⑥
 4,15,Ｃノボリシスタｰ, 58,田中健, 0.2, 43,  -2, -13, 3,  7.2, ④④, 4,12,Ａディジュリドゥｰ, 60,和田竜, 0.2, 54, -22,* 18, 3,  5.3,⑧⑨⑦, 4,16,Ｈテイエムカチボシ, 67,川島信, 0.2, 74,   9,   8, 5, 13.0, ⑦⑧, 4,13,Ｈミスティックエイジ, 85,川原正, 0.1, 98,   0,* 33, 3,  6.3, ⑱⑮
 5, 2,Ｉタマモウェｰヴ, 49,和田竜, 0.3, 43,  -8,* -5, 8, 22.9, ⑬⑫, 5, 9,Ｋシゲルアサンテサナ, 37,熊沢重, 0.3, 48, -22,  15, 9, 44.2,④⑦⑦, 5, 1,Ｂアイオブザキング, 74,二本柳, 0.4, 69,   3,  11, 4,  8.2, ⑫⑪, 5,18,Ｌアルｰリングボイス, 80,秋山真, 0.2, 94,   3,* 28,12, 47.8, ⑯⑮
 6, 3,Ｂハギノエアロ, 60,鮫島良, 0.3, 43,  -5,  -8, 2,  5.2, ⑨⑧, 6, 8,Ｈタケカサチノヤマ, 45,田中健, 0.6, 28,*-23,   4, 6, 22.7,④②②, 6,12,Ｒテイエムスカット, 42,菊地昇, 0.5, 69,   6,   7,14, 93.5, ⑩⑩, 6, 9,Ａペｰルギュント, 89,上村洋, 0.2, 93,  18,  18, 1,  3.4, ④⑥
 7,12,Ｄクルム, 56,北村友, 0.9, 33,  -6, -19, 4, 16.3, ⑨⑨, 7,10,Ｊクエストタイム, 39,橋本美, 0.7, 40, -23,  12, 8, 44.0,⑪⑪⑪, 7,10,Ｋプロテクトアゲン, 59,安藤光, 0.7, 64,  -3,* 13,16,132.6, ⑬⑮, 7,14,Ｅリキアイタイカン, 86,和田竜, 0.2, 89,  10,  20,14, 77.7, ⑪⑪
 8, 6,Ｈクイｰンナイサｰ, 53,藤岡康, 1.1, 29,  -7, -22,12, 72.0, ⑨⑬, 8, 2,Ｅシャイニｰハンタｰ, 48,上村洋, 0.7, 36, -22,   9,10, 53.8,⑧⑦⑦, 8,18,Ｃブｰケティアラ, 72,藤岡康, 0.8, 65,  12,  -7, 7, 29.0, ⑤⑤, 8,17,Ｍタガノバスティｰユ, 79,池添謙, 0.4, 87,   6,  22, 6, 14.7, ⑭⑭
 9,17,Ｍデルフィｰネ, 44,中舘英, 1.3, 41,* 10, -38, 9, 40.6, ①①, 9, 7,Ｂマニッシュノｰヴァ, 56,幸英明, 0.9, 32, -22,   7,11, 61.6,⑩⑨⑦, 9, 4,Ｎキシュウティアラ, 57,柴山雄, 0.8, 65, -12,* 21,15,113.8, ⑱⑱, 9,16,Ｏエムエスワｰルド, 72,藤岡佑, 0.5, 82,  10,  15,16,100.8, ⑪⑪
10, 7,Ｏカシノアテスト, 41,小林久, 1.7, 27, -10, -25,17,213.8, ⑬⑯,10, 6,Ｌシガｰバｰ, 37,小牧太, 1.3, 27, -23,   4,12,107.0,⑪⑫⑫,10, 2,Ｑサダムポラリス, 51,秋山真, 0.8, 62,  -2,  10,17,137.2, ⑬⑬,10, 2,Ｂアドマイヤホクト, 88,岩田康, 0.5, 81,* 19,   8, 2,  4.9, ②①
11, 9,Ｊゼットマシｰン, 48,川田将, 1.7,  7, -22, -13, 7, 21.7, ⑱⑱,11, 4,Ｃダンスオンステｰジ, 54,長谷川, 1.4, 27,*-21,  -5, 2,  2.9,⑥④⑤,11, 6,Ｍシエロアスｰル, 58,芹沢純, 0.9, 62,  -5,  12,13, 88.7, ⑮⑬,11, 1,Ｄマイネルアルビオン, 87,柴山雄, 0.5, 80,  15,  11,13, 61.7, ④③
12, 4,Ｎスリｰプレイヤｰ, 44,荻野琢, 1.8, 12, -16, -24,13,126.7, ⑯⑭,12, 3,Ｉスｰパｰウェｰブ, 44,四位洋, 2.2, -3,*-21, -17, 4,  7.4,②④⑤,12, 9,Ｆタニノバロン, 68,鮫島良, 1.0, 73,* 24, -17, 6, 13.1, ②①,12, 4,Ｃフサイチリシャｰル, 87,鮫島良, 0.5, 86,* 21,  11, 4,  7.9, ①②
13,14,Ｐダルマ, 33,中村将, 1.8, 18, -14, -25,14,143.7, ⑮⑰,,,,,,,,,,,,,13, 5,Ｌカシノロイヤル, 59,吉田稔, 1.0, 63,   9,  -3,12, 76.5, ⑦⑦,13, 7,Ｑゴｰルデンキャスト, 71,小牧太, 0.6, 84,  12,  16,15, 97.5, ⑪⑪
14,11,Ｇハｰツイｰズ, 54,木幡初, 1.9, 21,   0, -37,10, 43.4, ④④,,,,,,,,,,,,,14, 7,Ｉブリリアントクロス, 66,中舘英, 1.2, 60,   9,  -6, 8, 45.5, ⑦⑧,14,12,Ｒアンクルリｰサム, 70,北村友, 0.9, 74,   5,  13,17,119.3, ⑭⑮
15, 5,Ｅラギｰタ, 55,太宰啓, 2.1, 19,   0, -40, 6, 21.5, ④④,,,,,,,,,,,,,15,13,Ｇレイザｰバック, 67,田中克, 1.5, 60,* 21, -27, 9, 46.1, ①②,15,10,Ｐエイシンイッキ, 72,川田将, 0.9, 73,  11,   8,11, 47.6, ⑧⑥
16,16,Ｆリッカブレｰブ, 54,池添謙, 2.6, 21,*  9, -56, 5, 17.3, ②②,,,,,,,,,,,,,16, 3,Ｊハッピｰヘイロｰ, 61,中村将, 1.7, 50, -10,   1,10, 54.1, ⑯⑮,16, 8,Ｆヴリル, 86,幸英明, 0.9, 74,  15,   5, 9, 21.7, ④⑥
17, 1,Ｒエヴァソｰマッチ,-19,浜中俊, 2.7, -5,  -9, -45,16,187.3, ⑫⑨,,,,,,,,,,,,,17, 8,Ｏアドマイヤコング, 55,川田将, 1.9, 49,  -7,  -2,11, 65.6, ⑯⑰,17,15,Ｋグランリｰオ, 80,吉田稔, 1.1, 69,  14,   1,18,145.6, ④⑩
18, 8,Ｋハｰドビクトリｰ, 48,安藤光, 4.5,-21,   0, -76,15,146.9, ④⑨,,,,,,,,,,,,,18,14,Ｐメイショウガラシャ, 53,田中健, 3.5, 23,   4, -40,18,231.8, ⑩⑫,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:不良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:不良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:重(指数:4),,,,,,,,,,,
"単勝:5,950円 複勝:10=910円 13=120円 18=3,650円 枠連:1,090円",,,,,,,,,,,,"単勝:290円 複勝:11=190円 05=380円 01=510円 枠連:1,050円",,,,,,,,,,,,単勝:280円 複勝:11=130円 15=170円 17=140円 枠連:610円,,,,,,,,,,,,"単勝:2,390円 複勝:05=840円 11=520円 06=580円 枠連:5,500円",,,,,,,,,,,
"馬連:4,330円 ワイド:10-13=1,890円 10-18=98,940円 13-18=5,870円",,,,,,,,,,,,"馬連:1,800円 ワイド:05-11=890円 01-11=1,130円 01-05=2,640円",,,,,,,,,,,,馬連:680円 ワイド:11-15=320円 11-17=250円 15-17=420円,,,,,,,,,,,,"馬連:15,580円 ワイド:05-11=4,530円 05-06=4,970円 06-11=3,390円",,,,,,,,,,,
"馬単:14,600円 3連複:179,840円",,,,,,,,,,,,"馬単:2,940円 3連複:10,920円",,,,,,,,,,,,"馬単:1,240円 3連複:950円",,,,,,,,,,,,"馬単:32,300円 3連複:81,600円 3連単:528,230円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■ 6R  芝1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■ 9R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■12R  ダ1700m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｲﾝﾃﾞｨｱﾄﾛﾌｨｰ,,,,,,,,,,,,ﾀｲﾗﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａエイシンイッパツ, 60,中村将,, 59,*-11,*  7, 1,  2.1,①①①, 1,12,Ｅガルヴァニック, 63,秋山真,, 69, -15,* 25, 5, 14.5,③⑤⑤, 1,14,Ｇウインプレミアム, 60,岩田康,, 82,* 10,* 10, 3,  6.9,③①①, 1,13,Ｂサテライトキャノン, 73,角田晃,, 91,*  7,* 24, 6, 17.6,①①①
 2,12,Ｊエアデュｰド, 36,安藤勝, 0.7, 54, -12,*  5, 2,  5.9,⑬④③, 2, 1,Ｃケイアイケイマン, 67,安藤勝, 0.3, 53,*-12,  15, 2,  2.4,①①①, 2,16,Ａロリンザｰユｰザｰ, 72,上村洋, 0.7, 76,*  9,   4, 1,  3.0,⑤③②, 2, 5,Ｃオッティミスタ, 73,太宰啓, 0.5, 83,*  7,  19, 2,  6.5,②②②
 3,11, メイショウゴルゴ,---,古川吉, 0.7, 52,*-11,   3, 4,  9.1,③②②, 3, 9,Ｊイセノオｰ, 53,小牧太, 0.4, 54,*-14,  16, 7, 19.0,②②②, 3, 4,Ｃゼンノモナルカ, 67,藤岡佑, 0.8, 74,   8,   5, 2,  3.6,⑤⑤④, 3, 1,Ｅバンブｰライカルト, 70,芹沢純, 0.5, 86,   5,* 22, 4, 10.5,⑥⑥③
 4,15,Ｃマルモコウテイ, 47,柴山雄, 1.0, 50, -12,   3, 9, 31.9,⑥④④, 4, 3,Ｂランペイア, 67,鮫島良, 0.5, 53, -15,  16, 1,  2.4,⑥③②, 4, 8,Ｅロｰレルアクシス, 62,池添謙, 0.9, 73,   7,   6, 5, 10.1,⑨⑦⑦, 4, 8,Ｋクリアヴィジョン, 63,幸英明, 0.7, 86,   3,* 23, 8, 24.3,⑧⑨⑧
 5,13,Ｂマキシマムフォｰス, 49,秋山真, 1.5, 46, -15,   2, 6, 14.9,⑥⑦⑥, 5,11,Ｄテイエムアタック, 65,太宰啓, 0.7, 57, -18,  21, 6, 17.4,⑧⑨⑦, 5, 3,Ｎマルブツセンタｰ, 45,吉田稔, 0.9, 71,   3,* 14,13,204.7,⑬⑭⑪, 5, 2,Ｈフィｰルドジュエル, 66,酒井学, 0.9, 82,   3,  21, 3,  8.2,⑭⑨⑨
 6,16,Ｆチアズマｰヴェラス, 42,田中克, 1.6, 40, -15,  -2, 5, 12.0,④⑥⑥, 6, 6,Ｈハッピｰラン, 56,岩田康, 0.7, 61, -20,* 24, 3,  8.9,⑩⑩⑪, 6, 2,Ｈアドマイヤコロナ, 57,柴山雄, 1.3, 69,   6,   4, 9, 32.9,⑩⑨⑦, 6,12,Ｍゴｰルドロビン, 60,荻野琢, 1.5, 73,   3,  15,12,108.4,⑪⑨⑨
 7, 3,Ｉトウケイカチドキ, 38,高橋亮, 2.6, 35, -18,  -2,15,156.7,⑨⑫⑩, 7, 8,Ｌトウカイカントリｰ, 42,二本柳, 1.3, 40, -16,   7, 8, 48.9,⑧⑥④, 7, 1,Ｂディアｰウィッシュ, 68,安藤光, 1.3, 70,   8,   1, 4,  8.5,③⑤④, 7,14,Ｆストｰムタイガｰ, 68,中舘英, 1.6, 69,*  6,   9, 5, 13.2,④③③
 8, 9,Ｈスリｰコジｰン, 39,熊沢重, 3.3, 31,*-11, -22,12, 65.9,②②④, 8, 2,Ｇヴィヴィッドカラｰ, 58,中舘英, 1.4, 40, -15,   3, 4, 13.9,③③⑤, 8, 6,Ｆツルマルキセキ, 61,四位洋, 1.7, 66,   5,   2, 6, 14.0,⑬⑪⑨, 8, 4,Ｄグレイシアブルｰ, 70,小牧太, 1.7, 68,*  6,   8,11, 74.6,⑬③③
 9, 4,Ｇニホンピロアニカ, 41,上野翔, 3.3, 30, -16, -12,11, 60.8,⑥⑨⑧, 9, 4,Ａキャプテンハｰト, 71,東川公, 1.4, 39, -16,   6, 9, 53.5,⑤⑥⑦, 9, 7,Ｊロｰランバｰク, 51,飯田祐, 2.1, 63,   5,  -1,12, 97.7,⑫⑪⑫, 9, 7,Ａトップオブツヨシ, 75,池添謙, 1.8, 68,*  6,   8, 1,  1.7,⑥③③
10, 5,Ｌトップクライマｰ, 30,上村洋, 3.6, 27, -20,  -8,13,102.6,⑯⑭⑬,10, 7,Ｆオンリｰストｰン, 60,吉田稔, 2.4, 34, -20,  -2,11, 93.2,⑪⑩⑨,10,13,Ｍラヴィサン, 48,川原正, 2.3, 60,   3,   1,16,266.9,⑮⑭⑮,10, 3,Ｊナカヤマスナイパｰ, 65,鮫島良, 1.8, 69,   4,  11, 9, 46.8,⑧⑨⑫
11, 2, セフティｰビヨンド,---,石橋守, 3.7, 28, -14, -20, 3,  7.0,⑨⑦⑧,11,10,Ｋアトラクティヴ, 52,上村洋, 2.6, 22, -17, -10,10, 77.9,⑥⑧⑨,11,10,Ｋバイオレットピｰス, 51,中舘英, 2.3, 62,   6,  -6,11, 77.7,⑦⑨⑨,11, 6,Ｇトラベルシチｰ, 67,安藤光, 2.0, 66,   5,   7, 7, 19.0,④⑥③
12, 8, ハギノジョイフル,---,小牧太, 4.0, 27, -19, -14,10, 46.2,⑮⑬⑬,,,,,,,,,,,,,12,11,Ｐエイシンイッチョｰ, 36,渡辺薫, 2.6, 58,   2,  -1,14,216.8,⑯⑭⑬,12,10,Ｏビュｰティフルアイ, 56,生野賢, 2.3, 64,   4,   5,14,184.5,②⑧⑨
13, 1,Ｄオトコノロマン, 43,荻野琢, 4.7, 20, -25, -14, 7, 19.7,⑫⑮⑮,,,,,,,,,,,,,13, 5,Ｄウッドウインド, 62,長谷川, 2.7, 60,* 10, -16, 7, 14.1,①②②,13,15,Ｌウェディングマタｰ, 61,渡辺薫, 2.6, 62,   2,   6,13,154.6,⑫⑬⑫
14, 7, ウォルフガング,---,北村友, 5.7, -4, -27, -20,14,154.3,⑭⑯⑯,,,,,,,,,,,,,14, 9,Ｌピンクバンサｰ, 50,東川公, 2.9, 58,*  9, -17,10, 69.1,②③④,14,11,Ｎシンシンマｰキｰ, 58,高井彰, 3.0, 59,   2,   3,10, 58.4,⑧⑬⑭
15,10,Ｋラッキｰハロｰ, 32,東川公, 6.0,-45, -17, -37,16,178.4,⑨⑩⑪,,,,,,,,,,,,,15,12,Ｉパｰリｰゲイツ, 57,和田竜, 4.2, 47,   4, -20, 8, 17.4,⑩⑬⑮,,,,,,,,,,,,
