07年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.0,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,000円 3連複:3,490円",,,,,,,,,,,,"馬単:2,200円 3連複:3,360円",,,,,,,,,,,,"馬単:46,590円 3連複:13,780円",,,,,,,,,,,,"馬単:1,310円 3連複:9,160円 3連単:30,570円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 8R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.1,,,,,■11R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾘｰｼﾞｱ賞,,,,,,,,,,,,中京ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄロリンザｰユｰザｰ, 51,上村洋,, 73,* -8,* 16, 3,  5.6,①①①, 1,16,Ｈメイショウマンテン, 62,古川吉,, 68,*  8,  -1, 6, 14.9, ②②, 1, 7,Ｆヤマニンエクレｰル, 52,中舘英,, 70,   2,*  8, 3,  5.1,⑤③②, 1,11,Ｅビッグタイガｰ, 73,芹沢純,, 69,* -1,  16, 8, 26.9,②③③
 2, 4,Ｃスプリングヘッド, 52,石橋脩, 1.1, 60, -11,* 11, 4,  7.6,⑧⑤⑤, 2,12,Ａケイアイスカイ, 71,中舘英, 0.1, 62,   1,*  2, 1,  1.8, ⑥⑥, 2, 6,Ａワイルドイリｰガル, 65,野元昭, 0.3, 66,*  4,  -1, 2,  4.9,①①①, 2,15,Ａアｰスクリスハｰン, 79,野元昭, 0.0, 73,  -2,  19, 2,  3.8,④④④
 3,14,Ｊオリジナルカラｰ, 35,宮崎北, 1.1, 51,*-10,   4,10, 72.8,②②②, 3,14,Ｊワンダｰグラス, 57,上村洋, 0.3, 63,   5,  -1, 9, 32.0, ④④, 3, 3,Ｄマイネルグラナｰテ, 54,田中博, 0.6, 62,  -2,*  8, 5,  8.9,⑦⑦⑥, 3, 1,Ｂマイネルポライト, 76,中舘英, 0.1, 76,  -4,* 22, 1,  2.3,⑨⑦④
 4,10,Ｂステパノス, 54,中舘英, 1.5, 53, -11,   7, 1,  2.1,⑦⑤⑤, 4, 4,Ｆテンカジョウ, 62,石橋脩, 0.4, 65,*  9,  -6,12, 97.0, ①①, 4, 4,Ｇツカサラッキｰ, 49,熊沢重, 1.0, 58,   2,  -6, 7, 38.1,⑥④④, 4, 2,Ｃミュｰジックホｰク, 74,西田雄, 0.3, 73,  -6,* 22, 7, 23.6,⑪⑩⑦
 5, 5,Ａアグネスタイガ, 58,藤岡康, 2.1, 43, -13,   1, 2,  4.1,⑤⑦⑦, 5, 3,Ｎヤマノジャスティス, 48,二本柳, 0.6, 54, -13,*  7,16,306.0, ⑮⑭, 5, 2,Ｈヒシカツリｰダｰ, 46,田嶋翔, 1.1, 57,   2,  -7, 6, 10.4,④④⑤, 5,13,Ｆアグネストレジャｰ, 72,熊沢重, 0.4, 79,  -9,* 27, 3,  6.3,⑭⑬⑫
 6,15,Ｐドンマイ, -4,河北通, 2.6, 41, -13,  -1,15,228.1,⑬⑦⑦, 6, 5,Ｄトップアクトレス, 62,田中克, 0.7, 50,  -8,   0, 2,  7.0, ⑫⑩, 6, 5,Ｅフライングメリッサ, 52,鮫島良, 1.2, 55,*  4, -13, 1,  2.1,②②②, 6, 8,Ｈクインフュｰチャｰ, 68,赤木高, 0.4, 60,*  1,   6,15,249.8,①②①
 7,16,Ｉタカオストロング, 37,野元昭, 2.8, 39, -10,  -8,12, 89.6,③③③, 7, 8,Ｅアルファルド, 62,北村友, 0.7, 50,  -9,*  1, 4,  8.7, ⑫⑩, 7, 8,Ｂトムトップ, 61,幸英明, 3.9, 32,   0, -47, 4,  7.4,③⑥⑦, 7, 3,Ｎバｰジンフォレスト, 63,鮫島良, 0.7, 66,  -6,  18, 4, 10.3,⑫⑩⑩
 8, 2,Ｅスプリングサンテ, 50,太宰啓, 2.9, 40, -16,   2, 9, 61.2,⑩⑪⑪, 8, 2,Ｋジｰティｰピｰチ, 55,熊沢重, 0.7, 53,  -3,  -1,13,104.3, ⑧⑧,,,,,,,,,,,,, 8, 4,Ｐレッドスタｰライト, 58,柴原央, 1.0, 59,  -7,  14,14,185.0,⑩⑫⑫
 9, 8,Ｎロｰランクリムゾン, 31,鮫島良, 2.9, 38, -10,  -9, 7, 33.9,③③③, 9, 9,Ｏトシザドリｰム, 45,中村将, 0.8, 53,   0,  -6,10, 64.8, ⑥⑦,,,,,,,,,,,,, 9,10,Ｉノットユアビジネス, 68,石橋脩, 1.1, 54,  -4,   6, 6, 23.3,⑥⑦⑦
10, 3,Ｋバサラオｰジャｰ, 32,高橋亮, 2.9, 43, -18,   6,13,149.6,⑬⑭⑫,10,10,Ｍリバレンスハｰバｰ, 51,藤岡康, 0.8, 55,   3,  -8, 7, 19.4, ④④,,,,,,,,,,,,,10,12,Ｇジェネビアン, 70,太宰啓, 1.1, 60,  -9,  16, 9, 28.7,⑫⑬⑭
11, 9,Ｈナナヨｰウインド, 41,田中健, 3.0, 35, -15,  -4, 5, 17.8,⑤⑨⑨,11, 6,Ｐウィニングガｰル, 41,柴原央, 1.0, 49, -11,   2,15,156.2, ⑮⑭,,,,,,,,,,,,,11,14,Ｄピｰスオブラヴ, 73,安藤光, 1.2, 56,*  1,  -6, 5, 14.9,②①②
12, 7,Ｇスリｰキャット, 42,橋本美, 3.7, 34, -15,  -7,14,195.9,⑧⑩⑨,12,15,Ｇエジプシャン, 62,安藤光, 1.2, 47,  -5,  -5, 3,  8.1, ⑩⑬,,,,,,,,,,,,,12, 6,Ｊスリｰハイシャトル, 66,幸英明, 1.2, 53,  -2,   0,10, 36.6,④④④
13,11,Ｍメイショウセイラン, 31,飯田祐, 4.0, 33, -16,  -9, 8, 52.2,⑯⑪⑫,13, 1,Ｂイクエイタｰ, 65,宮崎北, 1.4, 43,  -5,  -9,11, 64.9, ⑧⑨,,,,,,,,,,,,,13, 5,Ｌピｰタｰキャット, 65,小林久, 1.4, 58, -11,  16,11, 71.3,⑮⑮⑭
14, 6,Ｌユウガブリエル, 32,柴原央, 4.0, 31, -19,  -4,11, 81.0,⑫⑭⑮,14,13,Ｉラプタル, 61,岩崎祐, 1.7, 50,*  8, -18,14,127.1, ②③,,,,,,,,,,,,,14, 7,Ｋダイタクドルチェ, 65,上村洋, 1.5, 50,  -5,   2,13,100.1,⑥⑨⑩
15, 1,Ｏオｰミセドナ, 26,難波剛, 5.3,  9, -16, -21,16,392.8,⑪⑪⑫,15,11,Ｌデヒアサウンド, 52,幸英明, 2.1, 37,  -8, -12, 8, 30.0, ⑫⑯,,,,,,,,,,,,,15,16,Ｏタガノマスタング, 62,橋本美, 1.7, 51,  -3,  -4,12, 94.6,⑥⑥⑦
16,13,Ｆノｰスリヴァｰ, 47,丸田恭, 5.9,-12, -20, -24, 6, 23.8,⑬⑭⑯,16, 7,Ｃラララウィンパル, 63,鮫島良, 2.2, 35,  -5, -15, 5, 14.9, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-7),,,,,,,,,,,
"単勝:560円 複勝:12=230円 04=190円 14=1,410円 枠連:2,320円",,,,,,,,,,,,"単勝:1,490円 複勝:16=270円 12=120円 14=570円 枠連:290円",,,,,,,,,,,,単勝:510円 複勝:07=170円 06=220円 03=230円 枠連:0円,,,,,,,,,,,,"単勝:2,690円 複勝:11=380円 15=130円 01=130円 枠連:2,320円",,,,,,,,,,,
"馬連:2,600円 ワイド:04-12=770円 12-14=8,580円 04-14=10,090円",,,,,,,,,,,,"馬連:900円 ワイド:12-16=440円 14-16=2,800円 12-14=930円",,,,,,,,,,,,"馬連:1,500円 ワイド:06-07=550円 03-07=620円 03-06=770円",,,,,,,,,,,,"馬連:4,510円 ワイド:11-15=1,170円 01-11=830円 01-15=210円",,,,,,,,,,,
"馬単:5,240円 3連複:66,130円",,,,,,,,,,,,"馬単:3,310円 3連複:5,190円",,,,,,,,,,,,"馬単:3,130円 3連複:3,440円",,,,,,,,,,,,"馬単:11,550円 3連複:3,230円 3連単:34,120円",,,,,,,,,,,
