07年11月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■10R  芝1800m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,
 9, 4,Ｊナニワプレストン, 28,北村宏, 2.9, 32, -17,  -9, 9, 86.8, ⑩⑩, 9, 7, エクスタフネス,---,藤田伸, 1.8, 39,  -9, -14, 3,  6.1, ⑤⑦, 9,13,Ｄアルファオリオン, 68,田中勝, 1.5, 57,   1,  -3, 2,  3.8, ⑨⑨, 9,16,Ｉマイネルｰチェ, 75,大野拓, 0.6, 77,   2,  19,10, 28.2,⑪⑩⑫
10, 7,Ｅクレバｰボブ, 39,加藤士, 4.5,-19, -13, -31, 7, 65.5, ⑤⑤,10, 9, ディｰエスファジｰ,---,小野次, 2.1, 36, -13, -13, 8, 22.4, ⑩⑨,10, 9,Ａスズノネイビｰ, 72,松岡正, 1.6, 58,   4,  -9, 5, 14.0, ④④,10,13,Ｅミンティエアｰ, 77,藤田伸, 0.6, 76,   3,  17, 2,  4.1,⑪⑩⑨
,,,,,,,,,,,,11, 6, サンマルシャルム,---,幸英明, 2.2, 35, -17, -10,13,147.5, ⑪⑬,11, 6,Ｊオイワケウコン, 60,千葉直, 1.7, 52,  -4,  -1,15,264.9, ⑬⑬,11, 1,Ｂピサノグラフ, 79,横山典, 0.6, 73,   5,  13, 9, 18.3,⑥⑦⑦
,,,,,,,,,,,,12,14, ケイジｰジュニアｰ,---,田中勝, 3.1, 27, -15, -21, 7, 16.3, ⑪⑫,12,16,Ｏハッスルシチｰ, 50,浜野谷, 2.7, 46,  -4,  -8,16,353.4, ⑫⑬,12, 5,Ｄユキノマｰメイド, 78,武士沢, 0.6, 69,*  9,   5, 4, 13.2,①①①
,,,,,,,,,,,,13,10, イズミノセチゴ,---,加藤士, 3.2, 25, -12, -25,14,293.0, ⑧⑨,13, 3,Ｅケｰジｰファントム, 65,武豊  , 3.0, 47,*  7, -27, 1,  2.7, ①①,13, 6,Ｑコアレスパティオ, 71,小林淳, 0.8, 75,   1,  17,16,172.4,⑭⑮⑭
,,,,,,,,,,,,14, 4, コアレスミラクル,---,武士沢, 3.2, 26, -17, -20,12,126.8, ⑭⑬,14, 2,Ｐサラトガティプトン, 48,柴田善, 3.3, 43,   2, -23, 7, 20.8, ⑦⑦,14,10,Ｌナスノフィオナ, 74,小牧太, 1.0, 68,   3,  11,15,108.9,④⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｉゲンパチタキオン, 60,蛯名正, 3.5, 41,  -3, -16,12, 74.0, ⑬⑬,15, 4,Ｏラピッドオレンジ, 72,幸英明, 1.1, 67,   2,  11,14, 85.8,⑪⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｍケンメイオウ, 54,小野次, 4.3, 35,   1, -31,14,224.2, ④⑨,16,12,Ｐコスモダンスナイト, 71,田中勝, 1.3, 63,   4,   4,12, 75.7,⑥⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｋジョリｰノエル, 75,小野次, 1.3, 67,   0,  13,17,173.7,⑭⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:3),,,,,,,,,,,
単勝:160円 複勝:10=100円 01=120円 06=130円 枠連:240円,,,,,,,,,,,,単勝:280円 複勝:08=130円 01=250円 12=510円 枠連:340円,,,,,,,,,,,,"単勝:690円 複勝:11=290円 07=980円 15=790円 枠連:1,630円",,,,,,,,,,,,単勝:250円 複勝:02=140円 15=460円 17=440円 枠連:740円,,,,,,,,,,,
馬連:300円 ワイド:01-10=150円 06-10=210円 01-06=300円,,,,,,,,,,,,"馬連:490円 ワイド:01-08=430円 08-12=910円 01-12=2,280円",,,,,,,,,,,,"馬連:13,560円 ワイド:07-11=3,620円 11-15=3,810円 07-15=8,260円",,,,,,,,,,,,"馬連:2,310円 ワイド:02-15=950円 02-17=980円 15-17=3,380円",,,,,,,,,,,
馬単:510円 3連複:540円,,,,,,,,,,,,"馬単:740円 3連複:7,190円",,,,,,,,,,,,"馬単:23,370円 3連複:104,240円",,,,,,,,,,,,"馬単:3,220円 3連複:10,120円 3連単:35,270円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■11R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,晩秋特別,,,,,,,,,,,,京王杯2歳ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃエイワイエヤス, 46,横山典,, 53,* -6,  -2, 1,  1.8, ②②, 1, 8, イイデシンゲン,---,藤田伸,, 50,*-19,*  9, 1,  1.6, ②②, 1, 5,Ｃカレンベラッジオ, 73,後藤浩,, 79,*  5,  14, 1,  2.6,③③②, 1,14,Ｅアポロドルチェ, 66,後藤浩,, 81,   9,* 15, 1,  3.7, ⑨⑨
 2,11,Ｇリネンホｰク, 38,後藤浩, 0.0, 51, -10,*  5, 4, 11.3, ⑨⑧, 2, 6, スズカクリエｰト,---,武豊  , 0.3, 46, -21,*  7, 3,  5.6, ③③, 2, 1,Ｄラムタラプリンス, 72,幸英明, 0.1, 80,   2,* 22, 5, 12.0,⑨⑨⑨, 2, 7,Ｌドリｰムシグナル, 61,小林淳, 0.3, 76,   8,* 12,12, 45.2, ⑨⑩
 3, 5,Ｄトラストミツル, 44,田中勝, 0.3, 49,  -9,   0, 5, 12.8, ⑥④, 3, 5, ジュメイラムｰン,---,北村宏, 0.5, 40, -21,   4, 2,  5.4, ⑤③, 3, 7,Ｂパッシングマｰク, 75,武豊  , 0.3, 76,*  5,  11, 4,  8.9,⑤④④, 3,12,Ｂレッツゴｰキリシマ, 67,幸英明, 0.3, 80,* 15,   3, 4,  8.4, ①②
 4,10,Ｆオリエンタルカイト, 42,松岡正, 0.7, 48,* -5, -11, 2,  4.6, ①①, 4, 3, コアグリｰン,---,松岡正, 0.9, 38, -25,   6, 8, 72.3, ⑤⑦, 4, 2,Ｅマイネルグラナｰテ, 70,北村宏, 0.7, 71,*  4,   5, 2,  3.4,④④④, 4, 1,Ｊフォｰチュンワｰド, 63,松岡正, 0.5, 71,   3,* 15, 6,  9.7, ⑭⑭
 5, 3,Ａタカラカリズマ, 50,吉田隼, 1.2, 41, -11,  -5, 6, 19.6, ⑪⑩, 5, 7, スプリングロック,---,吉田隼, 1.2, 28, -23,  -3, 5, 15.8, ④⑤, 5, 9,Ａレｰザｰズエッジ, 75,小野次, 0.7, 72,   4,   8, 3,  4.6,⑤④⑥, 5,13,Ｆミッキｰチアフル, 65,武豊  , 0.5, 75,  11,   4, 3,  8.2, ⑧⑥
 6, 9,Ｈマイネルアンジェロ, 32,蛯名正, 2.2, 33,  -9, -19, 8, 49.3, ⑥④, 6, 1, スマｰトキャスタｰ,---,後藤浩, 1.2, 29,*-19,  -9, 4,  8.4, ①①, 6, 8,Ｈソニックルｰラｰ, 63,蛯名正, 1.1, 67,*  6,  -4, 7, 22.4,②②②, 6, 2,Ｈホッカイカンティ, 64,武士沢, 0.8, 72,  12,  -2, 8, 17.7, ④④
 7, 6,Ｉトウショウスノウ, 30,伊藤直, 2.5, 30, -12, -17,10,160.5, ⑩⑩, 7, 2, アイスボックス,---,小林淳, 1.3, 30, -27,   3, 6, 26.9, ⑧⑧, 7, 6,Ｉヤマニンプレアデス, 53,小牧太, 1.5, 63,*  6, -11, 8, 32.7,①①①, 7,11,Ｇアポロフェニックス, 64,柴田善, 1.0, 68,  10,  -2,10, 28.8, ④⑥
 8, 1,Ｂブラックデビル, 49,小林淳, 2.6, 30,  -9, -23, 3,  4.9, ⑤④, 8, 4, サチノトップゲラン,---,田中勝, 2.8,-27, -24, -25, 7, 38.8, ⑤⑥, 8, 4,Ｆバンダムカｰン, 68,南田雅, 1.7, 62,   3,  -5, 9,105.9,⑦⑦⑦, 8,15,Ａミリオンウェｰブ, 69,小牧太, 1.1, 68,  13,  -8, 9, 28.4, ③③
 9, 2,Ｋリバｰブレイブ, 27,郷原洋, 2.9, 28, -11, -23, 9,133.7, ⑧⑧,,,,,,,,,,,,, 9, 3,Ｇトｰセンジョｰカｰ, 64,田中勝, 2.3, 56,   3, -14, 6, 12.5,⑦⑦⑦, 9, 3,Ｄリｰベストラウム, 67,田中勝, 1.4, 60,   3,   1, 7, 16.7, ⑭⑭
10, 8,Ｊチョウキング, 30,大野拓, 3.2, 25,  -9, -31,11,162.3, ③④,,,,,,,,,,,,,,,,,,,,,,,,,10, 5,Ｉハｰトオブクィｰン, 63,小野次, 1.4, 63,  12, -11, 5,  8.7, ④④
11, 4,Ｅマイネテオリア, 43,藤田伸, 4.0, 20,  -7, -40, 7, 37.6, ④③,,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｍシベリアントム, 55,吉田隼, 1.4, 61,   7,  -4,14, 85.5, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 8,Ｏダイワアンリ, 46,北村宏, 1.6, 59,   8,  -8,15,134.2, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｃエフティマイア, 67,蛯名正, 1.7, 57,   5,  -7, 2,  3.9, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｋイイデケンシン, 62,藤田伸, 2.3, 50,  10, -22,11, 30.5, ④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｎダイナマイトシコク, 54,郷原洋, 2.4, 52,* 16, -31,13, 81.7, ②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:3),,,,,,,,,,,
単勝:180円 複勝:07=110円 11=270円 05=240円 枠連:280円,,,,,,,,,,,,単勝:160円 複勝:08=100円 06=150円 05=120円 枠連:0円,,,,,,,,,,,,"単勝:260円 複勝:05=140円 01=240円 07=210円 枠連:1,460円",,,,,,,,,,,,"単勝:370円 複勝:14=150円 07=780円 12=290円 枠連:3,520円",,,,,,,,,,,
"馬連:790円 ワイド:07-11=350円 05-07=350円 05-11=1,040円",,,,,,,,,,,,馬連:420円 ワイド:06-08=200円 05-08=150円 05-06=300円,,,,,,,,,,,,"馬連:1,410円 ワイド:01-05=460円 05-07=470円 01-07=1,040円",,,,,,,,,,,,"馬連:10,400円 ワイド:07-14=2,910円 12-14=770円 07-12=4,050円",,,,,,,,,,,
"馬単:1,170円 3連複:2,010円",,,,,,,,,,,,馬単:640円 3連複:490円,,,,,,,,,,,,"馬単:1,930円 3連複:3,300円",,,,,,,,,,,,"馬単:14,770円 3連複:29,810円 3連単:170,230円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 9R  ダ1300m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅマイネルチャｰルズ, 42,松岡正,, 72,*  3,*  8, 2,  3.0,④②②, 1, 1,Ｄウインアンジェラス, 61,武豊  ,, 60,*  0,   2, 1,  2.0, ①①, 1, 3,Ｆミスタｰケビン, 72,北村宏,, 80,  -4,* 18, 3,  9.6, ⑨⑨, 1,10,Ｃスズカコｰズウェイ, 73,武豊  ,, 78,   3,  15, 1,  3.3, ③④
 2, 7,Ａサトノプログレス, 66,横山典, 0.3, 68,   1,*  7, 1,  2.1,⑥⑥⑤, 2,13,Ｇディスイズザライフ, 57,幸英明, 0.1, 62,  -5,   6, 7, 29.8, ⑧⑧, 2, 4,Ａアポロダヴィンチ, 80,後藤浩, 0.0, 76,*  1,* 13, 1,  1.9, ②②, 2, 5,Ｇキングルｰキｰ, 69,田中勝, 0.0, 76,*  4,  13, 2,  4.3, ③③
 3, 3,Ｂエアマックｰル, 50,蛯名正, 1.0, 60,*  3,  -9, 3,  4.0,②①①, 3,10,Ｌスキャットナンバｰ, 55,小林淳, 0.2, 65,  -8,* 11, 4, 13.5, ⑫⑬, 3, 5,Ｄコリントシチｰ, 72,柴田善, 0.6, 72,  -6,* 15, 8, 32.8, ⑫⑫, 3,12,Ｂパｰトゥｰアワｰズ, 74,北村宏, 0.1, 78,   2,  14, 4,  6.5, ⑩④
 4, 4,Ｃモエレタキオン, 47,北村宏, 1.2, 56,   1,  -7, 4, 13.0,⑥④⑤, 4,16,Ｈビｰボｰン, 56,蛯名正, 0.3, 61,  -6,   6,12, 60.1, ⑨⑩, 4,14,Ｂサキノリュウオｰ, 76,小島太, 0.9, 62,  -6,   9,12, 71.8, ⑨⑩, 4, 8,Ｌスｰパｰキャノン, 63,柴田善, 0.1, 71,*  7,   7, 5, 10.6, ①①
 5, 1,Ｄコスモムルシェラゴ, 47,幸英明, 2.0, 47,  -2, -14, 6, 24.8,⑧⑦⑦, 5, 5,Ｎジャスミンフレイズ, 52,大庭和, 0.3, 58,  -3,   2,16,183.0, ⑤④, 5, 2,Ｇマルブツバンダリｰ, 71,吉田隼, 0.9, 62,  -1,   6, 5, 10.3, ⑤④, 5, 9,Ｋキタノリュｰオｰ, 63,松岡正, 0.2, 80,  -1,* 19, 6, 11.5, ⑩⑩
 6, 8,Ｈトｰセンマウナロア, 25,小牧太, 2.3, 43,  -2, -18, 7, 82.3,⑤⑦⑦, 6, 3,Ｂリンクスクイン, 64,武士沢, 0.5, 58,  -6,   4, 5, 15.2, ⑨⑩, 6,12,Ｊセトノヒット, 70,田中勝, 1.0, 63,  -5,   9, 4, 10.2, ⑨⑩, 6,11,Ｄエイミングポイント, 73,吉田隼, 0.5, 72,  -2,  14,10, 70.2, ⑫⑩
 7, 5,Ｇケイアイサンダｰ, 31,後藤浩, 4.7, 24,*  3, -64, 5, 17.8,①③②, 7, 4,Ｍヨイチトレジャｰ, 54,田中勝, 0.5, 60,  -9,*  7,14,103.7, ⑬⑬, 7, 9,Ｍチョウカイシャトル, 63,郷原洋, 1.0, 62,  -3,   7,11, 69.7, ⑤⑦, 7, 3,Ａノｰプロブレム, 76,藤田伸, 0.6, 68,   0,  10, 3,  5.2, ⑧⑨
 8, 6,Ｆカシマジュリアン, 38,千葉直, 4.9, 15,   0, -68, 8,172.5,②④②, 8,12,Ｃシｰリｰコｰト, 64,藤田伸, 0.9, 51,  -3,  -3, 3,  9.7, ⑤④, 8, 8,Ｋレオフォｰレンス, 66,幸英明, 1.0, 61,*  0,   4,16,365.4, ③③, 8, 1,Ｈエフティイカロス, 68,蛯名正, 1.0, 60,   2,   3, 7, 11.7, ⑥⑦
,,,,,,,,,,,, 9,11,Ｊレディセラヴィ, 55,後藤浩, 0.9, 53,  -7,   2, 6, 16.4, ⑬⑫, 9, 1,Ｌトップオブドｰラ, 64,伊藤直, 1.1, 59,*  3,   0, 9, 51.0, ①①, 9, 4,Ｆマイネルランペｰジ, 69,武士沢, 1.1, 60,  -1,   6, 9, 27.3, ⑧⑩
,,,,,,,,,,,,10, 8,Ｆコクハク, 60,柴田善, 1.0, 49,*  0,  -9, 9, 35.1, ②②,10,16,Ｉアグネスレプトン, 71,小牧太, 1.1, 64,  -7,  11,10, 53.0, ⑫⑫,10, 7,Ｅシンデレラマン, 72,小牧太, 1.1, 59,   2,   1, 8, 25.7, ⑥⑦
,,,,,,,,,,,,11,14,Ａシャコｰアデル, 69,北村宏, 1.1, 48,* -1,  -9, 2,  3.9, ④③,11,13,Ｅエイワムサシ, 72,横山典, 1.2, 60,  -3,   5, 6, 12.8, ⑤⑦,11,13,Ｍクリノトップオｰ, 55,小林淳, 1.3, 57,  -2,   4,12,215.7, ⑬⑬
,,,,,,,,,,,,12, 9,Ｐパスタイム, 48,横山典, 1.1, 53, -11,   5,10, 35.1, ⑯⑯,12,10,Ｎプリンコックス, 62,土谷智, 1.2, 58,  -1,   3,15,126.6, ③④,12, 6,Ｊマリットチャｰジ, 64,大野拓, 1.4, 54,*  4, -11,13,235.4, ②②
,,,,,,,,,,,,13, 6,Ｅスズカノフジアロｰ, 60,草野太, 1.3, 46, -11,  -1,11, 52.3, ⑮⑮,13,15,Ｈダイワロシナンテ, 71,蛯名正, 1.4, 58,  -6,   7, 7, 24.0, ⑫⑫,13, 2,Ｉトｰセンデイジｰ, 68,幸英明, 2.9, 35,   3, -30,11,156.2, ③④
,,,,,,,,,,,,14,15,Ｏギブミｰアチャンス, 51,横山義, 1.4, 46,  -3,  -9,15,105.1, ⑦④,14,11,Ｐエイシンセイテン, 60,宗像徹, 1.5, 59, -10,  10,14,116.4, ⑯⑮,,,,,,,,,,,,
,,,,,,,,,,,,15, 2,Ｉメダイユドｰル, 56,大野拓, 1.8, 42,  -6, -10,13,102.7, ⑨⑧,15, 6,Ｃメジロファルカル, 75,松岡正, 1.6, 54,  -2,   0, 2,  5.3, ⑤④,,,,,,,,,,,,
,,,,,,,,,,,,16, 7,Ｋダンツクラフト, 55,松岡正, 3.2, 29,  -2, -28, 8, 30.4, ③④,16, 7,Ｏオｰデコロン, 61,岩部純, 2.4, 47, -10,   1,13, 82.3, ⑫⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:4),,,,,,,,,,,
単勝:300円 複勝:02=110円 07=100円 03=110円 枠連:0円,,,,,,,,,,,,単勝:200円 複勝:01=120円 13=630円 10=350円 枠連:470円,,,,,,,,,,,,"単勝:960円 複勝:03=250円 04=120円 05=450円 枠連:1,010円",,,,,,,,,,,,単勝:330円 複勝:10=140円 05=160円 12=160円 枠連:780円,,,,,,,,,,,
馬連:290円 ワイド:02-07=140円 02-03=180円 03-07=150円,,,,,,,,,,,,"馬連:2,880円 ワイド:01-13=1,420円 01-10=750円 10-13=3,810円",,,,,,,,,,,,"馬連:970円 ワイド:03-04=400円 03-05=2,330円 04-05=840円",,,,,,,,,,,,馬連:930円 ワイド:05-10=380円 10-12=390円 05-12=360円,,,,,,,,,,,
馬単:660円 3連複:260円,,,,,,,,,,,,"馬単:4,100円 3連複:11,940円",,,,,,,,,,,,"馬単:2,860円 3連複:4,780円 3連単:31,210円",,,,,,,,,,,,"馬単:1,610円 3連複:1,460円 3連単:6,170円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
