07年 6月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7.5,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■10R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
"馬連:3,440円 ワイド:03-07=870円 07-08=210円 03-08=2,610円",,,,,,,,,,,,"馬連:1,010円 ワイド:05-09=520円 01-05=590円 01-09=900円",,,,,,,,,,,,"馬連:1,070円 ワイド:03-11=380円 03-04=3,050円 04-11=4,170円",,,,,,,,,,,,"馬連:9,650円 ワイド:04-09=3,000円 04-06=370円 06-09=8,770円",,,,,,,,,,,
"馬単:4,380円 3連複:4,850円",,,,,,,,,,,,"馬単:1,890円 3連複:3,570円",,,,,,,,,,,,"馬単:2,110円 3連複:16,710円",,,,,,,,,,,,"馬単:13,920円 3連複:23,020円 3連単:117,940円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■11R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三木特別,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂトレド, 56,武豊  ,, 64,  -8,* 11, 2,  2.7,⑤④②, 1, 3, ビｰチアイドル,---,武豊  ,, 78,* 10,*  4, 2,  3.7, ①①, 1, 5,Ｄアラタマサモンズ, 71,小牧太,, 75,* -1,  14, 4, 12.0, ①①, 1, 7,Ｂワキノエクセル, 83,小牧太,, 85,* 10,* 11, 5, 10.6,③③③
 2, 8,Ａケｰジｰムサシ, 60,幸英明, 0.3, 62,  -8,*  9, 1,  1.6,⑦⑥④, 2, 6, シゲルザスカイ,---,佐藤哲, 0.6, 69,*  6,  -1, 6, 18.9, ②②, 2, 3,Ａレットバトラｰ, 83,幸英明, 0.0, 76,* -2,* 16, 1,  1.9, ②②, 2,16,Ｄアドマイヤスバル, 80,川田将, 0.3, 86,* 11,  10, 3,  5.3,③③②
 3, 5,Ｄマルブツゴｰルド, 51,藤岡康, 0.9, 54, -11,   4, 4, 13.3,⑦⑥⑥, 3,13, エｰシンエイホｰプ,---,川田将, 1.1, 61,  -7,*  4, 5, 13.8, ⑨⑧, 3, 1,Ｂクリソプレｰズ, 73,川田将, 0.2, 75,  -3,* 16, 3,  4.1, ③③, 3,11,Ａセフティｰステｰジ, 83,河北通, 0.9, 75,   4,* 13, 9, 17.7,⑬⑬⑫
 4, 3,Ｅパレスエンペラｰ, 50,太宰啓, 1.6, 50,* -6,  -8, 3, 11.3,①①①, 4, 2, アグネスクリスタル,---,吉原寛, 1.4, 56, -12,*  4, 3,  4.1, ⑪⑪, 4, 4,Ｅアグネスパウエル, 65,上村洋, 1.0, 59,  -5,   8, 5, 26.7, ④④, 4,12,Ｃスマｰトストリｰム, 81,岩田康, 1.0, 76,   8,   6, 1,  4.2,⑨⑨⑥
 5, 1,Ｈメイショウルｰス, 36,田中健, 1.9, 45,  -9, -10, 9,166.7,②②④, 5,14, ジョニｰバロｰズ,---,岩田康, 1.4, 56,  -1,  -7, 1,  2.7, ⑤④, 5, 2,Ｆスリｰハイシャトル, 53,石橋守, 1.8, 48,  -7,  -2, 6, 35.4, ⑤⑤, 5, 8,Ｆナナヨｰヒマワリ, 80,小原義, 1.3, 73,   6,   5, 6, 11.4,⑪⑩⑩
 6,10,Ｃブルｰラピス, 51,中村将, 2.2, 43,* -7, -14, 5, 48.4,②②③, 6, 4, ナリタスカｰレット,---,渡辺薫, 1.6, 53,  -9,  -2, 9, 53.5, ⑨⑩,,,,,,,,,,,,, 6, 3,Ｍゼンノトレヴィ, 70,武豊  , 1.5, 75,* 12,  -5, 2,  4.4,①①①
 7, 9,Ｊオｰミプラネット, 13,東川公, 3.4, 37, -10, -18,10,170.1,⑩⑥⑨, 7,12, ミッキｰアデュｰ,---,和田竜, 1.6, 53,   4, -15, 7, 31.3, ④②,,,,,,,,,,,,, 7,14,Ｌシンメイレグルス, 73,幸英明, 1.5, 72,   6,   5,11, 37.1,⑭⑪⑩
 8, 2,Ｇロｰドエスケｰプ, 36,佐藤哲, 3.4, 36,  -8, -21, 6, 99.0,④④⑥, 8, 7, マイネルコルベット,---,藤岡康, 1.8, 46,  -7, -11, 4,  8.2, ⑦⑧,,,,,,,,,,,,, 8, 2,Ｊウインレガｰト, 76,熊沢重, 2.0, 67,   7,  -5,13,113.1,⑤⑥⑥
 9, 6,Ｋファｰストプライズ,-71,川島信, 3.7, 35, -11, -19,11,214.6,⑩⑪⑩, 9, 5, テｰオｰショウキ,---,幸英明, 1.9, 48,  -4, -12, 8, 46.6, ⑦⑦,,,,,,,,,,,,, 9, 5,Ｈメイショウアズｰロ, 76,石橋守, 2.1, 65,   2,   6,10, 22.0,⑭⑮⑬
10, 7,Ｉアスカノジャック, 32,小原義, 3.9, 32,  -9, -25, 8,108.9,⑨⑥⑧,10, 9, アサケガｰル,---,太宰啓, 3.1, 28,  -2, -32,10, 60.7, ⑤④,,,,,,,,,,,,,10, 4,Ｏセルリアングルｰヴ, 67,中村将, 2.2, 61,   0,   3,15,187.4,⑯⑭⑮
11, 4,Ｆスリｰコジｰン, 40,熊沢重, 4.4, 29, -10, -27, 7,100.8,⑤⑩⑩,11, 8, グリｰンカラｰ,---,田中健, 3.2, 23, -34,  -6,14,213.0, ⑫⑫,,,,,,,,,,,,,11, 1,Ｇラバグルｰト, 77,吉原寛, 2.3, 64,   7,  -8,12, 63.3,⑧⑥⑨
,,,,,,,,,,,,12, 1, ハッピｰラベンダｰ,---,小牧太, 3.2, 27, -32,  -4,11, 71.9, ⑬⑫,,,,,,,,,,,,,12,15,Ｐペルフェット, 64,畑端省, 2.6, 61,   4,  -4,16,355.2,⑪⑪⑬
,,,,,,,,,,,,13,10, マイドリｰマｰ,---,中村将, 3.5, 19, -43,  -1,12, 91.8, ⑭⑭,,,,,,,,,,,,,13,13,Ｉメイショウシャフト, 76,佐藤哲, 3.1, 62,  10, -15, 4,  9.4,⑤⑤⑤
,,,,,,,,,,,,14,11, ブリｰズヘイロｰ,---,川島信, 3.9, 16,   2, -49,13,141.8, ②④,,,,,,,,,,,,,14, 6,Ｋメガトレンド, 75,和田竜, 3.2, 58,   8, -16, 8, 14.2,⑤⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｅリスキｰアフェア, 80,下原理, 4.1, 52,* 10, -30, 7, 12.6,②②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｎチェリｰライオｰ, 70,高橋亮,11.7,-42,  -2, -80,14,178.9,⑩⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:270円 複勝:11=100円 08=100円 05=150円 枠連:150円,,,,,,,,,,,,"単勝:370円 複勝:03=210円 06=470円 13=450円 枠連:2,510円",,,,,,,,,,,,"単勝:1,200円 複勝:05=310円 03=130円 枠連:0円",,,,,,,,,,,,"単勝:1,060円 複勝:07=380円 16=220円 11=500円 枠連:1,600円",,,,,,,,,,,
馬連:170円 ワイド:08-11=120円 05-11=230円 05-08=180円,,,,,,,,,,,,"馬連:2,640円 ワイド:03-06=1,040円 03-13=860円 06-13=2,050円",,,,,,,,,,,,馬連:860円 ワイド:03-05=300円 01-05=470円 01-03=190円,,,,,,,,,,,,"馬連:3,530円 ワイド:07-16=1,260円 07-11=2,590円 11-16=1,380円",,,,,,,,,,,
馬単:500円 3連複:370円,,,,,,,,,,,,"馬単:4,870円 3連複:9,620円",,,,,,,,,,,,"馬単:2,410円 3連複:790円",,,,,,,,,,,,"馬単:7,960円 3連複:17,450円 3連単:125,240円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■ 6R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,,■ 9R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃラフィナｰル, 58,岩田康,, 73,* -3,*  9, 2,  2.8, ④③, 1, 3,Ｇセイウンロデム, 35,和田竜,, 63,*  0,* -1, 9, 51.3,②③③, 1, 2,Ｅエｰシンエムシｰ, 65,岩田康,, 81,* 12,*  3, 8, 23.8, ①①, 1,12,Ｂクラクエンスキｰ, 75,岩田康,, 83,   5,* 20, 2,  2.9, ⑧⑦
 2, 4,Ｇキシュウアゲイン, 41,幸英明, 0.4, 65,* -2,*  3, 6, 19.8, ①①, 2, 5,Ａユウキタイティ, 60,幸英明, 0.3, 60,  -1,* -3, 1,  2.2,④③③, 2,14,Ｃテイエムヒスイ, 68,菊地昇, 0.2, 75,   8,*  6, 1,  2.2, ⑦④, 2, 6,Ｆランペイア, 66,上村洋, 0.0, 83,*  9,  10, 3,  4.4, ②②
 3, 9,Ｂトキノミスオｰス, 58,川田将, 0.6, 64,  -4,*  4, 1,  2.2, ④⑤, 3, 2,Ｅウォｰゲｰム, 50,岩田康, 0.7, 56,  -2,* -4, 2,  3.8,⑧⑤⑤, 3, 4,Ｂウレッコ, 69,中村将, 1.1, 61,   3,  -1, 3,  7.1, ⑨⑧, 3, 4,Ｄベイリングボｰイ, 67,川田将, 0.1, 80,   2,* 24, 4,  9.2, ⑬⑩
 4,11,Ｈタガノアルジェント, 40,橋本美, 1.3, 53,* -3,  -5, 4, 16.1, ②②, 4, 1,Ｂダブルダンスシチｰ, 56,佐藤哲, 0.9, 54,  -2,  -7, 5,  9.7,④⑤⑤, 4,10,Ｈフォｰチュネイタｰ, 62,赤木高, 1.2, 63,   5,  -2, 9, 27.7, ⑤⑥, 4, 7,Ａレｰスドｰル, 81,武豊  , 0.6, 75,   7,   5, 1,  2.5, ⑤⑤
 5,16,Ｍシゲルマハロ, 26,田中克, 1.5, 50,  -8,  -3,15,278.1, ⑦⑦, 5, 4,Ｆキングダムハｰト, 48,川田将, 1.5, 49,  -3, -10, 6, 21.1,⑥⑧⑧, 5, 1,Ｊマイティｰボタン, 59,上村洋, 1.4, 61,   6,  -5, 5, 16.4, ⑤⑥, 5,11,Ｇオオアタリ, 65,生野賢, 0.8, 72,   8,  -1, 6, 30.1, ③③
 6,10,Ｄミムズプレゼンタｰ, 55,下原理, 1.5, 52,  -4,  -5, 3,  5.9, ④⑤, 6, 9,Ｄエイシンイチバン, 50,下原理, 1.5, 50,*  0, -17, 3,  6.3,②②②, 6,15,Ｉイエスオアノｰ, 59,下原理, 1.4, 67,* 12, -10,14, 95.9, ②②, 6,13,Ｊイセノオｰ, 57,小牧太, 0.9, 71,* 11,  -8, 5, 20.6, ①①
 7,12,Ｅダノンビｰト, 51,荻野琢, 2.4, 40, -11,  -8, 7, 38.1, ⑩⑨, 7, 8,Ｈクロｰザｰ, 34,太宰啓, 2.2, 44,  -4, -15,11,250.8,⑩⑨⑨, 7, 3,Ｆテイエムヨカドｰ, 64,酒井学, 1.4, 58,   1,   0,13, 55.4, ⑬⑫, 7, 2,Ｈマチカネタヂカラオ, 65,佐藤哲, 1.1, 67,   2,   6, 8, 51.0, ⑪⑩
 8, 1,Ｊフィｰルドアルバ, 32,赤木高, 2.5, 44, -13,  -4,11,101.8, ⑭⑪, 8,11, スｰパｰガブリン,---,吉原寛, 2.6, 40,*  0, -30, 4,  9.1,①①①, 8, 6,Ｌビｰボｰン, 56,川田将, 1.4, 59,  -1,*  2,10, 31.5, ⑭⑫, 8, 9,Ｌワイルドバニヤン, 44,吉原寛, 1.3, 68,   7,  -3,12,149.2, ⑤⑤
 9,14, シロキタトップガン,---,和田竜, 2.5, 41,  -7, -11, 9, 66.0, ⑦⑦, 9, 7,Ｊセルゲイエフ, 32,中村将, 2.8, 37,  -5, -22,10, 89.3,⑩⑨⑩, 9, 7,Ａベレッツァ, 70,浜中俊, 1.5, 56,   1,  -3, 2,  4.8, ⑪⑩, 9,10,Ｃヤマカツシリウス, 69,熊沢重, 1.3, 65,   2,   3, 7, 39.0, ⑪⑩
10, 8, スリｰベイダｰ,---,太宰啓, 3.0, 37, -13,  -9,13,138.3, ⑫⑪,10, 6,Ｃヒシアワｰド, 50,石橋守, 2.8, 40,  -2, -25, 8, 30.7,⑥⑤⑤,10, 9,Ｏパレスルビｰ, 52,太宰啓, 1.9, 58,   9, -13,11, 31.9, ③③,10, 5,Ｉダイナミックルｰト, 61,橋本美, 1.3, 68,   9,  -7,10, 76.4, ③③
11, 3,Ｆセルリアンカムカム, 42,藤岡康, 3.6, 29, -16, -14, 8, 62.2, ⑫⑮,11,12, ライオングラス,---,武豊  , 3.2, 37,  -5, -23, 7, 24.7,⑫⑪⑪,11,12,Ｋネヴァテルミｰ, 57,小池隆, 1.9, 53,  -5,   0, 7, 20.4, ⑯⑯,11, 3, アラビアンムｰン,---,東川公, 1.4, 64,   5,  -3,11,131.2, ⑦⑦
12, 5,Ｌサフランドレス, 30,田中健, 3.6, 31, -10, -22,14,220.6, ⑦⑨,12,10,Ｉラブイズメジャｰ, 33,大下智, 6.1, 13,  -9, -47,12,362.3,⑧⑫⑫,12, 8,Ｄブリュンヒルト, 66,藤岡康, 2.1, 49,  -2,  -6, 4, 14.0, ⑭⑭,12, 8,Ｅショコラシチｰ, 67,中村将, 1.4, 63,   4,  -3, 9, 60.0, ⑧⑦
13,13,Ｎデルマウィリアム, 25,上野翔, 3.7, 31, -14, -14,16,372.2, ⑭⑪,,,,,,,,,,,,,13,13,Ｎスｰパｰマルトク, 54,吉原寛, 2.9, 45,   4, -18,15, 96.8, ⑦⑧,13, 1,Ｋダイモスハｰバｰ, 46,下原理, 3.6, 41,   0, -28,13,223.0, ⑩⑬
14, 6,Ａファインメモリｰ, 61,浜中俊, 3.8, 29, -13, -20, 5, 19.8, ⑩⑪,,,,,,,,,,,,,14, 5,Ｍバンビｰナピノ, 56,和田竜, 3.1, 42,   4, -20,12, 43.3, ⑨⑩,,,,,,,,,,,,
15, 2,Ｋシルクアロｰ, 31,河北通, 3.9, 30, -16, -14,12,108.3, ⑯⑯,,,,,,,,,,,,,15,16,Ｐバｰニングレッド, 48,高田潤, 5.0, 27,  10, -44, 6, 18.3, ③④,,,,,,,,,,,,
16, 7,Ｉホｰマンヒショウ, 34,中村将, 4.1, 26,* -4, -33,10, 76.3, ②③,,,,,,,,,,,,,16,11,Ｇクｰルモダン, 63,大下智, 5.1, 22,   0, -38,16,113.7, ⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
"単勝:280円 複勝:15=130円 04=330円 09=120円 枠連:2,100円",,,,,,,,,,,,"単勝:5,130円 複勝:03=760円 05=120円 02=140円 枠連:4,780円",,,,,,,,,,,,"単勝:2,380円 複勝:02=260円 14=130円 04=240円 枠連:1,120円",,,,,,,,,,,,単勝:290円 複勝:12=130円 06=160円 04=190円 枠連:230円,,,,,,,,,,,
"馬連:2,940円 ワイド:04-15=850円 09-15=180円 04-09=550円",,,,,,,,,,,,"馬連:4,370円 ワイド:03-05=1,370円 02-03=1,360円 02-05=180円",,,,,,,,,,,,"馬連:2,410円 ワイド:02-14=870円 02-04=1,450円 04-14=410円",,,,,,,,,,,,馬連:690円 ワイド:06-12=270円 04-12=440円 04-06=640円,,,,,,,,,,,
