07年11月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■ 4R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 7R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
 1, 4,Ｄウインアトラス, 49,岩田康,, 65,  -3,   5, 1,  1.6, ③②, 1, 9, サンライズラッシュ,---,川田将,, 65, -14,* 11, 1,  1.8, ③③, 1, 6,Ｆスタｰフォワｰド, 60,後藤浩,, 76,*  1,* 12, 5, 11.0,①①①, 1, 8,Ａダイワメジャｰ, 98,安藤勝,, 99,* 18,  18, 1,  3.8, ③②
 2,10,Ｃタケイチサイレンズ, 51,藤岡佑, 0.4, 65, -10,* 10, 8, 55.0, ⑧⑥, 2, 5, エｰシンドゥベタｰ,---,福永祐, 0.4, 55,*-12,   6, 2,  3.8, ②②, 2,11,Ａメイショウコレット, 71,田中健, 0.5, 69,  -3,* 10, 3,  7.0,⑤⑤⑤, 2, 7,Ｅスｰパｰホｰネット, 92,藤岡佑, 0.0,102,  14,  24, 4,  7.3, ⑧⑦
 3, 1,Ｈマルブツワイルド, 32,ムｰア, 0.5, 60,  -4,   2, 6, 29.8, ④④, 3, 4, メイショウロッシ,---,岩崎祐, 1.2, 46, -15,   2, 4,  9.3, ⑤④, 3, 5,Ｄジョｰモルデュｰ, 67,ペリエ, 0.6, 69,  -1,   9, 2,  4.9,⑤⑤⑤, 3,11,Ｄスズカフェニックス, 94,武豊  , 0.1,103,  11,* 29, 5,  8.2, ⑭⑬
 4, 3,Ｂカミングラック, 52,小牧太, 1.1, 51,* -2,  -7, 5, 10.9, ②①, 4,11, ベストグレイド,---,和田竜, 1.3, 44, -15,   1, 9, 52.7, ⑤④, 4, 7,Ｂスズカフェロｰ, 68,岩田康, 0.7, 66,*  0,   6, 1,  1.7,②②②, 4,12,Ｈアグネスアｰク, 90,藤田伸, 0.1,102,  12,* 26, 2,  5.0, ⑫⑩
 5, 9,Ｆファサｰド, 42,福永祐, 1.6, 46,  -5,  -8, 4,  9.9, ④④, 5, 1, ミラクルスピリット,---,藤田伸, 1.3, 43, -14,  -1, 5, 17.7, ③④, 5, 8,Ｈタムロブライアン, 58,幸英明, 1.0, 63,*  0,   4, 8, 63.5,③③②, 5, 9,Ｆカンパニｰ, 91,福永祐, 0.3,102,   8,* 31, 3,  5.1, ⑮⑮
 6, 7,Ｉベストオブメンバｰ, 32,藤岡康, 2.1, 40, -10,  -9,10,312.4, ⑥⑦, 6, 6, シゲルレスポワｰル,---,小牧太, 1.9, 38, -18,  -1, 6, 20.5, ⑧⑦, 6, 4,Ｅニシオハンセル, 63,高橋亮, 1.1, 63,  -2,   5, 4,  7.4,⑧⑤④, 6, 3,Ｊキングストレイル, 87,岩田康, 0.6, 91,  15,  14, 7, 18.4, ④④
 7, 6,Ｊピンクノヒョウ, 24,田村太, 2.2, 39, -13,  -6, 9,226.7, ⑩⑧, 7, 7, ケルンアリュｰル,---,池添謙, 1.9, 37, -17,  -3,10, 76.4, ⑦⑦, 7, 9,Ｃナムラマハラジャ, 68,藤岡康, 1.8, 53,  -4,  -1, 7, 48.3,⑦⑧⑧, 7, 2,Ｋエイシンドｰバｰ, 86,ルメｰ, 0.7, 90,  14,  14, 8, 20.8, ⑧⑩
 8, 2,Ａライジングバイオ, 53,幸英明, 2.3, 41,* -2, -18, 3,  8.3, ①②, 8, 2, ウィキッドウィンド,---,武豊  , 2.5, 36,*-10, -17, 3,  7.5, ①①, 8, 2,Ｉアグネスリュウ, 56,小牧太, 1.9, 54,*  0,  -5, 9,120.2,③③⑤, 8,17, ベクラックス,---,ムｰア, 0.7, 95,   7,* 26, 9, 24.4, ⑮⑮
 9, 8,Ｅワタシノオウジサマ, 47,ペリエ, 2.5, 38, -10, -11, 2,  4.3, ⑥⑧, 9,10, ゴｰルドサクセス,---,後藤浩, 4.4,-16, -18, -26, 7, 29.3, ⑧⑨, 9, 1,Ｇマヤノバルトｰク, 59,浜中俊, 2.9, 45,  -8,  -4, 6, 33.7,⑪⑪⑩, 9,14,Ｐピンクカメオ, 77,四位洋, 0.8, 93,   9,  22,11, 37.0, ⑮⑮
10, 5,Ｇタガノドミナｰレ, 39,角田晃, 3.1, 34, -11, -15, 7, 35.5, ⑧⑩,10, 3, アルフレッドパｰル,---,武幸四, 4.6,-25, -18, -28, 8, 49.5, ⑧⑨,10, 3,Ｊキョウコマチ, 46,小原義, 3.2, 46,  -5,  -7,11,328.2,⑧⑩⑪,10,15,Ｃジョリｰダンス, 95,川田将, 0.8, 86,  17,   8,14, 70.8, ④④
,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｋマイネルジュネス, 41,長谷川, 3.7, 46,  -4, -14,10,181.7,⑩⑨⑨,10, 4,Ｍマイネルシｰガル, 82,後藤浩, 0.8, 87,* 18,   6,10, 31.6, ④②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｂフサイチリシャｰル, 95,ペリエ, 0.9, 84,* 20,   1, 6, 17.9, ②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｇトウショウカレッジ, 91,池添謙, 1.0, 87,  12,  14,12, 53.5, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｉコイウタ, 87,吉田隼, 1.1, 84,  13,   9,13, 60.6, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,Ｌサンバレンティン, 83,角田晃, 1.2, 86,   7,  18,18,195.9, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｎロｰレルゲレイロ, 79,和田竜, 1.3, 80,  16,   2,15, 78.1, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｏピカレスクコｰト, 79,秋山真, 2.3, 66,  15, -13,17,174.1, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｑロｰエングリン, 74,武幸四, 5.3, 16,  17, -62,16, 79.8, ①⑦
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:98 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,
単勝:160円 複勝:04=110円 10=590円 01=380円 枠連:430円,,,,,,,,,,,,単勝:180円 複勝:09=110円 05=130円 04=150円 枠連:390円,,,,,,,,,,,,"単勝:1,100円 複勝:06=300円 11=200円 05=210円 枠連:350円",,,,,,,,,,,,"単勝:380円 複勝:08=170円 07=240円 11=290円 枠連:1,920円",,,,,,,,,,,
"馬連:3,830円 ワイド:04-10=1,260円 01-04=690円 01-10=6,210円",,,,,,,,,,,,馬連:410円 ワイド:05-09=170円 04-09=240円 04-05=430円,,,,,,,,,,,,"馬連:3,400円 ワイド:06-11=910円 05-06=1,110円 05-11=560円",,,,,,,,,,,,"馬連:1,870円 ワイド:07-08=810円 08-11=810円 07-11=1,370円",,,,,,,,,,,
"馬単:5,550円 3連複:13,890円",,,,,,,,,,,,馬単:560円 3連複:690円,,,,,,,,,,,,"馬単:7,220円 3連複:6,310円",,,,,,,,,,,,"馬単:3,120円 3連複:5,000円 3連単:24,050円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 6R  芝2000m 2 歳新馬(父) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,宝ｹ池特別,,,,,,,,,,,,與杼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａドキャｰレ, 62,小牧太,, 76,*  6,*  3, 1,  1.7, ①①, 1,10, ゴｰルデンガッツ,---,福永祐,, 43, -22,   8, 1,  2.6,③④③, 1, 9,Ｃシャイナムスメ, 78,浜中俊,, 83,   0,  22, 3,  6.2, ⑦⑥, 1,16,Ｍゼンノパルテノン, 68,ペリエ,, 86,* 11,* 11, 3,  8.1, ④②
 2, 6,Ｄファイナルファイト, 43,浜中俊, 0.4, 60,  -2,*  1, 5, 23.2, ③③, 2,11, マサヤマト,---,ペリエ, 0.0, 51, -24,* 12, 2,  4.6,⑤⑥⑦, 2, 5,Ｊエイジアンウインズ, 68,ルメｰ, 0.1, 82,  -1,  22, 6, 14.4, ③⑥, 2,10,Ｄマジックボンバｰ, 77,岩田康, 0.7, 78,   7,  10, 1,  2.3, ⑥⑥
 3, 9,Ｂマックスバリハイ, 53,ルメｰ, 0.7, 60,   1,  -4, 2,  2.7, ②②, 3, 7, マｰシフルフェイト,---,岩田康, 0.3, 41, -24,   8, 3,  4.8,⑦⑥⑦, 3, 6,Ｈマルブツライト, 71,後藤浩, 0.1, 84,  -4,* 25,12, 54.0, ⑩⑧, 3, 9,Ｆサラトガ, 72,小原義, 0.7, 79,   8,   8,12, 60.5, ⑤⑤
 4, 1,Ｅスパｰブ, 42,飯田祐, 1.3, 47,  -5,  -7, 8,134.5, ④④, 4, 4, カイゼリン,---,鮫島良, 0.5, 39, -25,   8, 8, 15.7,⑦⑩⑩, 4, 8,Ｆフミノバラｰド, 76,武幸四, 0.1, 87,  -6,* 28, 4,  9.0, ⑬⑫, 4,15,Ｌスマｰトギルド, 68,幸英明, 1.0, 73,   2,* 12,11, 53.0, ⑫⑪
 5, 5,Ｇランドフロンティア, 39,後藤浩, 1.7, 41,  -4, -14, 3,  8.6, ④④, 5, 9, ブルｰアンビシャス,---,長谷川, 0.6, 30, -23,   1, 4,  9.2,⑤④⑤, 5,12,Ｇビンチェロ, 73,小牧太, 0.3, 76,   0,  18, 5, 10.9, ③③, 5, 6,Ｈアグネスハッピｰ, 71,武幸四, 1.2, 72,   4,   8, 7, 20.7, ⑧⑦
 6, 4,Ｆバトルユｰタロｰ, 41,秋山真, 1.8, 39,  -7, -13, 7,111.4, ⑦⑦, 6, 5, アドマイヤナサ,---,川田将, 0.6, 30, -23,   1, 6, 15.0,⑩⑥⑦, 6, 3,Ｏスマｰトストｰム, 64,藤岡康, 0.6, 72,  -3,  17, 8, 21.0, ⑦⑧, 6,14,Ｃナムラアトランテス, 77,秋山真, 1.3, 70,   2,  10, 6, 13.0, ⑫⑫
 7, 3,Ｈファイナルパンチ, 31,幸英明, 1.8, 39,  -7, -13, 6, 32.6, ⑦⑦, 7, 2, コｰニングストｰン,---,後藤浩, 0.6, 28, -22,  -2, 9, 17.6,③③③, 7,13,Ａバｰジンフォレスト, 85,岩田康, 0.6, 78,  -9,* 25, 2,  3.6, ⑰⑰, 7, 7,Ｎマヤノポペット, 66,後藤浩, 1.3, 71,   3,   8,14,134.9, ⑧⑨
 8, 7,Ｃノｰスウイニング, 46,池添謙, 2.4, 31,  -4, -25, 4, 12.7, ④④, 8,12, メイショウオオマ,---,武豊  , 0.7, 27, -23,  -2, 7, 15.2,⑦⑥⑤, 8,11,Ｉウイングビｰト, 69,川田将, 0.6, 70,  -2,  16,10, 39.6, ⑩⑧, 8, 8,Ａメイショウカルド, 81,藤岡佑, 1.7, 71,* 12,  -7, 4, 10.4, ②①
 9, 2,Ｉプリンセスギンガ, 31,鮫島良, 3.0, 24, -10, -29, 9,147.5, ⑨⑦, 9, 1, スタｰルｰセント,---,幸英明, 0.7, 26,*-22,  -5, 5, 12.3,①①①, 9,14,Ｍヘラクレスバイオ, 66,長谷川, 0.7, 67,   0,  11,14, 75.5, ③③, 9, 4,Ｇブレイバｰ, 71,角田晃, 1.9, 65,   4,   1, 5, 10.7, ⑧⑨
,,,,,,,,,,,,10, 6, イサミスピリッツ,---,和田竜, 1.1, 26,*-22, -11,10,118.4,②②②,10,16,Ｐマザｰズウィッシュ, 63,吉田隼, 0.8, 65,*  3,   7,16,165.9, ①①,10, 2,Ｉレソナル, 71,四位洋, 1.9, 63,  -5,* 13,13, 61.5, ⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,11,17,Ｋナンゴクプラネット, 66,鮫島良, 0.8, 67,  -3,  14,11, 45.0, ⑩⑫,11,13,Ｏユｰセイハヤトオｰ, 60,高井彰, 2.0, 62,  -3,   9,16,439.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｄディｰプスピリット, 76,ペリエ, 0.8, 69,  -5,  18, 1,  3.5, ⑮⑯,12, 1,Ｂサンダルフォン, 78,安藤勝, 2.1, 64,   6,  -3, 2,  4.7, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,13,18,Ｂトｰワユメジ, 80,藤田伸, 1.0, 62,  -1,   8,13, 57.5, ⑦⑧,13,11,Ｊテイエムザエックス, 71,長谷川, 2.6, 59,   3,  -5, 8, 25.6, ⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｌヒノトリ, 66,高橋亮, 1.1, 62,  -6,  12,15,138.3, ⑮⑫,14,12,Ｐナイススマｰトワン, 54,川田将, 2.8, 56,   0,  -3,15,181.4, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｑプライムアクトレス, 62,藤岡佑, 1.4, 59,*  1,  -1,17,215.7, ②②,15, 3,Ｅファインスティｰル, 73,和田竜, 2.9, 59,* 13, -20, 9, 31.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｎワンダｰスタｰ, 66,武豊  , 1.4, 59,   0,   0, 7, 17.8, ③③,16, 5,Ｋアグネスカルミア, 68,福永祐, 3.6, 53,* 13, -27,10, 42.5, ①④
,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｅレットバトラｰ, 76,角田晃, 1.6, 55,  -6,   5, 9, 25.1, ⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,
"単勝:170円 複勝:08=100円 06=300円 09=110円 枠連:1,140円",,,,,,,,,,,,単勝:260円 複勝:10=130円 11=150円 07=150円 枠連:360円,,,,,,,,,,,,"単勝:620円 複勝:09=240円 05=440円 06=1,250円 枠連:3,100円",,,,,,,,,,,,単勝:810円 複勝:16=240円 10=140円 09=640円 枠連:830円,,,,,,,,,,,
"馬連:1,990円 ワイド:06-08=480円 08-09=120円 06-09=550円",,,,,,,,,,,,馬連:710円 ワイド:10-11=300円 07-10=250円 07-11=400円,,,,,,,,,,,,"馬連:3,170円 ワイド:05-09=1,360円 06-09=4,960円 05-06=8,690円",,,,,,,,,,,,"馬連:1,030円 ワイド:10-16=440円 09-16=5,030円 09-10=1,460円",,,,,,,,,,,
"馬単:2,500円 3連複:860円",,,,,,,,,,,,"馬単:1,050円 3連複:1,010円",,,,,,,,,,,,"馬単:6,310円 3連複:63,190円 3連単:269,050円",,,,,,,,,,,,"馬単:2,560円 3連複:16,860円 3連単:98,390円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
