07年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.1,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,, 9,13, テイエムマｰチ,,柴田未, 5.7,,,,12,100.2,⑪⑩⑩, 9, 3, アドマイヤスワット,---,岩田康, 1.0, 47, -23,  15, 4, 15.6, ⑧⑨, 9,11,Ａミゼリコルデ, 72,四位洋, 1.8, 54,  -1,  -4, 2,  9.2, ⑪⑪
,,,,,,,,,,,,10, 7, ユウタｰビスケット,,内田浩, 6.0,,,,10, 66.9,⑦⑥⑥,10, 1, シロキタツヨシ,---,ホワイ, 1.7, 36, -19,  -4,10, 77.5, ⑤⑤,10, 5,Ｉマルブツキング, 53,プラｰ, 2.3, 49,   6, -24, 9, 33.1, ④④
,,,,,,,,,,,,11,11, テｰオｰドラゴン,,宇田登, 6.5,,,,11, 82.6,⑩⑩⑫,11, 9, ヒシディｰバ,---,角田晃, 1.7, 36, -19,  -4, 5, 28.2, ②⑤,11, 8,Ｋナリタスレンダｰ, 47,福永祐, 2.7, 45,*  9, -35, 8, 29.3, ④②
,,,,,,,,,,,,12,14, ヒミノホシ,,岩崎祐, 7.5,,,, 7, 21.3,⑥⑥⑦,12, 7, テイエムグロｰバル,---,幸英明, 3.7,-33, -30, -16,13,161.8, ⑫⑫,12, 1, ゴｰルドコイン,---,佐藤友, 9.1,-82, -15, -94,12,272.4, ⑫⑫
,,,,,,,,,,,,13, 2, ユウガブリエル,,今村康, 8.3,,,,14,162.3,⑪⑬⑬,13,11, ニホンピロリッチ,---,酒井学, 4.0,-42, -31, -18,12,151.8, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+25 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,170円 複勝:01=260円 05=260円 07=160円 枠連:0円",,,,,,,,,,,,単勝:190円 複勝:04=120円 09=790円 08=300円 枠連:510円,,,,,,,,,,,,単勝:150円 複勝:10=110円 12=130円 04=760円 枠連:250円,,,,,,,,,,,,"単勝:1,660円 複勝:02=350円 03=270円 10=110円 枠連:7,470円",,,,,,,,,,,
"馬連:5,130円 ワイド:01-05=960円 01-07=440円 05-07=490円",,,,,,,,,,,,"馬連:3,400円 ワイド:04-09=1,260円 04-08=530円 08-09=4,290円",,,,,,,,,,,,"馬連:260円 ワイド:10-12=160円 04-10=1,800円 04-12=2,780円",,,,,,,,,,,,"馬連:7,350円 ワイド:02-03=1,980円 02-10=520円 03-10=410円",,,,,,,,,,,
"馬単:10,290円 3連複:4,320円",,,,,,,,,,,,"馬単:4,980円 3連複:11,060円",,,,,,,,,,,,"馬単:390円 3連複:4,400円",,,,,,,,,,,,"馬単:11,870円 3連複:2,980円 3連単:49,450円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6.9,,,,,■ 5R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■11R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝﾎｲｯﾌﾟT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａエｰソングフォｰ, 63,ウィリ,, 69,* -2,*  7, 1,  1.6, ②②, 1, 7,Ｃシｰクレットハｰト, 39,幸英明,, 50,*-14,*  1, 2,  4.3,③②②, 1, 8,Ｃユウキタイティ, 61,幸英明,, 61,*-12,*  9, 1,  2.6,①①②, 1,10,Ｂカネトシツヨシオｰ, 77,赤岡修,, 87,  19,   4, 4,  7.4, ⑧⑦
 2, 1,Ｂエｰシンドゥベタｰ, 56,福永祐, 0.6, 63,* -1,   0, 2,  2.3, ①①, 2, 5,Ｄニケダイヤモンド, 37,福永祐, 0.2, 47,*-14,* -1, 8, 32.2,②②②, 2, 9,Ａシゲルアラムシャ, 65,田村太, 0.1, 60,*-15,* 10, 3,  5.4,③③⑤, 2,13,Ｌワイルドファイアｰ, 64,ウィリ, 0.0, 88,  20,   3,11, 50.9, ⑪⑦
 3, 3,Ｃカネトシトレンド, 48,鮫島良, 1.1, 58,  -4,  -1, 3, 14.5, ④③, 3, 2,Ｂミラクルスピリット, 43,藤田伸, 0.3, 44,*-13,  -3, 4,  7.8,①①①, 3, 6,Ｂマｰブルワンダｰ, 63,後藤浩, 0.3, 58,*-13,   8, 4,  7.4,⑤⑤②, 3,11,Ａハイソサエティｰ, 80,安藤勝, 0.1, 86,  21,  -1, 2,  4.5, ⑤④
 4, 6,Ｄユウタｰダｰツ, 40,岩崎祐, 1.8, 52,  -6,  -6, 7, 73.0, ⑤⑤, 4, 4,Ｈダンツファイナル, 29,岩田康, 0.6, 44, -15,  -2, 1,  2.4,⑤④⑥, 4,10,Ｄニホンピロレガｰロ, 59,酒井学, 0.6, 50,*-12,   3, 6, 15.4,②②①, 4, 8,Ｃスズカコｰズウェイ, 75,パスキ, 0.1, 87,  22,  -2, 1,  2.8, ⑤④
 5, 7,Ｅエｰシンアウォｰド, 37,幸英明, 2.3, 47,  -3, -14, 4, 23.1, ②③, 5, 1,Ｇナムラフュｰチャｰ, 30,田中勝, 0.8, 40, -15,  -5, 6, 16.0,③④④, 5, 4,Ｉファンドリコンドル, 54,プラｰ, 0.8, 53, -15,   7, 9, 28.9,⑤⑥⑦, 5,12,Ｉニュｰビギニング, 68,ボッソ, 0.2, 83,  16,*  6, 5,  7.7, ⑬⑫
 6, 4,Ｇセキサンキュｰト, 11,石橋守, 3.0, 40, -13,  -9, 5, 58.6, ⑦⑦, 6, 6,Ｅチキリボｰイ, 37,安藤勝, 1.0, 40, -17,  -3, 3,  4.5,⑨⑨⑥, 6, 3,Ｋサミｰデザｰト, 49,赤岡修, 0.9, 52, -15,   6,11, 97.7,⑦⑥⑦, 6, 2,Ｅトウカイルナ, 74,岩田康, 0.3, 79,   8,* 18, 6, 18.2, ⑮⑮
 7, 5,Ｆシゲルハラパン, 37,船曳文, 3.0, 38,  -8, -17, 6, 64.2, ⑥⑥, 7, 3,Ａメイショウクレスタ, 51,飯田祐, 1.7, 31, -15, -14, 5,  8.6,⑧④⑤, 7,11,Ｌセンタｰグランタス, 48,パスキ, 1.0, 45,*-13,   2, 2,  4.3,③③②, 7,14,Ｄサンクスアロット, 74,ルパル, 0.3, 83,  19,  -1, 3,  5.4, ⑧⑦
,,,,,,,,,,,, 8, 9,Ｆカリュウド, 33,田嶋翔, 1.7, 31, -15, -13, 7, 30.2,⑤④⑧, 8, 7,Ｈリリアンタイム, 56,鮫島良, 1.1, 47, -14,   3,10, 30.9,⑦⑥⑤, 8, 9,Ｆサンキンバスタｰ, 71,サンダ, 1.0, 74,  20, -13,13, 56.5, ⑤⑦
,,,,,,,,,,,, 9, 8,Ｉゴｰルドライダｰ, 22,赤岡修, 1.9, 30, -17, -12, 9, 60.3,⑦⑧⑧, 9, 2,Ｆテイエムヒリュウ, 57,和田竜, 1.2, 49, -16,   5, 7, 20.6,⑦⑨⑩, 9, 3,Ｊノｰザンキッズ, 68,武豊  , 1.2, 73,* 24, -22, 9, 40.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,10, 1,Ｅカスタリア, 58,シュタ, 1.5, 42, -15,   2, 8, 26.8,⑩⑨⑦,10, 1,Ｋキタサンメッセｰジ, 66,後藤浩, 1.3, 69,  16, -12,14,106.1, ⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｇゼンノビｰト, 57,秋山真, 1.9, 40, -17,   2, 5, 12.3,⑩⑫⑫,11, 4,Ｍサクライナセ, 63,ホワイ, 1.5, 68,  22, -24,10, 49.0, ③④
,,,,,,,,,,,,,,,,,,,,,,,,12,12,Ｊカルストンチｰタｰ, 50,角田晃, 2.4, 34, -16,  -6,12,161.0,⑩⑨⑪,12, 5,Ｇスマイルフォライフ, 69,田中勝, 1.6, 65,  12,  -8,12, 53.6, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｈプリンスコウベ, 69,シュタ, 1.9, 62,  17, -22,15,260.8, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｏヒシアスペン, 16,角田晃, 2.3, 58,* 23, -38, 7, 32.5, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｎヤマカツブライアン, 61,プラｰ, 2.8, 53,* 24, -47, 8, 33.0, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,
単勝:160円 複勝:02=100円 01=110円 枠連:0円,,,,,,,,,,,,"単勝:430円 複勝:07=170円 05=530円 02=210円 枠連:5,240円",,,,,,,,,,,,単勝:260円 複勝:08=120円 09=160円 06=190円 枠連:520円,,,,,,,,,,,,単勝:740円 複勝:10=210円 13=780円 11=190円 枠連:950円,,,,,,,,,,,
馬連:120円 ワイド:01-02=100円 02-03=160円 01-03=160円,,,,,,,,,,,,"馬連:4,240円 ワイド:05-07=1,160円 02-07=440円 02-05=2,270円",,,,,,,,,,,,馬連:790円 ワイド:08-09=300円 06-08=370円 06-09=560円,,,,,,,,,,,,"馬連:15,070円 ワイド:10-13=3,460円 10-11=640円 11-13=2,880円",,,,,,,,,,,
馬単:200円 3連複:200円,,,,,,,,,,,,"馬単:6,350円 3連複:6,840円",,,,,,,,,,,,"馬単:1,310円 3連複:1,540円",,,,,,,,,,,,"馬単:29,250円 3連複:21,810円 3連単:177,320円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 6R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝﾌﾞｰﾂT,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａデビルズコｰナｰ, 55,武豊  ,, 72,*  6,*  1, 1,  1.1, ①①, 1, 9, インプルｰヴ,---,武豊  ,, 67,  -5,*  6, 1,  1.7, ③③, 1,14,Ａダブルティンパニｰ, 83,後藤浩,, 74,*  0,  13, 1,  2.5,②②②, 1, 4,Ｂマジックボンバｰ, 78,岩田康,, 79,   7,  10, 1,  2.2, ⑥⑥
 2, 2,Ｂメイショウロｰラン, 51,飯田祐, 0.2, 66,   2,*  1, 2, 11.0, ②②, 2, 3, コスモイライザ,---,安藤勝, 0.2, 62,* -3,   2, 2,  2.8, ②②, 2,11,Ｉブラックシャンツェ, 68,パスキ, 0.2, 73,* -1,  13, 9, 22.4,③④④, 2,15,Ｆテンザンモビｰル, 71,武豊  , 0.2, 77,   6,  10, 6, 13.0, ⑨⑧
 3, 1,Ｄラブイズビクトリｰ, 36,幸英明, 0.7, 54,  -2,  -2, 4, 17.4, ⑥⑤, 3, 2, アンジェロバンダム,---,後藤浩, 0.4, 59,* -2,  -1,10, 68.5, ①①, 3,13,Ｍアヴェンティｰノ, 64,安藤勝, 0.3, 72,  -2,  13, 6, 12.7,⑤⑤④, 3,12,Ｉレッドキャタピラｰ, 69,池添謙, 0.2, 79,*  9,   5, 3,  7.4, ③③
 4, 9,Ｃトミｰラヴ, 42,岩田康, 1.0, 48, -10,*  1, 3, 13.2, ⑨⑧, 4, 5, スカイズザリミット,---,岩崎祐, 0.7, 57,  -7,   1, 3, 14.8, ⑤③, 4,12,Ｊアキノレッドスタｰ, 67,赤岡修, 0.3, 65,*  1,   5,13, 40.8,①①①, 4, 3,Ｃオネストジョン, 76,藤田伸, 0.2, 80,* 11,   3, 2,  4.6, ①①
 5, 3,Ｇウィキッドウィンド, 36,プラｰ, 1.2, 49,   2, -15, 8, 65.1, ②②, 5, 4, カウンセラｰ,---,畑端省, 0.8, 54,  -6,  -1, 7, 47.3, ③③, 5, 2,Ｅイイデレインジャｰ, 71,岩田康, 0.5, 79,  -6,* 19, 5, 12.1,⑫⑬⑬, 5, 7,Ｌアグネスボゾン, 66,角田晃, 0.4, 73,   2,* 13,11, 54.3, ⑭⑬
 6, 8,Ｉサイキョウケンザン, 30,秋山真, 1.2, 47,  -1, -12, 6, 54.4, ⑤⑤, 6, 8, メイショウセラヴィ,---,四位洋, 0.9, 54,  -9,   1, 4, 15.0, ⑦⑥, 6,15,Ｂクラクエンスキｰ, 76,シュタ, 0.5, 73,  -4,* 14, 4, 10.8,⑫⑫⑪, 6,10,Ｄマチカネニオウミヤ, 75,石橋守, 0.5, 75,   7,   5,10, 50.5, ⑧⑧
 7, 6,Ｆテイエムセレス, 36,和田竜, 1.6, 40,  -2, -17, 9,159.4, ⑥⑤, 7, 6, ニシノクニカラ,---,藤田伸, 1.6, 45, -12,  -3, 8, 51.5, ⑩⑦, 7, 4,Ｆパッシングマｰク, 71,武豊  , 0.5, 73,  -4,* 14, 3,  8.6,⑩⑨⑦, 7,13,Ｈファインスティｰル, 70,和田竜, 0.6, 74,   8,   3, 9, 26.2, ⑤③
 8, 5,Ｈマッキｰサマンサ, 34,藤田伸, 1.9, 38,   2, -26, 7, 59.8, ②②, 8, 1, ドラスティッカｰ,---,赤岡修, 2.6, 35, -10, -15, 6, 22.3, ⑦⑦, 8, 1,Ｃトシザショｰマ, 75,ホワイ, 0.6, 65,  -2,   8, 2,  5.3,⑤⑤④, 8, 8,Ｊラフィナｰル, 68,川田将, 0.6, 71,   2,  10, 4, 11.2, ⑫⑬
 9, 4,Ｅシゲルデセオ, 36,赤岡修, 2.3, 30,  -5, -24, 5, 42.0, ⑧⑧, 9,10, マウルル,---,酒井学, 3.4, 29, -17, -17,11,246.4, ⑪⑪, 9, 9,Ｏフレアリングベスト, 59,サンダ, 0.6, 66,  -3,  10,14, 92.1,⑩⑨⑦, 9,16,Ｋハイオン, 67,田中勝, 0.9, 69,   4,   5, 5, 12.0, ⑨⑧
,,,,,,,,,,,,10,11, ロングビシャモン,---,福永祐, 4.2, -6,  -9, -32, 9, 67.0, ⑥⑦,10, 3,Ｎケンブリッジマイア, 62,角田晃, 0.8, 58,* -1,   2,11, 36.2,③②②,10, 6,Ｐスズカアトラス, 58,ルパル, 0.9, 69,   4,   5,12, 77.8, ⑪⑪
,,,,,,,,,,,,11, 7, ケイアイヤサラム,---,幸英明, 4.5,-19, -10, -34, 5, 20.2, ⑦⑦,11, 5,Ｇウィルビｰキング, 70,プラｰ, 1.0, 67,  -7,  13,10, 26.1,⑭⑮⑮,11, 2,Ａスタｰボイジャｰ, 79,藤岡佑, 1.0, 66,  -1,  10, 8, 24.6, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｈスズカダｰク, 68,ボッソ, 1.2, 55,  -3,   0, 8, 22.4,⑦⑦⑦,12, 5,Ｏタケイチマサル, 62,幸英明, 1.1, 66,   0,   8,16,250.1, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｋアドマイヤゴルゴ, 66,ルパル, 1.3, 58,  -6,   6, 7, 15.1,⑭⑭⑬,13, 9,Ｎソリッドエビデンス, 62,ウィリ, 1.2, 66,   4,   2,14,164.0, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｌフェルヴィｰド, 64,ウィリ, 1.3, 54,  -4,   2,12, 38.8,⑦⑨⑪,14, 1,Ｅブルｰプレミアム, 74,四位洋, 1.5, 66,*  9,  -8, 7, 24.4, ③③
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｄストンコｰルド, 72,田中勝, 1.3, 53,  -3,  -1,15,120.7,⑦⑦⑦,15,11,Ｇヴァンジェｰロ, 70,プラｰ, 1.7, 65,* 10, -11,13, 93.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｍトランプ, 65,内田浩, 2.4, 57,   7, -14,15,166.6, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-4),,,,,,,,,,,
単勝:110円 複勝:07=100円 02=120円 01=150円 枠連:270円,,,,,,,,,,,,単勝:170円 複勝:09=110円 03=120円 02=910円 枠連:230円,,,,,,,,,,,,"単勝:250円 複勝:14=140円 11=540円 13=400円 枠連:1,590円",,,,,,,,,,,,単勝:220円 複勝:04=120円 15=320円 12=300円 枠連:490円,,,,,,,,,,,
馬連:260円 ワイド:02-07=120円 01-07=200円 01-02=340円,,,,,,,,,,,,"馬連:220円 ワイド:03-09=140円 02-09=1,210円 02-03=1,760円",,,,,,,,,,,,"馬連:2,620円 ワイド:11-14=1,280円 13-14=850円 11-13=3,550円",,,,,,,,,,,,"馬連:1,290円 ワイド:04-15=500円 04-12=400円 12-15=2,320円",,,,,,,,,,,
馬単:310円 3連複:450円,,,,,,,,,,,,"馬単:350円 3連複:3,550円",,,,,,,,,,,,"馬単:3,890円 3連複:8,960円 3連単:52,350円",,,,,,,,,,,,"馬単:2,000円 3連複:4,070円 3連単:17,920円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
