07年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 4R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,, 9,13,Ｋロｰリエカルラ, 31,北村宏, 2.1, 31,  -3, -34,11,119.9,⑪⑩⑩, 9,10,Ｌハンスジャック, 42,小林淳, 1.3, 57,  -9,* 19,14,151.7,⑬⑯⑯, 9,16,Ｊクラウニングワｰク, 71,福永祐, 1.3, 67,   3,  10, 9, 37.9, ⑬⑫
,,,,,,,,,,,,10,10,Ａラヴリｰアクション, 50,田中博, 2.3, 27,*  0, -44, 2,  2.6,②②③,10,11,Ｍシルクカクテル, 42,大野拓, 1.4, 52,  -5,   1,12,113.0,⑮⑬⑬,10,15,Ｎシャドウムｰン, 64,安藤光, 1.3, 64,   5,   5,16,176.3, ④③
,,,,,,,,,,,,11, 3,Ｉセレブレイトコｰル, 35,的場勇, 2.9, 25,  -3, -45, 9, 73.2,⑨⑨⑩,11, 1,Ｋミウラマリリン, 43,田中博, 1.7, 47,  -7,   0,11, 55.3,⑮⑮⑮,11,17,Ｌキングルｰキｰ, 70,柴田善, 1.3, 63,*  7,   2, 4, 13.0, ④③
,,,,,,,,,,,,12, 4,Ｅホウヨウメイン, 41,柴田善, 3.2, 25,*  0, -50, 1,  2.4,③②③,12, 7,Ｎパパノエル, 41,安藤光, 2.0, 48,  -5,  -6,10, 54.7,⑫⑬⑬,12, 1,Ｑレッドスタｰライト, 57,村田一, 1.5, 68,  -2,  15,17,286.7, ⑯⑯
,,,,,,,,,,,,13, 6,Ｍベリｰクレヴァｰ, 24,石神深, 5.3, -1,  -6, -57,12,319.0,⑥⑫⑬,13, 9,Ｆロｰランデザｰト, 50,石神深, 2.0, 47,  -2, -15, 7, 18.7,⑩⑨⑦,12, 2,Ｒシュウザンコンドル, 57,土谷智, 1.5, 62,   3,   5,18,373.6, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｉシルクファンタジｰ, 45,北村宏, 2.1, 43,  -1, -24, 3, 11.9,⑤④④,14, 4,Ｈグロリアスアｰチ, 74,吉田豊, 1.5, 65,   1,  10, 7, 29.2, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏシルキｰメイン, 38,小野次, 2.1, 45,*  1, -26,15,233.4,③③③,15, 5,Ｍブライトアイズ, 70,吉田隼, 1.6, 60,*  6,  -1,13, 81.7, ③③
,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｐネライダ, 31,五十嵐, 3.5, 36,  -1, -41,16,259.4,⑤⑥⑩,16, 8,Ｇエイシンインパｰル, 74,中舘英, 1.6, 65,  -1,  11,11, 56.3, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｏインパｰフェクト, 63,木幡初, 1.8, 58,   0,   4,14,106.2, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｄノットユアビジネス, 78,江田照, 1.9, 57,   1,   3,10, 42.2, ⑭⑭
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,
単勝:450円 複勝:04=200円 05=120円 枠連:0円,,,,,,,,,,,,単勝:950円 複勝:05=240円 11=360円 01=420円 枠連:210円,,,,,,,,,,,,"単勝:250円 複勝:16=140円 08=320円 06=320円 枠連:1,580円",,,,,,,,,,,,単勝:150円 複勝:12=110円 09=190円 10=170円 枠連:290円,,,,,,,,,,,
馬連:520円 ワイド:04-05=210円 03-04=670円 03-05=660円,,,,,,,,,,,,"馬連:4,140円 ワイド:05-11=1,320円 01-05=1,620円 01-11=1,630円",,,,,,,,,,,,"馬連:1,940円 ワイド:08-16=670円 06-16=750円 06-08=1,700円",,,,,,,,,,,,馬連:600円 ワイド:09-12=280円 10-12=260円 09-10=790円,,,,,,,,,,,
"馬単:1,190円 3連複:1,700円",,,,,,,,,,,,"馬単:8,070円 3連複:15,010円",,,,,,,,,,,,"馬単:2,900円 3連複:5,920円",,,,,,,,,,,,"馬単:740円 3連複:1,400円 3連単:3,550円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 5R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,越後ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆピｰチドラフト, 44,木幡初,, 67,  -6,*  9, 3,  9.2, ③③, 1, 7, エスケｰアパッチ,,五十嵐,,,,, 2,  3.4,①②②, 1,10,Ｉアイファｰラブラブ, 58,西田雄,, 64,  -1,*  9, 9, 39.7, ⑪⑩, 1,14,Ｃスリｰプレスナイト, 78,上村洋,, 81,   7,  15, 2,  3.4, ⑤⑤
 2, 2,Ａリッシンボス, 60,柴田善, 0.0, 64,* -1,*  5, 1,  1.4, ①①, 2, 1, ハウルサンダｰ,,浜野谷, 0.3,,,, 1,  2.1,②①①, 2, 7,Ｆウェディングライト, 61,吉田豊, 0.0, 67,   7,   1, 7, 21.6, ③⑤, 2, 7,Ｂエアアドニス, 83,蛯名正, 0.3, 80,   2,* 18, 3,  5.5, ⑨⑨
 3, 6,Ｄトライデント, 47,石橋脩, 0.6, 58,  -8,*  5, 2,  7.5, ④④, 3, 2, ワイズタイクｰン,,穂苅寿, 0.7,,,, 3,  6.0,④③④, 3, 5,Ｅカサデアンジェラ, 62,石橋脩, 0.2, 68,* 10,  -4, 2,  5.5, ①①, 3, 1,Ｆオヤマハリケｰン, 75,柴田善, 0.3, 82,  -1,* 20, 7, 30.2, ⑪⑪
 4, 4,Ｇビコｰポシブル, 39,石神深, 1.1, 49,* -3,  -4, 4, 15.7, ②②, 4, 3, ジェネラスボｰイ,,宗像徹, 1.3,,,, 7, 31.9,④⑤④, 4,11,Ｄヤマニンジャルダン, 65,二本柳, 0.5, 62,   5,  -2,10, 45.3, ⑥⑤, 4,11,Ｈアドマイヤキラメキ, 73,福永祐, 0.3, 79,   5,  16, 4, 11.0, ⑧⑥
 5,12,Ｈカシノテンカ, 36,二本柳, 1.3, 48,  -9,  -1, 9, 47.8, ⑥⑥, 5, 5, サムタイム,,金子光, 1.5,,,, 4,  7.3,②③②, 5, 1,Ａモンプティクｰル, 73,宮崎北, 0.5, 55,  -6,*  6, 6, 15.2, ⑫⑫, 5,10,Ｇラガｰリｰダｰ, 74,村田一, 1.0, 68,   6,   8,10, 60.3, ⑦⑥
 6,11,Ｊアイアムアスリｰダ, 34,大庭和, 1.5, 46, -11,  -1, 7, 27.1, ⑦⑦, 6, 6, マイネルブｰバリス,,高野和, 2.0,,,, 8, 54.3,⑦⑥⑥, 6,12,Ｇリヒタｰ, 59,吉田隼, 0.5, 61,   4,  -1, 4, 12.6, ⑦⑧, 6, 9,Ａトｰセンブレイク, 87,後藤浩, 1.1, 65,* 10,   3, 1,  2.3, ③②
 7, 9,Ｋセラフィナイト, 28,北村宏, 1.6, 44,  -7,  -6,10, 59.6, ④④, 7, 4, エプソムフォルテ,,大庭和, 3.1,,,, 5, 17.9,⑨⑨⑧, 7, 2,Ｂプレンティラヴ, 72,蛯名正, 0.6, 62,*  8,  -6, 1,  1.7, ③②, 7, 3,Ｊスパイン, 71,石神深, 1.1, 65,* 12,   1, 6, 19.8, ①①
 8, 1,Ｂザドリｰムチャンプ, 49,小林淳, 1.6, 47, -16,   3, 5, 21.2, ⑫⑪, 8, 9, チアズゴクウ,,横山義, 6.7,,,, 6, 20.6,④⑦⑦, 8,14,Ｈデアリングワｰルド, 59,木幡初, 0.6, 62,*  8,  -6, 8, 36.4, ③②, 8,12,Ｌタイラントシチｰ, 65,小林淳, 1.1, 72,  -6,* 18,13,100.3, ⑭⑬
 9, 8,Ｃザライオンヒｰト, 48,小野次, 1.6, 45, -13,   0, 6, 24.1, ⑨⑨, 9, 8, ジャスミンフレイズ,,山本康, 7.2,,,, 9, 69.9,⑦⑧⑧, 9, 9,Ｊチェルケッティ, 58,北村宏, 0.6, 60,   4,  -2, 3, 11.1, ⑦⑤, 9, 8,Ｉビッグシャｰク, 71,吉田豊, 1.3, 70,  -8,* 18,11, 64.0, ⑮⑬
10,13,Ｅスマｰトキャピタル, 45,田中博, 1.9, 40, -17,  -1,11, 59.6, ⑫⑪,10,10, スガノロイヤル,,沢昭典, 8.7,,,,10, 97.9,⑨⑩⑩,10, 8,Ｍセルジュｰク, 53,後藤浩, 0.6, 57,  -3,*  5,11, 46.6, ⑫⑫,10, 6,Ｋサｰチエネミｰ, 68,江田照, 1.4, 66,  -3,  12, 9, 46.1, ⑫⑫
11, 7,Ｉルチェｰレ, 36,田中勝, 2.0, 40, -14,  -3, 8, 36.1, ⑨⑬,,,,,,,,,,,,,11,13,Ｃコリンズグラス, 66,安藤光, 0.7, 58,   2,  -1, 5, 13.4, ⑨⑨,11, 5,Ｅケｰジｰアジュデ, 77,吉田隼, 1.8, 59,   2,   3, 5, 17.8, ⑨⑩
12, 3,Ｌドレスデンシチｰ,-48,的場勇, 3.2, 30, -14, -17,13,124.2, ⑨⑩,,,,,,,,,,,,,12, 4,Ｎサウンドバイト, 52,田中博, 0.9, 53,   0,  -3,15,265.5, ⑨⑩,12, 2,Ｍケイエススプリング, 63,難波剛, 1.8, 58,   7,  -1,15,254.1, ⑥⑧
13,10, ナイトステルス,---,丹内祐, 4.3, -4, -10, -29,12, 84.9, ⑦⑦,,,,,,,,,,,,,13,15,Ｌセレナダンス, 54,加藤士, 0.9, 53,  -7,*  5,14,150.4, ⑭⑭,13,15,Ｎリｰディングエッジ, 60,北村宏, 2.4, 54,   9,  -9,14,189.2, ③②
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｋカネツサンバ, 55,丹内祐, 2.5, 39, -11,  -7,13, 66.0, ⑮⑮,14,13,Ｏタイキエンデバｰ, 57,田中博, 2.9, 49,  -2,  -4,12, 95.4, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｏブライティアメセナ, 48,土谷智, 3.5, 35,*  9, -35,12, 64.9, ②②,15, 4,Ｄカリスマサンキセキ, 77,丹内祐, 3.0, 52,* 11, -17, 8, 34.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:稍重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:稍重(指数:-2),,,,,,,,,,,
単勝:920円 複勝:05=160円 02=100円 06=160円 枠連:340円,,,,,,,,,,,,単勝:340円 複勝:07=130円 01=110円 02=130円 枠連:380円,,,,,,,,,,,,"単勝:3,970円 複勝:10=890円 07=530円 05=180円 枠連:12,070円",,,,,,,,,,,,単勝:340円 複勝:14=160円 07=170円 01=500円 枠連:770円,,,,,,,,,,,
馬連:450円 ワイド:02-05=240円 05-06=590円 02-06=200円,,,,,,,,,,,,馬連:360円 ワイド:01-07=170円 02-07=300円 01-02=210円,,,,,,,,,,,,"馬連:35,210円 ワイド:07-10=7,650円 05-10=2,950円 05-07=1,360円",,,,,,,,,,,,"馬連:760円 ワイド:07-14=350円 01-14=1,280円 01-07=1,650円",,,,,,,,,,,
"馬単:1,700円 3連複:900円",,,,,,,,,,,,馬単:800円 3連複:520円,,,,,,,,,,,,"馬単:95,750円 3連複:59,900円",,,,,,,,,,,,"馬単:1,330円 3連複:6,990円 3連単:25,610円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.5,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,閃光特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｆヒカルダイヤモンド, 54,田中勝,, 68,*  1,*  7, 3,  4.8, ②②, 1,14, メジロアリス,---,岩部純,, 43,*-16,   1, 4,  8.8, ①①, 1, 6,Ｐカルパントラス, 57,村田一,, 78,* 14,   2,15, 48.1,   , 1, 8,Ｈカゼノコウテイ, 59,田中勝,, 87,  -3,* 29, 2,  4.8, ⑫⑪
 2, 6,Ｂジャンバルジャン, 66,後藤浩, 0.2, 67,  -1,*  9, 1,  2.6, ⑧⑥, 2,12, ダイナマイトシコク,---,吉田隼, 0.0, 46, -21,*  6, 3,  8.7, ④③, 2,12,Ｆスプリングジュラ, 63,石橋脩, 0.2, 71,  10,   3,10, 27.4,   , 2,13,Ｂコウヨウアイリｰン, 67,蛯名正, 0.2, 71,* -1,  18, 4,  5.9, ④③
 3, 7,Ｄダイワギブソン, 57,福永祐, 0.4, 60,* -1,   1, 6, 14.8, ③③, 3, 2, コラデピｰノ,---,柴田善, 0.1, 48, -27,* 11, 1,  2.5, ⑦⑤, 3,17,Ｇウイッチ, 63,吉田隼, 0.2, 66,   2,*  8, 4,  8.0,   , 3,11,Ａデザフィオ, 69,福永祐, 0.4, 75,  -4,* 22, 5,  6.3, ⑫⑪
 4, 4,Ｇフィｰルフィット, 53,蛯名正, 0.6, 60,  -1,   3, 4,  9.9, ⑤⑥, 4,11, ツクヨミ,---,中舘英, 0.3, 38,*-18,  -2, 2,  5.8, ②②, 4,11,Ｈトゥインクルタイム, 62,安藤光, 0.4, 62,   2,*  4,14, 46.7,   , 4, 4,Ｆジョイザラス, 64,北村宏, 0.6, 66,  -3,  16, 1,  4.1, ⑩⑧
 5, 2,Ａギシアラバストロ, 71,北村宏, 0.8, 57,   0,  -2, 2,  4.5, ⑤③, 5, 8, ジファｰル,---,村田一, 0.5, 36, -24,   1, 7, 16.8, ⑥⑥, 5,10,Ａドルバコ, 73,福永祐, 0.4, 70,* 12,  -2, 1,  3.8,   , 5, 5,Ｉプリンセスイブ, 57,西田雄, 0.9, 67,  -5,  18, 9, 62.2, ⑩⑪
 6,15,Ｅニシニキイロ, 55,小野次, 1.0, 56,  -4,   1, 7, 19.5, ⑩⑨, 6, 4, コスモスタｰ,---,石橋脩, 0.5, 35, -21,  -2, 8, 19.5, ④③, 6,13,Ｊデアンジェリス, 61,西田雄, 0.5, 59,  -2,*  6,18,115.8,   , 6, 1,Ｃダイワジェラｰト, 66,吉田隼, 1.2, 54,  -1,   4, 3,  5.9, ④③
 7, 8,Ｍフレノカトリｰヌ, 38,宮崎北, 1.1, 48,  -2,  -9,11, 81.7, ④③, 7, 1, クリノポップコｰン,---,小林淳, 1.2, 25, -30,  -3, 6, 13.1, ⑩⑨, 7, 5,Ｉダイワエンパイア, 61,中舘英, 0.6, 61,   7,  -3, 2,  3.9,   , 7, 3,Ｇシルキｰパフュｰム, 61,石橋脩, 1.4, 53,  -2,   3,10, 69.1, ⑥⑥
 8, 5,Ｌトｰセンヒヨシマル, 39,石橋脩, 1.2, 54,  -7,   3,15,162.0, ⑫⑪, 8, 9, コスモミラｰジュ,---,木幡初, 1.3, 25, -27,  -8, 5, 12.3, ⑦⑨, 8, 4,Ｎカルストントップオ, 58,田辺裕, 0.6, 61,   5,  -1, 7, 18.0,   , 8,15,Ｄウイニングアｰク, 66,柴田善, 1.5, 52,  -2,   3, 6, 10.1, ⑥⑦
 9, 1,Ｊトノノオナリｰ, 45,的場勇, 1.4, 45,  -4, -10,12,140.3, ⑤⑥, 9, 7, エイデンダンス,---,吉田豊, 1.4, 27, -46,*  9,14,103.6, ⑬⑬, 9,16,Ｋマルタｰズクラシカ, 61,後藤浩, 0.7, 61,   9,  -6, 3,  8.0,   , 9, 7,Ｋユキノハリケｰン, 49,後藤浩, 1.5, 54,*  0,  -6, 7, 11.1, ①①
10,16,Ｉチェルシｰザベスト, 50,柴田善, 1.5, 50,  -7,  -2, 8, 30.3, ⑭⑫,10, 6, レアリゼ,---,後藤浩, 1.4, 23, -40,   3,10, 21.6, ⑫⑫,10,14,Ｍイクエイタｰ, 59,中谷雄, 0.8, 53,  -7,*  4,16, 75.4,   ,10,10,Ｅレオソレイユ, 64,大野拓, 1.6, 50,  -4,   2, 8, 21.7, ⑧⑨
11,17,Ｃタワｰドピｰク, 57,中舘英, 1.6, 50,  -9,   1, 5, 10.2, ⑫⑭,11, 3, ネヴァリバティ,---,北村宏, 1.5, 23, -27, -11,11, 23.8, ⑦⑥,11, 2,Ｑディｰアｰルボｰイ, 56,江田照, 0.8, 56,   4,  -4, 5, 14.3,   ,11, 2,Ｌゴｰルドバディｰ, 45,宮崎北, 2.0, 46,  -6,  -2,15,162.4, ⑧⑨
12,14,Ｏオｰチャｰドハウス, 37,安藤光, 1.6, 52, -12,*  6,17,170.2, ⑯⑯,12,15, カシノマチャガ,---,西田雄, 1.7, 20, -33,  -8,16,165.1, ⑪⑪,12, 7,Ｂナイトランブラｰ, 69,田中博, 0.8, 54,  -2,   1, 6, 15.5,   ,12, 6,Ｍイッテン, 45,水出大, 2.2, 48,  -5,   0,14,161.2, ⑮⑮
13, 9,Ｎフルセイルヌｰン, 38,田中博, 1.6, 41,*  0, -22,10, 62.1, ①①,13,13, スガノオｰジャ,---,江田照, 2.5, -9, -45, -10,12, 73.2, ⑬⑭,13, 9,Ｃガｰネットスタｰ, 66,上村洋, 0.8, 63,* 12,  -9, 8, 18.0,   ,13, 9,Ｏラプラシアン, 33,中舘英, 3.1, 13,*  0, -29,12,103.5, ②②
14,10,Ｋエドノダンス, 42,木幡初, 1.7, 51, -14,*  7,14,145.7, ⑰⑰,14,10, ロｰランスカイ,---,蛯名正, 3.2,-29, -53, -13,15,121.3, ⑮⑮,14, 8,Ｅキラｰスマイル, 64,田中勝, 0.9, 52,  -2,  -1,11, 27.7,   ,14,14,Ｎユランコタン, 42,二本柳, 4.0, -7,  -5, -29,11, 95.1, ⑫⑪
15, 3, ホウショウレイク,---,大野拓, 1.8, 46, -11,  -1, 9, 38.3, ⑮⑮,15, 5, コパノパニック,---,安藤光, 4.1,-51, -59, -20,13, 94.2, ⑯⑯,15,18,Ｏフラワｰメロディｰ, 58,吉田豊, 0.9, 52,  -5,   1,13, 41.9,   ,15,12,Ｊリフレッシュアゲン, 52,小島太, 4.4,-65,  -3, -46,13,123.4, ③③
16,11,Ｈメイショウスイミｰ, 51,吉永護, 1.8, 44,  -4, -12,16,170.0, ⑩⑨,16,16, スピｰドハｰト,---,穂苅寿, 4.3, 4.3---,*-19, -62, 9, 21.3, ③⑥,16, 1,Ｄマイネルガッチャ, 65,吉永護, 1.3, 47, -14,   1, 9, 21.0,   ,,,,,,,,,,,,
17,13,Ｑレッドコサｰジュ,  8,江田照, 3.0, 30, -11, -18,13,140.9, ⑧⑫,,,,,,,,,,,,,17, 3,Ｌタケデンバトル, 59,嘉藤貴, 1.4, 45,   2, -12,17, 85.7,   ,,,,,,,,,,,,
18,12,Ｐレオヒットマン, 26,二本柳, 4.4, 18, -17, -31,18,450.6, ⑱⑱,,,,,,,,,,,,,18,15, スプリングチップ,---,北村宏, 2.2, 30,  -7, -19,12, 36.8,   ,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,
