07年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.0,,,,,■ 4R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
 7, 9,Ｈサｰパスオｰル, 37,荻野琢, 2.5, 26, -11, -26,10,131.8, ⑧⑨, 7,10, シゲルスペランツァ,---,福永祐, 2.0, 37, -16,  -5, 4, 13.0, ⑤④, 7, 5,Ｆスズカトップ, 62,ルメｰ, 0.8, 62,*  4,  -8, 8, 21.7, ②②, 7, 7,Ｌタマモホットプレイ, 81,渡辺薫, 0.3, 87,   7,  17, 8, 24.4, ⑪⑧
 8, 5,Ｄフィｰルドグランデ, 43,田中克, 2.5, 26,  -4, -34, 3,  6.7, ③③, 8,14, ポｰトスピｰド,---,柴原央, 2.1, 36, -17,  -4, 9, 60.2, ⑧⑦, 8, 8,Ｈジャイアントラック, 60,岩田康, 1.0, 57,   0,  -4, 6,  9.4, ⑧⑧, 8, 4,Ｈスピニングノアｰル, 84,福永祐, 0.3, 90,   0,* 23,10, 43.1, ⑮⑮
 9, 1,Ｉマイネルオスカｰ, 32,中村将, 2.6, 28, -17, -18, 8, 23.5, ⑩⑩, 9, 8, ハｰバｰブリッジ,---,小原義, 2.2, 35,*-14,  -9, 6, 19.1, ③④, 9, 6,Ｅヒカルアモｰレ, 63,藤岡佑, 1.1, 57,   2,  -8, 3,  4.9, ④④, 9, 3,Ｊサｰプラスシンガｰ, 82,木幡初, 0.3, 82,* 17,   7, 5, 15.3, ①①
10,10,Ｆマサカｰネ, 37,藤岡康, 3.2, 20,  -4, -41, 6, 17.8, ③③,10,11, フレノアマデウス,---,幸英明, 2.8, 31, -19,  -9,15,220.2, ⑪⑨,10, 7,Ｊデンコウニンジャ, 60,幸英明, 1.2, 53,  -3,  -4,11,103.7, ⑪⑫,10,10,Ｏコパノフウジン, 79,ペリエ, 0.3, 82,* 13,  10,12, 59.6, ④③
,,,,,,,,,,,,11,15, セトクラウン,---,石橋守, 2.8, 31, -18, -10, 7, 40.0, ⑧⑨,11, 2,Ｇビバロングライフ, 60,河北通, 1.6, 53,   1, -13, 9, 71.2, ⑧④,11, 8,Ｍマイネルアルビオン, 79,デムｰ, 0.4, 81,  10,  12,13, 62.5, ⑥⑤
,,,,,,,,,,,,12, 4, チョウスタｰ,---,太宰啓, 3.4, 26, -24,  -9,13,165.3, ⑮⑮,12,10,Ａフォルスストレｰト, 72,福永祐, 2.8, 40,   0, -22, 2,  4.3, ④⑧,12, 2,Ｂアルｰリングボイス, 92,秋山真, 0.5, 87,  -3,* 23, 9, 28.5, ⑰⑯
,,,,,,,,,,,,13,13, スリｰクリスタル,---,荻野要, 3.6, 26, -20, -16,11,111.6, ⑪⑬,,,,,,,,,,,,,13,16,Ｋリキアイタイカン, 82,和田竜, 0.7, 76,   7,  10,15,209.6, ⑥⑪
,,,,,,,,,,,,14, 1, スワヤマパレｰド,---,和田竜, 3.8,  2,*-13, -27,10, 69.6, ②②,,,,,,,,,,,,,14,17,Ｅアンバｰジャック, 88,武幸四, 0.7, 74,  10,   7,11, 49.2, ⑥⑧
,,,,,,,,,,,,15, 2, ドリｰムジャンボ,---,小坂忠, 5.2,-50, -15, -38,12,129.9, ⑤⑦,,,,,,,,,,,,,15, 5,Ｎサイキョウワｰルド, 79,池添謙, 0.8, 77,  -1,  16,14,129.1, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｐタニノマティｰニ, 75,スボリ, 1.0, 70,   5,   7,16,267.6, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｒメジロマイヤｰ, 57,幸英明, 1.4, 64,  -3,   8,18,459.4, ⑰⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｑアポロティアラ, 65,小牧太, 1.5, 62,   4,   1,17,292.0, ⑪⑪
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,370円 複勝:03=240円 02=120円 06=110円 枠連:1,500円",,,,,,,,,,,,単勝:130円 複勝:03=110円 05=250円 12=190円 枠連:990円,,,,,,,,,,,,単勝:660円 複勝:09=210円 11=470円 04=220円 枠連:440円,,,,,,,,,,,,単勝:180円 複勝:09=120円 11=240円 13=180円 枠連:950円,,,,,,,,,,,
"馬連:1,360円 ワイド:02-03=430円 03-06=460円 02-06=180円",,,,,,,,,,,,"馬連:1,000円 ワイド:03-05=330円 03-12=270円 05-12=1,400円",,,,,,,,,,,,"馬連:4,060円 ワイド:09-11=1,270円 04-09=550円 04-11=1,800円",,,,,,,,,,,,馬連:980円 ワイド:09-11=440円 09-13=290円 11-13=830円,,,,,,,,,,,
"馬単:4,040円 3連複:1,030円",,,,,,,,,,,,"馬単:1,170円 3連複:2,130円",,,,,,,,,,,,"馬単:7,810円 3連複:7,710円",,,,,,,,,,,,"馬単:1,340円 3連複:1,910円 3連単:6,410円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.2,,,,,■ 6R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■12R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,京都2歳ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂエアパスカル, 59,福永祐,, 62, -10,* 11, 2,  3.3, ④④, 1, 4, イエロｰタキオン,---,デムｰ,, 50, -31,* 14, 1,  1.9, ⑤⑤, 1, 8,Ｇアルカザン, 55,池添謙,, 69,  -7,* 15, 4, 13.0,⑦⑤⑥, 1,10,Ｅエｰシンサｰフィン, 72,四位洋,, 76,   6,* 10, 2,  6.8, ⑥⑥
 2, 7,Ａサムワントゥラブ, 62,武豊  , 0.4, 66, -17,* 17, 1,  1.5, ⑨⑨, 2, 1, クレスコドリｰム,---,福永祐, 0.1, 39, -28,   8, 2,  3.5, ③③, 2, 4,Ｈダノンイサオ, 52,武豊  , 0.0, 65,  -6,  12, 1,  1.7,④③③, 2, 7,Ｃパッションレッド, 76,岩田康, 0.3, 74,* 10,  -2, 1,  1.6, ③②
 3,10,Ｇチャｰミングシチｰ, 44,角田晃, 0.6, 47,  -8,  -1, 8,134.9, ③②, 3, 3, ロｰカストヒル,---,ルメｰ, 0.4, 28,*-26,   0, 4,  8.7, ①①, 3, 5,Ｃピｰスキｰパｰ, 63,藤岡佑, 0.1, 63,  -6,  10, 6, 19.3,③③③, 3,13,Ａキクカラヴリイ, 77,池添謙, 0.4, 71,   4,*  9, 3,  7.8, ⑨⑧
 4, 2,Ｃビジュアルクイｰン, 54,スボリ, 0.6, 47,* -6,  -5, 4, 14.7, ①①, 4, 2, カレンミラバッシ,---,岩田康, 0.5, 33, -31,   7, 3,  5.6, ⑤⑤, 4, 6,Ａロスペトリュス, 71,四位洋, 0.3, 61,  -7,  10, 2,  3.8,⑥⑤⑥, 4, 4,Ｊライトザキャンドル, 61,デムｰ, 0.5, 71,   9,  -4, 5, 15.8, ③④
 5, 6,Ｈスイｰトメリｰ, 40,渡辺薫, 0.7, 49, -13,   5, 6, 44.5, ⑥⑥, 5, 5, ポルックスダｰク,---,松田大, 0.6, 26, -29,   2, 8, 49.3, ③③, 5, 9,Ｅセンノカゼ, 61,ルメｰ, 0.4, 64,  -9,* 13, 7, 28.4,⑦⑧⑧, 5, 9,Ｂティアラプリンセス, 76,太宰啓, 0.6, 70,   9,  -5, 4,  8.7, ③④
 6, 3,Ｅコスモムルシェラゴ, 48,幸英明, 0.8, 49, -15,   6, 7, 49.8, ⑦⑦, 6, 9, オｰスミリョウ,---,幸英明, 0.8, 30, -33,   7, 9, 62.1, ⑧⑨, 6, 1,Ｄランチボックス, 62,岩田康, 0.4, 57,  -7,   7, 3,  6.4,④⑤③, 6, 5,Ｆロングミｰナ, 69,田中健, 0.9, 62,   2,  -1,12,187.7, ⑥⑧
 7, 5,Ｄキャトルキャｰル, 50,藤岡康, 0.8, 41, -12,  -3,10,191.4, ④④, 7, 8, アドマイヤピット,---,藤岡佑, 0.8, 26, -32,   3, 5, 19.5, ⑤⑤, 7, 2,Ｂホッコｰビクトリｰ, 63,渡辺薫, 0.6, 51,* -4,  -2, 8, 38.3,①①①, 7, 8,Ｄボｰテセレスト, 74,渡辺薫, 0.9, 64,   1,   5, 8, 32.2, ⑬⑬
 8, 1,Ｆアマゾネスバイオ, 45,デムｰ, 1.4, 38, -15,  -3, 3, 10.8, ⑦⑦, 8, 6, エイシンブイチｰフ,---,渡辺薫, 1.0, 22, -33,   2, 7, 42.5, ⑧⑤, 8, 7,Ｆマイネルレギメント, 60,デムｰ, 0.8, 59, -11,  12, 5, 17.4,⑨⑨⑨, 8, 2,Ｍヴィヴィッドカラｰ, 54,福永祐, 0.9, 65,   5,  -2, 7, 30.0, ⑧⑥
 9, 9,Ｉバトルラヴ, 31,藤岡佑, 3.8,-89,* -6, -54, 5, 39.8, ②②, 9, 7, ワイルドパンチ,---,スボリ, 2.1,-41,*-26, -26, 6, 39.9, ②②, 9, 3,Ｉマイネルアテッサ, 46,和田竜, 1.9, 41,* -5, -21, 9,179.6,②②②, 9, 1,Ｇプリムラシチｰ, 67,和田竜, 1.0, 64,   4,   0,11,128.3, ⑨⑧
10, 4,Ｊムｰンワルツ, 21,赤木高, 4.0,-47, -22, -31, 9,165.2, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,10,14,Ｋベストミュｰジック, 61,小牧太, 1.1, 62,   3,  -1, 6, 22.2, ⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, 6,Ｎメジャｰオブラヴ, 53,長谷川, 1.2, 61,   1,   2,13,268.1, ⑬⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,Ｈスマイリングルｰラ, 66,藤岡佑, 1.2, 63,* 11, -18, 9, 35.6, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｉエルベレス, 61,荻野琢, 1.4, 57,*  8, -21,10, 47.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｌサクラタキオン, 57,秋山真, 1.6, 57,   2,  -5,14,299.6, ⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
単勝:330円 複勝:08=110円 07=100円 10=720円 枠連:170円,,,,,,,,,,,,単勝:190円 複勝:04=100円 01=120円 03=150円 枠連:300円,,,,,,,,,,,,"単勝:1,300円 複勝:08=260円 04=120円 05=360円 枠連:630円",,,,,,,,,,,,単勝:680円 複勝:10=160円 07=100円 13=170円 枠連:240円,,,,,,,,,,,
"馬連:180円 ワイド:07-08=120円 08-10=1,820円 07-10=1,590円",,,,,,,,,,,,馬連:300円 ワイド:01-04=160円 03-04=210円 01-03=320円,,,,,,,,,,,,"馬連:840円 ワイド:04-08=380円 05-08=1,540円 04-05=540円",,,,,,,,,,,,馬連:580円 ワイド:07-10=240円 10-13=690円 07-13=250円,,,,,,,,,,,
"馬単:490円 3連複:2,730円",,,,,,,,,,,,馬単:520円 3連複:550円,,,,,,,,,,,,"馬単:2,500円 3連複:2,980円 3連単:17,710円",,,,,,,,,,,,"馬単:1,860円 3連複:1,070円 3連単:9,050円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
