07年12月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,
 9, 4,Ｇアイファｰミラクル, 35,福永祐, 2.0, 33, -13, -13, 8, 86.0, ⑥⑤, 9, 4, トップオブオペラ,---,池添謙, 4.4, 34, -13, -13,11,133.7,⑨⑨⑧, 9, 8,Ａビｰチブリｰズ, 77,船曳文, 1.3, 70,* 18, -14, 1,  2.7, ②②, 9,11,Ｈヒシワンスモア, 69,武幸四, 0.9, 69,   4,  10, 8, 35.2, ③③
10,15,Ｍシンメイミヤビ, 30,岩田康, 2.5, 30, -22,  -7, 6, 35.4, ⑯⑯,10,13, ブライトティｰス,---,福永祐, 4.5, 21,  -6, -29, 8, 52.6,③③③,10,10,Ｍアドマイヤイチ, 65,福永祐, 1.4, 62,  -5,   9,11, 63.9, ⑭⑮,10, 7,Ｃバｰジンフォレスト, 79,松岡正, 0.9, 72,  -1,  18, 2,  7.1, ⑦⑥
11, 8,Ｏスリｰクリスタル, 23,荻野要, 2.6, 29, -17, -15,13,363.5, ⑩⑨,11, 9, テンエイワｰクマン,---,松岡正, 4.9, 31, -17, -11,13,168.3,⑭⑭⑫,11,13,Ｄシャイニングムｰン, 72,武豊  , 1.4, 63,   8,  -4, 4,  9.3, ⑦⑤,11, 6,Ｅアルシラｰト, 75,福永祐, 1.0, 74,  -4,  23, 3, 13.3, ⑩⑩
12, 9,Ｉバイソリュｰション, 32,幸英明, 2.7, 30,* -9, -24,15,369.0, ②②,12,14, タケチヨ,---,酒井学, 5.3, 18, -12, -25,12,147.6,⑤⑦⑧,12, 1,Ｏキクノハヤブサ, 63,武幸四, 1.9, 57,   7,  -8,13, 75.5, ⑦⑧,12, 4,Ｌヘラクレスバイオ, 65,船曳文, 1.5, 68,  -8,  21,10, 63.0, ⑫⑬
13,16,Ｃプリックアップ, 48,武幸四, 2.8, 29, -16, -18, 5, 12.2, ⑧⑨,13, 6, メルシｰモンサン,---,デムｰ, 6.8,-33, -14, -35, 7, 35.5,⑩⑩⑬,13, 5,Ｅウエスタンダンサｰ, 70,内田浩, 2.0, 66,* 19, -20, 5, 12.4, ②②,13, 1,Ｄビｰビｰガルダン, 76,田中剛, 1.6, 62,   2,   3, 6, 21.7, ④④
14,13,Ｐキョウエイレフア,-239,菊地昇, 2.8, 27, -20, -12,16,405.3, ⑮⑭,14, 2, シゲルロンギング,---,竹之下, 7.3,-30, -19, -31,14,401.8,⑫⑬⑭,14, 9,Ｊクリップフェアリｰ, 68,幸英明, 2.2, 55,   9, -13,14, 96.5, ⑤⑦,14, 8,Ｎシンワインザダｰク, 63,鮫島良, 3.0, 51,  -8,  -2,14,340.1, ⑭⑬
15,12,Ｈホｰマンフィｰルド, 35,飯田祐, 3.3, 20, -13, -26,11,182.9, ⑤⑤,,,,,,,,,,,,,15,12,Ｌキョウエイシンファ, 66,デムｰ, 2.4, 54,  10, -16, 8, 23.3, ⑥⑤,,,,,,,,,,,,
16, 7,Ｊプリンセスギンガ, 31,船曳文, 3.5, 18, -19, -23,13,363.5, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,140円 複勝:01=150円 11=100円 14=190円 枠連:450円",,,,,,,,,,,,単勝:780円 複勝:10=180円 01=110円 07=140円 枠連:830円,,,,,,,,,,,,単勝:570円 複勝:11=220円 03=530円 02=480円 枠連:870円,,,,,,,,,,,,単勝:140円 複勝:13=110円 14=200円 02=500円 枠連:650円,,,,,,,,,,,
馬連:480円 ワイド:01-11=190円 01-14=770円 11-14=250円,,,,,,,,,,,,馬連:830円 ワイド:01-10=320円 07-10=410円 01-07=210円,,,,,,,,,,,,"馬連:6,640円 ワイド:03-11=1,600円 02-11=1,680円 02-03=4,360円",,,,,,,,,,,,"馬連:640円 ワイド:13-14=280円 02-13=730円 02-14=2,590円",,,,,,,,,,,
"馬単:1,700円 3連複:1,190円",,,,,,,,,,,,"馬単:2,270円 3連複:1,090円",,,,,,,,,,,,"馬単:11,310円 3連複:37,630円",,,,,,,,,,,,"馬単:750円 3連複:3,680円 3連単:8,700円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝3900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三木ﾎｰｽﾗﾝﾄﾞJS,,,,,,,,,,,,鳴尾記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａアリュｰバニヤン, 53,安藤勝,, 62,* -1,* -2, 1,  1.3, ②②, 1,11, リトルアマポｰラ,---,デムｰ,, 48, -35,* 20, 3,  8.3, ③③, 1, 1, メジロハスラｰ,,植野貴,,,,, 8, 64.4,⑨④⑤, 1, 4,Ｇハイアｰゲｰム, 86,藤岡佑,, 76,   0,  20, 8, 28.7, ③③
 2, 7,Ｉウインザハギ, 35,尾島徹, 0.7, 54,  -7,  -3, 9,195.6, ⑤⑤, 2, 6, アウロラプラネット,---,川田将, 0.1, 38,*-34,  15, 5, 22.2, ①①, 2,11, サウスポｰル,,出津孝, 0.6,,,, 2,  3.8,①①②, 2, 3,Ｄエイシンデピュティ, 89,岩田康, 0.0, 75,*  2,  18, 3,  5.2, ①①
 3, 8,Ｄマイネルスカｰル, 44,秋山真, 0.9, 51,  -6,  -6, 5, 27.5, ④④, 3, 2, ヴェルザンディ,---,武豊  , 0.3, 36, -35,  15, 1,  1.4, ③③, 3, 6, デイトレｰダｰ,,林満明, 1.2,,,,10, 90.2,⑦④③, 3,15,Ａアドマイヤオｰラ, 91,安藤勝, 0.1, 86,  -4,* 29, 4,  5.9, ⑩⑫
 4, 1,Ｅアｰトオブロマンス, 44,小原義, 1.0, 53, -17,*  4, 4, 17.8, ⑫⑪, 4, 7, ジョｰジラソｰレ,---,福永祐, 0.4, 41, -38,  18, 6, 24.7, ⑦⑤, 4, 4, クルワザｰド,,今村康, 1.7,,,, 3,  4.1,⑤⑥⑥, 3,13,Ｈアドマイヤフジ, 85,川田将, 0.1, 85,  -5,* 28, 5, 16.3, ⑬⑫
 5, 9,Ｃタイセイビエント, 44,和田竜, 1.0, 49,  -4,  -9, 3,  8.5, ③③, 5, 3, メイショウワカツキ,---,和田竜, 0.4, 51, -41,* 23, 2,  5.3, ⑨⑨, 5, 9, ストロングザイオン,,五十嵐, 2.0,,,, 5, 14.4,③③③, 5,16,Ｍオｰスミグラスワン, 77,福永祐, 0.1, 87,  -6,* 30,12, 79.5, ⑭⑭
 6, 6,Ｆデルマレグルス, 43,飯田祐, 1.1, 49,  -9,  -5, 7, 57.6, ⑦⑥, 6, 9, メイショウアサガオ,---,岩田康, 0.8, 44, -44,* 21, 7, 47.3, ⑩⑫, 6, 3, オｰガストバイオ,,田中剛, 2.7,,,, 1,  2.3,②②①, 6, 9,Ｂトウショウカレッジ, 91,池添謙, 0.2, 76,  -3,  22, 9, 32.0, ⑩⑧
 7,12,Ｈユｰセイプリンセス, 38,田村太, 1.5, 41,  -9, -11,10,217.9, ⑤⑥, 7, 5, ハウリングソウル,---,池添謙, 1.3, 17, -38,   4, 4, 16.6, ⑤⑤, 7, 7, マルブツグロｰリア,,西谷誠, 2.9,,,, 4,  8.7,⑤⑦⑦, 7, 6,Ｊレインダンス, 85,武幸四, 0.2, 70,*  0,  16, 2,  4.4, ③③
 8, 3,Ｌシゲルラフタラ, 23,角田晃, 1.7, 42, -14,  -6,12,243.6, ⑩⑧, 8, 8, タカプリンセス,---,角田晃, 1.3, 11,*-34,  -3,12,374.0, ②②, 8, 8, バリトンヴォイス,,岩崎祐, 3.0,,,, 7, 46.8,④⑧⑧, 8,12,Ｃドリｰムジャｰニｰ, 90,武豊  , 0.3, 78,  -3,  24, 1,  2.8, ⑩⑪
 9,10,Ｇフミノクイｰン, 43,幸英明, 1.8, 40, -12,  -9, 6, 42.9, ⑧⑧, 9, 4, キャナレット,---,幸英明, 1.7, 13, -41,   3,11,166.1, ⑦⑨, 9, 5, メイショウイグアス,,菊地昇, 3.0,,,,11,176.4,⑩⑨⑨, 9, 7,Ｉフィｰルドベアｰ, 85,秋山真, 0.3, 69,   0,  16,10, 41.2, ⑤③
10, 2,Ｊキリポラリス, 32,岩崎祐, 1.9, 37,*  0, -22,11,239.7, ①①,10,10, パトロネッサ,---,秋山真, 2.0,-14, -39,  -5, 8, 69.1, ⑩⑦,10, 2, マルタカドリｰム,,小坂忠, 5.8,,,, 6, 18.7,⑪⑩⑩,10, 2,Ｋサンバレンティン, 83,角田晃, 0.5, 70,  -2,  18,13,162.9, ⑥⑧
11, 4,Ｂフルスペック, 46,岩田康, 2.6, 31, -14, -15, 2,  4.8, ⑨⑧,11, 1, ヒシビクトリア,---,武幸四, 2.6,-37, -41, -11,10,120.6, ⑩⑨,,,,,,,,,,,,,11, 8,Ｎナスノストロｰク, 73,和田竜, 0.7, 64,  -2,  12,15,507.6, ⑥⑧
12, 5,Ｋグランドオｰク, 29,福永祐, 2.7, 30, -17, -13, 8, 95.2, ⑩⑫,12,12, エプソムウィナｰ,---,四位洋, 3.5,-79, -39, -28, 9,106.3, ⑤⑦,,,,,,,,,,,,,12,11,Ｆシルクネクサス, 87,四位洋, 0.8, 63,   0,  10, 6, 18.2, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 5, マルヨフェニックス,---,尾島徹, 0.9, 60,  -1,   8,14,194.7, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｌクランエンブレム, 82,松岡正, 1.7, 59,*  1,  -9, 7, 19.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｏセフティｰエンペラ, 69,幸英明, 1.7, 53,  -6,   6,16,535.1, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-23 ﾚｰｽｱｶﾞﾘ指数:+25 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:0),,,,,,,,,,,
"単勝:130円 複勝:11=110円 07=2,020円 08=470円 枠連:1,230円",,,,,,,,,,,,"単勝:830円 複勝:11=160円 06=320円 02=110円 枠連:2,320円",,,,,,,,,,,,"単勝:6,440円 複勝:01=1,160円 11=180円 06=1,560円 枠連:7,560円",,,,,,,,,,,,"単勝:2,870円 複勝:04=340円 03=160円 13=300円 枠連:6,270円",,,,,,,,,,,
"馬連:6,590円 ワイド:07-11=2,310円 08-11=570円 07-08=13,360円",,,,,,,,,,,,"馬連:5,900円 ワイド:06-11=1,070円 02-11=220円 02-06=470円",,,,,,,,,,,,"馬連:8,330円 ワイド:01-11=1,720円 01-06=11,630円 06-11=4,170円",,,,,,,,,,,,"馬連:6,410円 ワイド:03-04=1,100円 04-13=2,700円 04-15=2,280円",,,,,,,,,,,
"馬単:8,280円 3連複:29,180円",,,,,,,,,,,,"馬単:11,590円 3連複:1,810円",,,,,,,,,,,,"馬単:26,370円 3連複:107,960円",,,,,,,,,,,,"馬単:19,710円 3連複:16,240円 3連単:124,220円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.7,,,,,■ 6R  ダ2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■ 9R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾘｶ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｉユキノサッシュ, 49,秋山真,, 47,*-13,   1,11, 37.0, ②②, 1, 5,Ｂシルクシャｰプネス, 65,安藤勝,, 68,  -1,*  6, 1,  1.7,⑥④⑤, 1, 2,Ａアルスノヴァ, 60,安藤勝,, 71,   1,* 10, 1,  2.2,④④⑤, 1,15,Ａセイウンプレジャｰ, 85,船曳文,, 76,*  1,  12, 4,  7.7, ②②
 2,18,Ｂキヲウエタオトコ, 60,安藤勝, 0.0, 50,*-16,   4, 2,  3.7, ③③, 2, 2,Ｅトレド, 61,秋山真, 0.1, 66,*  0,   3, 7, 23.8,③②②, 2, 4,Ｂランチボックス, 58,岩田康, 0.0, 71,   2,   6, 3,  9.2,②③③, 2, 4,Ｇショウナンアクト, 71,岩田康, 0.0, 83,  -2,* 18, 2,  4.4, ⑥⑥
 3,13,Ａマイネルコルベット, 61,デムｰ, 0.3, 43, -17,   1, 5, 13.6, ⑤⑤, 3, 6,Ｄアグネストップ, 62,和田竜, 0.2, 65,*  0,   1, 5, 17.8,②②②, 3, 5,Ｆキングスエンブレム, 52,武豊  , 0.2, 69,   2,   4, 2,  2.4,④④③, 3,14,Ｂスティリスタ, 79,和田竜, 0.1, 76,*  3,  11, 8, 16.3, ①①
 4, 7,Ｄハマノモナｰク, 52,福永祐, 0.3, 54, -25,* 12, 7, 16.2, ⑭⑭, 4, 4,Ｆバンブｰワｰルド, 60,武幸四, 0.3, 63,*  1,  -2, 4,  8.5,①①①, 4, 6,Ｃドリｰムノクタｰン, 57,松岡正, 0.4, 66,*  5,  -6, 4, 10.0,①①①, 4, 8,Ｃナムラアトランテス, 78,秋山真, 0.6, 71,   0,  10, 6,  9.4, ⑥④
 5, 9,Ｆアンノルｰチェ, 50,和田竜, 0.4, 57, -29,* 15, 8, 18.1, ⑰⑯, 5, 1,Ｇタムロブライアン, 59,幸英明, 0.7, 61,  -1,  -1, 6, 23.8,⑥⑥⑤, 5, 9,Ｄミスズコｰポラル, 57,幸英明, 0.6, 64,*  3,  -5, 7, 36.4,②②②, 5,13,Ｄダノンシャトル, 78,武豊  , 0.6, 74,  -2,  13, 1,  4.1, ⑧⑥
 6,17,Ｅマイネアクトナイン, 51,角田晃, 0.6, 37,*-12,  -9,13, 56.2, ①①, 6, 8,Ｃヒシウィンザｰ, 62,武豊  , 0.8, 61,  -2,   0, 2,  4.3,⑤⑦⑤, 6, 1,Ｅヴィジレ, 55,四位洋, 1.2, 56,  -1,  -3, 6, 18.3,⑥⑦⑦, 6, 1,Ｉマヤノポペット, 70,川田将, 0.9, 66,   1,   6, 9, 61.1, ④④
 7, 4,Ｈスナｰクマイハｰト, 49,岩田康, 0.6, 37,*-16,  -5, 1,  3.4, ③③, 7, 3,Ｈティンバｰセブン, 55,岩田康, 1.1, 60,  -3,   0, 8, 44.5,⑧⑧⑧, 7, 7,Ｉカネマサロチエ, 40,石橋守, 1.4, 54,  -3,  -3, 9,303.6,⑧⑧⑨, 7,10,Ｈシルクアルボｰレ, 70,福永祐, 0.9, 70,  -4,  12, 5,  8.5, ⑨⑨
 8,16,Ｃロングキｰブリッジ, 54,松岡正, 0.6, 40, -20,   1, 6, 14.8, ⑦⑦, 8, 7,Ａエステｰムシチｰ, 66,デムｰ, 1.4, 54,   0,  -9, 3,  6.3,③④④, 8, 3,Ｇグランジョイ, 51,和田竜, 1.6, 52,   0, -12, 8,179.5,⑥⑥⑤, 8,12,Ｆディオスクロイ, 74,松岡正, 1.0, 69,  -5,  12, 3,  4.4, ⑩⑩
 9, 2,Ｍエｰシンピｰヴィｰ, 45,鮫島良, 0.6, 40, -20,   1,14, 79.9, ⑦⑦,,,,,,,,,,,,, 9, 8,Ｈゴｰルデンガッツ, 42,福永祐, 3.4, 36,  -1, -37, 5, 12.5,⑧⑧⑦, 9, 6,Ｊエアオｰサム, 68,小坂忠, 1.2, 67,  -6,  11,10, 63.9, ⑪⑫
10, 1,Ｌマストコントロｰル, 46,船曳文, 0.7, 35, -25,   1,12, 38.9, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,10, 3,Ｋテイエムカミガカリ, 66,大下智, 1.3, 61,  -6,   8,13,149.3, ⑪⑩
11,12,Ｎクリノモンブラン, 45,飯田祐, 0.9, 33, -18,  -6,18,386.5, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,11, 9,Ｌグランプリペガサス, 65,幸英明, 1.3, 68,  -8,  13,11, 78.9, ⑭⑬
12,15,Ｊロングセレネ, 49,四位洋, 0.9, 35, -23,   0, 4, 12.3, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｐテイエムバクシン, 57,千田輝, 1.5, 65,  -9,  12,12,134.8, ⑯⑬
13,10,Ｋケイアイエポック, 49,池添謙, 1.0, 37, -27,   4,10, 25.0, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｅマルブツバンダリｰ, 76,中村将, 1.5, 57,*  2,  -2, 7, 13.8, ②②
14, 5,Ｏブルｰゼット, 39,川田将, 1.1, 32, -25,   0, 9, 24.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｎタケイチマサル, 63,石橋守, 1.7, 61,  -8,   9,15,219.9, ⑭⑬
15, 6,Ｑフレノアマデウス, 30,中村将, 1.1, 29, -22,  -6,17,332.1, ⑩⑦,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｍサンレイラピッヅ, 63,武英智, 1.8, 58,  -6,   6,16,493.1, ⑪⑬
16, 3,Ｐファイナルパンチ, 35,尾島徹, 1.2, 31, -19,  -9,15,147.6, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｏジャイロスコｰプ, 62,藤岡佑, 2.9, 51,   0, -12,14,192.1, ④⑥
17, 8,Ｇレインボｰマグナム, 50,幸英明, 1.4, 28, -23,  -8, 3,  5.8, ⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14,Ｒアルフレッドパｰル,-28,武幸四, 2.4,  5, -29, -15,16,302.0, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,
"単勝:3,700円 複勝:11=900円 18=170円 13=440円 枠連:4,660円",,,,,,,,,,,,単勝:170円 複勝:05=120円 02=350円 06=350円 枠連:0円,,,,,,,,,,,,単勝:220円 複勝:02=100円 04=150円 05=110円 枠連:900円,,,,,,,,,,,,"単勝:770円 複勝:15=250円 04=200円 14=460円 枠連:1,860円",,,,,,,,,,,
"馬連:6,330円 ワイド:11-18=2,600円 11-13=5,510円 13-18=1,080円",,,,,,,,,,,,"馬連:1,580円 ワイド:02-05=620円 05-06=580円 02-06=2,390円",,,,,,,,,,,,馬連:890円 ワイド:02-04=260円 02-05=130円 04-05=280円,,,,,,,,,,,,"馬連:1,930円 ワイド:04-15=690円 14-15=1,740円 04-14=1,530円",,,,,,,,,,,
"馬単:18,160円 3連複:30,990円",,,,,,,,,,,,"馬単:2,180円 3連複:5,760円",,,,,,,,,,,,"馬単:1,480円 3連複:560円 3連単:3,660円",,,,,,,,,,,,"馬単:3,700円 3連複:8,760円 3連単:52,930円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
