07年 9月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.6,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.8,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.5,,,,
 9, 6,Ｈスズカルビｰ, 35,太宰啓, 0.4, 47, -10,   0, 2,  3.3, ⑩⑨, 9, 3,Ｆグリｰンサンライズ, 50,中村将, 1.2, 45, -15,   6, 9, 55.9,⑪⑭⑫, 9,12,Ｈカシノテンカ, 58,中村将, 1.0, 55, -13,*  7, 7, 16.8, ⑰⑭,,,,,,,,,,,,
10, 9,Ｇシゲルエスペレ, 36,上村洋, 0.7, 48,*  5, -18, 6, 12.7, ②②,10, 9,Ｅダンシングナナ, 51,上村洋, 1.4, 41,* -9,  -6, 4, 13.0,③②②,10, 5,Ｃパワｰオブスマイル, 62,藤岡康, 1.0, 52,  -6,  -1, 3,  4.9, ⑧⑪,,,,,,,,,,,,
11, 4,Ｆタツウエｰブ, 36,和田竜, 2.8, 15,  -5, -41, 9, 32.7, ⑧⑩,11, 1,Ｈバトルマドカ, 49,渡辺薫, 1.4, 40,*-11,  -3,12,126.3,④⑥⑦,11, 9,Ｒチェイルリｰ, 25,石橋守, 1.2, 51,  -6,  -1,15,131.8, ⑩⑨,,,,,,,,,,,,
,,,,,,,,,,,,12,17,Ｒカシノチｰフ, 33,鮫島良, 1.7, 40,*-10,  -9,16,325.9,⑦④⑧,12,14,Ｆカシノマキバオｰ, 59,野元昭, 1.2, 50,  -1,  -5,11, 37.1, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,13,16,Ｑアガシイ, 37,上野翔, 1.9, 37, -15,   0,17,355.1,⑮⑰⑭,13,17,Ｉブライティアポｰチ, 58,荻野琢, 1.2, 51, -15,   5,16,134.5, ⑰⑱,,,,,,,,,,,,
,,,,,,,,,,,,14,10,Ｍメイショウルシｰタ, 42,藤岡康, 2.0, 33, -18,   0,18,372.9,⑱⑱⑰,14,15,Ｇシルクスタｰリング, 59,鮫島良, 1.3, 51, -10,   2, 8, 19.7, ⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,15,13,Ｊブルｰエタニティ, 45,高橋智, 2.1, 36, -13,  -7,15,264.7,⑪⑭⑭,15, 6,Ｎゼットマシｰン, 41,田中克, 1.6, 41,  -9,  -7,17,263.6, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｐエｰシンレｰサｰズ, 41,野元昭, 2.7, 33, -15, -13,14,203.9,⑮⑯⑰,16,18,Ｌジョイフルタイム, 50,船曳文, 1.7, 39,  -7, -10,13, 72.7, ⑩⑭,,,,,,,,,,,,
,,,,,,,,,,,,17,18,Ｋタカラジェンヌ, 43,石橋守, 3.7,-40, -11, -36,13,179.1,⑤⑧⑭,17,16,Ｄゴッドビラブドミｰ, 62,橋本美, 2.5, 33, -10, -16,12, 42.2, ⑮⑰,,,,,,,,,,,,
,,,,,,,,,,,,18, 6,Ｌケイズビｰナス, 43,角田晃, 3.9,-64,* -9, -45, 7, 50.9,①①④,18, 2,Ｑメイショウマサル, 30,渡辺薫, 2.7, 31,   1, -30,14,126.6, ④⑤,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,200円 複勝:03=330円 08=150円 10=200円 枠連:2,250円",,,,,,,,,,,,"単勝:310円 複勝:11=130円 07=500円 02=110円 枠連:1,430円",,,,,,,,,,,,"単勝:370円 複勝:03=170円 04=420円 13=140円 枠連:3,650円",,,,,,,,,,,,単勝:980円 複勝:08=240円 03=130円 01=230円 枠連:0円,,,,,,,,,,,
"馬連:2,570円 ワイド:03-08=870円 03-10=1,170円 08-10=470円",,,,,,,,,,,,"馬連:6,200円 ワイド:07-11=1,440円 02-11=170円 02-07=1,050円",,,,,,,,,,,,"馬連:3,560円 ワイド:03-04=1,370円 03-13=310円 04-13=1,100円",,,,,,,,,,,,"馬連:1,130円 ワイド:03-08=410円 01-08=820円 01-03=390円",,,,,,,,,,,
"馬単:6,850円 3連複:4,990円",,,,,,,,,,,,"馬単:9,370円 3連複:2,750円",,,,,,,,,,,,"馬単:5,800円 3連複:3,840円",,,,,,,,,,,,"馬単:3,010円 3連複:2,170円 3連単:16,330円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■ 5R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8.9,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■11R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,唐津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａジョニｰバロｰズ, 64,鮫島良,, 59,* -5,   4, 1,  2.1,④③①, 1, 8,Ｂペルルノワｰル, 63,鮫島良,, 69,  -3,*  8, 3,  5.0, ⑤⑤, 1,11,Ｃサンエムパｰム, 66,熊沢重,, 79,*  9,*  8, 1,  3.7, ①①, 1,12,Ｈトシセント, 60,佐藤哲,, 65,   1,*  4, 3,  4.5,⑩⑨④
 2,11,Ｂメイショウジギｰ, 59,角田晃, 0.1, 58,  -5,   4, 4,  6.0,⑥⑤②, 2, 9,Ａボストンカラｰズ, 66,渡辺薫, 0.2, 64,*  5,   0, 1,  2.8, ②②, 2, 5,Ｄナリタファントム, 66,幸英明, 0.2, 76,*  7,*  7, 3,  4.5, ②②, 2,13,Ｅニッシンテｰスト, 63,長谷川, 0.6, 62,*  5,  -7, 6, 13.7,⑥③①
 3, 4,Ｆフロイラインロｰゼ, 39,小牧太, 0.2, 59,  -9,* 10, 6, 19.6,⑪⑩⑧, 3,10,Ｇオレノマエニイクナ, 56,藤岡康, 0.3, 59,*  4,  -2, 2,  3.2, ①①, 3, 3,Ｅアグネスポライト, 65,上村洋, 0.3, 75,   2,*  9, 4,  5.8, ④④, 3,14,Ａマイグロｰリアス, 67,角田晃, 0.6, 61,   4,  -5, 1,  3.7,⑧④②
 4, 7,Ｃエｰシンカマンダｰ, 51,藤岡康, 0.5, 49,* -7,  -6, 3,  5.3,②③⑤, 4, 1, シルクライムライト,---,田島裕, 0.6, 60, -10,*  6,10,180.1, ⑨⑥, 4, 9,Ａショウエンジェリコ, 71,武豊  , 0.4, 72,*  7,   5, 2,  3.8, ②②, 4, 8,Ｃメイショウチョイス, 65,太宰啓, 0.7, 60,   3,  -4, 4, 11.0,⑦⑥⑥
 5, 2,Ｅオｰスミギムレット, 47,和田竜, 0.6, 52,  -5,  -4, 2,  4.9,④⑤⑤, 5,13,Ｃニオウ, 62,太宰啓, 0.7, 55,*  5,  -5, 5, 11.4, ②②, 5, 8,Ｇカシノカスケｰド, 64,野元昭, 0.8, 66,   1,   5, 6, 15.4, ⑥⑥, 5, 4,Ｏゴｰルドスミス, 38,上村洋, 0.9, 57,   2,  -6,12, 82.1,④⑥⑧
 6, 9,Ｉテイエムスｰペリア, 33,幸英明, 0.7, 49,* -3, -10, 9,127.3,①①②, 6, 3,Ｄポｰトカンパｰニュ, 61,佐藤哲, 0.8, 54,   2,  -4, 4,  5.4, ④④, 6,10,Ｂエｰシンエフダンズ, 70,藤岡康, 0.9, 62,  -1,   3, 5,  8.0, ⑥④, 6,11,Ｊブルｰホリゾン, 59,小牧太, 1.1, 54,   0,  -5, 9, 17.9,⑩⑩⑧
 7,13,Ｈフィｰルドグランデ, 36,田中克, 0.8, 46,  -9,  -6,10,134.0,⑨⑦⑦, 7,14,Ｊスリｰコジｰン, 47,生野賢, 0.9, 54,  -5,  -1, 9, 84.3, ⑤⑥, 7, 7,Ｉリトルマｰメｰド, 55,長谷川, 1.4, 57,  -6,   3,11, 82.0, ⑧⑧, 7,10,Ｇキングベガロｰド, 61,難波剛, 1.3, 54,   1,  -7, 7, 16.4,⑧⑩⑧
 8, 3,Ｊマイネルデスティノ, 32,熊沢重, 1.1, 49, -11,   0, 7, 27.3,⑫⑪⑫, 8, 5,Ｆヨドノドリｰマ, 57,長谷川, 1.2, 49,  -8,  -2, 7, 47.1, ⑧⑨, 8,12,Ｆラスカルデュｰク, 65,中村将, 1.4, 56, -10,   4, 7, 19.2, ⑪⑫, 8, 1,Ｆラガｰチトセオｰ, 62,荻野琢, 1.7, 54,*  7, -21,10, 30.4,②①②
 9,15,Ｐマｰベラスウイル,-33,中村将, 1.2, 46, -15,   2,15,520.2,⑫⑬⑫, 9, 2,Ｉアグネスペンタゴン, 48,田中克, 1.4, 46, -24,*  4, 8, 75.5, ⑫⑫, 9, 2,Ｈスリｰスピリット, 62,田中克, 1.5, 53,  -7,   1,12,166.3, ⑧⑧, 9, 3,Ｉカネトシスティｰブ, 60,鮫島良, 1.7, 50,  -2,  -6, 8, 16.9,⑮⑭⑫
10,14,Ｋマイネマシェリ, 20,太宰啓, 1.5, 40,* -4, -21,11,197.9,②②②,10,12,Ｍテイエムハタガシラ, 11,高井彰, 1.7, 42, -11,  -5,11,186.0, ⑩⑩,10, 4,Ｋアマゾンリリｰ, 48,浜中俊, 1.6, 52, -12,   3,13,343.8, ⑬⑩,10, 5,Ｂアドマイヤムサシ, 65,川田将, 2.0, 50,   4, -18, 2,  4.0,⑤④⑥
11, 6,Ｌスズカファイト, 18,岩崎祐, 1.8, 38,  -8, -18, 8, 49.5,⑦⑧⑧,11, 4,Ｋブルｰジュエル, 46,荻野琢, 2.0, 37, -27,   0,13,362.6, ⑬⑬,11, 6,Ｌエンブレイス, 46,渡辺薫, 1.9, 49,  -6,  -2, 9, 43.8, ⑧⑩,11,15,Ｎアリスマティック, 38,幸英明, 2.3, 46,   0, -14,14,133.6,⑬⑬⑭
12, 5,Ｏハナヤカ, -6,長谷川, 2.2, 34, -11, -18,12,328.1,⑨⑪⑪,12, 7,Ｈケイウンファミリｰ, 54,中村将, 2.1, 36,  -4, -15, 6, 28.6, ⑤⑥,12, 1,Ｎシゲルトッピダカ, 34,太宰啓, 2.0, 48,   2,  -8,10, 71.7, ④⑦,12,16,Ｋスズカフェロｰ, 59,石橋守, 3.1, 41,   1, -23, 5, 13.5,⑬⑩⑧
13, 1,Ｎキアｰロ,  5,田中健, 2.8, 23, -10, -33,12,328.1,⑦⑧⑩,13, 6,Ｌホｰマンヒショウ, 26,上野翔, 2.2, 36, -13,  -9,12,287.6, ⑩⑩,13,13,Ｍノｰブルハｰモニｰ, 41,橋本美, 2.4, 43, -17,   0,14,346.3, ⑭⑭,13, 7,Ｌセフティｰトキメキ, 47,中村将, 3.3, 40,   3, -29,13, 85.0,③⑥⑫
14,10,Ｍエｰシンラｰジェス,  8,野元昭, 5.0,  7, -23, -36,14,493.7,⑮⑭⑭,,,,,,,,,,,,,14,14,Ｊホｰマンブレｰク, 48,佐藤哲, 2.7, 40,  -9,  -8, 8, 32.0, ⑪⑫,14, 9,Ｍサマニタｰフ, 44,野元昭, 3.5, 38,  -1, -24,15,136.8,⑯⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｄシルクデュｰク, 65,田島裕, 4.2, 34,*  7, -44,11, 35.5,①②④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｐカシノトｰマス, 28,上野翔, 4.6, 32,  -1, -35,16,279.2,⑩⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-8),,,,,,,,,,,
単勝:210円 複勝:16=130円 11=160円 04=320円 枠連:550円,,,,,,,,,,,,単勝:500円 複勝:08=160円 09=120円 10=130円 枠連:400円,,,,,,,,,,,,単勝:370円 複勝:11=160円 05=150円 03=220円 枠連:660円,,,,,,,,,,,,単勝:450円 複勝:12=210円 13=350円 14=150円 枠連:590円,,,,,,,,,,,
"馬連:510円 ワイド:11-16=200円 04-16=560円 04-11=1,100円",,,,,,,,,,,,馬連:650円 ワイド:08-09=270円 08-10=330円 09-10=210円,,,,,,,,,,,,馬連:710円 ワイド:05-11=320円 03-11=540円 03-05=540円,,,,,,,,,,,,"馬連:4,610円 ワイド:12-13=1,590円 12-14=440円 13-14=860円",,,,,,,,,,,
"馬単:970円 3連複:2,690円",,,,,,,,,,,,"馬単:1,580円 3連複:650円",,,,,,,,,,,,"馬単:1,330円 3連複:1,530円",,,,,,,,,,,,"馬単:7,040円 3連複:4,130円 3連単:25,840円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8.2,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,不知火特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, ジャイアンツエｰル,,白浜雄,,,,, 1,  2.7,⑤③③, 1, 1,Ｄスリｰベイダｰ, 52,太宰啓,, 66,* -2,*  7, 5, 22.3,①①①, 1, 9,Ｄアドマイヤミリオン, 69,上村洋,, 68, -22,* 25, 2,  3.8,⑤⑤②, 1,13,Ａバンビｰナピノ, 76,田中健,, 85,  -2,* 21, 6,  9.2, ⑩⑨
 2, 7, アザンクｰル,,高野容, 0.0,,,, 8, 29.5,④③③, 2,11,Ｂトップオブザロック, 58,上村洋, 1.0, 57,  -5,*  2, 2,  3.8,⑤⑦⑦, 2, 5,Ｅマルイチハミング, 68,川田将, 0.0, 67,*-20,  25, 4, 11.7,④③②, 2, 1,Ｇテイエムノブシオｰ, 66,小牧太, 0.2, 80,* 10,  11, 1,  3.6, ①①
 3, 4, テイエムニンジャ,,熊沢重, 0.7,,,, 5, 15.7,①①①, 3, 9,Ｃユウキタイティ, 57,幸英明, 1.0, 58,* -2,  -2, 1,  1.7,②②②, 3, 6,Ｂウィングドフォｰス, 70,太宰啓, 0.0, 58,*-19,  22, 3,  8.7,①①②, 3, 8,Ｅシティボス, 67,佐藤哲, 0.6, 77,  -6,* 20, 5,  9.2, ⑬⑬
 4, 6, ライトニングボｰル,,白坂聡, 1.7,,,, 6, 19.9,②②②, 4, 6,Ｏジルサンダｰ, 31,浜中俊, 1.3, 52,* -4,  -5,14,258.1,③③③, 4, 3,Ｃヒシワンスモア, 70,武豊  , 0.1, 57,*-19,  22, 1,  1.7,②②①, 4, 7,Ｆエジプシャン, 66,幸英明, 0.6, 72,*  8,   6,10, 24.8, ②②
 5, 9, ヤマカツマドンナ,,仲田雅, 2.7,,,, 4,  5.6,⑦⑦⑦, 5,13,Ａマｰブルジｰン, 59,田中克, 1.3, 54,  -6,  -2, 3,  6.8,⑬⑦③, 5, 2,Ａスプリングダボス, 72,鮫島良, 0.2, 69, -22,* 26, 5, 13.1,⑧⑦⑥, 5, 3,Ｄシゲルダイハッカイ, 70,角田晃, 0.8, 67,*  8,   3, 2,  5.8, ②③
 6,12, マルブツグロｰリア,,岩崎祐, 2.8,,,, 3,  4.7,⑩⑨⑨, 6, 8,Ｌニホンピロアロア, 40,高橋智, 2.0, 49,  -4,  -8,12,184.7,⑤⑤③, 6, 8,Ｇマヤノリバティ, 64,浜中俊, 0.2, 66, -22,  25, 7, 36.2,⑥⑤⑤, 6,15,Ｉメイショウバルドル, 64,中村将, 1.0, 64,  -6,  11, 4,  8.1, ⑬⑬
 7, 2, キクノハヤテ,,北沢伸, 3.3,,,, 2,  4.2,③⑤⑤, 7,14,Ｇトウショウズシオウ, 47,佐藤哲, 2.5, 45,  -4, -13, 6, 28.3,⑤⑤③, 7, 7,Ｈキョウワノスタｰ, 60,渡辺薫, 0.3, 65, -22,  25, 9, 89.7,⑥⑦⑧, 7, 5,Ｏサンタナイト, 57,橋本美, 1.2, 64, -10,  13,16, 94.3, ⑯⑯
 8, 5, ウォｰタｰトリトン,,宇田登, 3.9,,,,11, 72.8,⑧⑧⑧, 8, 3,Ｍマルタカキングス, 38,野元昭, 2.5, 45,  -6,  -9,16,449.6,⑩⑩⑧, 8, 4,Ｉベルモントプロテア, 55,和田竜, 0.5, 46,*-21,  16, 8, 85.6,③③⑥, 8, 9,Ｈガｰネットスタｰ, 65,上村洋, 1.3, 58,*  7,  -3, 9, 22.9, ④③
 9,11, ドｰルリヴィエｰル,,黒岩悠, 4.9,,,,10, 72.8,⑤⑥⑥, 9, 4,Ｉビｰトマイハｰト, 44,上野翔, 2.8, 43,  -6, -12, 9,111.2,⑨⑩⑩, 9, 1,Ｆフィｰルドカイザｰ, 65,田中克, 0.7, 52, -24,  22, 6, 16.5,⑨⑨⑨, 9,17,Ｎナンゴクプラネット, 59,藤岡康, 1.4, 54,   1,  -3,11, 39.0, ⑥⑥
10,10, レッドチェリｰ,,嘉堂信, 7.1,,,, 7, 20.1,⑩⑩⑩,10,16,Ｈナムラブユウデン, 44,田中健, 2.9, 39, -10, -11,10,112.3,⑮⑭⑬,,,,,,,,,,,,,10, 2,Ｍエイシンオライオン, 61,荻野琢, 1.4, 59, -18,* 15,18,171.8, ⑱⑰
11, 1, スナｰクタイガｰ,,林満明, 7.2,,,, 9, 38.6,⑨⑩⑩,11, 5,Ｐテイエムフォルテ, 27,中村将, 3.3, 37, -12, -10,15,360.8,⑯⑮⑭,,,,,,,,,,,,,11, 6,Ｂマッキｰバクシン, 74,野元昭, 1.5, 55,   5,  -5, 3,  6.5, ④⑤
12, 8, パフィｰダンス,,内田浩, 9.4,,,,12,131.8,⑩⑫⑫,12,15,Ｅセトノギムレット, 50,和田竜, 3.4, 38,  -6, -19, 8, 41.8,⑩⑨⑩,,,,,,,,,,,,,12,14,Ｃブラックプラネット, 71,鮫島良, 1.6, 53,   3,  -5, 7, 14.4, ⑥⑥
,,,,,,,,,,,,13, 7,Ｆマルブツファｰスト, 48,鮫島良, 3.6, 36,  -7, -19, 4, 14.6,⑩⑫⑫,,,,,,,,,,,,,13,18,Ｌコウエイバッカス, 61,和田竜, 1.7, 52,   1,  -5,14, 70.1, ⑥⑨
,,,,,,,,,,,,14,10,Ｋエイブルシチｰ, 41,内田浩, 4.4, 30,* -4, -33,13,203.7,③③⑧,,,,,,,,,,,,,14,16,Ｊメイショウブンゴ, 63,石橋守, 1.7, 54,  -6,   3,13, 67.2, ⑬⑮
,,,,,,,,,,,,15, 2,Ｊブラックマジック, 43,渡辺薫, 5.8, 21,  -7, -40, 7, 29.6,⑤⑫⑭,,,,,,,,,,,,,15, 4,Ｋダイメイザバリヤル, 62,小林久, 1.8, 51,   0,  -5, 8, 19.3, ⑩⑥
,,,,,,,,,,,,16,12,Ｎロｰドエスケｰプ, 36,長谷川, 6.7, 17, -11, -42,11,169.9,⑬⑮⑯,,,,,,,,,,,,,16,11,Ｑラブプリモニション, 46,川田将, 1.9, 49,   1,  -8,12, 41.9, ⑥⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｒシルクヘラクレス, 35,船曳文, 2.2, 41, -13,  -2,17,149.0, ⑯⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,Ｐチャンプイズヒア, 50,熊沢重, 2.5, 42,   0, -15,15, 89.5, ⑩⑨
,,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-26 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,
