07年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,
 9, 9,Ｈクｰルサンドラ, 33,荻野要, 1.0, 35, -13, -12,10,235.4, ④⑤,,,,,,,,,,,,, 9,10,Ｅヒミノホシ, 64,田中健, 1.1, 60,*  9, -14, 7, 21.6, ②①, 9, 4,Ｈチザルピｰノ, 69,後藤浩, 2.1, 72,* 16, -14, 9, 96.3,②②②
10, 3,Ｂエｰシンエイホｰプ, 52,福永祐, 1.7, 29, -15, -19, 6, 17.7, ⑦⑧,,,,,,,,,,,,,10, 8,Ｂサンライズバクシン, 69,後藤浩, 1.2, 54,  -2,  -2, 2,  5.0, ⑨⑦,10, 9,Ｊリッチスマイル, 68,和田竜, 3.4, 60,   9, -14,10,130.9,⑨⑨⑨
11,10,Ｋクｰル, 22,内田浩, 2.1, 20, -15, -26,11,260.0, ⑦⑧,,,,,,,,,,,,,11,12,Ｊダイゴフウジン, 58,太宰啓, 1.5, 51,  -5,  -2,12,145.0, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｌシゲルハンドウダカ, 53,藤岡康, 1.5, 49,  -6,  -3,13,145.5, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｃニシノムｰンボｰ, 65,中舘英, 1.6, 56,   9, -16, 5, 12.6, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｐタカラジェンヌ, 36,石橋守, 1.9, 47,  -2,  -9,15,292.7, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｋテイエムホｰプフル, 56,船曳文, 2.5, 45,*  9, -28,11,105.7, ①②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｎデンコウレジｰナ, 42,中村将, 2.9, 37,   2, -24, 9, 76.8, ⑦⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+25 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:2,130円 複勝:11=440円 02=190円 06=190円 枠連:5,150円",,,,,,,,,,,,"単勝:1,920円 複勝:08=390円 01=270円 02=460円 枠連:0円",,,,,,,,,,,,単勝:170円 複勝:13=120円 02=260円 11=810円 枠連:620円,,,,,,,,,,,,単勝:130円 複勝:01=110円 08=240円 02=170円 枠連:840円,,,,,,,,,,,
"馬連:4,500円 ワイド:02-11=1,130円 06-11=1,380円 02-06=520円",,,,,,,,,,,,"馬連:5,360円 ワイド:01-08=1,260円 02-08=1,700円 01-02=1,390円",,,,,,,,,,,,"馬連:790円 ワイド:02-13=430円 11-13=1,330円 02-11=5,540円",,,,,,,,,,,,"馬連:1,010円 ワイド:01-08=380円 01-02=220円 02-08=1,140円",,,,,,,,,,,
"馬単:11,960円 3連複:8,160円",,,,,,,,,,,,"馬単:14,740円 3連複:15,070円",,,,,,,,,,,,"馬単:1,230円 3連複:12,110円",,,,,,,,,,,,"馬単:1,190円 3連複:1,810円 3連単:5,940円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 5R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■ 8R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋華賞 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂノットアロｰン, 59,武豊  ,, 66,*  5,* -7, 1,  1.3, ①①, 1,11,Ｅアメジストリング, 63,福永祐,, 76,  -9,* 17, 2,  3.5,⑩⑩④, 1,11,Ｆカレンベラッジオ, 68,後藤浩,, 70,*  1,   8, 1,  2.7,③③③, 1,13,Ｂダイワスカｰレット, 88,安藤勝,, 81,*  6,  19, 2,  2.8,②②①
 2, 4,Ｄフジノアリオン, 43,太宰啓, 0.8, 55,*  3, -15, 5, 37.7, ③③, 2, 5,Ｉメリッサ, 56,武豊  , 0.3, 64,  -7,  10, 3,  7.3,⑦⑦⑧, 2, 2,Ａステップシチｰ, 81,藤岡康, 0.1, 67,* -2,   8, 5,  8.8,③④④, 2,17,Ｃレインダンス, 82,武幸四, 0.2, 83,   4,  22, 7, 43.2,⑦④④
 3, 9,Ｃテイエムチｰタｰ, 47,和田竜, 0.9, 54,   2, -15, 3,  8.5, ④③, 3,10,Ａセイウンハレルヤ, 71,浜中俊, 0.4, 62,  -9,* 10, 6, 13.3,⑩⑦⑧, 3, 3,Ｂエｰシンティｰエム, 75,福永祐, 0.3, 62,*  2,   0, 3,  7.4,②②①, 3,16,Ａウオッカ, 91,四位洋, 0.2, 93,   0,* 30, 1,  2.7,⑮⑫⑫
 4, 1,Ｉパワｰチャンス, 36,小坂忠, 1.0, 52,   1, -13, 6, 55.1, ⑤⑤, 4,12,Ｂメイショウアルペン, 69,藤岡康, 0.5, 56,* -7,   5, 5, 11.7,③③③, 4, 8,Ｃテンエイヤシャマル, 71,幸英明, 0.4, 65,*  0,   5, 6, 10.2,⑥④④, 4,11,Ｄベッラレイア, 80,武豊  , 0.5, 98,  -3,* 35, 3,  3.8,⑯⑰⑰
 5, 6,Ｆマイネトゥインクル, 41,角田晃, 1.2, 47,  -8,* -1, 8, 75.8, ⑫⑫, 5, 2,Ｃケイアイシャｰプ, 66,安藤勝, 0.9, 54,* -6,   3, 1,  2.5,④③④, 5,10,Ｋレグルスキッド, 60,秋山真, 0.5, 66,   0,   6, 7, 18.7,⑥④④, 5, 5,Ｅラブカｰナ, 79,吉田隼, 0.5, 76,   4,  17, 6, 31.1,④④④
 6,10,Ｇタｰトルベイ, 38,藤岡康, 1.3, 44,  -4, -15, 7, 62.8, ⑧⑦, 6, 7,Ｇグロリアスウェザｰ, 61,角田晃, 0.9, 57,  -9,   7, 8, 26.2,⑨⑩⑪, 6, 9,Ｄシャイニｰハンタｰ, 70,武豊  , 0.6, 72,  -4,* 15, 2,  3.7,⑪⑩⑨, 6, 6,Ｉカレンナサクラ, 76,武士沢, 0.6, 78,   2,  20,14,149.1,⑩⑨⑦
 7, 5,Ｋメイショウインダス, 24,飯田祐, 1.4, 47,   1, -19, 9, 77.6, ⑤⑤, 7, 8,Ｊドナパッション, 50,川田将, 1.0, 55,  -8,   6,10, 83.1,⑦⑨⑩, 7, 1,Ｇシｰロｰレル, 64,大下智, 0.6, 69,  -6,* 13, 8, 29.4,⑫⑪⑨, 7, 2,Ｋミンティエアｰ, 73,蛯名正, 0.7, 75,   2,  19,11, 62.5,⑧⑦⑦
 8,11,Ａバイオスフィア, 61,幸英明, 1.7, 45,*  4, -32, 2,  4.6, ②②, 8, 9,Ｋキョウコマチ, 44,小原義, 1.6, 49,  -9,   3,12,281.5,⑫⑫⑫, 8,12,Ｊウイニングアｰク, 60,佐藤哲, 1.1, 61,  -2,   5,10, 92.2,⑧⑨⑦, 8,10,Ｌハロｰスピｰド, 72,松岡正, 0.7, 79,   0,  22,13,134.3,⑫⑩⑩
 9, 8,Ｅウインサテライト, 41,佐藤哲, 1.8, 42,  -5, -15, 4, 29.4, ⑪⑪, 9, 4,Ｆウレッコ, 62,幸英明, 1.9, 45,  -7,  -6, 9, 35.4,⑤⑤⑥, 9, 4,Ｅユメキコウ, 69,中村将, 1.1, 57,  -3,   2, 9, 35.6,⑧⑧⑦, 9, 8,Ｑマイネルｰチェ, 61,大野拓, 0.8, 82,  -2,  25,18,285.5,⑭⑭⑭
10, 7,Ｈサマｰグロリアス, 37,渡辺薫, 2.1, 38,  -5, -22,10,159.5, ⑩⑩,10, 1,Ｄショウナンサリｰレ, 64,松岡正, 2.1, 47,* -4, -12, 4,  8.0,①①①,10, 5,Ｈカゼトトモニ, 62,荻野琢, 1.6, 55,  -8,   5,11,122.6,⑩⑫⑫,10,18,Ｈロｰブデコルテ, 76,福永祐, 0.8, 75,   1,  19, 4, 20.0,⑨⑩⑩
11, 3,Ｌサイザンス,-30,中村将, 3.0, 30,  -4, -40,11,244.0, ⑧⑦,11, 6,Ｌヤマカツマドンナ, 32,石橋守, 2.1, 45,  -7,  -8,11,127.4,⑤⑤⑥,11, 6,Ｉセブンゴｰルデン, 61,野元昭, 1.6, 56,*  3, -19, 4,  7.6,①①②,11, 9,Ｇアルコセニョｰラ, 78,中舘英, 0.9, 79,  -2,  24,10, 52.7,⑫⑭⑭
12, 2,Ｊエｰシンパンケン, 28,荻野琢, 3.3, 27,  -4, -46,12,304.4, ⑤⑦,12, 3,Ｈリヴィエｰルジｰタ, 56,中舘英, 2.1, 47,* -5, -11, 7, 20.4,②②②,12, 7,Ｌカッサイノアラシ, 44,中舘英, 2.3, 49,  -3, -17,12,133.4,③⑦⑨,12,15,Ｏクィｰンスプマンテ, 65,鮫島良, 1.0, 87,  -5,* 30,15,201.6,⑱⑱⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｍブリトマルティス, 71,幸英明, 1.0, 68,   2,  13,17,239.2,⑥⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｆピンクカメオ, 78,後藤浩, 1.0, 73,   0,  19, 5, 27.0,⑪⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｊザレマ, 75,川田将, 1.1, 66,*  5,   5, 9, 51.9,③③②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｎタガノプルミエｰル, 66,橋本美, 1.1, 76,  -2,  22, 8, 50.2,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐホクレレ, 61,藤岡佑, 1.7, 64,   4,  -1,16,237.0,④④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｒヒシアスペン, 32,池添謙, 3.8,-34,*  5, -39,12, 68.1,①①③
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-6),,,,,,,,,,,
"単勝:130円 複勝:12=100円 04=380円 09=150円 枠連:1,410円",,,,,,,,,,,,単勝:350円 複勝:11=170円 05=220円 10=300円 枠連:980円,,,,,,,,,,,,"単勝:270円 複勝:11=140円 02=290円 03=220円 枠連:1,620円",,,,,,,,,,,,単勝:280円 複勝:13=120円 17=620円 16=150円 枠連:310円,,,,,,,,,,,
"馬連:2,090円 ワイド:04-12=780円 09-12=190円 04-09=1,580円",,,,,,,,,,,,"馬連:1,580円 ワイド:05-11=610円 10-11=740円 05-10=1,300円",,,,,,,,,,,,"馬連:1,630円 ワイド:02-11=580円 03-11=460円 02-03=920円",,,,,,,,,,,,"馬連:5,880円 ワイド:13-17=1,540円 13-16=210円 16-17=2,140円",,,,,,,,,,,
"馬単:2,370円 3連複:2,640円",,,,,,,,,,,,"馬単:2,590円 3連複:5,690円",,,,,,,,,,,,"馬単:2,730円 3連複:3,320円",,,,,,,,,,,,"馬単:7,220円 3連複:4,640円 3連単:37,630円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■12R  ダ1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,堀川特別,,,,,,,,,,,,天王山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, コオリナストｰン,---,福永祐,, 60,*-14,*  9, 3,  4.1,①①①, 1, 2,Ｄキタノアラワシ, 66,武豊  ,, 75,   4,*  9, 1,  1.6,④③③, 1,11,Ｆニシノマナムスメ, 78,武豊  ,, 86, -21,* 34, 1,  2.0, ⑥④, 1, 2,Ｅルミナスポイント, 74,福永祐,, 84,   4,* 16, 2,  3.4, ⑩⑧
 2, 3, マイハｰトマイラブ,---,安藤勝, 1.0, 44,*-14,   0, 2,  3.0,②②②, 2, 5,Ｈケイエスシンケイト, 56,幸英明, 0.1, 75,   5,   7, 4,  8.8,⑥③②, 2, 8,Ｈトップオブツヨシ, 77,池添謙, 0.0, 76,*-17,  28, 3,  7.6, ②②, 2, 4,Ｄエイシンイｰデン, 75,鮫島良, 0.2, 81,* 11,   6, 9, 52.8, ②②
 3, 1, ビｰチパトロｰル,---,武豊  , 1.4, 40, -15,  -2, 1,  1.7,⑥③③, 3,11,Ｃアドミラビリス, 67,浜中俊, 0.4, 68,  -1,* 11, 7, 29.1,⑧⑨⑦, 3,12,Ｉベルジュｰル, 77,鮫島良, 0.3, 70,*-18,  27, 7, 16.8, ③③, 3, 1,Ａセイウンプレジャｰ, 82,武豊  , 0.2, 83,   2,* 17, 1,  2.1, ⑪⑫
 4, 6, ユグドラシル,---,中村将, 1.4, 40, -17,  -1, 4, 16.6,⑤⑤⑤, 4, 7,Ｅマイティｰバッカス, 63,藤岡康, 1.2, 61,  -2,   5, 5, 18.0,⑩⑩⑧, 4, 9,Ｂハチマンダイボサツ, 79,幸英明, 0.3, 59,*-16,  22, 5, 10.6, ①①, 4,11,Ｈマルサンテクニカル, 72,和田竜, 0.3, 80,   4,  12, 7, 17.4, ⑧⑦
 5, 2, サンオｰルイン,---,野元昭, 1.8, 35, -15,  -6, 5, 73.5,③④③, 5, 8,Ｊブルｰホリゾン, 53,川田将, 1.2, 63,  -1,   6, 6, 19.2,⑩⑩⑧, 5, 4,Ｄビンチェロ, 78,上村洋, 0.4, 68, -20,  26, 6, 13.0, ④④, 5, 9,Ｂホワイトペッパｰ, 77,松岡正, 0.4, 78,   0,  13, 3, 10.3, ⑪⑪
 6, 4, ハロｰカピタン,---,長谷川, 4.2, -2, -17, -26, 6,106.2,③⑤⑥, 6, 9,Ｂディｰプウイング, 68,上村洋, 1.3, 64,   2,   1, 3,  7.0,⑧⑥⑤, 6, 6,Ｋアドマイヤメガミ, 70,川田将, 0.6, 60, -20,  25,10, 83.2, ④⑥, 6,10,Ｉトワイニングイモン, 71,長谷川, 0.9, 71,   0,   7,13,109.2, ⑪⑫
,,,,,,,,,,,, 7, 4,Ａラヴファクトリｰ, 69,船曳文, 2.5, 53,*  4, -19, 2,  6.5,②①①, 7, 7,Ｃハギノルチェｰレ, 79,四位洋, 0.8, 64, -23,  26, 4,  7.6, ⑧⑦, 7,15,Ｃドリｰムホマレ, 75,中村将, 1.0, 69,  -8,  13,12, 92.1, ⑭⑭
,,,,,,,,,,,, 8, 6,Ｉグリッタｰエルフ, 55,和田竜, 2.9, 51,   1, -14, 8, 43.5,③⑥⑧, 8, 2,Ｊレディキルシェ, 70,藤岡佑, 0.9, 67, -25,  28,11,102.4, ⑩⑩, 8, 3,Ｌプリンコックス, 67,大野拓, 1.4, 66,   5,  -2,14,145.1, ⑦④
,,,,,,,,,,,, 9,10,Ｇオｰミメリッサ, 59,小坂忠, 2.9, 51,   3, -17,11,201.8,⑦⑤⑥, 9, 1,Ｅディｰプスピリット, 78,安藤勝, 0.9, 54, -23,  23, 2,  6.3, ⑦⑦, 9, 8,Ｍナムラフランキｰ, 66,幸英明, 1.4, 68,   8,  -4, 4, 12.9, ③③
,,,,,,,,,,,,10, 1,Ｋシャノン, 49,荻野琢, 3.4, 45,   0, -20, 9, 71.7,④⑥⑪,10, 3,Ｇミルクトｰレル, 77,松田大, 1.0, 53, -23,  23, 8, 26.3, ⑧⑦,10, 5,Ｇサンレイラピッヅ, 72,岩崎祐, 1.7, 63,   7,  -8,15,250.0, ③④
,,,,,,,,,,,,11, 3,Ｆシルクライムライト, 61,中村将, 3.6, 45,*  4, -30,10,112.6,①②③,11, 5,Ａストンコｰルド, 79,福永祐, 1.3, 53, -27,  25, 9, 34.3, ⑪⑩,11,14,Ｋユｰセイハヤトオｰ, 67,田中健, 2.2, 57,   5, -12,11, 77.2, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｌヘキレキ, 62,武幸四, 1.8, 42, -29,  20,12,124.4, ⑫⑫,12,12,Ｏプラチナロｰズ, 63,田中克, 2.2, 58,   3,  -8,10, 75.6, ⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｎベルモントリボン, 65,川田将, 2.6, 55, -29,* 21, 6, 17.4, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｊテイエムクリスタル, 68,渡辺薫, 2.6, 55,* 14, -22, 5, 14.1, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｆリキアイヤマノオｰ, 74,中舘英, 3.4, 46,   6, -23, 8, 27.5, ⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-24 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-2),,,,,,,,,,,
単勝:410円 複勝:05=160円 03=160円 枠連:0円,,,,,,,,,,,,単勝:160円 複勝:02=110円 05=170円 11=300円 枠連:540円,,,,,,,,,,,,単勝:200円 複勝:11=120円 08=180円 12=450円 枠連:310円,,,,,,,,,,,,"単勝:340円 複勝:02=130円 04=600円 01=120円 枠連:7,080円",,,,,,,,,,,
馬連:580円 ワイド:03-05=130円 01-05=110円 01-03=110円,,,,,,,,,,,,"馬連:540円 ワイド:02-05=260円 02-11=460円 05-11=1,410円",,,,,,,,,,,,"馬連:760円 ワイド:08-11=340円 11-12=870円 08-12=1,610円",,,,,,,,,,,,"馬連:6,640円 ワイド:02-04=1,770円 01-02=180円 01-04=1,110円",,,,,,,,,,,
"馬単:1,100円 3連複:150円",,,,,,,,,,,,"馬単:700円 3連複:2,280円",,,,,,,,,,,,"馬単:1,130円 3連複:4,570円 3連単:15,630円",,,,,,,,,,,,"馬単:10,740円 3連複:3,440円 3連単:31,690円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
