07年 7月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,
 3,10,Ａスロクスザンナ, 57,武豊  , 0.8, 58,* -2,  -5, 1,  1.8,③②②, 3, 2,Ｂエリスシチｰ, 56,川田将, 0.2, 59,   7,*-14, 9, 45.8, ⑨⑧, 3, 2,Ｇシルクホｰムラン, 61,中村将, 1.0, 65,   2,   3,10, 39.7, ⑧⑧, 3, 7,Ｉフェイトトリックス, 85,熊沢重, 0.1, 88,   4,* 22, 7, 19.3, ⑥⑦
 4, 2,Ｄメイショウシオギリ, 46,石橋守, 0.9, 56,  -5,  -1, 2,  5.3,⑤⑤⑤, 4, 6, バトルバニヤン,---,武豊  , 0.3, 56,  -1,*  0, 3,  4.4, ⑰⑯, 4, 1,Ｄテイエムカイブツ, 64,和田竜, 1.2, 64,   2,   3, 3,  7.7, ⑨⑥, 4,11,Ｅスタｰイレブン, 87,内田浩, 0.3, 88,  -1,* 25,11, 55.9, ⑫⑬
 5, 9,Ｃルリュｰル, 46,荻野琢, 1.3, 50,  -7,  -4, 3,  6.0,⑥⑥⑥, 5,17,Ｄスズカロングラン, 55,田島裕, 0.5, 56,*  9, -23, 4, 16.6, ⑤④, 5, 9,Ｊバトルスクワｰト, 59,太宰啓, 1.4, 60,  -3,*  6,12, 49.4, ⑬⑫, 5, 5,Ａファイングレイン, 97,上村洋, 0.3, 82,*  8,  16, 2,  3.7, ③②
 6, 1,Ｆラファル, 41,和田竜, 1.5, 52,* -3, -11, 7, 34.1,③④②, 6,13,Ａエｰシンティｰエム, 64,上村洋, 0.6, 58,   8, -23, 1,  2.6, ⑭④, 6, 8,Ｅマｰベラスアロｰ, 64,佐藤哲, 1.5, 59,  -3,   5, 7, 22.7, ⑬⑫, 6, 8,Ｇホッコｰソレソレｰ, 85,和田竜, 0.4, 82,   4,  18, 3,  5.0, ⑧⑦
 7, 7,Ｇコンバットコマンダ, 37,野元昭, 2.0, 47,  -5, -10,11,324.1,⑥⑥⑥, 7,10,Ｃエルベレス, 56,荻野琢, 0.9, 48,*  9, -36, 6, 16.9, ②②, 7,12,Ｉデンコウニンジャ, 60,橋本美, 1.6, 62,   4,  -4, 9, 31.2, ⑦⑤, 7,12,Ｂミスティックエイジ, 90,武豊  , 0.4, 79,   6,  15, 1,  3.2, ④②
 8, 6,Ｈオンワｰドウイン, 35,中村将, 2.0, 46,* -3, -18, 8, 55.8,②②②, 8, 9, ランドマッハ,---,中村将, 1.0, 47,   5, -26,13,120.4, ⑪⑩, 8,16,Ｎヤマニンノベリスト, 56,石橋守, 1.7, 58,  -2,   1, 8, 28.8, ⑪⑩, 8,15,Ｏホｰマンアピｰル, 74,幸英明, 0.5, 74,   4,  12,14,105.8, ②②
 9, 3,Ｅネイルビュｰティｰ, 41,金折知, 3.1, 38,  -8, -16,10,229.2,⑧⑩⑩, 9, 4,Ｊメジロベリンダ, 41,浜中俊, 1.5, 41,   1, -28,12,118.2, ⑪⑫, 9, 5,Ｆヒシプレミア, 62,生野賢, 1.8, 60,   5,  -9, 5, 16.8, ④④, 9, 3,Ｈマイケルバロｰズ, 85,佐藤哲, 0.6, 80,   2,  18, 5, 12.8, ⑩⑪
10, 4,Ｉエヴァソｰマッチ,-15,浜中俊, 3.7, 32, -10, -21, 9,119.3,⑩⑩⑩,10,14,Ｉマサライト, 43,佐藤哲, 1.5, 46,   8, -36, 5, 16.8, ⑬⑧,10, 4,Ａナムラオシリス, 72,川島信, 1.8, 63,*  9, -12, 2,  4.1, ②①,10,14,Ｍツルマルヨカニセ, 77,中村将, 0.7, 74,   5,  12,12, 65.4, ⑥⑤
11,11, サクラシャンティ,---,川田将, 3.8, 34,  -6, -25, 6, 30.3,⑧⑥⑨,11, 5,Ｌクリノスミレホｰム, 39,田中克, 2.2, 37,   0, -38,16,259.1, ⑯⑭,11,11,Ｌスズノテンカ, 58,川田将, 2.0, 58,   3,  -7,11, 40.1, ⑥⑥,11, 1,Ｎスクｰルボｰイ, 76,石橋守, 1.0, 66,   4,   6,15,159.4, ⑤⑤
,,,,,,,,,,,,12,16,Ｍブルｰアルテミス, 36,藤岡康, 2.2, 38,  -4, -30,15,246.7, ⑰⑯,12,10,Ｏメイショウチュラ, 49,岩崎祐, 2.0, 55,  -5,   3,16,181.9, ⑬⑭,12, 4,Ｃタイキラファエロ, 90,川島信, 1.1, 67,   3,   8, 6, 13.0, ⑨⑦
,,,,,,,,,,,,13, 1, ガｰディアンシップ,---,和田竜, 2.3, 38,   4, -42, 8, 29.7, ⑭⑪,13,14,Ｋクリテリウム, 59,野元昭, 2.1, 55,  -1,  -2,15,151.8, ⑪⑩,13,10,Ｆフサイチアウステル, 86,赤木高, 1.1, 73,  -1,  17,13, 85.8, ⑭⑭
,,,,,,,,,,,,14, 3,Ｈトウショウズシオウ, 48,赤木高, 2.9, 33,* 11, -66, 7, 22.5, ①①,14, 3,Ｈニシノヴァネッサ, 61,赤木高, 2.2, 58,*  8, -17, 6, 20.8, ①②,14, 6,Ｋナスノストロｰク, 80,芹沢純, 1.2, 67,   3,   7,10, 45.8, ⑬⑦
,,,,,,,,,,,,15,18,Ｆナムラマッハ, 52,太宰啓, 2.9, 33,* 11, -64,11, 59.1, ③③,15,15,Ｍリッカキセキ, 57,小牧太,41.3,41.3---,*-15, ---,13, 60.7, ⑯⑮,15, 2,Ｌアフリカンビｰト, 78,小牧太, 1.7, 60,  -6,  10, 9, 34.2, ⑮⑮
,,,,,,,,,,,,16, 7,Ｎグラマｰシップ, 30,仲田雅, 2.9, 35,   2, -47,18,276.9, ⑥⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,15,Ｇナムラウイング, 49,田中健, 3.5, 22,   2, -61,14,143.3, ⑦⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 8,Ｏシルクキャニオン, 26,上野翔,12.2,12.2---,  -6, ---,17,264.7, ④⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,
"単勝:710円 複勝:08=170円 05=210円 10=110円 枠連:1,540円",,,,,,,,,,,,"単勝:5,250円 複勝:11=1,130円 12=180円 02=740円 枠連:6,090円",,,,,,,,,,,,単勝:210円 複勝:07=130円 13=220円 02=570円 枠連:790円,,,,,,,,,,,,"単勝:1,000円 複勝:09=300円 13=550円 07=490円 枠連:560円",,,,,,,,,,,
"馬連:3,690円 ワイド:05-08=1,090円 08-10=230円 05-10=390円",,,,,,,,,,,,"馬連:7,140円 ワイド:11-12=1,560円 02-11=11,820円 02-12=1,770円",,,,,,,,,,,,"馬連:880円 ワイド:07-13=420円 02-07=1,340円 02-13=2,370円",,,,,,,,,,,,"馬連:8,890円 ワイド:09-13=2,870円 07-09=2,430円 07-13=3,390円",,,,,,,,,,,
"馬単:9,270円 3連複:1,540円",,,,,,,,,,,,"馬単:19,740円 3連複:51,650円",,,,,,,,,,,,"馬単:1,210円 3連複:6,890円",,,,,,,,,,,,"馬単:17,050円 3連複:39,210円 3連単:248,400円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.3,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.7,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.9,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鶴橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃロｰケイダブリュ, 58,川田将,, 60,  -2,*  2, 1,  2.2, ⑦⑧, 1,13,Ｊナリタトパｰズ, 43,河北通,, 59,   0,   2,11,128.0, ⑥⑥, 1, 4,Ｅマンハッタンスカイ, 72,小牧太,, 64,* -1,   4, 6, 12.5,②②②, 1,13,Ｅベルモントプロテア, 63,田中健,, 71,*  6,*  0, 7, 32.8,④②②
 6,14, ボストンカラｰズ,---,飯田祐, 0.1, 65,*  4,  -5, 3,  6.8, ②②, 2, 7,Ｃゼットファｰスト, 62,熊沢重, 0.3, 59,   8, -11, 2,  3.1, ⑤④, 2, 5,Ａブレイズワン, 78,幸英明, 0.0, 69,  -1,*  8, 3,  4.3,③③④, 2, 4,Ａロリンザｰユｰザｰ, 80,上村洋, 0.4, 70,*  8,  -4, 1,  1.8,①①①
 2, 7,Ｊシルクルｰヴル, 36,上野翔, 0.4, 58,   0,  -4,12,110.0, ⑤③, 2, 9,Ｆトップチョイス, 46,小牧太, 0.3, 55,  -4,   2, 6, 33.0, ⑩⑨, 3, 1,Ｄフィｰルドミュｰズ, 72,武豊  , 0.3, 65,  -3,   6, 1,  2.6,⑥⑤④, 3, 1,Ｂアドマイヤムサシ, 67,川田将, 0.5, 70,*  8,  -5, 3,  5.7,②②②
 3,13,Ｄルビｰトゥインクル, 54,小坂忠, 0.9, 58,*  5, -14,11, 77.4, ①①, 4,10,Ｂマヤノグロリア, 68,浜中俊, 0.5, 57,* 13, -22, 3,  8.4, ①①, 4, 3,Ｇトミケンラピッド, 65,小坂忠, 0.3, 67,  -3,*  8, 9, 87.6,⑥⑤⑦, 4, 8,Ｄマイティｰバッカス, 64,中村将, 0.9, 61,  -2,*  8, 2,  5.1,⑭⑭⑪
 4,12,Ｇサンマルミシル, 46,小牧太, 0.9, 52,  -1,  -8, 4, 12.0, ⑦⑥, 5,15,Ｅシルクスタｰリング, 51,荻野琢, 0.5, 52, -13,*  3,10,105.4, ⑫⑪, 5, 8,Ｉカｰリングストｰン, 51,和田竜, 0.3, 64,  -3,   6, 5, 11.1,③⑤⑥, 5,14,Ｊスマイルハヅキ, 58,田中克, 1.1, 61,   3,  -5,10, 91.3,⑦⑦⑦
 5, 9,Ａプラグマティック, 65,中村将, 1.3, 46,  -1, -14, 2,  3.3, ⑤⑥, 6,12,Ｋファイトシｰン, 38,太宰啓, 0.5, 55, -11,*  5, 9, 60.7, ⑫⑪, 6, 7,Ｈセブンゴｰルデン, 63,野元昭, 0.4, 57,*  1,  -3, 8, 25.0,①①①, 6,12,Ｍメイショウマボンヌ, 55,酒井学, 1.6, 60,   6, -11,14,114.8,④⑤④
 7,11,Ｆクロスベンハｰ, 49,佐藤哲, 1.4, 45,  -4, -10, 8, 37.7, ⑭⑪, 7, 2,Ａアグネスモリガン, 69,武豊  , 0.5, 59,* 13, -19, 1,  1.7, ②②, 7, 2,Ｃアヴェンティｰノ, 73,生野賢, 0.5, 62,  -5,   6, 4,  8.3,⑧⑧⑦, 7, 7,Ｃクラッシックベル, 64,川島信, 1.7, 59,   4,  -9, 6, 17.4,⑧⑧⑦
 8, 8,Ｅデルフィｰネ, 53,荻野琢, 1.6, 43,  -1, -18, 9, 41.0, ③③, 8, 8,Ｇシゲルオブリガｰド, 46,佐藤哲, 0.7, 56,* 13, -22, 4, 20.9, ②②, 8, 6,Ｆグランオマｰジュ, 69,川田将, 0.5, 63,  -4,   6, 2,  4.1,⑧⑧⑦, 8, 2,Ｋドリｰムシｰカｰ, 57,佐藤哲, 1.8, 58,   3,  -8,12, 99.9,⑩⑩⑦
 9, 1, ダイショウサンダｰ,---,橋本美, 1.6, 45, -17,*  0,14,244.5, ⑯⑯, 9,11,Ｍサンマルマジック, 28,飯田祐, 0.7, 51,  -9,   0,16,350.1, ⑫⑪, 9, 9,Ｂオｰプンセサミ, 74,佐藤哲, 0.7, 55,  -1,  -3, 7, 20.1,③③③, 9, 5,Ｌトウカイポリシｰ, 56,幸英明, 2.5, 54,   7, -21, 4, 13.3,④⑤④
10, 5,Ｋトリノシチｰ, 34,和田竜, 1.8, 41,  -3, -15, 7, 37.4, ⑪⑭,10, 4,Ｉナリタドリｰムワン, 44,芹沢純, 0.8, 48,  -1,  -9,13,153.7, ⑧⑦,,,,,,,,,,,,,10,10,Ｈシゲルカイノセ, 59,小牧太, 2.9, 51,   7, -26, 5, 15.2,②②④
11, 4,Ｂサクラダモン, 60,田島裕, 1.9, 40,  -3, -16, 6, 16.6, ⑩⑨,11, 1,Ｌキッスホｰラｰ, 31,石橋守, 0.8, 48,  -3,  -8,14,155.2, ⑦⑦,,,,,,,,,,,,,11, 3,Ｆカシノエスケイプ, 61,浜中俊, 3.1, 46,   3, -23, 8, 50.1,⑧⑧⑩
12, 2,Ｌアラタマヘイロｰ, 32,高井彰, 2.1, 38,  -2, -19,16,405.4, ⑪⑩,12,16,Ｄタカオティアラ, 52,藤岡康, 1.1, 42,   6, -25, 5, 24.3, ④④,,,,,,,,,,,,,12,11,Ｉラブストラック, 58,赤木高, 3.3, 46,   0, -18, 9, 51.6,⑬⑫⑫
13,15,Ｍタマモグッドプレイ, 32,浜中俊, 2.3, 34,  -4, -22,15,307.9, ⑪⑪,13, 3, フェアリｰシェイプ,---,川田将, 1.5, 39,  -4, -17, 7, 39.0, ⑧⑨,,,,,,,,,,,,,13, 6,Ｇカシノオウジャ, 61,和田竜, 4.0, 43,   1, -24,13,102.6,⑩⑫⑫
14,10,Ｈジョｰテレジア, 46,上村洋, 2.6, 33,  -3, -23, 5, 16.5, ⑦⑪,14, 5,Ｏホｰマンフラッシュ,  7,内田浩, 1.7, 34, -15,  -9,15,163.3, ⑫⑮,,,,,,,,,,,,,14, 9,Ｎアマゾンリリｰ, 51,藤岡康, 4.2, 40,   0, -28,11, 92.3,⑩⑪⑭
15, 6, キクノシリウス,---,赤木高, 2.7, 34,   0, -27,10, 60.1, ③③,15,14,Ｈマックスウィルドゥ, 45,生野賢, 2.0, 16, -19, -11,12,137.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｉワンダｰマッタホン, 38,幸英明, 2.8, 31,  -5, -23,13,170.1, ⑭⑮,16, 6,Ｎヴィヴァコウベ, 24,和田竜, 3.3,-15,  -8, -42, 8, 47.1, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:220円 複勝:03=140円 07=2,450円 13=1,010円 枠連:2,650円",,,,,,,,,,,,"単勝:12,800円 複勝:13=1,600円 07=180円 09=650円 枠連:4,430円",,,,,,,,,,,,"単勝:1,250円 複勝:04=250円 05=140円 01=120円 枠連:2,200円",,,,,,,,,,,,"単勝:3,280円 複勝:13=490円 04=120円 01=190円 枠連:1,220円",,,,,,,,,,,
"馬連:14,300円 ワイド:03-07=3,700円 03-13=1,730円 07-13=27,170円",,,,,,,,,,,,"馬連:10,220円 ワイド:07-13=4,270円 09-13=12,990円 07-09=1,160円",,,,,,,,,,,,"馬連:2,160円 ワイド:04-05=580円 01-04=450円 01-05=210円",,,,,,,,,,,,"馬連:1,960円 ワイド:04-13=710円 01-13=2,700円 01-04=300円",,,,,,,,,,,
"馬単:22,830円 3連複:164,760円",,,,,,,,,,,,"馬単:36,740円 3連複:104,620円",,,,,,,,,,,,"馬単:5,010円 3連複:1,290円 3連単:12,740円",,,,,,,,,,,,"馬単:8,450円 3連複:4,340円 3連単:54,360円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
