07年 7月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
 9, 9,Ａシゲルザスカイ, 69,佐藤哲, 1.6, 36,  -3, -20, 1,  1.9, ⑤⑤, 9, 1, ライジングバイオ,---,幸英明, 1.8, 31, -21,  -9, 9, 82.1, ⑦⑧, 9,10,Ｌジョバイロ, 41,太宰啓, 1.5, 50, -21,*  9, 9, 17.4, ⑯⑰, 9, 2,Ｑケイエススプリング, 71,難波剛, 1.0, 70,  -3,  15,16,152.4, ⑩⑩
10, 3,Ｉマイネルピリアｰ, 24,幸英明, 1.8, 32, -13, -14,10,122.5, ⑪⑩,10, 3, ハニｰソオスイｰト,---,飯田祐, 2.2, 26, -27,  -9,10, 95.4, ⑩⑩,10, 9,Ｋキッスホｰラｰ, 45,石橋守, 1.5, 51,  -1,  -9,12, 55.1, ⑥⑧,10, 5,Ｃツルマルオトメ, 83,渡辺薫, 1.0, 72,   6,  12, 2,  6.0, ⑥⑥
11, 2,Ｍキｰスニｰカｰ,-78,大下智, 2.0, 27, -13, -20,13,375.7, ⑩⑩,,,,,,,,,,,,,11, 7,Ｈジョｰテレジア, 47,中村将, 1.6, 47,  -1, -13, 5, 10.0, ⑤⑩,11,13,Ｇタニノロｰゼ, 79,幸英明, 1.2, 68,* 16,  -1, 3, 10.6, ①①
12,12,Ｌエｰシンモアパワｰ,-60,赤木高, 2.0, 31, -16, -14,11,241.8, ⑬⑫,,,,,,,,,,,,,12,17,Ａサクラダモン, 61,田島裕, 1.7, 48,  -5,  -9, 4,  9.2, ⑩⑫,12,15,Ｏルタンティｰル, 71,角田晃, 1.2, 70,  -7,  18,17,156.8, ⑫⑭
13, 1,Ｇエｰシントゥｰゴｰ, 32,渡辺薫, 2.6, 23, -14, -24, 9, 76.3, ⑫⑫,,,,,,,,,,,,,13,14,Ｍスｰパｰドゥｰパｰ, 40,酒井学, 1.7, 48,  -3, -10,11, 38.1, ⑩⑩,13,10,Ｈタガノバスティｰユ, 79,石橋守, 1.2, 77,  -9,* 25, 7, 25.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｉハンティングダラｰ, 47,荻野琢, 1.8, 42, -21,   1,13, 74.3, ⑯⑮,14,11,Ｉロｰランジェネルｰ, 77,高橋智, 1.3, 69,  -6,  17,14, 90.5, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,11, バンビｰナニモ,---,幸英明, 2.0, 43, -26,   6,16,147.3, ⑱⑱,15, 1,Ｊメイショウディオ, 76,佐藤哲, 1.4, 67, -14,  20,15, 99.6, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｇスズノユｰフォｰド, 47,藤岡康, 2.1, 38,  -8, -16, 7, 14.5, ⑫⑫,16,14,Ｐテイエムロマンス, 71,芹沢純, 1.4, 63,* 11,  -2,11, 57.6, ②②
,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｅカシノマキバオｰ, 50,和田竜, 2.3, 39,*  3, -26, 3,  7.4, ③③,17, 6,Ｍエムエスワｰルド, 73,太宰啓, 1.4, 65,   6,   6, 4, 14.2, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｏコウエイマイホｰプ, 39,浜中俊, 3.2, 21,*  1, -42,14, 88.8, ③⑥,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:320円 複勝:07=170円 08=570円 05=780円 枠連:270円,,,,,,,,,,,,"単勝:1,650円 複勝:02=190円 09=100円 04=210円 枠連:580円",,,,,,,,,,,,"単勝:1,510円 複勝:16=430円 03=340円 05=250円 枠連:1,080円",,,,,,,,,,,,"単勝:170円 複勝:04=130円 07=400円 03=550円 枠連:1,050円",,,,,,,,,,,
"馬連:3,640円 ワイド:07-08=1,300円 05-07=2,080円 05-08=5,730円",,,,,,,,,,,,馬連:580円 ワイド:02-09=240円 02-04=930円 04-09=260円,,,,,,,,,,,,"馬連:7,730円 ワイド:03-16=2,160円 05-16=1,460円 03-05=1,150円",,,,,,,,,,,,"馬連:1,740円 ワイド:04-07=790円 03-04=900円 03-07=4,150円",,,,,,,,,,,
"馬単:4,720円 3連複:28,290円",,,,,,,,,,,,"馬単:2,820円 3連複:1,430円",,,,,,,,,,,,"馬単:18,540円 3連複:18,860円",,,,,,,,,,,,"馬単:2,330円 3連複:10,880円 3連単:38,130円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■11R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,足立山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｅシゲルダンヤバｰド, 49,河北通,, 62,* -2,*  2, 6, 22.3, ②②, 1, 3,Ｂサプライズユｰ, 62,佐藤哲,, 62,  -7,  12, 2,  3.5,③③②, 1,11,Ｂマルタカタキオン, 69,田中克,, 67,  -1,* 10, 2,  3.4,⑩⑧③, 1, 9,Ｆエルロドリゴ, 67,小林久,, 75,  -2,* 15, 7, 14.7,⑮⑫⑩
 2, 4,Ａロｰランドナルド, 59,和田竜, 0.1, 61,* -4,*  3, 2,  2.9, ③②, 2,12,Ａノｰタブルアｰト, 82,武豊  , 0.1, 69, -11,* 18, 1,  1.5,⑪⑩⑧, 2, 4,Ｎキングベガロｰド, 52,難波剛, 0.4, 66,   4,   1,12, 77.5,⑤③②, 2,11,Ｋエアドミンゴ, 61,武豊  , 0.1, 64,*  3,   3, 2,  4.4,②②①
 3, 6,Ｂクｰドクｰル, 56,武豊  , 0.3, 58,  -5,   1, 1,  2.5, ④④, 3, 8,Ｃシュトラｰレン, 55,中村将, 0.3, 59, -11,* 12, 4, 18.4,⑧⑨⑥, 3,14,Ｃロｰランラムズ, 68,浜中俊, 0.6, 61,   1,   0, 4,  6.7,⑤⑥⑤, 3,10,Ｃカワキタラプラタ, 69,川田将, 0.1, 68,   0,   9, 8, 16.5,⑦⑦④
 4, 2,Ｌキｰポジション, 30,太宰啓, 0.8, 52, -17,*  4,10, 77.6, ⑫⑦, 4,16,Ｇカネコメハｰシル, 43,野元昭, 0.5, 55,  -9,   9,10, 59.9,⑦⑥⑥, 4, 3,Ｍスピリットファイタ, 53,大下智, 0.6, 62,*  4,  -5,11, 52.9,②①①, 4, 2,Ｇスマイリングルｰラ, 67,角田晃, 0.2, 68,  -1,   9, 3,  7.4,⑦⑩⑩
 5, 1,Ｃケイウンファミリｰ, 52,中村将, 0.8, 52,* -1,  -8, 4,  9.3, ①①, 5, 4,Ｉシゲルマルル, 39,熊沢重, 0.5, 53,  -9,   7, 6, 39.7,⑤⑥④, 5, 1,Ｉスナｰクエベレスト, 61,赤木高, 0.7, 62,  -2,*  9, 9, 36.9,⑫⑬⑬, 5, 6,Ｍワンダｰポテンシア, 59,渡辺薫, 0.3, 68,  -2,* 11,12, 33.1,⑫⑫⑮
 6, 3,Ｆカネトシイナバウア, 47,田中克, 1.1, 46, -11,  -5,11,143.9, ⑦⑤, 6, 1,Ｍライスフラワｰ, 29,飯田祐, 0.5, 49,* -5,   0,14,243.4,①①①, 6, 7,Ｌカリスマコンコルド, 54,和田竜, 0.8, 62,  -1,   4,14,119.3,⑬⑩⑥, 6,12,Ｄニキティス, 68,上村洋, 0.3, 63,  -1,   6, 5,  9.4,⑭⑦④
 7, 9,Ｇシルクルｰヴル, 46,上野翔, 1.3, 45, -17,  -2, 3,  7.2, ⑫⑩, 7,10,Ｄアドマイヤジュエル, 54,川田将, 0.6, 61, -13,* 15, 3, 18.1,⑯⑭⑪, 7,13,Ｄグッドフロマｰジュ, 67,藤岡康, 0.8, 59,  -2,   4, 3,  6.2,⑩⑩⑩, 7, 5,Ｉシゲルイサイダカ, 65,赤木高, 0.5, 58,   0,   1,13, 37.8,⑤④④
 8,13,Ｊロケラニ, 34,幸英明, 1.5, 44,  -5, -11, 8, 44.2, ④⑥, 8,13,Ｆニシノナデシコ, 46,赤木高, 0.8, 52, -12,   9, 8, 51.8,⑩⑩⑪, 8, 5,Ｈラフィナｰル, 61,武豊  , 0.9, 60,  -1,   3, 1,  3.2,⑯⑩⑩, 8, 4,Ａウインシンシア, 73,和田竜, 0.5, 64,  -2,   8, 1,  4.3,⑩⑫⑩
 9,11,Ｉニホンピロマナツ, 41,赤木高, 2.2, 36,  -9, -16, 7, 42.0, ⑥⑦, 9, 2,Ｈエンドレスヒロイン, 40,大下智, 0.9, 48, -14,   7,13,235.1,⑬⑫⑨, 9,15,Ｋマイネルアンツｰク, 57,佐藤哲, 1.2, 59,   1,  -2, 7, 18.0,⑧⑦⑨, 9, 7,Ｌサダムサウンドアイ, 60,中村将, 0.5, 59,*  2,   0,11, 32.6,③③②
10, 5,Ｍミスズシンプｰ, 26,田中健, 2.4, 30, -13, -18,13,236.4, ⑦⑦,10, 6,Ｋテンシノビｰチ, 35,上村洋, 1.4, 43,  -7,  -9, 5, 35.9,⑤③④,10,10,Ｐビクトリアサンデｰ, 51,高橋智, 1.4, 57,  -2,   1,15,140.2,⑬⑬⑬,10,16,Ｈティルフィング, 66,熊沢重, 0.6, 58,  -1,   1, 6, 10.6,⑦⑦④
11, 8,Ｄテイエムテムジン, 51,芹沢純, 2.5, 32, -13, -16, 5,  9.4, ⑩⑪,11, 7,Ｎテイエムオドリコ, 27,和田竜, 1.5, 45,* -6, -14,11, 64.7,②②②,11, 8,Ｇリンリンリン, 61,上村洋, 1.9, 53,   3, -14, 5, 15.6,④③⑥,11,13,Ｊレイザストレングス, 65,佐藤哲, 0.8, 55,   1,  -3, 9, 17.7,⑤④④
12, 7,Ｋホｰマンヒショウ, 34,荻野琢, 2.7, 27, -13, -21,12,187.3, ⑦⑪,12, 9,Ｅバトルマドカ, 52,渡辺薫, 1.8, 38, -13,  -3, 7, 44.7,⑬⑭⑭,12, 2,Ｏトｰヨｰパプラｰル, 52,上野翔, 2.0, 52,  -3,  -2,16,338.9,⑮⑮⑮,12,15,Ｂオオアタリ, 71,生野賢, 0.8, 56,  -2,   1, 4,  9.0,⑩⑫⑩
13,10,Ｈブライトネスバイオ, 43,川島信, 3.7, 18, -13, -29, 9, 47.2, ⑩⑬,13,15,Ｏマキハタスリリング, 15,芹沢純, 1.8, 39, -13,  -3,15,357.6,⑬⑭⑨,13,16,Ｊメイショウバルドル, 58,石橋守, 3.0, 44,   3, -25,10, 44.5,②③⑥,13,14,Ｅプリムロｰズヒル, 67,幸英明, 0.8, 58,  -2,   3,10, 24.6,⑮⑫⑩
,,,,,,,,,,,,14, 5,Ｌオｰミメリッサ, 33,川島信, 3.3,-13, -12, -27,12,125.2,⑪⑫⑭,14,12,Ｆセフティｰフリｰズ, 64,荻野琢, 3.1, 41,  -1, -21,13, 81.3,⑤⑧⑫,14, 1,Ｐクイックバレリｰナ, 49,飯田祐, 1.4, 49,   1, -12,16,149.4,③④④
,,,,,,,,,,,,15,11,Ｐスムｰスアズシルク,-49,浜中俊, 4.7, 4.7---, -11, -57,16,358.4,⑧⑥⑪,15, 9,Ａシルクチャプタｰ, 69,川田将, 3.5, 42,*  6, -32, 6, 16.6,①②③,15, 3,Ｏゴｰルドジェット, 50,高橋智, 1.4, 48,  -1, -10,14, 47.1,⑫⑩⑮
,,,,,,,,,,,,16,14,Ｊドナマジョリカ, 39,幸英明, 4.9, 4.9---,  -7, -62, 9, 58.2,③③⑯,16, 6,Ｅジツリキドンドン, 66,田中健, 4.7, 30,  -5, -30, 8, 25.4,⑨⑮⑯,16, 8,Ｎトｰコｰペルセウス, 58,太宰啓, 3.9,-35,*  3, -54,15, 63.7,①①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:2,230円 複勝:12=410円 04=120円 06=130円 枠連:1,960円",,,,,,,,,,,,単勝:350円 複勝:03=110円 12=100円 08=220円 枠連:190円,,,,,,,,,,,,"単勝:340円 複勝:11=160円 04=1,280円 14=180円 枠連:5,580円",,,,,,,,,,,,"単勝:1,470円 複勝:09=330円 11=220円 10=430円 枠連:1,290円",,,,,,,,,,,
"馬連:3,260円 ワイド:04-12=960円 06-12=830円 04-06=220円",,,,,,,,,,,,馬連:200円 ワイド:03-12=130円 03-08=450円 08-12=430円,,,,,,,,,,,,"馬連:8,970円 ワイド:04-11=2,270円 11-14=420円 04-14=3,760円",,,,,,,,,,,,"馬連:3,750円 ワイド:09-11=1,510円 09-10=2,430円 10-11=2,170円",,,,,,,,,,,
"馬単:9,900円 3連複:2,750円",,,,,,,,,,,,馬単:630円 3連複:920円,,,,,,,,,,,,"馬単:15,240円 3連複:15,620円",,,,,,,,,,,,"馬単:8,890円 3連複:17,770円 3連単:110,320円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■ 9R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■12R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,天草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, ブラックコンドル,,小坂忠,,,,, 1,  2.5,①①①, 1,11,Ａケｰジｰムサシ, 58,幸英明,, 61,* -4,   5, 1,  1.8,①①①, 1, 4,Ａサンライズレクサス, 80,武豊  ,, 86,   3,* 20, 1,  1.8,③③③, 1,12,Ｌツルミトゥインクル, 59,太宰啓,, 75,   1,* 13, 6, 17.7, ⑦⑨
 2,10, カネトシパワフル,,熊沢重, 0.3,,,, 2,  3.6,②②②, 2, 2,Ｆホウリュウジ, 50,熊沢重, 0.0, 63,  -6,*  9, 2,  4.8,④⑤④, 2, 1,Ｂビッグカポネ, 79,芹沢純, 0.6, 82,   1,* 18, 3, 10.4,⑩⑨⑤, 2, 2,Ｂパノラマビュｰティ, 69,上村洋, 0.0, 78, -11,* 24, 3,  6.2, ⑯⑬
 3, 6, ドングレイシｰ,,林満明, 2.0,,,, 6, 25.3,③③③, 3, 9,Ｅエイシンイチバン, 51,芹沢純, 0.2, 60,* -4,   4, 4, 10.8,⑥②④, 3,11,Ｅアンクルピｰス, 69,川島信, 0.6, 74,*  5,  11,10, 64.2,①①①, 3,10,Ｄロングフラワｰ, 67,橋本美, 0.1, 71,* 15,  -2, 1,  2.6, ①①
 4,12, チャクラ,,白浜雄, 3.7,,,, 3,  4.0,⑨⑦⑥, 4,10,Ｄシゲルアサンテサナ, 51,田中健, 0.3, 59, -10,*  8, 7, 24.5,⑨⑨⑥, 4, 2,Ｇカルナバリｰト, 68,上村洋, 1.0, 73,   2,  13, 2,  2.8,⑦⑦⑤, 4, 7,Ｈヴィンテｰジライン, 62,船曳文, 0.3, 66,  -1,   6, 7, 20.8, ⑦⑦
 5, 9, メルシｰストリｰム,,北沢伸, 4.0,,,, 5, 18.7,⑥⑤④, 5,15,Ｇブルｰラピス, 45,中村将, 1.1, 50,  -8,  -2, 9, 74.5,⑧⑦⑥, 5,10,Ｋクラリオンコｰル, 62,熊沢重, 1.0, 69,*  4,   8, 9, 61.0,②②②, 5, 6,Ｐチャイナバロック, 45,川田将, 0.4, 68,  -3,  10,11, 34.2, ⑩⑩
 6, 7, ゾｰンモｰメント,,岩崎祐, 5.1,,,,12,140.8,⑤④⑤, 6,16,Ｂファンドリゲット, 53,和田竜, 1.3, 49,* -4,  -7, 5, 10.9,③②③, 6, 6,Ｆスリｰキセキ, 69,生野賢, 1.1, 70,   3,  10,11, 79.2,③⑤③, 6,17,Ａボムシェル, 70,田島裕, 0.5, 63,* 15,  -8, 4,  8.9, ②②
 7, 5, テイエムニンジャ,,南井大, 5.9,,,, 9, 52.2,⑦⑥⑥, 7,13,Ｌスリｰベイダｰ, 34,太宰啓, 1.5, 47,* -4,  -9,14,255.0,②②②, 7, 5,Ｄクリアヴィジョン, 71,角田晃, 1.6, 68,  -1,  11, 7, 30.5,⑫⑪⑪, 7, 3,Ｎモｰニングドレス, 54,田中克, 0.6, 59,*  7,  -6, 9, 22.5, ③③
 8, 8, カルストンペｰスオ,,仲田雅, 6.6,,,,11,125.1,⑨⑨⑧, 8, 6,Ｊナナヨｰウインド, 38,渡辺薫, 1.6, 50, -11,   1,10,116.8,⑪⑪⑪, 8, 8,Ｈスマイルハヅキ, 66,田中克, 1.9, 62,   1,   6, 5, 22.2,⑨⑩⑪, 8,13,Ｆセレブラｰル, 64,和田竜, 0.7, 61,   2,   0, 8, 21.2, ⑦⑦
 9, 2, パシスタ,,出津孝,10.0,,,,10, 93.4,⑧⑩⑩, 9, 1,Ｉオトコノロマン, 41,上村洋, 2.8, 38, -10, -12, 8, 70.2,⑨⑪⑪, 9, 7,Ｊハギノフェリックス, 62,川田将, 1.9, 61,   2,   4, 8, 59.4,⑦⑦⑧, 9,16,Ｅメイショウテッケル, 65,田中健, 0.8, 56,   4,  -6,10, 25.7, ⑤⑥
10,11, ウインリゲル,,黒岩悠,10.4,,,, 7, 33.9,④⑧⑨,10, 3,Ｎアルスグロｰリア, 26,小林慎, 2.9, 38, -12, -10,14,255.0,⑪⑭⑬,10, 3,Ｉマルブツブラボｰ, 65,和田竜, 2.0, 62,  -1,   7,12,108.0,⑪⑪⑨,10,15,Ｋマヤノモノポリｰ, 59,浜中俊, 1.0, 52,   5, -10,15,118.0, ③④
,,,,,,,,,,,,11, 5,Ｋマルタカキングス, 35,野元昭, 2.9, 36,  -9, -15,16,327.9,⑭⑨⑩,11, 9,Ｌデポジットブック, 59,渡辺薫, 2.9, 54,   3,  -7, 6, 29.4,⑥⑤⑨,11, 5,Ｉウレッコ, 61,中村将, 1.0, 56, -17,* 11, 2,  5.8, ⑱⑰
,,,,,,,,,,,,12, 8,Ｍウォｰタｰギブン, 28,高橋亮, 3.3, 33,  -6, -24,11,203.1,⑬⑤⑧,12,12,Ｃデュヴァル, 74,幸英明, 3.0, 54,   3,  -9, 4, 21.1,③③⑤,12, 1,Ｑアインファスタｰ, 42,大下智, 1.1, 52,  -8,   0,14, 98.8, ⑬⑪
,,,,,,,,,,,,13,14,Ｈホｰマンビリｰヴ, 43,武豊  , 3.6, 31,  -7, -26, 3,  6.5,④⑦⑨,,,,,,,,,,,,,13, 4,Ｇホワイトアリス, 63,内田浩, 1.1, 54,   6,  -8,16,146.8, ⑤④
,,,,,,,,,,,,14, 4,Ｏオンワｰドマルシュ,  6,赤木高, 4.5, 25, -12, -24,13,238.1,⑯⑭⑬,,,,,,,,,,,,,14, 8, アリダｰチャｰム,---,佐藤哲, 1.2, 54, -11,   5,18,151.9, ⑯⑰
,,,,,,,,,,,,15,12, リチュアリスト,---,橋本美, 5.3, 21, -14, -29,12,219.9,⑭⑯⑯,,,,,,,,,,,,,15, 9,Ｏニシノレｰスメイク, 52,川島信, 1.7, 45,  -7,  -5,17,147.9, ⑭⑬
,,,,,,,,,,,,16, 7,Ｃメイショウグンシ, 53,佐藤哲,34.2,34.2---,*-10, ---, 6, 23.3,⑥⑪⑬,,,,,,,,,,,,,16,11,Ｃナンゴクプラネット, 67,藤岡康, 1.7, 41,  -3, -13, 5, 12.9, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｊクリノスペシャル, 60,荻野琢, 1.9, 38, -11,  -9,12, 42.4, ⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｍウインゼフィｰル, 54,熊沢重, 3.1, 26,  -1, -33,13, 57.2, ⑩⑬
