07年 6月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.5,,,,
10, 4,Ｈデヒアビｰト, 38,高橋亮, 1.9, 38, -15,  -6,15,279.9, ⑫⑩,10, 3, ブラックサベｰジ,,高野容, 8.1,,,,13,120.6,⑩⑩⑪,10, 7,Ｋディファイ, 43,熊沢重, 1.0, 45, -11,  -3,11, 71.8, ⑩⑩,10, 8,Ｎジップ, 66,赤木高, 0.6, 80,   1,  20,11, 69.2, ⑩⑩
11,12,Ｍコンバットコマンダ, 27,野元昭, 1.9, 39, -17,  -4,16,292.4, ⑫⑬,11, 8, ワンダｰリディア,,植野貴, 8.7,,,, 6, 29.6,⑧⑦⑥,11,14,Ｆレッドゾｰン, 47,渡辺薫, 1.1, 42,  -9,  -8,10, 46.7, ⑧⑦,11, 1,Ｍブライトアイズ, 66,和田竜, 0.8, 70,*  7,   6,13,126.5, ③③
12,14,Ｅベニッシモイモン, 44,和田竜, 2.0, 38,  -5, -17,10, 95.0, ④⑥,12, 4, ジンデンバリュｰ,,宇田登, 9.2,,,,12,118.1,⑬⑬⑫,12,12, メイカ,---,幸英明, 1.3, 42,* -1, -20, 8, 22.0, ③③,12, 9,Ｉホｰマンファラオ, 71,川田将, 0.8, 70,   6,   8, 8, 27.1, ③⑤
13, 5,Ｆドナビジュｰ, 44,吉田稔, 2.3, 34, -14, -11, 4,  8.5, ⑩⑩,13,14, ニシノプリンス,,山本康,11.5,,,,10, 87.9,⑪⑫⑬,13, 6, スコルピオンキッス,---,武豊  , 1.5, 44, -24,*  6, 2,  4.9, ⑱⑱,13,14,Ｊエイシンインパｰル, 71,渡辺薫, 1.0, 74,  -2,  19,12, 80.5, ⑬⑬
14, 6,Ｎグラシュｰズ, 19,岩崎祐, 2.5, 32, -19,  -8,13,220.7, ⑭⑬,14, 2, シンライ,,黒岩悠,17.3,,,,11,106.0,⑭⑭⑭,14, 5,Ｈシルクロｰジネス, 46,野元昭, 1.6, 40,*  0, -26, 6, 18.2, ②②,14, 6,Ｈプレシャスワン, 73,上村洋, 1.1, 67,   3,   8,14,132.5, ⑧⑧
15,15,Ｋイントレランス, 35,浜中俊, 2.9, 29, -10, -23,14,266.7, ⑦⑨,,,,,,,,,,,,,15,17,Ｍテイエムニンジャ, 29,南井大, 1.8, 34, -12, -14,16,346.0, ⑩⑩,15,15,Ｏキョウワノスタｰ, 58,石橋守, 1.2, 72,  -4,  19,16,293.8, ⑮⑮
16, 2,Ｊアロマクイｰン, 36,佐藤哲, 4.1, 19, -30, -14,12,189.5, ⑯⑯,,,,,,,,,,,,,16, 4,Ｉレディストｰン, 46,高橋亮, 1.8, 33, -16,  -9,17,389.4, ⑬⑭,16, 7, プラチナクラウン,---,吉田稔, 1.5, 66,  -7,  16,15,232.7, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,17, 1, タマモパワｰ,---,田中健, 2.1, 28, -18, -16,15,238.7, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,13, ダンツポリッシュ,---,角田晃, 2.8, 23, -21, -19,14,221.6, ⑰⑯,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-9),,,,,,,,,,,
"単勝:5,440円 複勝:07=1,250円 03=130円 08=160円 枠連:420円",,,,,,,,,,,,単勝:240円 複勝:09=120円 01=120円 05=180円 枠連:340円,,,,,,,,,,,,"単勝:1,090円 複勝:11=320円 02=720円 15=190円 枠連:9,790円",,,,,,,,,,,,単勝:360円 複勝:02=130円 05=160円 03=250円 枠連:630円,,,,,,,,,,,
"馬連:6,680円 ワイド:03-07=1,850円 07-08=2,550円 03-08=260円",,,,,,,,,,,,馬連:360円 ワイド:01-09=190円 05-09=280円 01-05=360円,,,,,,,,,,,,"馬連:15,800円 ワイド:02-11=4,030円 11-15=910円 02-15=2,520円",,,,,,,,,,,,馬連:680円 ワイド:02-05=280円 02-03=560円 03-05=860円,,,,,,,,,,,
"馬単:19,420円 3連複:6,930円",,,,,,,,,,,,馬単:710円 3連複:800円,,,,,,,,,,,,"馬単:35,860円 3連複:28,640円",,,,,,,,,,,,"馬単:1,460円 3連複:2,200円 3連単:8,090円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.6,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａハｰドシｰキング, 60,渡辺薫,, 62,* -6,*  5, 3,  4.6,⑤③③, 1, 4, ポルトフィｰノ,---,武豊  ,, 50,*-27,* 12, 1,  1.3, ①①, 1, 2,Ｃトｰホウカウンタｰ, 65,岩田康,, 68,  -6,* 16, 2,  3.9, ⑯⑮, 1, 6,Ａナトゥｰア, 82,岩田康,, 94,* 14,  17, 1,  3.8, ①①
 2,10,Ｃユウキタイティ, 56,幸英明, 0.1, 63,  -7,*  7, 5,  8.7,⑤⑥⑦, 2, 8, マイサイドキック,---,和田竜, 0.8, 29,*-29,   2, 4,  9.9, ④②, 2, 7,Ｂキクノグロｰリｰ, 66,小坂忠, 0.2, 67,   9,   0, 6, 15.9, ⑦⑤, 2,11,Ｃサクラビジェイ, 78,石橋守, 0.7, 86,   8,  16, 3,  5.0, ③③
 3, 7,Ｇハギノエントラｰタ, 49,鮫島良, 0.4, 57,  -6,   3, 6,  8.8,⑦⑥③, 3, 1, サマｰファインデイ,---,川田将, 0.8, 33, -30,   5, 3,  9.3, ④⑥, 3, 4,Ｄクレバｰジェフリｰ, 64,吉田稔, 0.2, 67,   1,*  8, 3,  5.5, ⑭⑩, 3,12,Ｂアントニオマグナム, 81,武豊  , 0.8, 83,* 11,  12, 4,  5.9, ②②
 4, 6,Ｄファンドリゲット, 55,和田竜, 0.8, 50,* -5,  -3, 4,  6.1,②②②, 4, 6, セントエドワｰド,---,岩田康, 1.0, 24,*-29,  -1, 5, 17.1, ②②, 4, 3,Ｅナリタファントム, 61,幸英明, 0.3, 69,  12,  -4, 4,  8.1, ④④, 4, 4,Ｄエアアドニス, 78,福永祐, 1.0, 87,   0,* 21, 2,  4.3, ⑧⑦
 5, 3,Ｂエイシンイチバン, 57,吉田稔, 0.9, 49,* -5,  -5, 1,  3.1,①①①, 5, 2, ダンジグマスタｰ,---,福永祐, 1.1, 24, -30,   1, 2,  5.7, ⑥⑥, 5, 6,Ｇダイワエルパソ, 61,鮫島良, 0.7, 62,   5,  -1, 8, 25.9, ⑪⑦, 5, 9,Ｉツタンカｰメン, 72,小牧太, 1.0, 85,   2,* 19, 5,  7.6, ⑥⑤
 6, 9,Ｆエドノエスポワｰル, 49,中村将, 1.2, 47,  -9,  -2, 8, 52.4,⑦⑧⑧, 6, 5, スズカワカワシ,---,佐藤哲, 1.5, 20,*-30,  -7, 6, 35.6, ②②, 6,11,Ａテイエムカゲムシャ, 75,和田竜, 0.8, 67,* 16, -14, 1,  3.1, ③③, 6, 5,Ｆウォｰタｰオｰレ, 75,鮫島良, 1.5, 78,   0,  16, 6, 11.5, ⑧⑦
 7, 5,Ｅマルブツゴｰルド, 53,藤岡康, 1.4, 42,  -8,  -9, 7, 23.2,③③③, 7, 7, ショｰマスタｰ,---,橋本美, 2.5,-32,*-30, -23, 8, 88.7, ⑥②, 7, 9,Ｊデンコウグラス, 57,武豊  , 1.1, 68,* 19, -18, 5, 10.9, ①①, 7, 3,Ｋラガｰリｰダｰ, 71,幸英明, 1.6, 77,  -2,  17, 9, 33.0, ⑪⑩
 8,11,Ｈエアテムジン, 47,武豊  , 2.4, 42,* -6, -18, 2,  4.2,③③③, 8, 3, スリｰマｰチャン,---,熊沢重, 8.0, 8.0---, -50, -75, 7, 73.7, ⑧⑧, 8, 5,Ｆスズカアゼリア, 61,佐藤哲, 1.2, 55,   6,  -9,10, 29.2, ⑧⑦, 7, 1,Ｊマチカネモエギ, 71,渡辺薫, 1.6, 80,  -7,* 21, 8, 32.1, ⑫⑫
 9, 4,Ｊポイントオブビュｰ, -8,川島信, 2.5, 38, -10, -11,11,187.4,⑦⑨⑨,,,,,,,,,,,,, 9,12,Ｌカシノカスケｰド, 54,高野容, 1.4, 53,   6, -11,15,203.8, ⑧⑦, 9, 2,Ｈカリスマサンキセキ, 74,吉田稔, 1.8, 73,   0,  13,10, 42.7, ⑧⑩
10, 1,Ｉクロｰザｰ, 41,佐藤哲, 2.8, 38, -10, -14,10,103.7,⑩⑨⑨,,,,,,,,,,,,,10,10,Ｉメイショウヒミコ, 58,石橋守, 1.9, 58,* 18, -25, 9, 28.0, ②②,10, 7,Ｅビッグシャｰク, 76,浜中俊, 2.0, 69,   3,   8,11, 70.1, ⑤⑨
11, 8,Ｋメイショウダイセツ,-77,浜中俊,10.7,10.7---, -16, -83, 9, 95.4,⑩⑪⑪,,,,,,,,,,,,,11, 8,Ｐエカテリｰナ, 38,高橋亮, 2.2, 46,   5, -16,13, 75.4, ⑪⑩,11,10,Ｌメイショウディオ, 67,角田晃, 2.1, 71,  -7,  16,12, 82.5, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｈイブキゴルゴ, 60,田中克, 2.4, 42,   2, -19,14, 77.5, ⑩⑬,12,13,Ｍリｰディングエッジ, 61,川田将, 2.9, 59,   6,  -4,13,129.2, ④④
,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｎウインザタロｰ, 49,内田浩, 2.4, 47,  -1, -12,16,228.7, ⑮⑮,13, 8,Ｇスナｰクタイガｰ, 74,太宰啓, 3.3, 56,   3,  -5, 7, 18.9, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｋピエナマｰメイド, 54,田島裕, 2.7, 42,  10, -26,12, 71.9, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｍウォｰタｰネバダ, 49,小牧太, 3.9, 32,   4, -32,11, 41.9, ⑪⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｏロｰレルウェルシュ, 38,野元昭, 4.3, 27,   9, -41, 7, 25.7, ⑤⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+19 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,
単勝:460円 複勝:02=150円 10=250円 07=220円 枠連:680円,,,,,,,,,,,,単勝:130円 複勝:04=110円 08=150円 01=170円 枠連:0円,,,,,,,,,,,,"単勝:390円 複勝:02=200円 07=330円 04=200円 枠連:3,510円",,,,,,,,,,,,"単勝:380円 複勝:06=150円 11=190円 12=200円 枠連:1,070円",,,,,,,,,,,
"馬連:1,550円 ワイド:02-10=590円 02-07=620円 07-10=860円",,,,,,,,,,,,馬連:440円 ワイド:04-08=190円 01-04=180円 01-08=400円,,,,,,,,,,,,"馬連:2,740円 ワイド:02-07=1,130円 02-04=590円 04-07=830円",,,,,,,,,,,,"馬連:1,180円 ワイド:06-11=500円 06-12=510円 11-12=630円",,,,,,,,,,,
"馬単:2,860円 3連複:4,150円",,,,,,,,,,,,馬単:530円 3連複:650円,,,,,,,,,,,,"馬単:5,680円 3連複:4,680円",,,,,,,,,,,,"馬単:2,260円 3連複:2,150円 3連単:9,840円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 6R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 9R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■12R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,香住特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅトウカイインパクト, 43,幸英明,, 62,*  0,* -1, 5, 15.9, ①①, 1,10,Ｉオッティマルｰチェ, 45,太宰啓,, 57,* -6,   5, 7, 17.9,①①①, 1, 2,Ｂビッグベアシチｰ, 69,佐藤哲,, 66,   0,* 13, 1,  2.7,⑪⑩⑧, 1,12,Ａアイスドｰル, 70,武豊  ,, 86,  -4,* 20, 1,  2.5,③④③
 2,13,Ａマルブツグロｰリア, 61,吉田稔, 0.3, 60,  -3,* -1, 1,  1.6, ⑥③, 2,12,Ｇクロノグラフ, 46,福永祐, 0.0, 59,* -7,   7, 3,  7.4,②②②, 2, 7,Ｋウエスタンホｰク, 54,熊沢重, 0.2, 64,   3,   0, 9, 32.6,④④③, 2, 1,Ｃテンザンコノハナ, 63,藤岡康, 0.6, 64,* -2,   6, 5, 10.5,①①①
 3, 5,Ｆミムズプレゼンタｰ, 42,岩田康, 0.3, 60,  -4,*  0, 4, 14.4, ⑥③, 3, 1,Ｈギムレットロック, 46,熊沢重, 0.6, 63, -12,* 13, 4,  8.0,⑭⑫⑩, 3, 9,Ｆビッグタキオン, 64,和田竜, 0.6, 60,  -1,*  6,10, 34.2,⑩⑩⑪, 3, 3,Ｂアドマイヤミスティ, 65,岩田康, 1.3, 59,* -3,   4, 2,  5.3,③②②
 4, 2,Ｂヒドゥンアジェンダ, 52,鮫島良, 1.0, 53,  -3,  -8, 2,  4.7, ④③, 4, 2,Ｋマルモコウテイ, 41,岩田康, 0.7, 69, -15,* 18, 6, 16.5,⑬⑮⑭, 4, 3,Ｊフィｰルドウイナｰ, 57,吉田稔, 0.6, 56,   3, -11,11, 41.7,③③③, 4,16,Ｅコパノタイマネ, 61,鮫島良, 2.1, 53,  -6,   2, 7, 13.9,⑨⑦⑤
 5, 3,Ｃスズカアムｰル, 50,岩崎祐, 1.4, 50, -10,  -3,10, 82.2, ⑩⑨, 5, 5,Ｄタガノアッシュ, 52,吉田稔, 0.8, 52, -11,   5, 2,  2.9,⑥⑧⑥, 5,10,Ｌアジアン, 51,幸英明, 0.7, 58,  -1,   1,12,146.3,⑧⑧⑧, 5, 5,Ｈアドラｰブルキス, 58,吉田稔, 2.1, 65, -11,* 13, 8, 18.1,⑮⑮⑭
 6, 7,Ｈハクユウワンダｰ, 37,川島信, 1.9, 46, -11,  -7, 8, 53.1, ⑩⑩,14, 3,Ｅクリｰルスパｰク, 49,鮫島良, 1.0, 52, -12,   7, 5, 14.0,⑨⑪⑫, 6,12,Ｅテイエムセイラン, 66,川田将, 0.8, 58,   1,  -3, 8, 23.9,⑧⑦⑦, 6,13,Ｇオｰミチェリッシュ, 59,中村将, 2.3, 54, -11,   6,10, 46.7,⑬⑫⑩
 7, 8, スタンドアチャンス,---,川田将, 1.9, 46, -14,  -3, 7, 23.1, ⑫⑫, 6,11,Ｂセレスディｰン, 54,幸英明, 1.4, 46, -13,   4, 9, 56.0,⑭⑫⑭, 7, 4,Ｈイブキレボルシオン, 63,福永祐, 0.8, 57,  -2,   5, 5, 10.5,⑫⑫⑪, 7, 6,Ｆテイエムミゴテカ, 60,和田竜, 2.6, 49,* -3,  -7, 4,  8.5,②②③
 8, 6,Ｇメモリｰジャグラｰ, 41,福永祐, 2.0, 44,* -1, -20, 6, 19.0, ②②, 7, 7,Ａテイエムアンコｰル, 57,和田竜, 1.5, 41,  -9, -10, 1,  2.7,⑥⑥④, 8, 6,Ｃトドロキカポネツｰ, 69,武豊  , 0.9, 57,   0,  -1, 2,  5.1,⑦⑧⑧, 8,10,Ｍミズリングリｰダｰ, 52,佐藤哲, 2.9, 48,  -9,   1,15,129.4,⑩⑩⑩
 9,11,Ｄフルバック, 50,佐藤哲, 2.1, 43,  -8, -12, 3,  9.3, ⑧⑦, 8, 6,Ｏシャノン, 32,川田将, 1.8, 41,  -9, -15,12,145.5,③④④, 9, 1,Ｄメイショウゲンジ, 68,鮫島良, 1.0, 56,* 16, -48, 3,  5.2,②②①, 9, 4,Ｋフレアキャスケｰド, 55,河北通, 2.9, 47,  -7,  -2,13, 90.3,⑧⑨⑧
10,16,Ｎセフティフェイマス,-108,藤岡康, 2.4, 38, -14, -10,13,250.0, ⑬⑪, 9,13,Ｃエプソムブラスト, 53,渡辺薫, 2.2, 38, -11, -15, 8, 41.2,⑩⑨⑥,10, 5,Ｇマｰブルワンダｰ, 63,渡辺薫, 1.1, 55,   2, -11, 7, 21.0,⑤⑤⑤,10,14,Ｉマドンナブラボｰ, 58,高井彰, 2.9, 49, -10,   3, 6, 12.9,⑭⑫⑩
11,15,Ｋウォｰタｰジェニｰ, 31,高橋亮, 2.5, 39,  -4, -22, 9, 70.2, ④⑦,10, 4,Ｆフジヤマクリスタル, 48,藤岡康, 2.3, 33, -15, -14,11, 95.9,⑩⑫⑫,11, 8,Ｉゴｰルドステイブル, 62,岩田康, 1.4, 53,   2, -15, 4,  6.9,⑥⑤⑤,11, 9,Ｄイチバンサクラ, 61,福永祐, 3.1, 50, -12,   5, 3,  7.6,⑯⑮⑭
12, 4,Ｌラブイズメジャｰ, 30,大下智, 2.8, 35, -18, -10,16,408.5, ⑭⑬,11, 9,Ｌメイショウシキブ, 40,石橋守, 2.4, 36, -11, -20,10, 76.6,⑩⑨⑩,12,11,Ａバンブｰソクラテス, 71,小牧太, 1.7, 47,* 15, -60, 6, 12.5,①①②,12,11,Ｊレオシュガｰ, 55,川田将, 3.8, 42,  -9,  -8,11, 54.4,⑩⑩⑩
13,10,Ｉスズカアカデミｰ, 36,中村将, 2.8, 36, -20,  -6,12,231.0, ⑮⑮,12,15,Ｊスラｰジ, 42,浜中俊, 3.1,-35,* -9, -42,14,243.8,④②③,,,,,,,,,,,,,13, 2,Ｏニッシンアルコン, 44,大下智, 3.8, 39, -12,  -5,14,126.2,⑫⑭⑭
14,12,Ｊナムラパトリシア, 36,田中克, 3.8, 24,* -2, -39,11,204.0, ②③,13, 8,Ｍメイショウベント, 39,中村将, 3.2,-13, -12, -33,13,179.0,⑥⑥⑥,,,,,,,,,,,,,14, 7,Ｎプリンセスナイト, 48,幸英明, 4.1, 44,  -6, -17,16,163.6,⑤⑦⑥
15, 9, シゲルダンケ,---,赤木高, 5.7, 10, -12, -42,14,254.6, ⑧⑬,15,14,Ｎテイエムカゼノオｰ, 35,田中健, 4.3,-79, -12, -54,15,301.6,④④⑥,,,,,,,,,,,,,15,15,Ｐテイエムトパｰズ, 44,上野翔, 4.3, 43,  -6, -18,12, 60.9,⑤⑤⑧
16,14,Ｍサフランアレックス, 13,渡辺薫, 7.2, -4, -24, -42,15,406.5, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｌカシノアマゾネス, 53,太宰啓, 4.7, 33,  -7, -22, 9, 30.2,⑤⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-4),,,,,,,,,,,
