07年 3月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
単勝:140円 複勝:07=110円 05=120円 02=430円 枠連:180円,,,,,,,,,,,,単勝:140円 複勝:04=100円 09=150円 03=230円 枠連:270円,,,,,,,,,,,,"単勝:340円 複勝:04=210円 01=320円 12=570円 枠連:1,810円",,,,,,,,,,,,"単勝:910円 複勝:14=310円 01=510円 11=540円 枠連:3,320円",,,,,,,,,,,
"馬連:300円 ワイド:05-07=150円 02-07=560円 02-05=1,030円",,,,,,,,,,,,馬連:350円 ワイド:04-09=190円 03-04=390円 03-09=710円,,,,,,,,,,,,"馬連:1,570円 ワイド:01-04=730円 04-12=1,570円 01-12=2,130円",,,,,,,,,,,,"馬連:5,880円 ワイド:01-14=2,220円 11-14=2,430円 01-11=4,690円",,,,,,,,,,,
"馬単:400円 3連複:1,850円",,,,,,,,,,,,馬単:440円 3連複:950円,,,,,,,,,,,,"馬単:2,990円 3連複:7,740円",,,,,,,,,,,,"馬単:12,270円 3連複:49,050円 3連単:246,860円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.1,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16.4,,,,,■ 8R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,報知杯弥生賞 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａマキノジョリエ, 57,岩田康,, 53, -14,*  6, 1,  1.8,③③③, 1, 1,Ｊヘイアンレジェンド, 23,柴田善,, 52,  -9,*  8, 3,  4.2,⑭⑬⑬, 1, 6,Ａメイショウルイｰズ, 65,武幸四,, 63,*  0,   1, 1,  2.5,①②②, 1, 4,Ｂアドマイヤオｰラ, 83,武豊  ,, 92,   8,* 25, 1,  1.7,⑥⑥⑤
 2, 7,Ｍルクラｰジュ, 31,江田照, 0.1, 47,*-12,   1,12,154.9,①①①, 2, 6,Ｃチャイニｰズフレア, 41,岩田康, 0.0, 54,   4, -13, 4,  6.3,⑥③⑤, 2, 2,Ｉディスイズザライフ, 55,吉田隼, 0.1, 63,  -2,   3, 5, 19.4,⑤④③, 2, 8,Ｃココナッツパンチ, 78,吉田豊, 0.0, 97,   6,* 31, 6, 17.1,⑩⑪⑩
 3,11,Ｇキャサリンダイヤ, 39,勝浦正, 0.4, 49, -15,*  5, 9, 55.6,⑧⑦⑥, 3,11,Ｄプラネタリｰリング, 39,後藤浩, 0.0, 56,*  7, -18, 5,  6.8,②②①, 3, 9,Ｈシャドウキャスタｰ, 55,岩田康, 0.3, 63,  -8,* 11, 3,  6.3,⑮⑮⑫, 3, 7,Ａドリｰムジャｰニｰ, 85,蛯名正, 0.3, 88,   7,  23, 2,  4.4,⑨⑨⑨
 4, 8,Ｃフロｰリスト, 43,木幡初, 0.4, 59, -18,* 10, 3, 10.4,⑬⑫⑧, 4,15,Ｂコスモウィザｰド, 49,小野次, 0.1, 54,*  5, -16, 2,  3.6,③③③, 4, 1,Ｂコスモキャンディス, 60,佐藤聖, 0.6, 57,  -6,   2, 9, 31.3,⑩⑨⑧, 4, 2,Ｅメイショウレガｰロ, 77,武幸四, 0.4, 86,   7,  22, 4, 14.2,⑩⑨⑩
 5,13,Ｊコスモエスパｰス, 35,津村明, 0.7, 40,*-13,  -4,11,134.2,③②②, 5, 3,Ｍトライヤヌス,  8,吉田豊, 0.3, 49,  -2,  -7,10, 82.9,⑨⑩⑩, 5, 3,Ｄショウナンバラｰド, 58,吉田豊, 0.6, 60,  -4,   2, 4, 10.2,⑧⑦⑥, 5, 5,Ｌサムライタイガｰス, 55,後藤浩, 1.0, 72,* 11,   3, 5, 16.4,②②②
 6,14,Ｂスカイワｰド, 45,小林淳, 0.8, 41, -14,  -2, 7, 32.8,⑤③③, 6, 9,Ａレオテンリュウ, 52,大野拓, 0.3, 49,   4, -18, 1,  3.5,⑥③⑤, 6,13,Ｆコスモコネクション, 56,松岡正, 0.7, 59,  -6,   4,13,157.1,⑫⑩⑨, 6, 1,Ｋノワｰルシチｰ, 56,田中勝, 1.2, 69,* 11,   0,11,280.7,④①②
 7,10,Ｌゴｰルデンシｰズ, 31,北村宏, 1.6, 33, -14,  -9,14,379.0,⑧③③, 7, 4,Ｅトｰホウヒロイン, 37,田辺裕, 0.5, 47,   2, -18,11,152.9,⑥⑦⑤, 7,14,Ｋレオソレイユ, 52,江田照, 0.8, 58,  -6,   4,10, 65.6,⑭⑩⑪, 7,14,Ｄタスカｰタソルテ, 77,岩田康, 1.2, 75,   5,  14, 3,  7.1,⑫⑪⑫
 8, 1,Ｈクロカンブッシュ, 36,松岡正, 2.0, 34, -19,  -3,10, 79.4,⑮⑬⑨, 8, 2,Ｇドンラミロ, 30,北村宏, 0.7, 44,  -3, -11, 7, 53.8,⑫⑩⑩, 8,10,Ｅサムタイム, 57,田中剛, 0.9, 56,  -3,  -4, 6, 24.2,⑧④⑤, 8,12,Ｆトｰセンクラウン, 70,吉田隼, 1.2, 70,*  9,   3, 9,109.4,③④④
 9, 2,Ｉアｰモンドグランス, 35,田中勝, 2.2, 30, -19,  -5, 8, 34.0,⑭⑬⑬, 9,14,Ｉシｰガルサリｰ, 29,武豊  , 1.0, 41,   0, -21, 6, 16.7,③⑧⑧, 9, 4,Ｃクｰルダンサｰ, 59,北村宏, 1.2, 53,*  0, -10, 2,  2.9,②①①, 9, 9,Ｇマンハッタンバｰ, 63,横山典, 1.2, 79,   2,  20, 7, 33.7,⑬⑬⑬
10,12,Ｎジェニアロング, 28,御神本, 2.4, 30, -17, -11, 6, 26.8,⑧⑨⑦,10, 8,Ｌケンドジュウライ,  8,武士沢, 1.1, 40,   0, -22,13,251.1,⑨⑧⑧,10,15,Ｏシルクシルエット, 46,小林久, 1.3, 53,  -4,  -5,15,285.4,⑤⑦⑥,10,10,Ｍモチ, 49,川田将, 1.6, 66,*  9,  -3, 8, 36.5,④④⑤
11, 6,Ｋステラフィランテ, 33,草野太, 3.0, 25, -21, -13,13,196.7,⑧⑬⑮,11, 5,Ｆマキハタセンシブル, 31,郷原洋, 1.1, 40,  -2, -19, 9, 79.5,⑨⑩⑩,11,12,Ｇインザリピｰト, 55,御神本, 1.5, 51,* -1, -12, 7, 25.2,②③③,11, 6,Ｉキングオブロマネ, 59,松岡正, 1.7, 65,   8,  -1,13,307.8,⑥⑥⑦
12, 4,Ｅミウラマリリン, 41,吉田豊, 3.0, 28, -18, -15, 4, 15.6,⑧⑪⑨,12,13,Ｎレオタックル,  0,吉田隼, 1.3, 39,*  7, -37,12,186.7,①①②,12,11,Ｐグリフォニｰ, 45,木幡初, 2.2, 48,  -6,  -9,16,414.7,⑬⑩⑫,12,11, マツノショウマ,---,桑野等, 1.9, 63,   8,  -4,14,408.8,⑥⑥⑦
13, 3,Ｆメジロシェダｰ, 41,蛯名正, 4.3,-20, -16, -31, 2,  3.0,⑤⑦⑨,13, 7,Ｈエクセレントプラン, 30,大庭和, 1.4, 41, -15,* -2,15,338.4,⑮⑮⑮,13, 5,Ｌトｰアビバリｰヒル, 49,津村明, 3.0, 41,  -6, -17,14,225.8,⑦⑩⑮,13, 3,Ｊインパｰフェクト, 59,御神本, 2.0, 64,* 11, -12,10,195.7,①②①
14, 9,Ｄラｰドロジュノｰ, 42,吉田隼, 4.4,-19, -17, -30, 5, 26.4,⑤⑨⑬,14,10,Ｏトｰセンヴェリタス,-114,御神本, 1.5, 38,  -9, -13, 8, 60.3,⑬⑭⑭,14,16,Ｎジラソｰレ, 47,川田将, 3.1, 40,  -3, -23,12,102.1,④⑥⑨,14,13,Ｈリンリンリン, 59,柴田善, 2.2, 64,   0,   9,12,286.2,⑭⑭⑭
15,15,Ｏフジマサダンサｰ, 27,石神深, 6.1,-81, -14, -51,15,765.8,②③⑨,15,12,Ｋマキノステラ, 20,江田照, 1.8, 33,*  5, -42,14,297.7,③③③,15, 7,Ｍヨイチトレジャｰ, 47,田中勝, 3.9, 35,  -6, -25,11, 99.2,⑩⑩⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,
"単勝:180円 複勝:05=120円 07=1,840円 11=680円 枠連:5,480円",,,,,,,,,,,,"単勝:420円 複勝:01=200円 06=200円 11=200円 枠連:1,900円",,,,,,,,,,,,"単勝:250円 複勝:06=130円 02=340円 09=180円 枠連:1,300円",,,,,,,,,,,,単勝:170円 複勝:04=110円 08=300円 07=150円 枠連:300円,,,,,,,,,,,
"馬連:9,900円 ワイド:05-07=3,890円 05-11=1,150円 07-11=29,700円",,,,,,,,,,,,"馬連:1,960円 ワイド:01-06=700円 01-11=570円 06-11=360円",,,,,,,,,,,,"馬連:2,060円 ワイド:02-06=730円 06-09=380円 02-09=1,280円",,,,,,,,,,,,"馬連:1,170円 ワイド:04-08=450円 04-07=190円 07-08=990円",,,,,,,,,,,
"馬単:11,770円 3連複:76,300円",,,,,,,,,,,,"馬単:3,610円 3連複:2,940円",,,,,,,,,,,,"馬単:2,860円 3連複:3,380円",,,,,,,,,,,,"馬単:1,510円 3連複:1,720円 3連単:6,650円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 6R  芝2000m 3 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,房総特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａダノンブライアン, 61,蛯名正,, 57,   6,  -8, 1,  1.4, ④③, 1,16, シグナリオ,---,松岡正,, 65, -29,* 26, 3,  4.1,⑮⑫⑬, 3, 2,Ｃナチュラルメイク, 71,川田将, 0.0, 76,   6,  11, 1,  3.5, ⑥⑥, 1,10,Ｈガイアヘッド, 67,吉田隼,, 75,* -6,* 22, 5, 22.6,①①①
 2,16,Ｋトウショウモｰド, 40,川田将, 0.1, 65,* 15, -17, 3, 10.0, ①①, 2, 5, スタリオンシチｰ,---,武幸四, 0.0, 42,*-24,  14, 8, 73.7,①①①, 1,14,Ｍトｰセンフレンド, 63,勝浦正,, 75,   7,  10,14, 61.3, ④④, 2, 7,Ｂカリオンツリｰ, 70,岩田康, 0.1, 76,* -7,* 23, 1,  1.9,③②③
 3, 8,Ｅサフラントウショウ, 48,御神本, 0.1, 53,   1,  -4,11, 54.7, ⑧⑥, 3, 9, ジャンバルジャン,---,横山典, 0.1, 61, -29,* 24, 2,  2.9,⑯⑫⑫, 2, 3,Ｄナイトアットオペラ, 70,津村明, 0.1, 77,  -1,  16, 2,  3.7, ⑩⑨, 3, 9,Ｊチザルピｰノ, 65,後藤浩, 0.2, 73,* -7,  21, 3,  7.0,②②②
 4,12,Ｊコスモファルバラン, 43,大野拓, 0.5, 50,  -9,*  0,13,169.8, ⑫⑪, 4, 3, ビｰビｰファルコン,---,田中勝, 0.2, 43, -26,  15, 5, 16.1,④⑤⑤, 4,10,Ｆアグネスレプトン, 70,蛯名正, 0.2, 77,  -5,* 19, 6, 13.7, ⑫⑬, 4,13,Ｅカネマサデュｰク, 69,田中勝, 0.8, 66,  -8,  18, 8, 45.8,⑧④④
 5, 1,Ｎサチノスカイライン, 27,後藤浩, 0.6, 53, -14,*  4, 8, 40.1, ⑮⑬, 5,11, ジョウテンダｰク,---,蛯名正, 0.6, 29,*-24,   6, 4, 11.4,④③②, 5,11,Ｈスイｰトハビタット, 68,武幸四, 0.2, 77,  -7,* 20,12, 45.3, ⑮⑭, 5,15,Ｎコパノカチドキ, 58,武幸四, 0.9, 72, -10,* 22, 6, 23.3,⑭⑪⑥
 6,14,Ｈマイネルサテライト, 44,村田一, 0.7, 48,  -7,  -2, 6, 29.1, ⑪⑪, 6,13, スペシャルウィッチ,---,吉田隼, 0.6, 36, -27,  12, 9, 79.0,⑨⑨⑨, 6, 5,Ｂコスモラヴソング, 75,大野拓, 0.2, 71,   7,   7, 5, 12.7, ④④, 6, 4,Ａオｰスミダイケン, 70,千葉直, 0.9, 67, -12,* 21, 4,  7.8,⑫⑪⑧
 7, 9,Ｂキャプテンロック, 54,吉田豊, 0.7, 49,   4, -13, 2,  6.6, ⑤⑤, 7, 8, エアテムジン,---,武豊  , 0.7, 29, -26,   8, 1,  2.8,⑥⑤⑤, 7, 9,Ｎサウンドスピリット, 62,岩田康, 0.2, 74,  -1,  14, 3,  7.5, ⑩⑪, 7, 2,Ｆクレヨンルｰジュ, 69,北村宏, 1.1, 62,  -8,  16, 2,  4.1,③④④
 8, 3,Ｇピンククラウド, 45,松岡正, 1.1, 43,  -2, -11,12, 93.4, ⑨⑧, 8,14, ダイワスワット,---,村田一, 0.9, 36, -29,  14,14,209.7,⑭⑮⑮, 8, 4,Ｅマキシマムスピｰド, 70,村田一, 0.2, 73,   3,  11, 7, 18.1, ⑦⑦, 8, 5,Ｉソブリンブライト, 66,勝浦正, 1.2, 65, -11,  19, 9, 61.3,⑨⑪⑪
 9,11,Ｆフェスティヴモモ, 47,柴田善, 1.5, 40,  -3, -14, 5, 24.5, ⑩⑩, 9, 6, ハイデルベルグ,---,大野拓, 1.1, 25,*-24,  -4, 6, 17.3,②②②, 9,12,Ｌスピンオフ, 64,御神本, 0.4, 69,   3,   9, 9, 20.2, ⑦⑦, 9,14,Ｇナスケンウインド, 68,横山典, 1.6, 65, -14,  21, 7, 27.4,⑮⑮⑬
10, 2,Ｌジェイキング, 36,勝浦正, 1.7, 42, -14,  -6,14,267.2, ⑮⑯,10, 2, タマモバックボｰン,---,江田照, 1.1, 24, -27,   5,10, 87.6,⑧⑨⑨,10, 8,Ｇオリエントヒｰロｰ, 68,田辺裕, 0.5, 69,  -5,  14,13, 50.0, ⑫⑭,10, 1,Ｋキャンディッド, 62,大野拓, 1.9, 52, -10,  10,15,355.6,⑥⑧⑧
11, 6,Ｉベルモントガロップ, 44,吉田隼, 2.0, 39, -10, -13, 9, 45.2, ⑫⑭,11,12, ミスヨコハマ,---,小野次, 1.1, 24, -26,   3,15,243.2,⑥⑦⑧,11,13,Ｐサｰジェナイト, 59,小林淳, 0.7, 65,  -5,  11,16,233.9, ⑫⑫,11, 8,Ｃアンジェロファニｰ, 70,吉田豊, 2.2, 50, -10,   8,10, 63.2,⑪⑧⑪
12,15,Ｄハタノプラウド, 49,小林淳, 2.2, 38,* 10, -33, 7, 33.6, ③②,12, 4, シルキｰキュｰト,---,武士沢, 1.2, 23, -28,   4,11,153.8,⑨⑪⑨,12,15,Ｏスプリングレアル, 60,松岡正, 0.8, 60,* 14,  -9,15, 94.0, ③③,12,11,Ｏテンエイゴｰルド, 53,田中剛, 2.4, 48,  -8,   3,14,327.6,⑤④⑥
13,13,Ｃコアレスファントム, 49,江田照, 2.2, 34,   4, -28,10, 53.4, ⑤⑧,13, 7, マンオンミッション,---,柴田善, 1.2, 26,*-24,  -3,12,158.9,③③②,13, 1,Ｋシンボリマｰズ, 65,柴原央, 1.0, 58,   1,   1,10, 25.3, ⑨⑩,13, 3,Ｌジョリｰズジョｰ, 60,木幡初, 2.6, 47,  -9,   3,13,262.6,⑥⑦⑩
14, 5,Ｍオレノウマ, 34,木幡初, 2.4, 32,   3, -29,15,297.4, ⑦⑦,14,15, クリノミカエル,---,北村宏, 1.3, 23, -26,   0,13,173.4,⑪⑦⑤,14, 7,Ｉリトルスポｰツカｰ, 67,小野次, 1.2, 56,* 15, -17, 8, 18.4, ②②,14,12,Ｍケイアイステルス, 60,川田将, 2.6, 48, -12,   9,11,156.9,⑫⑭⑬
15, 4,Ｐハｰドビクトリｰ, 21,石神深, 3.2, 25,  -9, -26,16,550.3, ⑫⑭,15, 1, サクラヴィッキｰ,---,岩田康, 1.4, 22, -29,   6, 7, 30.3,⑪⑮⑬,15, 6,Ｊバロンハｰバｰ, 66,江田照, 1.2, 56,* 16, -16,11, 34.1, ①①,15,16, マツリダタロウ,---,郷原洋, 3.3, 45, -10,  -1,12,218.4,⑨⑧⑮
16, 7,Ｏグランドソニック, 23,田中勝, 6.2,  9,* 15, -77, 4, 16.9, ②③,16,10, ハシルペンチャン,---,伊藤直, 1.5, 21, -29,   3,16,262.1,⑪⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
