07年11月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,
 6,10,Ａロングキｰブリッジ, 62,藤田伸, 0.3, 31, -29,  10, 1,  1.7, ③③, 6, 2, エクセルピクシイ,---,増沢由, 2.2,-33,*-20, -21, 4, 12.3, ①①, 6, 5,Ｅマルタカシャトル, 48,蛯名正, 0.7, 62,   1,  -1, 7, 17.3,③③③, 6, 1,Ｈトｰセンセイント, 70,勝浦正, 0.3, 62,*  1,   6, 3,  6.0, ②②
 7, 6,Ｃアメイジングレイス, 50,田中勝, 0.4, 28,*-27,   5, 3,  7.2, ②②, 7, 7, クリンゲルラング,---,吉田豊, 2.3, 20, -35,   2,10,113.6, ⑧⑧, 7, 1,Ｆキャプテンマジン, 41,村田一, 1.3, 54,   1, -10, 6, 13.5,④④③, 7, 8,Ｋセイウンマル, 63,北村宏, 0.4, 61,* -1,   7, 6, 13.9, ③③
 8, 3,Ｋアイアムジャック,  2,江田照, 0.5, 28, -30,   8, 9,146.7, ⑤⑤, 8, 4, パｰソナルテンエイ,---,吉田隼, 2.8,  8, -39,   1, 8, 38.4, ⑨⑩, 8, 6, カネマサロチエ,---,江田照, 2.8, 37,*  2, -37, 8, 98.3,②②②, 8,12,Ｊブルｰベレッタ, 65,田中勝, 0.4, 66,  -7,  15,12, 45.1, ⑧⑩
 9,11,Ｂウインク, 53,柴田善, 0.5, 30, -32,  11, 7, 41.0, ⑤⑦, 9, 6, ワンポイント,---,北村宏, 3.1,-21, -37,  -7, 7, 32.4, ⑨⑨,,,,,,,,,,,,, 9,15,Ｂホワイトリｰベ, 75,吉田隼, 0.5, 63,  -4,  11, 2,  5.6, ⑥⑥
10, 2,Ｌアナザｰスタｰ, -3,勝浦正, 0.5, 29, -31,  10, 8,103.5, ⑤⑦,10, 1, ダイメイガｰル,---,後藤浩, 3.2,-77,*-22, -33, 9, 39.6, ②②,,,,,,,,,,,,,10, 4,Ｐアプロｰズヒｰロｰ, 55,横山典, 0.5, 64,  -5,  12,11, 45.0, ⑧⑧
11, 8,Ｈサマｰグロリアス, 36,吉田隼, 0.6, 32, -34,  13,11,178.9, ⑧⑨,11, 8, エイトフォエバｰ,---,村田一, 4.0,-52, -39, -16,11,181.5, ⑪⑩,,,,,,,,,,,,,11, 7,Ａスタｰボイジャｰ, 79,柴田善, 0.6, 61,  -5,  10, 9, 21.3, ⑥⑥
12,12,Ｇメジロリロ, 39,小野次, 1.1, 23, -30,  -1,12,290.7, ⑧⑤,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｅリワｰドパットン, 73,五十嵐, 0.6, 60,  -2,   7,10, 32.2, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｍダンシングホｰク, 63,伊藤直, 0.8, 64, -11,  16,14, 85.8, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｇアドマイヤベッカム, 70,村田一, 0.8, 64, -11,  16, 7, 20.0, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｎシュウザンアイ, 60,増沢由, 1.0, 63, -13,  17,15, 96.1, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｌマルタラヴ, 63,蛯名正, 1.5, 52,  -9,   7,16, 98.6, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+22 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+28 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-5),,,,,,,,,,,
"単勝:490円 複勝:04=200円 07=250円 09=470円 枠連:1,990円",,,,,,,,,,,,単勝:190円 複勝:11=110円 10=150円 09=130円 枠連:410円,,,,,,,,,,,,単勝:870円 複勝:02=170円 08=110円 04=130円 枠連:0円,,,,,,,,,,,,"単勝:1,190円 複勝:05=300円 10=140円 14=350円 枠連:710円",,,,,,,,,,,
"馬連:1,840円 ワイド:04-07=570円 04-09=1,020円 07-09=1,250円",,,,,,,,,,,,馬連:530円 ワイド:10-11=240円 09-11=200円 09-10=330円,,,,,,,,,,,,馬連:940円 ワイド:02-08=310円 02-04=360円 04-08=160円,,,,,,,,,,,,"馬連:1,560円 ワイド:05-10=620円 05-14=2,590円 10-14=790円",,,,,,,,,,,
"馬単:3,240円 3連複:6,560円",,,,,,,,,,,,馬単:750円 3連複:620円,,,,,,,,,,,,"馬単:2,740円 3連複:790円 3連単:8,070円",,,,,,,,,,,,"馬単:3,750円 3連複:6,690円 3連単:42,610円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
