07年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,
"馬連:13,250円 ワイド:02-09=2,930円 06-09=200円 02-06=3,680円",,,,,,,,,,,,"馬連:3,840円 ワイド:06-07=1,200円 06-09=700円 07-09=2,940円",,,,,,,,,,,,馬連:880円 ワイド:06-08=520円 08-09=180円 06-09=460円,,,,,,,,,,,,"馬連:680円 ワイド:07-08=320円 03-07=1,070円 03-08=590円",,,,,,,,,,,
"馬単:16,610円 3連複:9,830円",,,,,,,,,,,,"馬単:4,830円 3連複:10,320円",,,,,,,,,,,,"馬単:1,400円 3連複:1,390円",,,,,,,,,,,,"馬単:1,900円 3連複:2,580円 3連単:13,470円",,,,,,,,,,,
■ 2R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.0,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.7,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTB賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆウインギガシャトル, 31,川島信,, 73,* 16,  -9, 1,  2.2,①①②, 1,15,Ｄライトグロｰリｰ, 60,藤岡佑,, 73,* 14,  -4, 1,  3.3, ②②, 1, 7,Ｂクリスタルルｰジュ, 71,的場勇,, 70,   6,*  4, 3,  4.4,④④⑤, 1, 3,Ｂマイハッピｰクロス, 75,池添謙,, 75,   6,   8, 1,  3.2,③③②
 2, 2,Ａマルカベスト, 55,池添謙, 0.2, 69,* 15, -11, 2,  2.4,②②①, 2,13,Ｃモンルｰジュ, 62,川島信, 0.3, 61,   6,* -1, 3,  6.0, ⑥⑤, 2,10,Ｃアドマイヤサンサン, 70,池添謙, 0.2, 71,   7,*  6, 2,  3.3,⑥⑥⑤, 2, 8,Ｅコｰナｰストｰン, 73,津村明, 0.1, 71,*  6,   4, 3,  4.6,②②②
 3, 6,Ｄクルンプホルツ, 40,藤岡佑, 1.7, 51,  -6,* -2, 3,  4.6,⑨⑨⑧, 3, 7,Ｂアグネスモリガン, 63,池添謙, 0.5, 58,   6,  -4, 2,  3.9, ⑥③, 3, 1,Ａメジロマシュｰズ, 77,川島信, 0.2, 72,   9,   2, 1,  3.2,④④③, 3, 4,Ｇエアフォルツァ, 68,藤岡佑, 0.2, 75,   4,  10, 7, 13.4,⑥⑤⑦
 4, 8,Ｅアストレアピｰス, 35,津村明, 1.7, 48,  10, -26, 7, 52.3,⑦⑥③, 4, 1,Ｆベルグコマンダｰ, 57,丹内祐, 0.6, 55,  -4,*  3, 8, 26.8, ⑫⑨, 4, 2,Ｆリンガスビｰト, 62,菊沢隆, 0.4, 69,* 13, -13, 7, 33.4,①①①, 4, 5,Ｄフェスティヴナイト, 73,勝浦正, 0.2, 75,   4,  10, 6, 10.5,⑥⑤⑤
 5, 7,Ｂシｰクレットホｰス, 41,菊沢隆, 2.0, 44,   9, -29, 6, 40.9,⑧⑧⑤, 5, 2,Ｅナムラハル, 58,的場勇, 0.8, 52,  -5,* -2, 4,  7.2, ⑫⑤, 5, 3,Ｅタガノマスタング, 64,小原義, 0.5, 69,  11,  -7, 4,  5.5,②②②, 5, 7,Ｆウインボｰルド, 70,川島信, 0.3, 70,   4,   6, 5, 10.5,⑤⑤⑤
 6, 5,Ｇスカリエッティ, 29,小林徹, 2.0, 45,  11, -32, 8, 71.0,⑤⑥⑤, 6,12,Ｐスズシルクロｰド, 33,北村浩, 1.0, 50,   0,  -6,13,132.2, ⑩⑫, 6, 6,Ｄマイネルデネブ, 69,芹沢純, 0.6, 66,   9,  -8, 5, 10.1,③②③, 6, 6,Ｈケイエスジェネラス, 67,小林徹, 0.4, 75,   1,* 14, 8, 41.2,⑧⑧⑧
 7, 9,Ｃトキンナル, 40,古川吉, 2.2, 43,* 14, -39, 4, 17.5,②③③, 7, 5,Ｉアｰスタマチャン, 55,荻野要, 1.0, 54,  10, -17, 7, 21.9, ③③, 7, 8,Ｊロイヤルメルヘン, 47,黛弘人, 0.8, 60,   2,   1,10,113.1,⑧⑧⑧, 7, 2,Ｃスズカライアン, 74,菊沢隆, 0.7, 64,   5,  -3, 4,  7.9,③③②
 8, 1,Ｈスズカスペンサｰ, 22,芹沢純, 3.0, 34,  12, -48, 5, 25.8,⑤④⑤, 8,14,Ｍミスタｰリスリン, 48,古川吉, 1.2, 47,   3, -12, 5,  9.9, ⑧⑨, 8, 5,Ｇマルイチキセキ, 61,藤岡佑, 0.9, 60,   0,*  7, 8, 38.8,⑨⑨⑨, 8, 1,Ａフェラｰリセブン, 75,古川吉, 0.7, 65,*  7,  -5, 2,  3.2,①①①
 9, 3,Ｊトｰホウドロン,-62,田辺裕, 5.6,-49,  -9, -56,10,242.2,⑨⑩⑩, 9,11,Ｋキュｰトザベスト, 54,松田大, 1.2, 47,   1, -11,11, 31.5, ⑩⑪, 9, 9,Ｉフミノコマチ, 57,勝浦正, 1.6, 54,   6, -16, 6, 27.2,⑥⑥⑦,,,,,,,,,,,,
10,10,Ｉキｰスニｰカｰ, 13,草野太, 5.8,-26,  10, -92, 9,118.3,②④⑧,10, 6,Ｊダイワグランボｰ, 55,芹沢純, 1.4, 47,   9, -21, 9, 30.1, ④⑤,10, 4,Ｈアドラｰブルキス, 59,小林徹, 1.8, 53,   0,  -3, 9, 45.2,⑩⑩⑩,,,,,,,,,,,,
,,,,,,,,,,,,11, 3,Ｌトウカイギルト, 48,鈴来直, 1.5, 54,* 17, -30, 6, 12.1, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12, 9,Ｏネイティブゴｰルド, 43,草野太, 1.7, 40,  -7, -14,14,155.1, ⑭⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 8,Ｎフラワｰギフト, 47,田辺裕, 1.9, 38,   7, -27,12,100.1, ④⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,16,Ｇニシニキイロ, 56,菊沢隆, 3.1, 22,   3, -41,10, 30.3, ⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,
単勝:220円 複勝:04=110円 02=110円 06=110円 枠連:270円,,,,,,,,,,,,単勝:330円 複勝:15=150円 13=180円 07=130円 枠連:570円,,,,,,,,,,,,単勝:440円 複勝:07=140円 10=130円 01=120円 枠連:700円,,,,,,,,,,,,単勝:320円 複勝:03=150円 08=180円 04=360円 枠連:0円,,,,,,,,,,,
馬連:260円 ワイド:02-04=130円 04-06=160円 02-06=170円,,,,,,,,,,,,"馬連:1,070円 ワイド:13-15=470円 07-15=310円 07-13=600円",,,,,,,,,,,,馬連:700円 ワイド:07-10=310円 01-07=250円 01-10=240円,,,,,,,,,,,,"馬連:980円 ワイド:03-08=380円 03-04=750円 04-08=1,070円",,,,,,,,,,,
馬単:580円 3連複:280円,,,,,,,,,,,,"馬単:2,020円 3連複:1,400円",,,,,,,,,,,,"馬単:1,590円 3連複:740円",,,,,,,,,,,,"馬単:1,890円 3連複:4,080円 3連単:18,270円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.5,,,,,■ 9R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■12R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾎｰﾂｸﾊﾝﾃﾞ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｈオｰスノムスメ, 43,池添謙,, 71,*  4,*  5, 3,  5.1, ②①, 1, 6,Ａリｰズレセプション, 66,勝浦正,, 68,*  5,* -1, 1,  1.3,②②①, 1, 1,Ｅレイジングザバｰ, 60,伊藤直,, 69,*  3,   3, 1,  2.3,①①①, 1, 7,Ｉダブルブラザｰ, 68,田辺裕,, 81,  -3,* 21, 9, 17.2,⑩⑨⑨
 2, 8,Ｅウイングオブゴット, 50,藤岡佑, 0.4, 67,*  4,*  1, 4,  5.4, ②②, 2, 7,Ｂアグネスシグマ, 59,池添謙, 0.4, 64,*  5,* -3, 2,  5.0,②②②, 2, 3,Ａヤクモキャット, 67,草野太, 0.0, 67,  -2,*  9, 7, 28.2,⑤⑤②, 2, 3,Ｇランキング, 70,松田大, 0.3, 69,*  1,  12, 5,  9.1,①①①
 3,10,Ｄリンガスサクセス, 53,鈴来直, 0.7, 63,   2,  -1, 7, 13.5, ④④, 3,10,Ｃポｰトムテキ, 56,古川吉, 0.7, 61,   4,* -4, 4, 16.8,④④④, 3, 8,Ｆラブリｰコンサｰト, 58,勝浦正, 0.2, 67,   0,   6, 6, 16.2,④③②, 3,10,Ｋマルブツブラボｰ, 67,柴原央, 0.5, 73,  -4,* 18, 7, 15.8,⑪⑪⑨
 4, 2,Ｃエネルマリン, 54,勝浦正, 1.0, 58,  -5,*  1, 1,  3.1, ⑦⑦, 4, 3,Ｉキングアテルイ, 43,菊沢隆, 1.6, 53,   2,  -9,10,201.8,⑦⑥⑤, 4, 4,Ｄラインステッチ, 61,藤岡佑, 0.4, 65,  -1,   5, 2,  2.7,③③⑤, 4,11,Ｆトｰセンベルボｰイ, 70,勝浦正, 0.6, 68,  -2,  13, 4,  7.1,⑧⑦⑤
 5,12,Ｆシャインウッキｰ, 50,小林徹, 1.2, 57,   1,  -5, 2,  4.8, ④④, 5, 8,Ｍグッドコマチ, 37,小林徹, 2.3, 49,*  5, -23, 9, 98.1,①①③, 5, 7,Ｃエスジｰビｰト, 62,的場勇, 0.8, 59,*  1,  -5, 3,  6.3,②②②, 5, 9,Ａマナｰハウス, 77,池添謙, 0.9, 62,   0,   7, 3,  5.4,④②③
 6, 3,Ｂエステルハｰジ, 57,菊沢隆, 1.2, 56,  -4,  -2, 5,  8.1, ⑦⑦, 6, 5,Ｈカイシュウリバｰ, 45,津村明, 2.5, 46,  -3,  -9,12,322.1,⑪⑩⑦, 6, 9,Ｇライトモｰション, 57,黛弘人, 1.3, 57,  -2,  -4, 8, 30.3,⑦⑤⑤, 6, 4,Ｃシンボリブラｰムス, 72,藤岡佑, 1.0, 63,  -2,  10, 2,  5.2,⑦⑦⑤
 7, 6,Ａブライティアクロス, 60,芹沢純, 1.3, 57,*  7, -10, 6, 10.5, ①②, 7, 4,Ｅクロフネマンボ, 50,的場勇, 2.7, 43,   2, -24, 5, 20.1,④④⑤, 7, 2,Ｈアドライナｰ, 50,丸田恭, 2.0, 51,  -4,  -7, 9,188.2,⑦⑨⑨, 7, 2,Ｅコンゴウマドンナ, 71,津村明, 1.0, 61,*  1,   6, 6, 15.4,②②②
 8, 1,Ｇクリｰンクルｰ, 48,小島太, 1.7, 47, -10,  -5, 9, 79.7, ⑨⑨, 8, 9,Ｆビッグステｰジ, 49,松田大, 3.1, 42,   0, -22, 6, 33.1,⑥⑦⑦, 8, 6,Ｉレッドディクシｰ, 49,川島信, 2.1, 53,  -1,  -9, 4, 12.3,⑥⑤⑦, 8, 6,Ｈビュｰティフルアイ, 68,川島信, 1.0, 64,  -3,  11, 8, 16.9,⑧⑨⑪
 9, 4,Ｌハｰベット, 30,松田大, 2.0, 45, -15,  -3,12,309.3, ⑩⑨, 9,11,Ｄアドマイヤシｰド, 55,芹沢純, 3.6, 39,  -2, -22, 3, 12.7,⑩⑨⑩, 9, 5,Ｂコスモラバンジン, 63,梶晃啓, 2.2, 52,  -2,  -9, 5, 14.6,⑦⑧⑦, 9,12,Ｌエイシンセイテン, 64,芹沢純, 1.1, 61,*  1,   5,12, 28.9,②②③
10, 5,Ｊベルモントパンドラ, 40,草野太, 2.3, 39, -18,  -6,11,245.7, ⑪⑪,10,12,Ｌマイティｰガッツ, 39,草野太, 3.8, 35,  -3, -26, 7, 68.8,⑦⑧⑨,,,,,,,,,,,,,10, 5,Ｂセイウンタイヨウ, 75,菊沢隆, 1.3, 58,  -1,   4,11, 27.1,④⑤⑤
11, 7,Ｋアミスタｰデ, 37,古川吉, 2.5, 43,   2, -19,10,105.9, ④⑥,11, 1,Ｊミナミノカチドキ, 41,小島太, 6.2, 20,  -5, -45,11,270.1,⑨⑪⑪,,,,,,,,,,,,,11, 1,Ｊファンドリゲット, 68,小林徹, 1.8, 55,   0,   0, 1,  3.8,④⑤⑤
12, 9,Ｉラヴァｰズロック, 42,佐藤聖, 2.8, 33, -22,  -9, 8, 36.9, ⑫⑫,12,13,Ｇマルサンカフェ, 47,藤岡佑,11.6,-70, -19, -70, 8, 69.4,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-1),,,,,,,,,,,
単勝:510円 複勝:11=230円 08=210円 10=400円 枠連:670円,,,,,,,,,,,,単勝:130円 複勝:06=100円 07=110円 10=180円 枠連:240円,,,,,,,,,,,,"単勝:230円 複勝:01=120円 03=510円 08=360円 枠連:3,600円",,,,,,,,,,,,"単勝:1,720円 複勝:07=510円 03=330円 10=540円 枠連:3,930円",,,,,,,,,,,
"馬連:1,330円 ワイド:08-11=510円 10-11=1,400円 08-10=1,280円",,,,,,,,,,,,馬連:230円 ワイド:06-07=140円 06-10=260円 07-10=420円,,,,,,,,,,,,"馬連:3,360円 ワイド:01-03=1,010円 01-08=690円 03-08=3,390円",,,,,,,,,,,,"馬連:7,140円 ワイド:03-07=2,290円 07-10=3,510円 03-10=2,960円",,,,,,,,,,,
"馬単:2,740円 3連複:6,260円",,,,,,,,,,,,馬単:330円 3連複:490円,,,,,,,,,,,,"馬単:4,940円 3連複:11,890円 3連単:49,180円",,,,,,,,,,,,"馬単:14,950円 3連複:36,540円 3連単:246,990円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
