07年 8月12日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月12日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,
 9, 1,Ｆアポロエンジェル, 46,勝浦正, 2.6, 43,  -7, -11, 6, 25.5,⑨⑫⑨, 9,12, マイネルアベニｰル,---,柴山雄, 1.3, 36,*-14,  -5, 6, 18.9,⑤③③, 9,13,Ｂアドマイヤサンサン, 71,川田将, 0.5, 67,   4,   2, 5, 11.1,⑧⑧③, 9, 5,Ｇトｰアアｰサｰ, 58,秋山真, 0.6, 64,   6,  -4,10, 40.1,③③③
10, 6,Ｍアイティメルヘン, 29,宮崎光, 3.2, 38,  -8, -16,13,285.6,⑬⑬⑪,10, 5, サントシャペル,---,川田将, 1.7, 32, -20,   1, 8, 40.3,⑪⑫⑫,10,14,Ｊウエスタンホｰク, 64,秋山真, 0.6, 65,*  8, -10, 7, 17.9,①①①,10,12, ファッションモデル,---,宮崎光, 0.7, 65,   0,   3,13, 64.5,⑪⑩⑩
11,12,Ｉコアレスカンパニｰ, 38,的場勇, 4.0, 29,  -8, -28,12,253.0,⑨⑨⑬,11,11, マイネルスカｰル,---,秋山真, 2.0, 29,*-14, -16,11, 79.6,③③⑦,11,11,Ｍオウシュウヘイロｰ, 63,五十嵐, 0.7, 62,  -2,* 10,12, 64.8,⑬⑮⑭,11, 7,Ｋサクセスサｰマル, 46,藤田伸, 0.7, 64,   3,  -1, 6, 14.5,⑥⑥⑥
12, 4,Ｌハッピｰフィｰト, 32,池添謙, 4.7, 27,* -3, -38,11,126.1,③③⑪,12, 4, ワンパクオウ,---,五十嵐, 2.6,  9, -17, -19,10, 62.5,⑨⑧⑦,12, 5,Ｆピエナオンリｰワン, 68,松田大, 0.8, 62,   0,   6, 9, 19.1,⑬⑭⑭,12,10, ラッフィナｰタ,---,五十嵐, 0.8, 64,  -3,   6,12, 60.2,⑪⑫⑬
13, 8,Ｋサクラシャンティ, 32,川田将, 5.7, 21,* -3, -49,10,108.1,①②⑧,,,,,,,,,,,,,13,12,Ｎアジアン, 57,柴山雄, 1.0, 60,   3,  -4,15,148.4,⑧⑨⑨,13, 1,Ｉコクサイトップラヴ, 53,津村明, 1.3, 56,* 11, -21, 9, 29.0,①①②
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｄダイシングロウ, 69,安藤勝, 1.0, 58,   1,  -2, 3,  6.8,⑩⑪⑨,14, 9,Ｌキョウコマチ, 32,小原義, 1.7, 54,  -6,  -2,14,222.1,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｌキングアｰサｰ, 63,田中勝, 1.6, 54,*  7, -23, 6, 12.0,③③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,
"単勝:300円 複勝:11=140円 09=210円 03=200円 枠連:1,180円",,,,,,,,,,,,"単勝:260円 複勝:07=130円 03=220円 09=1,200円 枠連:1,120円",,,,,,,,,,,,"単勝:460円 複勝:09=220円 08=2,970円 15=1,130円 枠連:31,230円",,,,,,,,,,,,単勝:620円 複勝:11=180円 08=190円 06=310円 枠連:960円,,,,,,,,,,,
"馬連:1,370円 ワイド:09-11=400円 03-11=370円 03-09=720円",,,,,,,,,,,,"馬連:1,060円 ワイド:03-07=370円 07-09=2,170円 03-09=2,960円",,,,,,,,,,,,"馬連:35,930円 ワイド:08-09=7,540円 09-15=3,430円 08-15=20,250円",,,,,,,,,,,,"馬連:1,080円 ワイド:08-11=490円 06-11=920円 06-08=860円",,,,,,,,,,,
"馬単:2,300円 3連複:2,520円",,,,,,,,,,,,"馬単:1,630円 3連複:12,100円",,,,,,,,,,,,"馬単:50,690円 3連複:473,860円",,,,,,,,,,,,"馬単:2,390円 3連複:3,520円 3連単:15,590円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■11R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大倉山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂメジロアルタイス, 56,藤田伸,, 64,  -3,*  8, 2,  4.0,⑩④①, 1,14,Ａケイエスショｰキ, 60,小林徹,, 64,  -8,*  8, 2,  5.5, ⑩⑧, 1, 7,Ｊタマモグレアｰ, 50,福永祐,, 65,*  4,  -2, 7, 25.7,③③①, 1, 3,Ｄプライムナンバｰ, 75,池添謙,, 81, -10,* 28, 7, 15.6,⑤⑥③
 2, 7,Ｃマルサライガｰ, 56,横山典, 0.7, 59,*  0,  -3, 3,  4.7,②②②, 2, 5,Ｍオｰスノムスメ, 37,池添謙, 0.0, 59,*  4,  -3, 7, 13.4, ②②, 2, 9,Ｃエバンジェリスト, 65,横山典, 0.0, 64,   0,*  8, 3,  6.1,⑬⑩⑨, 2,10,Ｊユキノマｰメイド, 68,鈴来直, 0.1, 63,* -5,  15, 4,  7.1,①①①
 3, 1,Ｉテイエムサプライズ, 40,藤岡佑, 1.1, 55,  -3,  -3, 9, 42.3,⑥④④, 3, 3,Ｂトｰセンペガサス, 59,安藤勝, 0.0, 66, -12,* 13, 1,  4.9, ⑬⑬, 3,13,Ｅテンシノライアン, 62,北村浩, 0.6, 59,   2,  -3, 5,  8.6,⑨⑤⑤, 3, 4,Ｂエリモファイナル, 76,藤岡佑, 0.2, 68,  -8,  20, 5, 10.4,③③③
 4, 6,Ａヒットトップガン, 58,河北通, 1.2, 53,  -3,  -3, 1,  2.5,⑧⑥⑤, 4, 1,Ｇレッドシャトル, 51,川島信, 0.1, 57,*  5,  -6, 3,  5.6, ①①, 4, 6,Ａサクセスガｰウィン, 68,藤田伸, 0.8, 59,   4,  -7, 1,  2.7,⑤④④, 4,12,Ａイチゴイチエ, 77,四位洋, 0.4, 57,* -6,  12, 1,  3.7,②②②
 5, 9,Ｄグランドアムｰル, 47,柴田善, 1.5, 53,*  2, -16, 6, 19.9,①①③, 5, 6,Ｎロｰドスピリット, 35,秋山真, 0.3, 54,  -1,  -2,11, 39.0, ④⑤, 5, 8,Ｈスタｰラビット, 55,川島信, 1.0, 57,   2,  -7, 9, 51.8,⑨⑤⑦, 5, 5,Ｉレフィナｰダ, 68,田中勝, 0.6, 61,  -9,  17, 6, 14.0,⑤⑤⑤
 6, 4,Ｈニシノキンレンポ, 42,福永祐, 1.8, 48,  -4,  -7, 7, 20.7,⑧⑧⑦, 6, 4,Ｈホッカイトｰラス, 51,武幸四, 0.5, 52,  -8,   1, 9, 29.4, ⑩⑪, 6, 2,Ｄマルブツアトム, 64,安藤勝, 1.1, 55,   0,  -5, 4,  6.2,⑥⑨⑨, 6, 1,Ｋマコトジョワイユｰ, 63,秋山真, 0.6, 69, -12,* 23,11, 37.0,⑧⑧⑦
 7,10,Ｅランドマッハ, 45,柴山雄, 2.1, 47,  -2, -15, 5, 14.5,④③⑤, 7,16,Ｆトップチョイス, 52,藤岡佑, 0.5, 51,  -4,  -3, 5,  6.2, ⑦⑤, 7,10,Ｂリワｰドアルビオン, 66,四位洋, 1.3, 54,   3, -11, 2,  4.0,⑥⑤⑥, 7, 6,Ｇアドマイヤカンナ, 70,安藤勝, 0.7, 66, -12,  22, 3,  4.7,⑧⑧⑩
 8,12,Ｌユウタｰアｰミｰ,-31,五十嵐, 2.5, 43,  -4, -15, 8, 36.5,⑦⑥⑧, 8, 9,Ｅフェアリｰスポット, 54,川田将, 0.6, 55, -19,* 10,12, 39.9, ⑯⑮, 8,12,Ｉテンガロンハット, 55,古川吉, 1.4, 54,   2, -11, 8, 39.0,⑥⑤⑧, 8, 9,Ｃロｰリｰポｰリｰ, 75,横山典, 0.7, 56,  -8,  12,10, 25.3,③③⑤
 9,13,Ｆタイトルマン, 43,勝浦正, 2.7, 41,  -5, -14,12, 65.9,⑫⑩⑨, 9,15,Ｌクリノオンディｰヌ, 38,四位洋, 0.8, 45,*  2, -13,10, 38.4, ③③, 9, 5,Ｋダンシングタイガｰ, 50,勝浦正, 1.6, 53,*  5, -18,11, 79.3,②②②, 9, 2,Ｈケイエスジェネラス, 69,小林徹, 0.9, 67, -15,* 23,12, 67.0,⑪⑪⑪
10, 8,Ｊスタンドアチャンス, 39,川田将, 2.8, 40,  -6, -13,10, 55.2,⑩⑪⑪,10,10,Ｋラｰドロライカス, 40,津村明, 0.8, 45,  -3,  -9,16,185.3, ⑦⑤,10, 4,Ｆウォｰタｰポロ, 57,藤岡佑, 1.6, 54,*  6, -19, 6, 18.9,①①②,10, 8,Ｆエレアシチｰ, 70,五十嵐, 0.9, 60, -12,  18, 8, 21.6,⑩⑧⑦
11, 2,Ｇニライカナイ, 42,北村友, 2.8, 39,  -8, -12,11, 60.9,⑫⑪⑨,11,11,Ｉリキアイアチｰブ, 49,福永祐, 0.9, 44,   0, -13, 6, 12.0, ④④,11, 1,Ｇティリブルティｰト, 57,黛弘人, 1.7, 48,  -2,  -9,13,150.2,⑫⑫⑫,11,11,Ｌリンガフランカ, 61,福永祐, 1.0, 64, -15,  22, 9, 22.3,⑪⑪⑪
12, 3, ナムラウシワカマル,---,田中勝, 4.8, 29, -10, -26,13, 97.2,④⑬⑬,12, 2,Ｐポｰトフォリオ, 18,勝浦正, 0.9, 47, -17,   4,14,135.1, ⑮⑮,12,11,Ｌデイバイデイ, 48,河北通, 1.8, 50,   0, -10,12, 93.5,⑨⑩⑪,12, 7,Ｅニシノフジムスメ, 71,藤田伸, 1.2, 51, -12,  12, 2,  4.3,⑦⑦⑦
13, 5,Ｋハイレｰトクライム, 30,池添謙, 6.1, 21,  -4, -49, 4,  9.5,②⑧⑫,13, 8,Ｄアイスカｰビング, 57,藤田伸, 1.0, 42,  -4, -10, 4,  5.9, ⑦⑪,13, 3,Ｍレスポンスシチｰ, 47,五十嵐, 4.5, 32,  -1, -36,10, 54.1,③⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｊユディット, 45,柴田善, 1.0, 43,  -8,  -7,13, 86.8, ⑩⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 7,Ｏハｰベット, 29,田中勝, 1.5, 35, -14,  -9,15,142.5, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｃマルマツフェロｰ, 58,黛弘人, 3.2,-46,  -2, -51, 8, 16.3, ④⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-6),,,,,,,,,,,
単勝:400円 複勝:11=160円 07=220円 01=740円 枠連:230円,,,,,,,,,,,,"単勝:550円 複勝:14=180円 05=360円 03=190円 枠連:3,500円",,,,,,,,,,,,"単勝:2,570円 複勝:07=760円 09=220円 13=260円 枠連:530円",,,,,,,,,,,,"単勝:1,560円 複勝:03=380円 10=240円 04=330円 枠連:2,800円",,,,,,,,,,,
"馬連:1,060円 ワイド:07-11=440円 01-11=2,030円 01-07=2,130円",,,,,,,,,,,,"馬連:4,820円 ワイド:05-14=1,660円 03-14=590円 03-05=1,360円",,,,,,,,,,,,"馬連:5,190円 ワイド:07-09=1,760円 07-13=3,310円 09-13=770円",,,,,,,,,,,,"馬連:5,340円 ワイド:03-10=1,350円 03-04=1,690円 04-10=1,020円",,,,,,,,,,,
"馬単:2,230円 3連複:9,890円",,,,,,,,,,,,"馬単:9,630円 3連複:9,940円",,,,,,,,,,,,"馬単:12,720円 3連複:19,170円",,,,,,,,,,,,"馬単:13,270円 3連複:12,030円 3連単:101,010円",,,,,,,,,,,
■ 3R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,,■ 9R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸｲｰﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,,,羊ヶ丘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10, マルマツフライト,---,福永祐,, 50,* -1, -10, 3,  6.0, ②②, 1, 9,Ａヴィアラクテア, 75,藤田伸,, 71,  -2,* 12, 1,  2.0,②③①, 1, 1,Ｂアサヒライジング, 86,柴田善,, 91,* 13,  20, 2,  5.6,①①①, 1, 1,Ｅレヴリ, 72,松田大,, 85,   4,* 18, 4,  8.1, ⑥⑥
 2, 5, ファンダフル,---,川田将, 0.6, 45,*  0, -18, 2,  4.1, ①①, 2,10,Ｇブリュンヒルト, 60,勝浦正, 0.5, 64,  -3,   8, 6, 15.6,④④④, 2, 2,Ｅイクスキュｰズ, 81,田中勝, 0.3, 85,* 10,  18, 6,  9.5,③③②, 2, 9,Ｂファインドロップ, 80,宮崎光, 0.1, 78,* 18,   2, 3,  7.5, ①①
 3, 3, ジエクストリｰム,---,的場勇, 1.3, 29, -23, -12,10, 73.6, ⑨⑦, 3, 5,Ｃエイダイタカラブネ, 63,横山典, 0.6, 63,  -2,   8, 2,  5.5,③④⑤, 3,11,Ｄディアチャンス, 83,横山典, 0.3, 99,   5,* 31, 5,  7.6,⑫⑫⑪, 3,13,Ｌシャペロンルｰジュ, 66,的場勇, 0.4, 74,  10,   5,10, 34.6, ③③
 4, 1, スカリエッティ,---,柴山雄, 1.3, 32, -20, -11, 8, 25.7, ⑦⑥, 4, 6,Ｅラインジュエル, 62,田中勝, 1.0, 59,  -4,   5, 5, 10.9,⑦⑥⑥, 4, 5,Ａアドマイヤキッス, 90,川田将, 0.3, 94,   8,* 25, 1,  2.9,⑧⑩⑥, 4, 4,Ｇレッドビｰムシチｰ, 71,四位洋, 0.5, 77,  -6,* 19, 6, 14.2, ⑬⑫
 5, 7, シルクパナシア,---,北村友, 1.4, 28,  -8, -21, 4, 12.1, ④③, 5, 2,Ｆドリｰムアプロｰチ, 62,安藤勝, 1.0, 67,  -8,* 14, 4,  7.8,⑨⑩⑩, 5, 8,Ｆフサイチパンドラ, 81,福永祐, 0.4, 88,   9,  22, 3,  6.5,⑤⑧⑥, 5, 5,Ｆテンザンアモｰレ, 71,千田輝, 0.6, 73,   5,   7,11, 37.9, ⑥⑥
 6, 4, マックスボｰイ,---,伊藤直, 1.7, 26,  -6, -25, 9, 62.6, ③③, 6, 8,Ｉライトモｰション, 57,黛弘人, 1.2, 56,  -6,   5,10,134.9,⑨⑧⑧, 6, 6,Ｌコスモプラチナ, 69,安藤勝, 0.4, 87,  10,  20,10, 29.3,⑤⑥⑥, 6, 6,Ｎナチュラルリｰダｰ, 59,勝浦正, 0.6, 74,   1,  12,14,131.1, ⑩⑨
 7, 9, シトラスサン,---,藤田伸, 2.0,-42, -46,* -2, 6, 15.6, ⑩⑩, 7, 1,Ｂアドマイヤヒラリｰ, 66,川田将, 1.2, 57,  -3,   4, 3,  6.2,④⑥⑥, 7,10,Ｃデアリングハｰト, 85,藤田伸, 0.5, 85,  11,  18, 4,  7.1,⑤⑤②, 7,11,Ｋミスタｰケビン, 67,田中勝, 0.7, 72,   1,  10, 5, 10.1, ⑩⑨
 8, 6, メイセイカレン,---,小林徹, 2.0, 21, -11, -25, 7, 15.8, ⑤③, 8, 4,Ｈヴィクトリアアイ, 59,藤岡佑, 1.7, 50,* -1,  -7, 7, 18.2,①①②, 8, 9,Ｇヤマニンメルベイユ, 79,勝浦正, 0.8, 77,* 11,  11, 9, 26.1,③③②, 8,10,Ｃアドマイヤカリブ, 78,川田将, 0.7, 70,   9,   2, 1,  2.2, ③③
 9, 2, タツジャガｰ,---,佐藤聖, 2.2, 12, -22, -22,11,173.2, ⑦⑦, 9, 7,Ｊフジファレノプシス, 53,五十嵐, 1.7, 51,* -1,  -6, 9,100.6,⑧②②, 9,12,Ｊロフティｰエイム, 75,柴山雄, 1.0, 77,   8,  14, 8, 20.4,⑩⑩⑩, 9, 7,Ｄアグネスレプトン, 75,福永祐, 0.8, 70,  -3,  12, 7, 15.3, ⑫⑫
10, 8, ワｰルドマスタｰ,---,池添謙, 2.2,-47, -46,* -4, 1,  2.1, ⑩⑩,10, 3,Ｄステレオタイプ, 62,北村友, 2.1, 48,  -5,  -3, 8, 18.5,⑥⑧⑧,10, 7,Ｈシェルズレイ, 77,四位洋, 1.1, 74,  10,  10, 7, 19.1,⑧⑥⑥,10,12,Ｈシルクレグナム, 70,五十嵐, 0.9, 65,   8,  -1, 8, 16.5, ③③
11,11, アルゲリッチミミ,---,田中勝, 3.5,  3, -11, -40, 5, 13.2, ⑤⑦,,,,,,,,,,,,,11, 4,Ｉコアレスパティオ, 76,五十嵐, 1.4, 70,   9,   7,12, 65.1,⑩⑧⑪,11, 2,Ｍプリティタヤス, 64,池添謙, 1.0, 68,  -7,  13, 9, 34.2, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｋフレンチビキニ, 71,武幸四, 2.3, 68,* 12, -13,11, 58.0,②②②,12, 3,Ｉブライティアアイ, 69,須貝尚, 1.2, 61,   5,  -2,12, 50.5, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ａメジロソリアノ, 83,藤田伸, 1.2, 60,* 12,  -8, 2,  7.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｊオｰスチンロｰズ, 68,高山太, 1.5, 56,   2,  -4,13, 81.6, ⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,
"単勝:600円 複勝:10=220円 05=180円 03=1,240円 枠連:1,030円",,,,,,,,,,,,"単勝:200円 複勝:09=120円 10=290円 05=160円 枠連:1,310円",,,,,,,,,,,,"単勝:560円 複勝:01=200円 02=270円 11=230円 枠連:1,920円",,,,,,,,,,,,単勝:810円 複勝:01=280円 09=250円 13=710円 枠連:960円,,,,,,,,,,,
"馬連:1,620円 ワイド:05-10=550円 03-10=4,520円 03-05=2,840円",,,,,,,,,,,,"馬連:1,420円 ワイド:09-10=500円 05-09=230円 05-10=860円",,,,,,,,,,,,"馬連:1,980円 ワイド:01-02=780円 01-11=730円 02-11=970円",,,,,,,,,,,,"馬連:3,910円 ワイド:01-09=1,450円 01-13=4,200円 09-13=2,590円",,,,,,,,,,,
