07年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,,■10R  ダ2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
11, 4,Ｏタマモダンスタイム, 17,塚田祥, 4.0, 29,  -7, -33, 6, 25.5,⑩⑩⑨,11, 4,Ｊプラチナブラック, 35,田面木, 1.7, 51,*  9, -31, 8, 41.6,③③③,11, 9, テイエムジェネラス,,西谷誠, 5.2,,,, 1,  2.3,⑥⑨⑩,11,11,Ｉピカレスクコｰト, 75,後藤浩, 1.0, 73,* 20, -14, 2,  5.3,①②②
12,15,Ｌスガノスミレ, 30,南田雅, 4.0, 29,  -7, -33,13,232.2,⑧⑩⑫,12,12,Ｎノボスコｰピオ, 22,石橋脩, 1.9, 49,   5, -25,14,169.2,⑪⑩⑧,,,,,,,,,,,,,12,12,Ｌサムソンハッピｰ, 72,木幡初, 1.1, 69,  13,  -5,15,243.9,⑬⑩⑩
13, 3,Ｎミサトシャｰプ, 21,高野和, 4.5, 24,  -4, -45,10,132.9,②⑦⑨,13,16,Ｐマイネルレシタｰル,-28,嘉藤貴, 2.0, 48,   3, -21,16,382.4,⑮⑭⑬,,,,,,,,,,,,,13, 2,Ｏプライマリｰケア, 66,田辺裕, 1.1, 69,  11,  -2,14,221.0,⑪⑬⑫
14, 8,Ｋリカオｰウィナｰ, 30,千葉直, 5.6, -3, -17, -32,15,389.8,⑬⑯⑮,14, 3,Ｌセイウンドラゴン, 32,木幡初, 2.9, 42,   6, -42,13,163.3,⑤⑨⑩,,,,,,,,,,,,,14,14,Ｎプリモスタｰ, 69,バルジ, 1.9, 61,* 19, -26,10, 68.2,②③④
15, 5,Ｍコウギョウボス, 29,加藤士, 6.3,  0,  -8, -51,16,450.8,⑥⑫⑭,15, 6,Ｏサンダッシュ, 18,的場勇, 3.2, 38,  -1, -36,15,293.3,⑬⑯⑮,,,,,,,,,,,,,15,13,Ｍシュフルｰル, 71,北村宏, 2.0, 59,  14, -20,13,201.6,⑦⑩⑫
16,12,Ｊサンマルアタック, 32,水出大, 7.3,-31, -14, -54,12,214.3,⑬⑮⑮,16,11,Ｍセイシンヤマト, 25,勝浦正, 9.8,-81,   8, ---,12,157.5,③④⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,
単勝:340円 複勝:07=140円 13=110円 09=210円 枠連:260円,,,,,,,,,,,,単勝:490円 複勝:10=150円 14=160円 09=130円 枠連:390円,,,,,,,,,,,,単勝:300円 複勝:01=150円 06=820円 03=240円 枠連:950円,,,,,,,,,,,,"単勝:2,050円 複勝:09=530円 04=300円 10=290円 枠連:2,250円",,,,,,,,,,,
馬連:270円 ワイド:07-13=150円 07-09=470円 09-13=380円,,,,,,,,,,,,"馬連:1,020円 ワイド:10-14=360円 09-10=200円 09-14=320円",,,,,,,,,,,,"馬連:7,030円 ワイド:01-06=1,890円 01-03=490円 03-06=2,810円",,,,,,,,,,,,"馬連:8,400円 ワイド:04-09=2,650円 09-10=2,300円 04-10=1,220円",,,,,,,,,,,
馬単:700円 3連複:770円,,,,,,,,,,,,"馬単:2,350円 3連複:970円",,,,,,,,,,,,"馬単:10,300円 3連複:13,640円",,,,,,,,,,,,"馬単:18,470円 3連複:23,740円 3連単:178,900円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 6R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 9R  ダ1200m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.7,,,,,■12R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,呉竹賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10, クレｰプシュゼット,---,横山典,, 56,*  1,  -7, 1,  1.8, ②②, 1, 3,Ｃコウジンアルス, 66,柴田善,, 69,*  5,   1, 1,  3.1, ③③, 1,11,Ａアイヴォリｰカラｰ, 72,横山典,, 68,   1,*  9, 1,  1.7, ⑪⑨, 1, 2,Ｃコパノスイジン, 69,吉田隼,, 71,*  2,*  7, 3,  6.2,①①①
 2,15, カヤドｰアズｰロ,---,中舘英, 0.0, 56,*  1,  -7, 3,  5.0, ②②, 2,15,Ｉトｰヨｰコジｰン, 59,横山典, 0.2, 65,   3,   1, 2,  4.3, ④④, 2, 7,Ｃミキノモナコ, 67,西田雄, 0.4, 66,   5,   3, 5, 10.8, ⑧⑤, 2, 4,Ｆフェラｰリセブン, 64,横山典, 0.4, 69,*  1,   6, 2,  3.0,③③③
 3, 4, チェリｰスイッチ,---,吉田豊, 0.4, 53,*  2, -12, 2,  4.6, ①①, 3, 5,Ｄシルクエレメント, 65,大野拓, 0.2, 61,  -1,*  3, 4,  7.3, ⑦⑦, 3,15,Ｌフェアリｰライド, 55,吉田隼, 0.5, 65,   6,   1,12, 46.4, ⑤④, 3, 1,Ｍトｰセンジョｰカｰ, 55,石橋脩, 0.7, 66,  -1,   6, 9, 42.0,⑤⑧⑦
 4, 5, イノチクレナイ,---,中谷雄, 0.9, 44,  -5, -11,13,100.2, ⑦⑧, 4, 7,Ｆリキアイチャンプ, 62,江田照, 0.3, 60,  -3,*  6, 7, 17.8, ⑩⑨, 4,13,Ｂビｰチブリｰズ, 68,中舘英, 0.5, 68,*  9,  -2, 2,  8.4, ③②, 4,11,Ｊコスモグラッチェ, 59,郷原洋, 0.8, 64,*  2,  -1,12,152.1,③③③
 5, 8, オンワｰドイイデス,---,石橋脩, 1.2, 39, -13,  -6,15,105.2, ⑩⑨, 5, 1,Ａリワｰドアルコン, 70,勝浦正, 0.9, 59,   4,  -7, 3,  5.5, ④④, 5,10,Ｇトｰセングラマｰ, 61,木幡初, 0.9, 67,* 11,  -8, 4, 10.6, ①①, 5,14,Ａミヤコノカｰン, 73,木幡初, 0.8, 67,  -2,*  9, 4, 10.4,⑭⑫⑦
 6, 6, モリトサクラサクラ,---,村田一, 1.9, 35,  -4, -22, 7, 42.2, ⑤④, 6, 6,Ｍタマモニュｰリズム, 50,吉田隼, 0.9, 53,  -4,   0,12, 67.8, ⑩⑨, 6, 8,Ｈエムオｰミラクル, 60,蛯名正, 1.2, 56,   1,  -2, 6, 12.8, ⑪⑩, 6, 8,Ｄスズサンシャイン, 69,村田一, 1.0, 63,  -2,   5, 5, 10.9,⑫⑨⑦
 7, 7, ハッピｰパヒュｰム,---,木幡初, 2.0, 34,  -4, -23, 4, 18.6, ⑤④, 7, 8,Ｅホトダｰ, 63,田中勝, 1.0, 52,  -6,   2, 5, 10.1, ⑭⑭, 7, 9,Ｉサクラワイズ, 58,後藤浩, 1.3, 54,   0,  -2, 8, 27.1, ⑬⑭, 7, 9,Ｅネヴァｰトルネｰド, 67,武士沢, 1.2, 60,   0,  -3, 6, 13.1,⑧⑤⑤
 8,12, スガノギムレット,---,勝浦正, 2.2, 30,  -7, -22, 5, 24.9, ⑧⑥, 8, 4,Ｇマシｰン, 61,吉田豊, 1.2, 53,   1,  -7, 6, 11.9, ⑦⑦, 8, 5,Ｄパｰプルストック, 65,柴田善, 1.3, 57,   6,  -7, 7, 23.1, ⑤⑤, 8,15,Ｈペリｰ, 62,二本柳, 1.2, 60,  -1,   0, 8, 36.4,⑨⑨⑦
 9,14, ユミ,---,小野次, 2.3, 28, -13, -17, 8, 44.2, ⑩⑪, 9,16,Ｈフェｰヴ, 59,中舘英, 1.3, 58,*  8, -13, 8, 25.0, ②①, 9, 3, フウバイカ,---,吉田豊, 1.3, 56, -12,*  8,14,237.4, ⑮⑮, 9,10,Ｇコスモラバンジン, 63,柴田善, 1.2, 60,  -1,   0, 7, 25.2,⑪⑨⑪
10, 9, フジマサダンサｰ,---,蛯名正, 2.3, 31, -26,* -5, 6, 29.6, ⑫⑫,10, 2,Ｌシルクマニフェスト, 54,小林淳, 1.4, 53,   3, -10,14,129.2, ④④,10, 2,Ｆヒカリマｰガレット, 62,勝浦正, 1.5, 55,   6,  -9,10, 35.5, ⑤⑤,10, 7,Ｉトｰセンバサラ, 60,佐藤聖, 1.3, 56,  -6,   4,10, 48.3,⑫⑭⑪
11, 2, ノアウインザｰ,---,郷原洋, 2.4, 31, -30,* -3,10, 59.0, ⑭⑫,11, 9,Ｏリネンスタｰ, 42,南田雅, 1.6, 47,  -5,  -5,15,241.5, ⑫⑫,11, 4,Ｅインディゴラヴ, 63,内田浩, 1.5, 53,   2,  -6, 3, 10.5, ⑨⑩,11,12,Ｏメジロファング, 48,吉田豊, 1.5, 58,  -4,   3,14,177.9,⑭⑭⑭
12,11, ホｰスメンレディｰ,---,柴山雄, 2.8, 21, -35,* -2,12, 94.5, ⑮⑮,12,13,Ｎファインノユメ, 46,石橋脩, 1.7, 46,  -5,  -6,10, 41.3, ⑫⑫,12,14,Ｋトウカイファイン, 57,小林淳, 1.9, 48,  -2,  -6,11, 40.0, ⑭⑫,12,16,Ｋゴｰルドコｰスト, 56,バルジ, 1.6, 54,*  3, -15,11, 52.5,②②②
13, 1, スプリングシャラ,---,田中剛, 3.0, 22,  -7, -30,11, 83.5, ⑧⑩,13,12,Ｊブラックシチｰ, 57,武士沢, 1.8, 46,  -1, -10, 9, 40.5, ⑨⑪,13, 1,Ｊデュｰクラヴィング, 57,田中勝, 2.4, 44,   2, -15, 9, 34.0, ⑨⑫,13, 5,Ｂゲイルバニヤン, 70,後藤浩, 1.7, 54,   1, -12, 1,  2.9,⑤⑤⑤
14,13, マンマル,---,西田雄, 3.8, 17,  -2, -42, 9, 48.4, ④⑥,14,10,Ｐトウショウソング, 13,塚田祥, 1.8, 44,  -8,  -5,11, 52.8, ⑮⑭,14, 6, エフテｰストライク,---,田辺裕, 2.4, 48,   8, -20,13,230.5, ③⑤,14, 3,Ｌブラッドシフト, 55,山本康, 2.5, 46,  -2, -16,16,288.4,⑨⑫⑪
15, 3, ウエストベリｰ,---,穂苅寿, 6.0,-31, -26, -41,14,100.9, ⑫⑭,15,14,Ｋブレンティナ, 55,菊沢隆, 3.7, 34,*  8, -37,13, 96.8, ①②,15,12,Ｍトミノドリｰム, 35,高山太, 2.7, 47,* 10, -25,15,413.5, ②②,15,13,Ｎビンテｰジカフェ, 50,小島太, 4.1, 28,  -2, -48,15,208.6,⑤⑤⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐハクリュウヤマフジ, 35,田中勝, 4.9, 26,  -9, -36,12,152.1,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
