07年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.6,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■10R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,
 9, 8,Ｈカシノジュリア, 30,丹内祐, 2.0, 43, -10,  -8,10,209.0, ⑩⑦, 9,16, リッシンハゴロモ,---,木幡初, 1.4, 45,  -4, -13,14,153.8,③④④, 9, 4,Ｄギシアラバストロ, 71,北村宏, 1.1, 72,   9,  -1, 7, 45.0,③④④, 9, 8,Ｅチェストウイング, 83,柴田善, 3.4, 69,* 16, -39, 8, 53.2,④②④
10,11,Ｋラベルフィｰユ, 25,蛯名正, 2.2, 43,*  2, -20, 7, 48.1, ②②,10,15, ユウチカラ,---,田面木, 2.3, 34,  -5, -24,11,110.0,⑪⑧⑨,10,16,Ｎカブキメｰク, 64,柴山雄, 1.7, 68,   8,  -4,12,180.7,⑨⑧④,10, 3,Ｆリキアイサイレンス, 82,ペリエ, 5.0, 66,* 16, -62, 4,  9.0,②①⑨
11,12,Ｆタツビュｰティ, 31,小野次, 2.6, 37,  -9, -15, 9,129.2, ⑨⑦,11, 3, ヤマノテイオｰ,---,松岡正, 2.3, 34,  -4, -27, 4,  6.0,④④④,11, 3,Ｇコマンドｰルクロス, 69,田中博, 1.8, 63,   6,  -3, 5, 11.0,③⑫⑭,11,13,Ｇショｰトロｰブス, 82,勝浦正, 6.8, 58,* 16, -89, 9, 70.6,①②⑪
12, 2,Ｌツｰハッスル, 24,武士沢, 2.7, 35, -13, -12,13,329.4, ⑪⑩,12,14, センタｰスマッシュ,---,勝浦正, 2.7, 29,  -8, -26,10, 93.5,⑪⑫⑬,12,13,Ｆピサノバンキッシュ, 70,ペリエ, 2.3, 62,   9, -12, 4,  7.4,⑤④④,12,12,Ｉワンダｰスティｰヴ, 80,柴山雄, 7.7, 42,  14, -98, 6, 26.0,②⑦⑫
13, 6,Ｇサンマルシャルム, 30,梶晃啓, 2.9, 33, -16, -11,14,401.5, ⑬⑭,13, 6, ゴスペル,---,郷原洋, 2.7, 29,  -8, -26,15,160.9,⑭⑫⑬,13,12,Ｌシンボリブラｰムス, 65,ルメｰ, 2.4, 61,   8, -11, 9, 54.8,⑧⑧⑨,13, 1,Ｍアドマイヤグロｰリ, 65,吉田隼,15.4,15.4---,  10, ---,11, 98.3,⑤⑬⑬
14,13,Ｎネバｰセイグッバイ,-14,草野太, 3.7, 24,  -8, -29,12,264.7, ⑦⑪,14,12, テンリョウヒメ,---,吉田隼, 3.4, 24, -15, -26, 9, 80.1,⑨⑮⑯,14,14,Ｐセイカモリオカ, 57,南田雅, 2.6, 59,   4,  -4,16,616.3,⑮⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,15,13, イガノガイア,---,小野次, 4.4, 13,* -1, -64,13,130.7,②②③,15,10,Ｏコウジンアルス, 62,武士沢, 2.6, 61,* 10, -17,15,287.4,②②②,,,,,,,,,,,,
,,,,,,,,,,,,16, 9, シｰクエンサｰ,---,丹内祐, 4.5, -8, -17, -40,16,341.1,⑭⑯⑮,16,11,Ｍレイジングザバｰ, 65,伊藤直, 2.9, 58,* 10, -20,13,190.8,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:94 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:630円 複勝:07=140円 04=110円 01=1,480円 枠連:310円",,,,,,,,,,,,"単勝:2,130円 複勝:11=440円 10=170円 02=150円 枠連:3,100円",,,,,,,,,,,,単勝:540円 複勝:06=140円 15=110円 08=150円 枠連:570円,,,,,,,,,,,,"単勝:5,070円 複勝:04=890円 11=260円 02=470円 枠連:5,570円",,,,,,,,,,,
"馬連:380円 ワイド:04-07=210円 01-07=5,200円 01-04=2,710円",,,,,,,,,,,,"馬連:4,020円 ワイド:10-11=1,240円 02-11=1,300円 02-10=340円",,,,,,,,,,,,馬連:600円 ワイド:06-15=230円 06-08=400円 08-15=260円,,,,,,,,,,,,"馬連:14,120円 ワイド:04-11=3,930円 02-04=5,540円 02-11=1,510円",,,,,,,,,,,
"馬単:1,280円 3連複:9,770円",,,,,,,,,,,,"馬単:12,040円 3連複:4,440円",,,,,,,,,,,,"馬単:1,520円 3連複:830円",,,,,,,,,,,,"馬単:41,010円 3連複:55,720円 3連単:582,350円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 9R  芝3350m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  芝2500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｲﾙﾐﾈｰｼｮﾝJS,,,,,,,,,,,,美浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃブリリアントマリｰ, 52,ルメｰ,, 65,*  7,  -5, 2,  4.2, ②②, 1, 1,Ａホットストック, 70,吉田隼,, 78,   1,* 14, 2,  4.0,⑤⑥⑥, 1, 7, メジロベイシンガｰ,,山本康,,,,, 5, 19.4,③⑥③, 1, 2,Ｇネヴァキングダム, 73,ペリエ,, 57,* 18, -33, 2,  4.6,①①①
 2, 5,Ａリトルディッパｰ, 56,北村宏, 0.0, 57, -17,* 18, 1,  2.2, ⑬⑩, 2,11,Ｅロｰランウェルズ, 62,北村宏, 0.3, 71,*  3,   7, 8, 17.6,③③②, 2, 6, エイシンペキン,,西谷誠, 0.5,,,, 1,  1.7,①①①, 2,11,Ｃマイネルファｰマ, 80,吉田隼, 0.3, 72,   3,  17, 3,  4.7,③③③
 3, 3,Ｅワンダフルスイｰト, 43,勝浦正, 0.3, 53,  -9,*  6, 4,  7.4, ⑨⑨, 3, 4,Ｊクリノアドベンチャ, 61,武士沢, 0.5, 70,   2,   8,12, 53.6,⑤⑤④, 3, 9, キングジョイ,,高田潤, 0.7,,,, 6, 19.6,⑥②③, 3, 5,Ｅラムタラプリンス, 75,丹内祐, 0.6, 80,  -1,* 24, 4,  6.8,⑤⑤⑤
 4, 8,Ｆスウェプトワｰルド, 39,吉田豊, 0.3, 57,   2,  -5, 7, 29.5, ④④, 4,14,Ｍシンボリプロキオン, 57,丹内祐, 0.7, 71,  -1,* 11,14,142.2,⑩⑪⑪, 4, 5, マイネルオｰパｰ,,宗像徹, 1.0,,,, 7, 42.8,⑧⑧⑤, 4, 4,Ａダイワバゼラｰド, 81,北村宏, 0.8, 81,  -2,* 26, 8, 22.4,⑨⑦⑦
 5,13,Ｊディｰエスファジｰ, 32,小野次, 0.4, 53,  -3,  -2,11, 84.3, ⑥⑤, 5, 8,Ｋグラマトフィラム, 58,蛯名正, 0.9, 63,*  4,   1, 6, 17.2,②②①, 5, 4, ノボライトニング,,横山義, 1.5,,,, 3, 10.1,⑦⑥⑦, 5, 6,Ｈエフティイカロス, 73,木幡初, 0.9, 72,  -2,  20, 6, 12.6,⑥⑥⑥
 6,16,Ｂカゼノビュｰティ, 56,村田一, 0.6, 54,*  5, -13, 3,  5.6, ②③, 6,12,Ｉレイズミｰアップ, 61,吉田豊, 1.2, 66,  -2,   8, 7, 17.4,⑬⑬⑮, 6, 8, テイエムトッパズレ,,佐久間, 1.5,,,, 9, 64.1,②②②, 6, 1,Ｆレｰザｰズエッジ, 75,小野次, 1.2, 68,  -2,  18, 7, 15.7,⑦⑦⑧
 7,12,Ｌスパｰクルキング, 27,木幡初, 0.7, 47,  -6,  -4, 9, 44.9, ⑧⑧, 7,15,Ｈサンアントニオ, 61,田中博, 1.2, 61,   0,   3,11, 40.1,⑩⑥⑦, 7, 3, テレジェニック,,金子光, 1.8,,,, 8, 48.0,③④⑤, 7, 8,Ｊリバイバルシチｰ, 65,吉田豊, 1.2, 80,  -5,* 27,11, 81.5,⑫⑫⑪
 8, 1,Ｇロスアンゼルス, 38,松岡正, 1.0, 43, -12,  -2, 8, 30.9, ⑩⑫, 8, 3,Ｇパスクア, 61,江田照, 1.3, 59,*  4,  -3,10, 31.6,①①②, 8,14, マチカネビシャモン,,平沢健, 2.4,,,,10, 78.6,⑫⑪⑨, 8,12,Ｄオルドリｰバ, 76,蛯名正, 1.3, 60,   1,   6, 9, 26.8,④④④
 9,10,Ｋアナザｰスタｰ, 27,江田照, 1.2, 48,*  9, -25, 6, 29.4, ①①, 9, 7,Ｎアタゴコマンダｰ, 57,小野次, 1.3, 64,  -1,   7,13,120.8,⑭⑬⑫, 9, 2, レッツゴｰアテネ,,水出大, 2.5,,,,13,175.4,⑬⑬⑬, 9, 3,Ｋバンダムカｰン, 65,南田雅, 1.3, 66,*  6, -11,12,215.0,②②②
10, 4,Ｎタイムウイズゴｰ,-12,田中博, 1.7, 33, -15, -13,10, 76.9, ⑫⑬,10, 6,Ｌカオリエスペランサ, 57,松岡正, 1.5, 64,  -3,   7, 4, 13.1,⑮⑮⑫,10,11, ジャイアンツエｰル,,白浜雄, 2.7,,,, 4, 17.1,⑪⑪⑨,10, 9,Ｉフェニコｰン, 67,ルメｰ, 1.9, 58,  -5,  13, 1,  3.2,⑨⑩⑪
11,15,Ｈヒシビスタ, 38,小林淳, 1.8, 32,  -3, -24,13,254.6, ⑥⑥,11,13,Ｃニシノフジヤマ, 67,勝浦正, 1.6, 59,   0,   1, 5, 14.8,⑧⑨⑦,11, 1, ミヤビペルセウス,,穂苅寿, 3.3,,,, 2,  3.4,⑤④⑧,11, 7,Ｂビタｰオレンジ, 80,松岡正, 2.0, 57,  -4,  11, 5, 10.6,⑪⑩⑧
12,11,Ｍマイラッキｰ, -4,柴山雄, 1.9, 34, -17, -11,15,383.9, ⑬⑬,12, 2,Ｄウザンホマレオｰ, 66,木幡初, 1.7, 56,*  3,  -5, 9, 23.8,③③④,12,13, メモリｰオブヨｰク,,田中剛, 3.6,,,,12,169.5,⑨⑩⑪,12,10,Ｌトｰセンジョｰカｰ, 62,柴田善, 2.5, 53,  -2,   0,10, 33.3,⑧⑦⑩
13, 7,Ｐパンサｰクリｰク,-60,菊沢隆, 2.0, 30,   1, -30,12,174.2, ⑤⑥,13, 5,Ｏキラウエアシチｰ, 52,柴山雄, 2.0, 55,   0,  -3,15,147.1,⑧⑨⑦,13,12, シルクサラマンダｰ,,江田勇, 4.7,,,,11,143.2,⑨⑨⑪,,,,,,,,,,,,
14, 2,Ｉアサクサロｰタス, 38,蛯名正, 2.0, 31, -12, -18, 5, 10.7, ⑩⑩,14, 9,Ｆダノンマッハ, 62,ペリエ, 2.4, 52,   1,  -7, 3, 12.4,⑤⑥⑦,14,10, ユウタｰアクセス,,蓑島靖,10.9,,,,14,342.1,⑭⑭⑭,,,,,,,,,,,,
15, 9,Ｏコアレスエリｰト,-50,千葉直, 2.3, 20, -19, -19,14,271.0, ⑬⑮,15,10,Ｂアサヒバロン, 70,柴田善, 3.6, 47,  -1, -16, 1,  2.1,⑫⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-2),,,,,,,,,,,
単勝:420円 複勝:14=150円 05=110円 03=170円 枠連:430円,,,,,,,,,,,,単勝:400円 複勝:01=170円 11=410円 04=670円 枠連:530円,,,,,,,,,,,,"単勝:1,940円 複勝:07=280円 06=110円 09=290円 枠連:820円",,,,,,,,,,,,"単勝:460円 複勝:02=190円 11=150円 05=200円 枠連:1,080円",,,,,,,,,,,
馬連:500円 ワイド:05-14=260円 03-14=440円 03-05=320円,,,,,,,,,,,,"馬連:3,010円 ワイド:01-11=1,070円 01-04=1,980円 04-11=6,440円",,,,,,,,,,,,"馬連:1,140円 ワイド:06-07=520円 07-09=1,830円 06-09=560円",,,,,,,,,,,,"馬連:1,260円 ワイド:02-11=520円 02-05=710円 05-11=420円",,,,,,,,,,,
