07年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 4R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.9,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,
 9, 2,Ｆプラチナムペスカ, 49,中村将, 1.0, 45, -26,*  5, 6, 32.3, ⑪⑪, 9, 2,Ｋアマゾンリリｰ, 49,河北通, 0.9, 40, -19,   6,11,146.7,④⑤④, 9,10,Ｇモンプランス, 55,北村友, 1.7, 42, -14,   1, 9, 51.4,⑨⑪⑪, 9, 4,Ｈレグルスキッド, 72,秋山真, 1.0, 50, -13,  10, 3, 12.8,⑫⑬⑬
10, 5,Ｄジョｰユウリ, 51,北村友, 1.1, 41, -13,  -5, 7, 36.1, ⑤⑤,10, 1,Ｉロングコジｰン, 52,吉田隼, 0.9, 41, -20,   8, 9, 44.0,④⑤⑦,10, 1,Ｆメイショウダンケン, 56,渡辺薫, 1.9, 42, -11,  -1, 8, 50.5,⑦⑦⑧,10, 7,Ｉミツワスカイハイ, 71,渡辺薫, 1.0, 48, -10,   7,11, 29.3,⑨⑧⑨
11, 4,Ｋハｰドラビット, 22,渡辺薫, 2.1, 32, -21,  -8,10,215.5, ⑨⑨,11, 5,Ｆマチカネハツネ, 55,浜中俊, 0.9, 37, -19,   3, 7, 19.9,⑧④④,11, 2,Ｋドレックセル, 39,鈴来直, 1.9, 42,  -9,  -4,11, 97.7,⑨⑥④,11, 2,Ｃテイエムサッカｰ, 75,中舘英, 1.3, 41, -10,   1, 8, 23.1,③⑤⑨
12, 6,Ｌトオノクィｰン,-20,二本柳, 2.6, 29, -23, -12,12,256.8, ⑪⑫,12, 4,Ｌトｰアアストラエア, 47,川島信, 1.5, 34, -19,   1,12,167.6,⑦⑤⑨,,,,,,,,,,,,,12, 1,Ｊアグネスヨジゲン, 71,岡部誠, 1.7, 38, -12,  -1, 5, 15.8,⑥⑪⑨
,,,,,,,,,,,,13, 7,Ｊチェイスバニヤン, 51,中舘英, 6.0,-72, -23, -37, 5, 13.0,①⑫⑬,,,,,,,,,,,,,13, 6,Ｆマイネルオレア, 74,川島信, 1.7, 37, -13,  -2, 4, 14.9,⑨⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｐマツリダタロウ, 51,西田雄, 1.7, 39, -17,   6,16,420.3,⑭⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｏミキノマｰベラス, 62,福永祐, 2.7,  5,*-10, -25,13, 38.0,①②④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎスズカフェロｰ, 67,横山典, 7.4, 7.4---,*-10, -94,14, 62.8,③③⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:不良(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:不良(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:不良(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:5),,,,,,,,,,,
単勝:210円 複勝:01=100円 11=110円 10=100円 枠連:410円,,,,,,,,,,,,単勝:280円 複勝:10=150円 08=160円 11=250円 枠連:480円,,,,,,,,,,,,単勝:800円 複勝:03=160円 04=110円 11=170円 枠連:560円,,,,,,,,,,,,単勝:220円 複勝:10=130円 16=150円 05=340円 枠連:420円,,,,,,,,,,,
馬連:470円 ワイド:01-11=160円 01-10=130円 10-11=180円,,,,,,,,,,,,馬連:720円 ワイド:08-10=340円 10-11=510円 08-11=840円,,,,,,,,,,,,"馬連:540円 ワイド:03-04=300円 03-11=1,010円 04-11=330円",,,,,,,,,,,,"馬連:380円 ワイド:10-16=170円 05-10=670円 05-16=1,130円",,,,,,,,,,,
馬単:820円 3連複:260円,,,,,,,,,,,,"馬単:1,560円 3連複:2,120円",,,,,,,,,,,,"馬単:1,660円 3連複:1,720円",,,,,,,,,,,,"馬単:600円 3連複:2,240円 3連単:5,220円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 5R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■ 8R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高松宮記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂワンダｰスタｰ, 56,福永祐,, 63,   8,* -3, 4,  5.5, ⑤⑤, 1, 6,Ａアルカライズ, 63,横山典,, 64, -10,* 13, 1,  2.3,⑦⑥⑥, 1, 2,Ａメイショウジｰゲン, 75,武豊  ,, 71,  10,   0, 1,  1.3,④④③, 1, 8,Ｃスズカフェニックス, 92,武豊  ,,102,  14,* 27, 1,  4.5, ⑦⑤
 2,16,Ｆコスモヴァシュラン, 49,柴田善, 0.5, 54,  -4,*  2, 5, 12.8, ⑮⑬, 2, 4,Ｆトッケンショウブ, 59,武豊  , 0.5, 52,* -8,   4, 2,  3.8,②②①, 2,14,Ｎシルククリムゾン, 49,池添謙, 0.3, 68,  12,  -9,12, 98.5,③②②, 2,17,Ｑペｰルギュント, 76,上村洋, 0.4, 95,  11,  24,13,105.5, ⑪⑪
 3,11,Ｊヒシアスペン, 42,武豊  , 1.1, 55,* 18, -29, 3,  4.7, ①①, 3, 2,Ｈライジングハｰト, 54,大下智, 0.6, 48, -11,   3,11,193.5,③③④, 3, 4,Ｈニュｰスブレイク, 60,横山典, 0.5, 63,   6,  -1, 2,  8.5,⑥⑦⑦, 3,11,Ｂプリサイスマシｰン, 92,安藤勝, 0.4, 93,  15,  19, 2,  4.8, ⑤⑤
 4,14,Ｃアドマイヤフランク, 56,安藤勝, 1.2, 50,* 15, -27, 1,  2.7, ③③, 4, 1,Ｂオイワケウコン, 62,吉田隼, 0.8, 52, -12,   7, 5, 13.3,⑨⑧⑧, 4, 1,Ｆコアレスウィｰク, 61,川島信, 0.5, 68,* 20, -29, 3, 13.5,①①①, 4, 4,Ｈビｰナスライン, 86,秋山真, 0.5, 96,   1,* 31,11, 38.5, ⑱⑱
 5, 2,Ｋドライマティｰニ, 42,須貝尚, 1.2, 44,  -1, -12, 7, 34.2, ⑫⑨, 5, 3,Ｄアイアイスピｰチ, 61,田中勝, 0.8, 53, -12,   8, 3,  5.4,⑪⑧⑧, 5,10,Ｂウィングドフォｰス, 74,浜中俊, 0.5, 61,   9, -13, 5, 22.6,②②③, 5,16,Ｉオレハマッテルゼ, 85,後藤浩, 0.6, 88,* 19,  13, 6, 11.9, ③③
 6,12,Ｌバクシンセイコｰ, 39,中村将, 1.2, 41,   4, -19, 8, 52.4, ⑥⑥, 6, 9,Ｅホッコｰランチャｰ, 61,渡辺薫, 0.8, 53, -12,   8, 6, 14.1,⑦⑧⑧, 6, 3,Ｇマチカネヒザマル, 61,柴田善, 0.5, 63,   4,*  4, 7, 32.5,⑧⑧⑩, 6, 9,Ａマイネルスケルツィ, 93,柴田善, 0.6, 91,  13,  19, 4,  6.2, ⑧⑧
 7, 8,Ｇイソノクイｰン, 47,北村友, 1.3, 39,   3, -21, 6, 20.8, ⑥⑥, 7, 8,Ｃダカｰルシチｰ, 61,池添謙, 1.0, 47, -11,   3, 4,  5.9,⑨⑥⑥, 7,15,Ｃサクラトレゾア, 64,吉田稔, 0.6, 62,   4,   2,10, 55.4,⑬⑧⑧, 7,12,Ｄエムオｰウイナｰ, 89,小牧太, 0.7, 86,* 20,  10, 3,  5.4, ②②
 8, 7,Ａクレバｰデュｰク, 61,小牧太, 1.3, 53,* 18, -32, 2,  4.0, ②②, 8, 7,Ｊシンライ, 49,福永祐, 1.1, 45,* -9,  -1, 9, 71.2,③③③, 8, 6,Ｊマルタカデトリア, 59,西田雄, 0.6, 62,   2,*  5, 8, 42.3,⑪⑪⑪, 8, 1,Ｍシｰイズトウショウ, 80,池添謙, 0.7, 87,  17,  13, 5,  6.5, ④③
 9, 3,Ｐダイシンラボス, 36,岡部誠, 1.4, 41,   5, -21,10, 60.1, ⑥⑥, 9, 5,Ｉチャンプイズヒア, 51,北村友, 1.1, 42,* -9,  -4, 8, 70.1,①①②, 9, 8,Ｄマコトジョワイユｰ, 62,秋山真, 0.6, 61,   1,*  8, 9, 45.0,⑮⑬⑫, 9,14,Ｏリキアイタイカン, 78,中舘英, 0.7, 91,   4,* 25,15,163.5, ⑮⑯
10, 9,Ｄヒルノファンタジｰ, 53,小林久, 1.4, 41,  -1, -15,11, 87.8, ⑫⑬,10,11,Ｇマッキｰチャンス, 58,畑端省, 1.4, 42, -10,  -3,10, 99.2,⑤③④,10,16,Ｋメイショウハヤボシ, 57,福永祐, 0.7, 62,   8,  -8,11, 77.1,⑦⑥⑥,10,13,Ｇタマモホットプレイ, 87,渡辺薫, 0.7, 90,   8,  22,12, 85.5, ⑭⑬
11,18,Ｍブライティアポｰチ, 38,荻野琢, 1.5, 36,   0, -21,18,683.4, ⑨⑨,11,10,Ｋクリノフィナｰレ, 37,小牧太, 1.8, 41, -13,  -1, 7, 51.1,⑤⑪⑪,11,12,Ｅセブンスアンコｰル, 62,中村将, 0.9, 57,   4,  -5, 4, 15.5,⑨⑧⑧,11, 5,Ｅディバインシルバｰ, 89,穂苅寿, 1.0, 80,* 22,   4,14,113.9, ①①
12,10,Ｎデンコウレジｰナ, 38,池添謙, 1.6, 41,  11, -30, 9, 55.9, ④④,,,,,,,,,,,,,12,11,Ｉショウナンタイトル, 60,田中勝, 1.0, 60,  11, -17, 6, 28.0,④④③,12, 7,Ｋスピニングノアｰル, 83,福永祐, 1.1, 81,  11,  13,10, 34.4, ⑪⑧
13, 6,Ｑリアルワｰス, 12,横山典, 1.6, 38,   2, -21,12,151.8, ⑨⑨,,,,,,,,,,,,,13, 5,Ｍテントゥワン, 56,二本柳, 1.3, 55,   1,   0,13,106.9,⑬⑮⑮,13, 2,Ｆアンバｰジャック, 88,横山典, 1.2, 79,  13,  10, 7, 20.7, ⑧⑧
14, 4, サチノマイタｰン,---,佐藤聖, 1.7, 36, -11, -14,15,381.7, ⑰⑯,,,,,,,,,,,,,14, 7,Ｏアラビックリｰダｰ, 48,佐藤聖, 3.1, 39,   1, -34,15,212.1,⑪⑪⑫,14, 3,Ｊサチノスイｰティｰ, 85,吉田隼, 1.2, 78,  16,   7, 9, 22.5, ⑤⑤
15, 1,Ｏフロｰラルポケット, 37,西田雄, 1.9, 34,   2, -26,17,506.7, ⑨⑨,,,,,,,,,,,,,15,13,Ｌキシュウティアラ, 56,後藤浩, 3.2, 41,   2, -32,14,127.9,⑮⑬⑭,15,15,Ｎコスモフォｰチュン, 78,川島信, 1.2, 79,   9,  13,16,193.4, ⑪⑬
16,13,Ｉエスケｰビリｰヴ, 42,吉田隼, 2.0, 31, -12, -14,14,361.3, ⑱⑱,,,,,,,,,,,,,16, 9,Ｐライブリチチカカ, 39,渡辺薫, 3.8, 38,   0, -36,16,303.6,⑨⑮⑯,16, 6,Ｒキｰンランドスワン, 67,吉田稔, 1.4, 76,   6,  13,17,228.7, ⑮⑬
17, 5,Ｈエアロバティックス, 46,穂苅寿, 2.2, 32,  -1, -27,13,261.6, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｌスリｰアベニュｰ, 81,田中勝, 1.5, 74,   6,  11, 8, 22.2, ⑮⑯
18,17,Ｅテイエムアイガテ, 49,嘉藤貴, 2.3, 31,  -4, -26,16,454.5, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｐモンロｰブロンド, 77,岡部誠, 2.3, 60,  12,  -7,18,234.2, ⑧⑪
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:不良(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:98 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:重(指数:4),,,,,,,,,,,
"単勝:550円 複勝:15=210円 16=330円 11=190円 枠連:1,060円",,,,,,,,,,,,"単勝:230円 複勝:06=130円 04=170円 02=1,980円 枠連:530円",,,,,,,,,,,,"単勝:130円 複勝:02=110円 14=1,070円 04=170円 枠連:2,470円",,,,,,,,,,,,"単勝:450円 複勝:08=180円 17=2,040円 11=180円 枠連:1,790円",,,,,,,,,,,
"馬連:2,550円 ワイド:15-16=810円 11-15=600円 11-16=820円",,,,,,,,,,,,"馬連:600円 ワイド:04-06=280円 02-06=3,610円 02-04=6,740円",,,,,,,,,,,,"馬連:5,690円 ワイド:02-14=1,870円 02-04=230円 04-14=4,900円",,,,,,,,,,,,"馬連:40,250円 ワイド:08-17=6,770円 08-11=390円 11-17=11,860円",,,,,,,,,,,
"馬単:4,060円 3連複:3,360円",,,,,,,,,,,,"馬単:1,080円 3連複:19,370円",,,,,,,,,,,,"馬単:7,120円 3連複:9,390円",,,,,,,,,,,,"馬単:52,980円 3連複:69,690円 3連単:546,450円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,,■ 6R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 9R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■12R  ダ1700m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,はなのき賞,,,,,,,,,,,,伊勢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅスズカストロング, 54,生野賢,, 65,*-12,* 19, 4,  9.6,④④④, 1, 7,Ｃメイショウヒミコ, 66,飯田祐,, 68,*  2,   5, 2,  4.0, ②②, 1, 7,Ｂユｰチャリス, 71,福永祐,, 82,* 25,  -6, 3,  6.6, ②①, 1, 6,Ｂパｰプルイｰグル, 78,吉田稔,, 74,   0,* 12, 3,  4.0,⑤④④
 2,14,Ｃケイアイケイマン, 57,武豊  , 0.0, 61,*-11,  16, 2,  3.1,②②②, 2, 5,Ａウインカスケｰド, 69,横山典, 0.1, 66,*  5,   2, 1,  2.1, ①①, 2, 1,Ａアロｰプラネット, 79,池添謙, 0.2, 74,  21,  -5, 1,  2.2, ⑤③, 2,14,Ｆウォｰタｰダッシュ, 73,武豊  , 0.2, 68,*  2,   7, 1,  3.0,③①①
 3, 6, クロチェｰラ,---,小牧太, 0.3, 70, -16,* 24, 5, 14.2,⑬⑪⑨, 3, 4,Ｅミラキュラス, 59,小牧太, 0.8, 55,  -6,   2, 5, 11.5, ⑤⑤, 3,12,Ｃメイショウバレｰヌ, 69,後藤浩, 0.9, 64,  21, -15, 4,  7.3, ⑤⑥, 3, 8,Ｈアイアンキング, 69,小牧太, 0.4, 69,   0,*  9, 5, 12.9,⑧⑥⑤
 4,16, ゼンノベリル,---,中村将, 0.5, 49,*-14,  10,11,118.0,④④④, 4, 3,Ｈメダルハンタｰ, 56,吉田稔, 0.9, 55,  -8,   2, 7, 14.5, ⑤⑤, 4, 5,Ｄネバｰチェンジ, 63,武豊  , 1.1, 62,  -1,*  3, 2,  5.1, ⑰⑫, 4,11,Ａビッグクラウン, 79,安藤勝, 0.4, 67,   1,   7, 2,  3.6,③③②
 5,12,Ｆアドマイヤハｰト, 53,福永祐, 0.6, 47,*-10,   6, 3,  4.4,②①①, 5,12,Ｄスペクタクル, 59,福永祐, 0.9, 54,  -1,  -2, 6, 12.4, ③③, 5,11,Ｇコアレスリｰヴァ, 58,荻野琢, 1.2, 64,* 25, -24,10, 46.8, ①②, 5, 3,Ｌゼットコマンダｰ, 64,池添謙, 0.9, 64,  -2,   7,12, 84.4,⑤⑩⑦
 6,18,Ａミッキｰラブ, 62,安藤勝, 0.8, 50, -14,  12, 1,  2.5,⑩⑦⑥, 6, 1,Ｆゲイリｰブリリアン, 58,池添謙, 1.0, 51,   0,  -4, 9, 61.9, ③③, 6, 4,Ｅリッタｰヴォルト, 60,上村洋, 1.2, 59,  21, -20, 5, 11.9, ⑤③, 6, 5,Ｍアグネスクラウン, 62,福永祐, 1.0, 62,  -1,   5, 9, 42.1,⑩⑧⑦
 7, 8,Ｍマルブツファｰスト, 39,上村洋, 0.9, 43,*-10,   2, 8, 65.4,①②②, 7,13,Ｌヤマノジャスティス, 48,二本柳, 1.0, 55, -19,*  8, 8, 45.1, ⑪⑪, 7, 2,Ｆグッドヘラクレス, 59,柴田善, 1.3, 56,   5,  -6, 7, 31.0, ⑪⑨, 7, 7,Ｋメモリｰガリソン, 66,横山典, 1.0, 67,  -4,* 11,10, 58.4,⑯⑬⑬
 8,11,Ｈエプソムブラスト, 43,渡辺薫, 1.1, 44, -14,   7,16,270.0,⑦⑦⑥, 8,10,Ｇフリｰダムホｰク, 58,田中勝, 1.1, 52, -13,   3, 4, 10.5, ⑧⑧, 8, 3, ステラクッキｰ,---,北村浩, 1.3, 54,  10, -11,14,149.2, ⑨⑧, 8,13,Ｊグレイトアロｰ, 68,河北通, 1.2, 60,  -2,   5,13,117.4,⑫⑩⑩
 9, 2,Ｇテイエムメガミ, 47,北村友, 1.2, 51, -21,* 16,10, 99.7,⑯⑮⑭, 9, 2,Ｂメイショウシラヌイ, 66,後藤浩, 1.1, 52, -13,   3, 3,  8.4, ⑧⑦, 9,15,Ｌメイショウバルドル, 45,高橋亮, 1.3, 61,* 24, -24, 9, 43.3, ③③, 9,15,Ｇインスパイアリング, 71,渡辺薫, 1.3, 57,   1,  -1, 4,  9.2,⑤④⑤
10,13,Ｄアイスランドポピｰ, 55,吉田稔, 1.5, 38, -15,   3, 6, 33.2,⑦⑨⑨,10, 9,Ｊワンダｰルビアノ, 50,田中克, 1.2, 49, -22,*  6,12,144.1, ⑬⑬,10, 6,Ｈロックアスリｰト, 58,田中勝, 1.3, 57,   2,* -3,11, 60.7, ⑮⑫,10,10,Ｅリワｰドジオン, 74,嘉藤貴, 1.6, 58,  -5,   5, 8, 41.9,⑭⑬⑬
11, 9,Ｋロｰレルアクシス, 41,田中勝, 1.5, 38, -13,   0, 9, 68.7,⑥⑥⑥,11, 6,Ｋパワｰホｰル, 49,岡部誠, 1.5, 46, -18,   2,10, 68.1, ⑪⑪,11,16,Ｐジツリキドンドン, 38,秋山真, 1.9, 49,   5, -15, 8, 32.4, ⑪⑨,11, 4,Ｄラブリネスオブパリ, 74,田中勝, 1.8, 54,  -4,   1,11, 67.7,⑩⑫⑫
12, 1,Ｉクエストタイム, 43,岡部誠, 1.8, 37, -17,   4, 7, 55.7,⑮⑫⑫,12, 8,Ｉメイショウダコタ, 53,浜中俊, 2.1, 36, -11, -11,11,113.1, ⑦⑧,12, 9,Ｍメガミムｰン, 44,吉田稔, 2.0, 48,   3, -15,15,313.7, ⑬⑮,12, 2,Ｉゴｰルドイモン, 68,上村洋, 2.0, 50,  -1,  -5, 7, 36.2,②⑧⑩
13, 7,Ｏグラマラスドｰル, 36,穂苅寿, 2.2, 36, -15,  -6,17,392.7,⑪⑨⑨,13,11,Ｍアジュディバビデブ, 47,北村友, 2.2, 35, -14, -10,13,176.1, ⑧⑩,13,10,Ｎハｰドリレｰ, 40,北村友, 2.0, 48,   4, -15,12,111.3, ⑬⑮,13,12,Ｏトップコｰナｰ, 57,北村友, 2.0, 56,  -7,   5,14,118.5,⑫⑮⑮
14, 4,Ｌアタゴヘイロｰ, 39,吉田隼, 2.3, 34, -17,  -3,12,191.3,⑪⑫⑫,,,,,,,,,,,,,14,18,Ｋシャイナムスメ, 51,浜中俊, 2.3, 44,  22, -38,13,127.9, ③⑥,14, 1,Ｎオレンジアロマ, 58,吉田隼, 2.0, 55,  -7,   5,16,167.3,⑭⑮⑮
15, 5,Ｊオｰミメリッサ, 42,的場勇, 2.7, 28, -22,  -5,13,241.4,⑦⑯⑯,,,,,,,,,,,,,15,17,Ｉコパノスケ, 55,渡辺薫, 3.0, 32,   2, -29, 6, 12.8, ⑮⑫,15, 9,Ｐクリノゴｰルド, 55,北村浩, 2.1, 51,*  2, -12,15,165.3,①②②
