07年 9月 8日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月 8日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.0,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,
 9, 9,Ｊアドマイヤワイド, 20,芹沢純, 1.0, 43,  -7, -11, 6, 14.5,⑨⑧⑨, 9,16,Ｎショワサｰジュ, 37,黛弘人, 1.1, 43, -15,  -4,15,163.5, ⑭⑮, 9, 7,Ｋスｰパｰパンサｰ, 46,勝浦正, 1.3, 43,  -9,  -6,10, 86.6, ⑫⑩,,,,,,,,,,,,
10, 7,Ｌニュｰロザリオ, 12,池添謙, 1.2, 40, -13,  -5,11,105.1,⑫⑫⑪,10,15,Ｂアッソルｰト, 65,武幸四, 1.1, 47,  -9,  -7, 4, 10.1, ⑩⑪,10, 1,Ｉメディアスナイパｰ, 50,小林徹, 1.3, 43,  -7,  -7,11,107.2, ⑨⑧,,,,,,,,,,,,
11,12,Ｂマイネアルデュｰル, 49,津村明, 1.4, 39,* -3, -23, 4,  8.4,②②④,11,14,Ｇキングケイザンオｰ, 58,佐藤聖, 1.3, 39,  -9, -13, 7, 17.5, ⑤⑥,11, 2,Ｃテイエムビｰスト, 67,的場勇, 1.4, 48,*  4, -18, 6, 42.4, ①②,,,,,,,,,,,,
12, 8,Ｋハナヤッコ, 16,佐藤聖, 5.1,-23,  -6, -77,12,158.6,⑦④⑫,12,13,Ｈイソノクイｰン, 56,小林徹, 1.3, 44,*  0, -19, 9, 24.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,10,Ｋスピリットライアン, 50,菊沢隆, 1.4, 42, -10, -10,13, 62.7, ⑩⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 7,Ｍシルクイシュタｰル, 38,津村明, 2.1, 31,  -7, -23,12, 62.1, ⑤⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 4,Ｌトラストリベンジ, 46,古川吉, 2.3, 28,  -6, -28,16,212.0, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｏフレンドリｰマルス, 37,川島信, 2.6, 24,  -7, -31,14,147.1, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-36 ﾚｰｽｱｶﾞﾘ指数:+22 馬場:良(指数:0),,,,,,,,,,,
"単勝:220円 複勝:03=110円 01=1,120円 02=180円 枠連:7,600円",,,,,,,,,,,,"単勝:220円 複勝:05=120円 06=460円 08=540円 枠連:2,970円",,,,,,,,,,,,"単勝:220円 複勝:03=130円 04=330円 12=200円 枠連:2,410円",,,,,,,,,,,,単勝:310円 複勝:06=210円 05=300円 枠連:0円,,,,,,,,,,,
"馬連:5,640円 ワイド:01-03=2,130円 02-03=270円 01-02=2,690円",,,,,,,,,,,,"馬連:2,690円 ワイド:05-06=1,170円 05-08=1,410円 06-08=4,410円",,,,,,,,,,,,"馬連:2,050円 ワイド:03-04=610円 03-12=380円 04-12=1,660円",,,,,,,,,,,,"馬連:1,110円 ワイド:05-06=340円 04-06=240円 04-05=360円",,,,,,,,,,,
"馬単:11,080円 3連複:7,560円",,,,,,,,,,,,"馬単:3,930円 3連複:19,060円",,,,,,,,,,,,"馬単:2,570円 3連複:4,010円",,,,,,,,,,,,"馬単:2,090円 3連複:1,080円 3連単:5,470円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■11R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVh賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａメイショウゴルゴ, 57,古川吉,, 64,* -7,*  7, 3,  4.5, ②②, 1,14, ナンヨｰサンライズ,---,柴山雄,, 49,   1,*-17, 3,  8.6,⑦④⑤, 1, 7,Ｅウインボｰルド, 68,藤田伸,, 66,  -1,  11, 2,  2.5,③③⑤, 1, 4,Ｅリファインドボディ, 73,武幸四,, 73,*  1,  17, 2,  3.6,①①①
 2,10,Ｃテルミヌス, 55,安藤勝, 0.2, 62, -12,*  8, 2,  3.7, ③③, 2, 9, サクラグロｰリｰ,---,安藤勝, 0.1, 48,*  3, -23, 2,  2.5,②②②, 2, 1,Ａクリスタルルｰジュ, 71,的場勇, 0.0, 69,  -4,* 14, 5, 13.0,⑥⑥⑦, 2, 2,Ｄフェラｰリセブン, 74,藤田伸, 0.0, 77,  -2,* 21, 3,  3.7,②③③
 3, 6,Ｉアンティシペイタｰ, 38,勝浦正, 0.6, 55, -16,*  7, 9, 50.5, ④④, 3, 2, キクノフレア,---,武幸四, 0.1, 48,*  2, -21, 6, 23.9,⑤②③, 3, 4,Ｄステイトリｰデイズ, 69,勝浦正, 0.0, 66,  -1,  11, 4,  9.4,③③③, 3, 5,Ｂマイハッピｰクロス, 78,池添謙, 0.0, 78,  -3,* 22, 4,  7.0,④⑤⑥
 4, 8,Ｂエアルｰア, 56,藤田伸, 0.8, 52, -18,   6, 1,  2.9, ⑥④, 4, 3, ショウサンマグナ,---,芹沢純, 0.3, 45,  -1, -18, 7, 25.3,⑧⑦⑦, 4, 2,Ｆナムラクック, 65,武幸四, 0.1, 69,  -1,  13, 3,  6.6,⑦⑥⑦, 4, 1,Ａレｰザｰズエッジ, 80,勝浦正, 0.1, 77,  -2,* 22, 1,  2.4,⑥⑤③
 5, 2,Ｅテンジンミサキオｰ, 52,黛弘人, 0.8, 47,* -6,  -4, 5, 10.8, ①①, 5,11, シルクハリアｰ,---,津村明, 0.3, 44,  -5,* -9, 8, 41.8,⑫⑪⑨, 5, 5,Ｂゲイルバニヤン, 70,安藤勝, 0.1, 64,*  1,   7, 1,  2.4,②②②, 5, 6,Ｆクｰルダンサｰ, 64,菊沢隆, 0.5, 62,  -2,  11, 6, 21.1,④③②
 6, 7,Ｆエクレｰルブラン, 50,津村明, 1.7, 39, -26,   2, 7, 24.4, ⑧⑦, 6, 1, ゼットスピｰル,---,藤田伸, 0.3, 46,*  3, -26, 1,  2.5,①①①, 6,11,Ｊマイネルデネブ, 54,芹沢純, 0.1, 71,  -4,* 15, 7, 48.2,⑨⑨⑤, 6, 3,Ｃネヴァｰトルネｰド, 74,梶晃啓, 1.4, 55,*  0,  -2, 5, 13.9,②②③
 7,12,Ｈリキアイアチｰブ, 45,菊沢隆, 1.7, 39, -16,  -5, 6, 23.1, ④⑥, 7,12, トｰアヘンリｰ,---,勝浦正, 0.4, 44,*  1, -24, 9, 44.4,⑤④③, 7, 9,Ｇラｰドロランダム, 60,柴山雄, 0.2, 61,* -1,   6, 6, 32.6,③③③, 7, 7,Ｇオｰスミダンスイン, 60,津村明, 2.1, 50,  -4, -10, 7, 52.5,⑥⑤⑦
 8,11,Ｊセレブレイトアゲン, 37,柴山雄, 2.0, 36, -21,  -5,12,293.8, ⑦⑧, 8, 4, ドンルｰチェ,---,北村浩, 0.6, 42,  -2, -20,12,101.4,⑪⑩⑨, 8, 6,Ｈメジロスパイダｰ, 60,津村明, 0.2, 70,  -3,  15,10, 73.2,⑨⑨⑩,,,,,,,,,,,,
 9, 1,Ｌネヴァゾンタｰク, 23,竹之下, 2.3, 32, -31,  -1,11,279.8, ⑨⑨, 9, 7, マヤノテムジン,---,小林徹, 0.7, 41,  -1, -24, 4,  9.0,⑧⑦⑦, 9,10,Ｉノボプレゼンス, 55,田辺裕, 0.7, 56,*  2,  -3,11,109.8,①①①,,,,,,,,,,,,
10, 9,Ｋスプリングハウル, 36,北村友, 2.7, 28, -38,  -2,10, 83.8, ⑩⑩,10,13, カワチノオジサン,---,池添謙, 1.2, 36,   1, -35, 5, 18.8,③④⑤,10, 8,Ｃヤクモキャット, 69,川島信, 0.7, 57,  -1,   4, 8, 53.3,⑦⑥⑦,,,,,,,,,,,,
11, 3,Ｇユディット, 47,池崎祐, 2.9, 25, -39,  -5, 8, 44.9, ⑩⑩,11,10, ビッグホｰン,---,北村友, 1.6, 31,  -2, -38,11, 94.0,④⑦⑨,11, 3,Ｋアドマイヤテイオｰ, 51,池添謙, 1.2, 53,  -4,   4, 9, 67.9,⑪⑪⑩,,,,,,,,,,,,
,,,,,,,,,,,,12, 8, セトノｰブル,---,古川吉, 1.8, 32,  -6, -30,10, 63.5,⑩⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 5, スズカニｰル,---,松田大, 2.1, 31, -10, -26,13,105.1,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 6, サイザンス,---,川島信, 4.1,-28, -18, -41,14,137.3,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,
"単勝:450円 複勝:05=210円 10=160円 06=1,350円 枠連:690円",,,,,,,,,,,,単勝:860円 複勝:14=220円 09=140円 02=310円 枠連:890円,,,,,,,,,,,,"単勝:250円 複勝:07=160円 01=270円 04=250円 枠連:1,480円",,,,,,,,,,,,単勝:360円 複勝:04=190円 02=190円 枠連:0円,,,,,,,,,,,
"馬連:690円 ワイド:05-10=380円 05-06=3,260円 06-10=2,870円",,,,,,,,,,,,"馬連:1,640円 ワイド:09-14=680円 02-14=2,460円 02-09=1,240円",,,,,,,,,,,,"馬連:1,920円 ワイド:01-07=640円 04-07=530円 01-04=980円",,,,,,,,,,,,馬連:650円 ワイド:02-04=290円 04-05=400円 02-05=410円,,,,,,,,,,,
"馬単:1,830円 3連複:11,410円",,,,,,,,,,,,"馬単:3,660円 3連複:7,520円",,,,,,,,,,,,"馬単:2,700円 3連複:3,790円",,,,,,,,,,,,"馬単:1,250円 3連複:1,000円 3連単:4,740円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.2,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,礼文特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂマルタｰズストｰム, 58,藤田伸,, 54,* -5,   0, 1,  2.6,②②②, 1,12,Ａコンゴウマドンナ, 68,津村明,, 62,* -5,  11, 2,  3.7,②②②, 1, 4,Ｃファンドリゲット, 66,北村友,, 66, -13,* 17, 4,  7.0,③⑤②, 1, 3,Ｍタイキマｰズ, 59,津村明,, 76,   0,* 15, 5, 14.0, ⑩⑧
 2,12,Ａトゥルｰノｰス, 59,北村友, 0.0, 54,* -6,   0, 2,  3.9,④④④, 2, 5,Ｃニットウサラン, 64,小林徹, 0.4, 66, -11,* 17, 5,  9.7,⑨⑦⑥, 2, 2,Ｆレイジングザバｰ, 64,藤田伸, 0.4, 57,*-10,  11, 3,  4.9,①①①, 2, 8,Ａコスモベル, 78,柴山雄, 0.0, 75,  -7,* 21, 3,  7.5, ⑬⑭
 3,11,Ｋランドマッハ, 47,北村浩, 0.1, 57,  -8,*  4,10, 49.6,⑪⑦⑦, 3, 7,Ｇラインジュエル, 61,藤田伸, 0.4, 63, -11,* 15, 1,  2.8,⑤⑤④, 3, 5,Ａトウショウアラジン, 68,伊藤直, 0.4, 59, -11,  13, 2,  4.1,⑤⑤⑤, 3, 9,Ｂコアレスストｰム, 71,佐藤聖, 0.1, 76,* 14,   0, 2,  5.8, ②②
 4, 2,Ｆケルビック, 52,古川吉, 0.3, 56,  -9,*  4, 7, 26.3,⑨⑩⑫, 4, 3,Ｄエイダイタカラブネ, 63,菊沢隆, 0.5, 64, -11,* 16, 3,  5.7,⑦⑦⑥, 4, 3,Ｅインスパイアリング, 64,小林徹, 0.5, 59, -12,  13, 6,  8.6,⑥⑤⑤, 4, 4,Ｎナリタトパｰズ, 56,河北通, 0.1, 74,   6,   7,10, 35.1, ⑥⑥
 5, 9,Ｈアグネスゼッセイ, 50,武幸四, 0.3, 57,  -9,*  5, 9, 40.6,⑪⑫⑩, 5, 9,Ｂヘンメイレン, 64,的場勇, 0.7, 54, -10,   8, 6, 12.8,④④④, 5, 8,Ｊチェイスバニヤン, 50,梶晃啓, 0.8, 51,*-10,   7,10, 56.9,②②②, 5,11,Ｉケイエスショｰキ, 62,小林徹, 0.2, 72,  -2,* 13, 6, 15.4, ⑪⑪
 6, 1,Ｅタガノアサヒ, 53,池添謙, 0.5, 49,  -6,  -3, 5, 13.8,⑤④④, 6,10,Ｊアｰリｰオｰタム, 53,須貝尚, 0.9, 51,* -5,   1, 8, 34.8,①①①, 6, 9,Ｄマイネルランプロス, 64,柴山雄, 1.2, 47, -11,   4, 1,  3.7,⑥④⑤, 6,14,Ｃセンザイイチグウ, 68,勝浦正, 0.3, 71,   2,   7, 8, 21.2, ⑧⑦
 7, 5,Ｄプラネタリｰリング, 56,安藤勝, 0.5, 48,* -4,  -6, 3,  5.0,①①①, 7, 2,Ｉヨイチイｰスト, 55,梶晃啓, 1.0, 55, -11,  11, 9, 43.3,⑦⑦⑥, 7, 7,Ｂマイネルハヤト, 67,武幸四, 1.9, 40, -14,   0, 5,  8.5,⑧⑧⑧, 7, 1,Ｈレッドディクシｰ, 62,川島信, 0.3, 72,  11,   0, 4,  7.6, ④④
 8, 7,Ｉメジロラスタバン, 50,菊沢隆, 0.6, 48,  -6,  -4, 8, 36.9,⑥④④, 8, 6,Ｅドリｰムアプロｰチ, 63,安藤勝, 1.1, 60, -14,* 16, 4,  9.1,⑬⑪⑪, 8,10,Ｇヒカルクロフネ, 60,菊沢隆, 2.1, 41,*-11,  -7, 7, 11.4,③②②, 8,13,Ｇユｰクロニア, 64,北村友, 0.5, 68,  -2,   9,12, 50.6, ⑪⑩
 9, 6,Ｌアポロエンジェル, 41,津村明, 0.8, 49,  -9,   0,12, 73.9,⑪⑫⑩, 9,11,Ｈアジアン, 58,北村浩, 1.3, 54, -13,  12,10, 60.0,⑨⑩⑨, 9, 6,Ｋベルモントメビウス, 47,黛弘人, 2.4, 36, -17,  -1,11,138.9,⑪⑪⑧, 9, 2,Ｌプレｰザヒｰロｰ, 60,松田大, 0.5, 69,* 15,  -8, 9, 26.9, ②②
10, 4,Ｇナイスセレクトワン, 50,的場勇, 0.9, 43,  -9,  -7,11, 70.1,⑥⑦⑦,10, 4,Ｋアドラｰブルキス, 48,柴山雄, 1.5, 47,* -6,  -3,11, 64.9,②③③,10,11,Ｈアイアムジュピタｰ, 57,芹沢純, 2.5, 37, -14,  -5, 9, 41.5,⑧⑧⑧,10,12,Ｏウイングマシェリ, 54,的場勇, 0.6, 67,   1,   5,15,151.2, ⑧⑪
11, 3,Ｃジョｰリゴラス, 56,柴山雄, 1.0, 44,  -7,  -6, 4,  7.0,⑧⑦⑦,11, 8,Ｆニシノフェリｰチェ, 62,池添謙, 2.7, 42, -10,  -9, 7, 13.7,⑤⑤⑨,11, 1,Ｉリキュウ, 54,勝浦正, 2.6, 37, -15,  -5, 8, 36.7,⑧⑩⑪,11,10,Ｊアトス, 61,武幸四, 0.7, 65,  -5,   9,11, 38.8, ⑬⑬
12,10,Ｊキングガイア, 50,勝浦正, 1.7, 38,* -6, -18, 6, 21.0,③②②,12,13,Ｌキョウコマチ, 40,小原義, 3.2, 37, -16,  -2,12,217.5,⑨⑫⑫,,,,,,,,,,,,,12, 7,Ｄグレｰトモア, 68,伊藤直, 0.9, 62,  -7,   8,14,135.3, ⑬⑮
13,13,Ｍコアレスカンパニｰ, 35,丸田恭, 2.5, 34, -10, -21,13,255.1,⑨⑩⑫,13, 1,Ｍヘクタｰハイツ, 39,黛弘人, 4.0, 32, -18, -11,13,228.3,⑨⑫⑬,,,,,,,,,,,,,13,15,Ｅマイニングゴｰルド, 64,藤田伸, 1.1, 59,  10, -12, 1,  2.3, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｆトランプ, 64,芹沢純, 1.3, 56,   5, -11,13, 58.8, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｋビッグユニット, 61,古川吉, 1.6, 53,* 17, -26, 7, 19.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:稍重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,
単勝:260円 複勝:08=130円 12=160円 11=660円 枠連:480円,,,,,,,,,,,,"単勝:370円 複勝:12=140円 05=210円 07=150円 枠連:1,340円",,,,,,,,,,,,"単勝:700円 複勝:04=210円 02=170円 05=140円 枠連:1,810円",,,,,,,,,,,,"単勝:1,400円 複勝:03=340円 08=230円 09=240円 枠連:1,340円",,,,,,,,,,,
"馬連:470円 ワイド:08-12=210円 08-11=1,450円 11-12=2,110円",,,,,,,,,,,,"馬連:1,160円 ワイド:05-12=530円 07-12=310円 05-07=730円",,,,,,,,,,,,"馬連:1,440円 ワイド:02-04=560円 04-05=450円 02-05=440円",,,,,,,,,,,,"馬連:4,640円 ワイド:03-08=1,550円 03-09=980円 08-09=980円",,,,,,,,,,,
"馬単:850円 3連複:5,420円",,,,,,,,,,,,"馬単:1,950円 3連複:1,950円",,,,,,,,,,,,"馬単:3,340円 3連複:1,860円 3連単:12,460円",,,,,,,,,,,,"馬単:11,090円 3連複:8,930円 3連単:62,570円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
