07年 4月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.0,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
 9, 2, ラインクロス,---,小林淳, 6.9,-78, -25, -44, 9,139.5, ⑨⑨, 9, 2, スプリングデザｰト,---,岩部純, 4.4, 33,  -6, -26,11, 99.3,⑪⑪⑪, 9,11,Ｉウインミッション, 61,和田竜, 1.5, 57,   2,  -5, 4,  9.5,⑥⑧⑧, 9, 2,Ｎワンダｰハヤブサ, 74,大庭和, 0.9, 78,  -3,* 17,14,114.3, ⑬⑬
,,,,,,,,,,,,10, 9,Ｄラティエラ, 45,蛯名正, 4.4, 33,  -6, -26, 5,  7.5,⑨⑪⑪,10, 5,Ｌヘヴンリｰビｰナス, 56,勝浦正, 1.6, 57,*  5, -13,12, 83.1,②②③,10, 1,Ｆトｰセンブレイク, 87,勝浦正, 1.0, 74,   7,   9, 2,  3.9, ⑦⑨
,,,,,,,,,,,,11, 1, ケｰジｰユタカ,---,小林淳, 5.3, 29,  -5, -37,12,102.9,⑤⑨⑩,11, 9,Ｋステラディクオｰレ, 58,田中勝, 1.7, 54,   0,  -5, 8, 33.1,⑪⑩⑪,11,12,Ｇイアラユｰラシア, 86,小林淳, 1.2, 67,   4,   6, 8, 41.0, ⑦⑨
,,,,,,,,,,,,12, 7, ヒラシャイン,---,北村宏, 5.6, 27,  -3, -44, 3,  6.5,⑦⑥⑦,12,14,Ｊアサクサポインタｰ, 60,松岡正, 1.8, 53,   2, -12, 9, 36.8,②⑥⑧,12, 5,Ｅサンアディユ, 87,菊沢隆, 1.3, 66,* 13,  -1,10, 45.7, ②③
,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｎオリエンタルビｰチ, 43,小林淳, 2.2, 47,  -4,  -7,14,128.5,⑪⑮⑭,13, 8,Ｌダブルアップ, 79,武士沢, 1.4, 70,  -4,  13,11, 65.4, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｍオリエンタルブロｰ, 52,田中剛, 2.4, 44,  -2, -13,15,424.7,⑭⑫⑬,14, 4,Ｄウイングシチｰ, 87,蛯名正, 1.6, 63,   8,   0, 7, 21.4, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｅホリノフラワｰ, 66,江田照, 2.9, 39,  -2, -21,10, 55.3,⑥⑫⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:-4),,,,,,,,,,,
"単勝:310円 複勝:08=160円 05=420円 06=380円 枠連:2,510円",,,,,,,,,,,,"単勝:350円 複勝:03=140円 05=380円 04=130円 枠連:2,460円",,,,,,,,,,,,単勝:690円 複勝:02=180円 04=110円 10=170円 枠連:310円,,,,,,,,,,,,"単勝:1,370円 複勝:13=340円 11=150円 10=720円 枠連:580円",,,,,,,,,,,
"馬連:2,230円 ワイド:05-08=750円 06-08=700円 05-06=1,760円",,,,,,,,,,,,"馬連:3,460円 ワイド:03-05=1,020円 03-04=200円 04-05=720円",,,,,,,,,,,,馬連:510円 ワイド:02-04=240円 02-10=590円 04-10=240円,,,,,,,,,,,,"馬連:1,690円 ワイド:11-13=730円 10-13=5,080円 10-11=1,730円",,,,,,,,,,,
"馬単:3,590円 3連複:6,860円",,,,,,,,,,,,"馬単:5,790円 3連複:2,540円",,,,,,,,,,,,"馬単:1,750円 3連複:960円",,,,,,,,,,,,"馬単:4,860円 3連複:19,120円 3連単:124,770円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 8R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.7,,,,,■11R  芝4250m 4歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山ｸﾞﾗﾝﾄﾞｼﾞｬﾝﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａグラマトフィラム, 49,蛯名正,, 73,* -6,* 16, 2,  2.5,②②②, 1, 4,Ｇゲイルスパｰキｰ, 48,北村宏,, 46, -24,* 11, 1,  2.1,⑥⑤④, 1, 6,Ｅリッチスマイル, 68,和田竜,, 72,   6,*  7, 6, 19.7,⑩⑩⑧, 1, 9, カラジ,,スコッ,,,,, 1,  2.2,②②①
 2, 4,Ｂホワイトヴェｰル, 48,勝浦正, 0.7, 64,  -8,* 12, 3,  3.8,④④④, 2,15,Ｃミカノレディｰ, 52,松岡正, 0.1, 35,*-19,   0, 2,  5.4,②①①, 2, 7,Ｎショウナンラノビア, 62,吉田豊, 0.2, 71,   7,*  5, 2,  4.4,⑦⑨⑧, 2,13, リワｰドプレザン,,五十嵐, 0.1,,,, 4,  8.6,④⑥⑤
 3, 6,Ｃトゥルｰアイズ, 48,松岡正, 1.0, 57,* -6,   6, 1,  2.4,①①①, 3, 6,Ｍトウショウアクス, 38,吉田豊, 0.2, 52, -29,* 15, 8, 24.3,⑮⑫⑬, 3,10,Ｊメジロカｰル, 63,蛯名正, 0.2, 70,   5,*  6,11, 36.5,⑫⑫⑫, 3, 4, メルシｰエイタイム,,小坂忠, 0.5,,,, 2,  4.3,⑦①②
 4, 5,Ｅステラフィランテ, 40,和田竜, 1.5, 54,  -9,   6, 5, 25.6,④⑤⑤, 4, 9,Ｄナンヨｰイｰスト, 51,菊沢隆, 0.4, 40, -27,   9, 6, 15.9,⑫⑨⑨, 4,11,Ａラピッドオレンジ, 72,北村宏, 0.5, 70,*  9,  -3, 1,  2.4,⑨④②, 4, 7, スリｰオペレｰタｰ,,林満明, 0.9,,,, 5,  9.6,①④③
 5, 8,Ｄサクラブルｰム, 41,北村宏, 1.7, 49,  -7,   1, 4, 10.8,②②③, 5,16,Ｉアラビアンスタｰ, 46,赤木高, 0.4, 32,*-22,   0,15,300.7,③②②, 5, 2,Ｇミネルバサウンド, 65,横山義, 0.6, 69,   8,  -2, 9, 24.8,④⑦⑦, 5, 6, ストｰムセイコｰ,,穂苅寿, 1.4,,,, 7, 32.9,②③③
 6, 3,Ｈサキノロｰレル, 30,江田照, 3.7, 40,  -9, -14, 7,126.1,⑥⑤⑥, 6,14,Ａクリｰルバレット, 57,小林淳, 0.5, 36, -26,   6, 4, 11.5,⑥⑦⑦, 6,14,Ｃメジロバｰミュｰズ, 69,田中勝, 0.6, 69,   8,  -3, 3,  5.4,⑩④⑤, 6,12, パｰソナルドラム,,ダｰデ, 1.6,,,,12, 83.3,⑨④⑤
 7, 2,Ｇコスモトロン, 34,小林淳, 3.7, 39, -11, -11, 8,165.1,⑧⑦⑦, 7, 1,Ｊブライティアエルフ, 44,和田竜, 0.5, 30,*-22,  -2,10, 59.5,①②②, 7, 3,Ｈフレンチビキニ, 64,菊沢隆, 0.6, 69,* 10,  -6,10, 24.9,①①①, 7,15, キャピタルゲイン,,大庭和, 2.3,,,,14,166.2,⑫⑪⑩
 8, 9,Ｉユｰワキャロル, 19,伊藤直, 4.1, 38, -11, -14, 9,231.0,⑥⑦⑨, 8,12,Ｈマイスイｰトハｰト, 47,横山義, 0.6, 36, -28,   8,11, 72.8,⑫⑨⑨, 8, 8,Ｐフロｰレストウブ, 59,大庭和, 1.1, 63,   5,  -1,16,117.0,⑯⑫⑩, 8, 2, ファントムスズカ,,北沢伸, 2.6,,,,10, 61.8,⑨⑦⑧
 9, 1,Ｆクイｰンオブザメイ, 36,菊沢隆, 4.3, 37, -11, -15, 6, 46.4,⑧⑦⑦, 9, 2,Ｂアポロファンタジｰ, 55,勝浦正, 0.6, 30, -24,   1, 9, 45.1,④⑤④, 9,15,Ｆパｰプルプロｰズ, 66,武士沢, 1.2, 65,* 10, -10, 5, 19.1,③②②, 9,14, リアルトニック,,リデル, 2.7,,,, 9, 49.2,⑦⑦⑦
,,,,,,,,,,,,10,13,Ｅレオテンリュウ, 51,江田照, 0.7, 32, -27,   5, 3,  5.5,⑧⑨⑨,10, 5,Ｉシュウザンアイ, 64,郷原洋, 1.3, 62,   4,  -1,14, 72.3,⑮⑭⑭,10, 1, メジロハスラｰ,,今村康, 3.2,,,,13, 89.7,⑬⑩⑩
,,,,,,,,,,,,11, 5,Ｆワタシキレイ, 50,田中勝, 0.9, 29, -29,   5, 5, 12.1,⑭⑫⑫,11, 1,Ｍラドランファｰマ, 62,鈴来直, 1.9, 59,   8, -15, 7, 21.8,④④②,11, 8, マウントフォンテン,,横山義, 4.2,,,, 8, 49.1,④⑪⑫
,,,,,,,,,,,,12, 7,Ｏオンワｰドオウガ, 26,武士沢, 0.9, 33, -31,   8,13,160.2,⑩⑭⑬,12,13,Ｋリスティアエナｰ, 63,勝浦正, 2.1, 56,   4,  -9,15,101.3,⑫⑭⑫,12,10, ノｰヒｰロｰ,,ラプト, 5.7,,,,11, 74.2,④⑦⑨
,,,,,,,,,,,,13, 8,Ｋウエスタンファイン, 42,郷原洋, 1.0, 27,*-23,  -8,12, 76.5,④④④,13, 4,Ｄモンプティクｰル, 69,吉永護, 2.1, 58,   8, -16, 8, 22.9,⑥⑦⑩,13, 3, トウショウトリック,,江田勇, 7.3,,,,15,188.8,⑭⑭⑭
,,,,,,,,,,,,14,11,Ｌオｰシンブルドッグ, 40,中谷雄, 1.0, 35, -33,   9,16,559.6,⑮⑮⑮,14,12,Ｂシャコｰアデル, 71,江田照, 2.8, 53,* 10, -25, 4, 16.3,②②⑤,14,11, テレジェニック,,金子光, 7.4,,,, 6, 24.5,⑨⑬⑬
,,,,,,,,,,,,15,10,Ｎガリベン, 33,大庭和, 1.1, 34, -34,   9,14,246.3,⑧⑮⑯,15, 9,Ｏパリサンジェルマン, 62,松岡正, 3.7, 46,  -1, -13,13, 70.2,⑫⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,16, 3, コパノリュｰジン,---,蛯名正, 1.3, 24, -26,  -6, 7, 21.9,⑩⑦⑦,16,16,Ｌツルマイクィｰン, 63,赤木高, 3.8, 45,   6, -29,12, 63.3,⑦⑩⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,
単勝:250円 複勝:07=110円 04=110円 06=100円 枠連:640円,,,,,,,,,,,,単勝:210円 複勝:04=130円 15=180円 06=390円 枠連:560円,,,,,,,,,,,,"単勝:1,970円 複勝:06=440円 07=250円 10=710円 枠連:3,030円",,,,,,,,,,,,"単勝:220円 複勝:09=110円 13=220円 04=150円 枠連:1,020円",,,,,,,,,,,
馬連:600円 ワイド:04-07=160円 06-07=140円 04-06=130円,,,,,,,,,,,,"馬連:620円 ワイド:04-15=320円 04-06=850円 06-15=1,780円",,,,,,,,,,,,"馬連:3,850円 ワイド:06-07=1,350円 06-10=3,730円 07-10=2,420円",,,,,,,,,,,,"馬連:1,140円 ワイド:09-13=420円 04-09=190円 04-13=490円",,,,,,,,,,,
"馬単:1,020円 3連複:240円",,,,,,,,,,,,"馬単:1,000円 3連複:4,560円",,,,,,,,,,,,"馬単:10,200円 3連複:29,390円",,,,,,,,,,,,"馬単:1,560円 3連複:1,160円 3連単:5,240円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.6,,,,,■ 6R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■ 9R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,山藤賞,,,,,,,,,,,,鹿島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａトｰセンセイント, 57,勝浦正,, 64,* -7,*  8, 1,  1.3, ②①, 1, 9,Ｈプリンコックス, 60,菊沢隆,, 70,* -3,* 10, 6, 24.4, ②②, 1, 7,Ｄゴｰルデンダリア, 68,田中勝,, 73, -13,* 23, 1,  1.5,⑩⑧⑦, 1,11,Ａラインドライブ, 82,蛯名正,, 85,* 11,* 12, 1,  1.7, ①①
 2, 3,Ｃトウショウヒルズ, 42,武士沢, 0.0, 64,* -7,*  8, 3,  7.3, ②②, 2, 3,Ｆチョウカイシャトル, 61,蛯名正, 0.2, 70,  -7,* 12, 4,  6.9, ⑧⑥, 2, 8,Ｂプラテアｰド, 70,北村宏, 0.2, 59,*-10,  14, 2,  6.4,③③②, 2,14,Ｅタケデンイｰグル, 71,赤木高, 0.4, 80,   8,* 10, 6, 17.5, ③③
 3, 5,Ｂエタｰナルフラワｰ, 47,松岡正, 0.9, 53, -13,   5, 2,  6.3, ④④, 3, 5,Ｃスマｰトフレンズ, 67,田中勝, 0.3, 65,* -1,   6, 3,  4.1, ①①, 3, 1,Ｋダブルヒｰロｰ, 33,吉田豊, 0.3, 55,* -9,  11, 9, 43.6,①①①, 3, 3,Ｆヤマノルドルフ, 69,松岡正, 0.8, 75,   4,   9, 4, 13.5, ⑦⑤
 4, 8,Ｅオレノウマ, 32,田中勝, 1.3, 46,* -7,  -5, 6, 41.3, ①②, 4, 4,Ｉゴｰルドザボｰガｰ, 59,吉田豊, 1.0, 58, -10,   7, 5, 14.3, ⑪⑧, 4, 6,Ｊコスモフリｰダム, 35,勝浦正, 0.5, 58, -13,  16,10,121.5,⑦⑧⑦, 4, 7,Ｋエンドレスビジネス, 67,田中勝, 0.8, 76,   3,* 11, 3,  6.6, ⑦⑧
 5, 7, ピｰチドラフト,---,宗像徹, 1.6, 48, -25,*  9, 7, 82.7, ⑪⑨, 5, 7,Ｄエイワナギ, 64,松岡正, 1.2, 56, -11,   6, 2,  3.6, ⑫⑫, 5,10,Ｈベルモントルパン, 53,穂苅寿, 0.6, 52, -12,  11, 6, 30.5,⑤④⑦, 5, 8,Ｃトｰセンラヴ, 73,江田照, 1.4, 67,   3,   4, 7, 20.2, ⑦⑧
 6, 4,Ｆギフトカｰド, 32,千葉直, 1.9, 38, -18,  -3, 8,106.1, ⑤⑤, 6,15,Ａモエレタイムオン, 68,勝浦正, 1.2, 53,  -4,   0, 1,  3.1, ④④, 6, 5,Ｆチャｰムウィｰク, 61,江田照, 0.6, 57, -14,  16, 7, 31.0,⑦⑧⑩, 6,12,Ｉルルドウォｰタｰ, 67,吉田豊, 1.4, 65,* 10,  -1,10, 59.3, ②②
 7,10,Ｇカイトウランマ, 22,小林淳, 2.0, 39, -16,  -3,11,267.3, ⑤⑤, 7,10,Ｅゲイルタッチ, 62,大庭和, 1.3, 52,  -8,   2, 7, 26.0, ⑧⑧, 7, 3,Ｃオペラブラｰボ, 68,蛯名正, 0.7, 47,* -9,   5, 4, 12.0,②②②, 7,13,Ｇグリｰディｰ, 68,和田竜, 1.8, 61,   5,  -2, 9, 36.5, ⑤⑤
 8, 9, リヴィｰル,---,鈴来直, 2.2, 37, -22,   0, 9,122.3, ⑨⑨, 8,13,Ｐダイワエルパソ, 32,小林淳, 1.5, 50,  -8,   0,14,148.4, ⑧⑪, 8, 4,Ｅマイネルグラシュｰ, 66,菊沢隆, 0.9, 46, -12,   7, 8, 32.4,⑤④⑤, 8,10,Ｎニシノゴｰドン, 59,田中剛, 1.9, 62,  -4,   6,14,234.6, ⑪⑪
 9, 2,Ｈオンワｰドドｰタｰ, 18,郷原洋, 2.8, 34, -17, -10,10,220.5, ⑧⑧, 9,11,Ｊマルブツクロフネ, 59,武士沢, 1.5, 52, -13,   5,11, 73.8, ⑭⑭, 9, 9,Ａキングオブロマネ, 73,松岡正, 0.9, 46, -11,   5, 3,  6.7,⑦④④, 9, 6,Ｍシルクエレメント, 65,小林淳, 1.9, 61,  -1,   3,13,110.5, ⑩⑩
10,11, ミステリアスメｰク,---,北村宏, 3.1, 31, -23,  -8, 5, 35.7, ⑨⑪,10, 2,Ｍシャンドラヴェリテ, 49,北村宏, 1.6, 53, -19,*  9, 9, 38.6, ⑯⑯,10,11,Ｉマイネルハｰバｰド, 45,武士沢, 0.9, 57, -17,  17,11,142.3,⑪⑪⑪,10, 4,Ｄボストンキコウシ, 72,勝浦正, 2.0, 62,  -6,   8, 5, 17.3, ⑭⑭
11, 6,Ｄオメガアｰティスト, 38,草野太, 3.5, 17, -17, -20, 4, 19.1, ⑤⑦,11,12,Ｇデピュティジャパン, 60,千葉直, 1.6, 48, -16,   4,16,464.8, ⑭⑭,11, 2,Ｇポパイザセｰラマン, 56,和田竜, 1.0, 44, -11,   3, 5, 18.3,③④⑤,11, 9,Ｂファインセンテンス, 74,北村宏, 2.0, 59,   6,  -3, 2,  5.5, ⑤⑦
,,,,,,,,,,,,12,14,Ｎシルクフラッグ, 45,南田雅, 1.6, 50, -11,   2,13,142.2, ⑫⑫,,,,,,,,,,,,,12, 2,Ｌマグネティックマン, 66,武士沢, 2.2, 58,  -5,   4,12,109.5, ⑪⑫
,,,,,,,,,,,,13,16,Ｋロｰレルハンバｰバ, 55,宗像徹, 1.7, 48,  -5,  -4,12, 85.1, ⑥⑥,,,,,,,,,,,,,13, 5,Ｈエイシンダンベリｰ, 67,菊沢隆, 2.2, 56,   7,  -6, 8, 32.1, ③③
,,,,,,,,,,,,14, 8,Ｌジョインアゲン, 53,江田照, 1.9, 45,  -6,  -6,10, 54.2, ⑥⑧,,,,,,,,,,,,,14, 1,Ｊナゲットニュｰズ, 67,郷原洋, 2.3, 57,  -4,   2,11,103.1, ⑪⑫
,,,,,,,,,,,,15, 6,Ｂスナｰクオリオン, 67,和田竜, 2.2, 44,* -2, -11, 8, 36.3, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 1,Ｏテンジンテンリュウ, 39,赤木高, 2.6, 42,  -4, -13,15,330.3, ④④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-4),,,,,,,,,,,
単勝:130円 複勝:01=100円 03=120円 05=110円 枠連:300円,,,,,,,,,,,,"単勝:2,440円 複勝:09=480円 03=260円 05=220円 枠連:2,170円",,,,,,,,,,,,単勝:150円 複勝:07=110円 08=160円 01=540円 枠連:190円,,,,,,,,,,,,単勝:170円 複勝:11=120円 14=280円 03=270円 枠連:850円,,,,,,,,,,,
馬連:380円 ワイド:01-03=150円 01-05=120円 03-05=230円,,,,,,,,,,,,"馬連:5,330円 ワイド:03-09=1,500円 05-09=1,770円 03-05=760円",,,,,,,,,,,,"馬連:420円 ワイド:07-08=200円 01-07=890円 01-08=2,400円",,,,,,,,,,,,"馬連:1,310円 ワイド:11-14=460円 03-11=470円 03-14=1,840円",,,,,,,,,,,
馬単:410円 3連複:290円,,,,,,,,,,,,"馬単:13,590円 3連複:8,910円",,,,,,,,,,,,"馬単:480円 3連複:4,150円 3連単:11,510円",,,,,,,,,,,,"馬単:1,840円 3連複:4,560円 3連単:14,640円",,,,,,,,,,,
