07年 8月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,
 9, 9,Ｈシェナンドｰ, 24,太宰啓, 1.7, 30, -27,  -6, 9,174.6, ⑨⑨, 9, 4, ウォｰタｰショｰン,---,高橋亮, 1.5, 32, -12, -13, 8, 22.6, ⑤⑤, 9,18,Ｆダノンビｰト, 48,藤岡康, 1.0, 33, -21,  -5, 8, 25.8, ⑨⑩, 9, 5,Ｆメイショウシャフト, 77,石橋守, 1.0, 63,   1,  10, 3,  5.4,⑥⑥④
,,,,,,,,,,,,10, 9, ヴェｰダバイオ,---,渡辺薫, 2.3, 22, -27, -12,14,193.8, ⑫⑫,10, 9,Ｎマンヲジシテ, 25,渡辺薫, 1.1, 35, -22,  -1,13, 59.9, ⑩⑫,10, 2,Ｌインペリアルパワｰ, 69,畑端省, 1.0, 70,  -6,  19,12,111.7,⑫⑫⑫
,,,,,,,,,,,,11,14, シルクメルヴェイユ,---,鮫島良, 2.4, 20, -32,  -9,10, 43.6, ⑬⑭,11,17,Ｂマｰブルラトゥｰル, 61,金折知, 1.4, 33, -17, -10, 9, 31.4, ⑥⑦,11, 3,Ｈテイエムヤマトオｰ, 76,内田浩, 1.3, 60,   1,   5,11, 80.7,④④④
,,,,,,,,,,,,12,13, イントゥザライト,---,武豊  , 2.4, 20, -20, -20, 2,  4.7, ⑩⑪,12,10,Ｉナリタドリｰムワン, 41,橋本美, 1.4, 32, -22,  -6,18,218.7, ⑩⑫,12, 9,Ｂヒｰロｰアンセム, 81,長谷川, 1.9, 58,   2,   0, 9, 21.9,②④⑧
,,,,,,,,,,,,13,10, エムテイミニヨン,---,赤木高, 2.5, 20, -30, -12,16,234.8, ⑬⑬,13, 5, アグネスパンドラ,---,上村洋, 1.6, 28, -29,  -3, 6, 17.7, ⑰⑭,,,,,,,,,,,,
,,,,,,,,,,,,14, 1, イサミチェリｰ,---,田中克, 3.2,-13, -40, -17,11, 67.2, ⑮⑮,14, 2,Ｈシゲルアリガトウ, 43,赤木高, 1.8, 24, -17, -17, 7, 19.6, ⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,15, 2, パイロット,---,石橋守, 3.3, -9, -40, -15,13,126.9, ⑰⑰,15, 3,Ｋリッカテイオｰ, 38,幸英明, 2.0, -1,*-11, -26,15,140.4, ①①,,,,,,,,,,,,
,,,,,,,,,,,,16,16, カネトシトレンド,---,生野賢, 3.5,-24, -37, -21,17,279.8, ⑮⑮,16, 6,Ｇジャスナブルｰ, 44,小坂忠, 2.0, 24, -27, -10,17,204.4, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 7, バトルクライ,---,鮫島良, 2.1, 20, -27, -12, 4,  9.5, ⑮⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 4, マルタカサンクス,---,石橋守, 2.8, 12, -53,   2,16,155.0, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:稍重(指数:-10),,,,,,,,,,,
単勝:210円 複勝:06=130円 03=210円 04=420円 枠連:850円,,,,,,,,,,,,単勝:570円 複勝:15=180円 06=130円 07=360円 枠連:850円,,,,,,,,,,,,単勝:250円 複勝:16=140円 13=920円 15=240円 枠連:490円,,,,,,,,,,,,"単勝:960円 複勝:07=280円 04=310円 06=320円 枠連:3,480円",,,,,,,,,,,
"馬連:810円 ワイド:03-06=340円 04-06=810円 03-04=1,650円",,,,,,,,,,,,"馬連:960円 ワイド:06-15=380円 07-15=1,820円 06-07=910円",,,,,,,,,,,,"馬連:5,580円 ワイド:13-16=1,630円 15-16=270円 13-15=4,450円",,,,,,,,,,,,"馬連:4,060円 ワイド:04-07=1,290円 06-07=1,670円 04-06=2,130円",,,,,,,,,,,
"馬単:1,310円 3連複:4,820円",,,,,,,,,,,,"馬単:1,850円 3連複:4,000円",,,,,,,,,,,,"馬単:8,270円 3連複:8,990円",,,,,,,,,,,,"馬単:9,930円 3連複:20,150円 3連単:123,980円",,,,,,,,,,,
■ 2R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.3,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,別府特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａギムレットロック, 66,武豊  ,, 63,* -3,   8, 1,  1.3,②②①, 1, 6,Ａイカガデスカ, 57,武豊  ,, 63,*  4,  -5, 1,  1.3,②①①, 1,10,Ｄリンリンリン, 61,武豊  ,, 63,*  3,   2, 3,  4.5, ①①, 1,12,Ｄロングフラワｰ, 71,橋本美,, 73,*  4,   8, 2,  5.0, ②②
 2, 9,Ｉハギノジョイフル, 50,川田将, 0.0, 77,  -7,* 22, 3,  9.2,⑫⑩⑧, 2,13,Ｋウインステルス, 35,熊沢重, 0.1, 62,*  4,  -5, 4, 17.3,③③②, 2,13,Ｊカシノカスケｰド, 49,野元昭, 0.0, 64,  -2,   5,12, 68.1, ③③, 2,14,Ｋコンゴウリュウオｰ, 63,田中克, 0.1, 70,   2,   8, 7, 25.9, ④④
 3, 7,Ｃシャイニｰハンタｰ, 62,上村洋, 0.2, 63,  -5,* 10, 2,  8.7,④④②, 3, 2,Ｃサイキョウヒカリ, 48,浜中俊, 0.4, 56,   0,  -5, 7, 23.7,⑦⑦⑤, 3, 1,Ｉクリテリウム, 56,川田将, 0.0, 67, -11,* 12,11, 63.8, ⑥⑥, 3,10,Ｃリリウオカラニ, 74,鮫島良, 0.3, 64,*  9,  -1, 4,  7.8, ①①
 4,16,Ｂダンスオンステｰジ, 64,浜中俊, 0.8, 47,* -6,  -4, 4, 11.6,②②②, 4, 4,Ｅトｰホウマリン, 45,和田竜, 0.5, 58,*  3,  -8,12,106.4,③④③, 4, 9,Ｋウルワシノハナ, 47,太宰啓, 0.1, 62,  -1,   4,10, 40.1, ③④, 4, 8,Ｈマシロンガｰル, 68,藤岡康, 0.3, 66,   3,   5, 9, 28.0, ④④
 5, 1,Ｌマサライト, 46,中村将, 1.0, 52,  -8,   4, 7, 50.9,⑦⑩⑪, 5,11,Ｆペルネティアナ, 45,上村洋, 0.7, 57,*  3, -10, 5, 17.5,③④⑤, 5,14,Ａイエスオアノｰ, 68,浜中俊, 0.2, 58,*  1,   0, 1,  3.8, ②②, 5,15,Ｅパワｰ, 70,武豊  , 0.4, 66,  -1,   7, 1,  2.7, ⑧⑦
 6,10,Ｄトラベルノｰト, 58,芹沢純, 1.0, 51,  -5,   1,13,140.0,⑦⑦⑤, 6, 9,Ｉナッシュ, 40,中村将, 0.8, 52,  -2,  -5,14,216.2,⑩⑨⑧, 6, 2,Ｃカシノエスケイプ, 63,大下智, 0.6, 56, -20,* 10, 5,  8.5, ⑫⑫, 6, 1,Ｉプリンセスゴｰルド, 68,長谷川, 0.5, 69, -10,* 14, 8, 26.9, ⑭⑫
 7, 4,Ｐメジロアリオン, 26,和田竜, 1.4, 46,  -5,  -5, 6, 37.1,⑦⑦⑧, 7, 3,Ｂニシノナデシコ, 56,小林久, 0.8, 56,   3, -10, 2,  9.5,⑧⑥③, 7,12, ロｰドブリｰズ,---,藤岡康, 0.6, 54, -14,   6, 8, 28.0, ⑥⑦, 7, 6,Ａタガノプレジｰル, 76,太宰啓, 0.6, 58,*  5,  -3, 3,  7.3, ②②
 8,15,Ｈホッコｰサンライズ, 55,渡辺薫, 1.7, 44,  -5, -13, 9, 86.8,④④⑤, 8, 5,Ｈレッドゾｰン, 41,渡辺薫, 0.9, 53,  -3,*  0,10, 88.5,⑭⑫⑫, 8, 7,Ｆセンティｰレ, 61,渡辺薫, 0.6, 57, -13,   7, 9, 37.8, ⑥⑦, 8, 7,Ｆトッケンショウブ, 69,川田将, 0.7, 59,  -1,   2, 5,  8.8, ⑧⑥
 9,11,Ｎエｰシンスロｰイン, 31,太宰啓, 1.8, 47,  -9,   1,12,137.2,⑭⑭⑭, 9,10,Ｄメイショウシオギリ, 47,石橋守, 1.1, 52,  -1,  -7, 3, 12.1,⑫⑨⑪, 9, 4,Ｇグランディバロｰズ, 58,幸英明, 0.9, 53, -16,   6, 4,  6.6, ⑨⑪, 9, 9,Ｍメモリｰセレソン, 59,内田浩, 0.9, 57,  -7,   5,15,184.1, ⑪⑩
10, 2,Ｊシルクキャリバｰ, 49,藤岡康, 1.9, 39,  -8, -15,10, 90.5,⑦⑦⑧,10,12,Ｌハストラング, 33,川田将, 1.1, 53,   1, -10, 9, 71.4,⑥⑧⑧,10, 8,Ｈスズノテンカ, 57,鮫島良, 1.0, 51, -14,   4,13, 84.3, ⑨⑦,10, 4,Ｎドングラシアス, 56,和田竜, 0.9, 54,  -5,   1,12, 54.0, ⑩⑩
11,13,Ｆフサイチオｰパス, 55,赤木高, 2.0, 43,  -5, -18, 8, 64.4,④④⑦,11, 1,Ｊトｰセンマッハ, 40,田中克, 1.2, 48,  -6,* -1,15,261.9,⑮⑭⑬,11, 3,Ｌワンダｰタバスコ, 45,和田竜, 1.1, 51, -17,   5, 7, 22.9, ⑪⑦,11, 3,Ｂワイルドイリｰガル, 76,田中剛, 1.0, 51,   2,  -6, 6, 11.9, ④⑦
12, 5,Ｅセレスディｰン, 57,橋本美, 2.2, 41,  -8,  -8,14,211.3,⑭⑬⑫,12,15,Ｇブラックキャニオン, 42,幸英明, 2.2, 44,   0, -19, 6, 21.2,⑩⑨⑧,12, 6,Ｂシゲルダンヤバｰド, 63,田中克, 1.6, 41,  -2, -12, 2,  4.2, ③④,12, 5,Ｇジェントルルｰラｰ, 69,渡辺薫, 1.1, 51,   1,  -6,11, 33.5, ⑦⑦
13,14,Ｍジョリｰレイジ, 44,石橋守, 2.4, 39,  -9, -10,15,267.3,⑫⑭⑭,13, 8,Ｍナリタアンリ, 33,橋本美, 3.7, 34,  -6, -24,13,183.0,⑬⑭⑮,13, 5,Ｍランイズマネｰ, 41,橋本美, 2.2, 37, -19,  -6,14,215.1, ⑫⑬,13,11,Ｊフジヤマビュティｰ, 65,上村洋, 1.2, 51,  -7,   1,10, 32.6, ⑪⑫
14, 8,Ｋブルｰラピス, 48,金折知, 2.5, 40,  -7, -16,11,116.2,⑪⑩⑫,14,14,Ｎトウカイグラマｰ, 25,赤木高, 4.5, 28,*  4, -49,11, 98.3,①②⑤,,,,,,,,,,,,,14, 2,Ｏスズカゲラン, 54,中村将, 1.4, 51, -19,   8,13, 84.4, ⑯⑭
15, 3,Ｇライスフラワｰ, 55,長谷川, 3.3, 14,* -3, -43, 5, 20.6,①①②,15, 7, バンダイブリッジ,---,長谷川, 5.1, 27,  -3, -42, 8, 36.7,⑨⑫⑭,,,,,,,,,,,,,15,16,Ｌデヒアサウンド, 62,赤木高, 1.6, 45, -15,   2,14,121.4, ⑮⑭
16, 6,Ｏヤタクロウ, 28,幸英明, 3.9, 33, -12, -22,16,308.7,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｐマッキｰタイガｰ, 54,野元昭, 4.0,-50,  -7, -43,16,272.2, ⑪⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-5),,,,,,,,,,,
単勝:130円 複勝:12=100円 09=160円 07=170円 枠連:410円,,,,,,,,,,,,単勝:130円 複勝:06=120円 13=370円 02=330円 枠連:850円,,,,,,,,,,,,"単勝:450円 複勝:10=260円 13=1,610円 01=1,310円 枠連:690円",,,,,,,,,,,,"単勝:500円 複勝:12=190円 14=590円 10=290円 枠連:5,610円",,,,,,,,,,,
馬連:420円 ワイド:09-12=200円 07-12=230円 07-09=580円,,,,,,,,,,,,"馬連:1,220円 ワイド:06-13=500円 02-06=520円 02-13=3,740円",,,,,,,,,,,,"馬連:16,030円 ワイド:10-13=4,560円 01-10=4,960円 01-13=39,520円",,,,,,,,,,,,"馬連:8,510円 ワイド:12-14=2,450円 10-12=710円 10-14=3,250円",,,,,,,,,,,
馬単:530円 3連複:920円,,,,,,,,,,,,"馬単:1,470円 3連複:5,690円",,,,,,,,,,,,"馬単:16,220円 3連複:251,980円",,,,,,,,,,,,"馬単:12,560円 3連複:19,290円 3連単:126,900円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6.6,,,,,■ 9R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, チャクラ,,田中剛,,,,, 1,  2.7,⑥⑤④, 1, 9,Ａベルフィｰチャｰ, 75,鮫島良,, 62,* -9,  16, 2,  2.4,③②②, 1, 4,Ｄオナｰチェイサｰ, 74,川田将,, 56,*-16,  20, 3,  4.0,①①①, 1,15,Ｄツルマルキセキ, 68,浜中俊,, 62,*  0,   0, 6, 10.2,③②②
 2, 1, ダンシングオン,,岩崎祐, 0.2,,,, 2,  3.2,①①①, 2, 5,Ｅファストパス, 57,渡辺薫, 0.1, 68, -13,* 22, 4, 13.4,⑨⑧⑨, 2, 8,Ｅクｰドゥシャンス, 74,鮫島良, 0.1, 64, -21,  23, 9, 39.7,⑤④④, 2,12,Ｂインカム, 68,小坂忠, 0.2, 60,  -5,* 10, 7, 11.8,⑭⑫⑩
 3, 7, スズカウエスト,,北沢伸, 0.7,,,, 3,  3.2,②③③, 3, 7,Ｂノｰタブルアｰト, 70,武豊  , 0.2, 64, -12,* 19, 1,  2.3,⑦⑥⑥, 3, 1,Ａトシザショｰマ, 79,幸英明, 0.1, 77, -23,* 29, 4,  9.6,⑨⑨⑥, 3, 5,Ｆシャインウェｰヴ, 67,熊沢重, 0.2, 62,*  1,  -1, 2,  4.7,③②②
 4, 5, シゲルシンキガイ,,林満明, 0.7,,,, 5, 20.4,②④④, 4,15,Ｊジｰキャラバンク, 54,田中克, 0.4, 49,*-11,   8, 9, 66.3,②②②, 4, 7,Ｃワンマンシャチョウ, 75,武豊  , 0.2, 53,*-16,  19, 1,  2.5,③②②, 4,10,Ｅコスモイｰゴリ, 68,藤岡康, 0.4, 57,* -2,  -2, 5, 10.1,②④⑤
 5, 6, トップクライマｰ,,黒岩悠, 1.3,,,,11,113.9,④⑥⑥, 5, 8,Ｃアクセルファイヤｰ, 59,長谷川, 0.4, 60, -13,  17, 3, 10.2,⑩⑧⑥, 5, 9,Ｇウィングドフォｰス, 73,太宰啓, 0.2, 48,*-19,  17, 5, 15.8,②②②, 5, 2,Ｍウォｰタｰトリック, 51,高橋亮, 0.4, 60,  -1,   2,15,130.9,③⑤②
 6, 3, クロタラリア,,出津孝, 1.7,,,, 9, 79.1,④②②, 6, 6,Ｇリッカレイクブルｰ, 55,幸英明, 0.5, 65, -16,* 22,10,113.3,⑬⑬⑫, 6, 3,Ｈビッグベアシチｰ, 71,中村将, 0.4, 50, -20,  19, 7, 20.0,⑤④⑥, 6, 1,Ｈサカイヤベンケイ, 63,赤木高, 0.5, 59,  -3,*  4, 8, 15.5,⑩⑧⑦
 7,12, キクノプログレッソ,,南井大, 2.9,,,, 6, 21.3,⑧⑧⑦, 7, 3,Ｄシゲルマルル, 58,熊沢重, 0.6, 51, -11,   9, 8, 30.8,⑤④④, 7, 2,Ｂマイネルクルｰガｰ, 77,和田竜, 0.4, 50, -19,  18, 2,  3.6,③④④, 7,13,Ａメイショウゲンジ, 70,芹沢純, 0.9, 56,  -1,  -3, 1,  4.2,⑥⑤⑤
 8, 4, テイエムゼネラル,,菊地昇, 2.9,,,, 8, 37.3,⑨⑨⑨, 8,12,Ｆジョバイロ, 56,太宰啓, 0.7, 48,*-10,   6, 5, 18.4,④④④, 8, 6,Ｉサイレンスゴｰルド, 66,渡辺薫, 0.5, 52, -22,  20, 8, 32.4,⑦⑦⑥, 8, 3,Ｉラフィナｰル, 62,和田竜, 1.1, 53,  -4,  -2, 3,  4.8,⑬⑧⑧
 9,11, ロングヘラクレス,,内田浩, 4.7,,,, 7, 26.3,⑥⑥⑧, 9,10,Ｈアドマイヤマリア, 55,川田将, 0.9, 47,* -6,  -4, 6, 25.5,①①①, 9, 5,Ｆシルクメガヒット, 73,高田潤, 0.8, 43, -22,  16, 6, 19.5,⑧⑦⑨, 9, 8,Ｎワンダｰリッジ, 51,石橋守, 1.6, 49,  -5,  -3,16,198.7,⑩⑫⑩
10, 9, アトラクティヴ,,高野容,11.2,,,,12,183.5,⑩⑩⑩,10, 4,Ｎファインメモリｰ, 37,橋本美, 1.1, 45, -14,   8,13,185.5,⑩⑩⑨,,,,,,,,,,,,,10, 9,Ｏエイシンランシング, 49,野元昭, 1.7, 51,*  1, -15,13, 99.3,①①①
11, 8, スリｰプレアデス,,白浜雄,12.0,,,, 4, 16.9,⑩⑩⑫,11,13,Ｉツルマルトミヒメ, 54,上村洋, 1.4, 41, -11,  -1, 7, 29.4,⑤⑥⑥,,,,,,,,,,,,,11,16,Ｇライゾｰ, 64,川田将, 2.0, 47,  -3, -10, 9, 23.1,⑨⑧⑫
12,10, シゲルアラムシャ,,仲田雅,12.5,,,,10, 96.1,⑫⑫⑩,12,14,Ｍパｰプルパンチ, 37,赤木高, 1.7, 38, -15,   2,15,287.3,⑭⑫⑬,,,,,,,,,,,,,12, 7,Ｐメイショウハナミチ, 48,渡辺薫, 2.8, 40,  -2, -21,14,120.7,⑦⑤⑧
,,,,,,,,,,,,13,11,Ｌマニッシュノｰヴァ, 48,中村将, 1.7, 41, -22,  11,12,140.6,⑮⑮⑮,,,,,,,,,,,,,13,11,Ｌチアズグロｰリｰ, 59,長谷川, 3.3, 36,  -8, -16,12, 78.0,⑩⑮⑭
,,,,,,,,,,,,14, 2,Ｏリヴィエｰルビコｰ, 31,藤岡康, 1.9, 33, -19,   0,14,260.9,⑩⑬⑬,,,,,,,,,,,,,14,14,Ｋシゲルハンドウダカ, 60,田中健, 3.6, 32,  -5, -27,11, 58.6,⑦⑧⑫
,,,,,,,,,,,,15, 1,Ｋブライティアアスカ, 54,田中健, 2.2, 33, -16, -11,11,119.3,⑦⑩⑨,,,,,,,,,,,,,15, 4,Ｊワイルドキャット, 61,橋本美, 3.7, 33,  -7, -22,10, 49.1,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-23 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-9),,,,,,,,,,,
単勝:270円 複勝:02=120円 01=110円 07=110円 枠連:480円,,,,,,,,,,,,"単勝:240円 複勝:09=110円 05=250円 07=110円 枠連:1,280円",,,,,,,,,,,,"単勝:400円 複勝:04=170円 08=700円 01=300円 枠連:1,990円",,,,,,,,,,,,"単勝:1,020円 複勝:15=300円 12=320円 05=220円 枠連:2,860円",,,,,,,,,,,
