07年 1月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■10R  芝2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,
 9, 3,Ｈチアズベジｰタ, 40,蛯名正, 1.4, 55, -13,*  5, 9, 42.5, ⑭⑪, 9,12, ジンデンバリュｰ,,出津孝, 4.8,,,,14,350.6,⑨⑧⑧, 9, 8,Ｉクロスホｰリｰ, 51,郷原洋, 2.5, 46,  -8,  -2, 8, 73.8, ⑧⑨, 9, 1,Ｅエプソムアルテマ, 72,後藤浩, 0.6, 55,  -7,  10, 5, 10.6,⑤⑥⑦
10,12,Ｆクリｰンクルｰ, 46,田中勝, 1.8, 44,  -4, -10, 8, 40.7, ⑧⑦,10,10, トップオブマｰチ,,田中剛, 5.7,,,, 5, 11.3,⑨⑪⑪,10, 6,Ｊブラックマンバ, 49,柴山雄, 2.9, 48,* -3, -13,11,218.4, ②②,10, 3,Ｋガッサンカｰネギｰ, 65,柴山雄, 0.8, 56,  -9,  12,11,185.9,⑨⑨⑩
11, 4,Ｍスルファｰ, 27,横山典, 2.9, 37, -17,  -5, 5, 19.2, ⑭⑭,11, 8, ハイエストブラッド,,五十嵐, 6.9,,,, 8, 43.6,②④⑥,11, 9,Ｄプロミスフェアｰ, 66,吉田隼, 3.2, 44,  -8,  -9, 3,  5.4, ⑧⑨,11,13,Ｈサウザンブライト, 67,吉田隼, 1.1, 56, -10,  13,13,426.7,⑬⑬⑬
12, 8,Ｎサｰクルゲｰム, 24,北村宏, 3.0, 35, -16,  -7,14,412.7, ⑩⑬,12, 5, ピックミｰアップ,,伊藤直, 9.1,,,,12,203.0,⑬⑫⑫,,,,,,,,,,,,,12, 4,Ｊラムタラプリンス, 65,ルメｰ, 1.4, 47,* -6,  -5, 6, 16.0,⑤④③
13,13,Ｋスガノグロｰリアス, 31,柴山雄, 4.1, 26, -22, -10,13,367.2, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 5,Ｌストｰンサンデｰ, 28,木幡初, 5.4,-14,  -8, -40,12,352.3, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Ｐスズシルクロｰド,-15,津村明, 5.5, -3, -17, -31,16,445.6, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｏスガノクリスタル, 15,黛弘人, 5.9,-26, -16, -39,15,434.5, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+22 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-6),,,,,,,,,,,
"単勝:540円 複勝:16=210円 11=650円 09=280円 枠連:3,770円",,,,,,,,,,,,単勝:210円 複勝:01=130円 03=680円 13=440円 枠連:550円,,,,,,,,,,,,"単勝:1,360円 複勝:05=230円 04=120円 02=140円 枠連:1,270円",,,,,,,,,,,,"単勝:320円 複勝:06=150円 07=180円 05=320円 枠連:1,010円",,,,,,,,,,,
"馬連:5,180円 ワイド:11-16=1,530円 09-16=830円 09-11=2,000円",,,,,,,,,,,,"馬連:2,930円 ワイド:01-03=1,070円 01-13=760円 03-13=3,350円",,,,,,,,,,,,"馬連:1,380円 ワイド:04-05=430円 02-05=550円 02-04=240円",,,,,,,,,,,,"馬連:990円 ワイド:06-07=380円 05-06=900円 05-07=1,000円",,,,,,,,,,,
"馬単:10,310円 3連複:13,470円",,,,,,,,,,,,"馬単:4,310円 3連複:10,840円",,,,,,,,,,,,"馬単:3,810円 3連複:1,530円",,,,,,,,,,,,"馬単:1,650円 3連複:3,630円 3連単:16,070円",,,,,,,,,,,
■ 2R  ダ2100m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,,■ 5R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｇティンバｰセブン, 43,吉田豊,, 62,   3,* -5, 6, 28.1,⑥⑥⑤, 1, 7, チョウノヨウニマイ,---,松岡正,, 54,* -5,  -1, 1,  1.8, ③③, 1,13,Ｇケイアイハクスイ, 62,後藤浩,, 66,* -4,  11, 2,  3.2, ②②, 1,12,Ａスズカフェニックス, 98,武豊  ,, 92,   2,* 29, 1,  2.8, ⑪⑪
 2, 8,Ａアキレス, 52,勝浦正, 1.9, 49,   2, -21, 4, 16.4,⑩⑩⑦, 2, 9, アップグレｰデッド,---,加藤士, 0.0, 55,  -6,   1, 6, 16.9, ④④, 2,11,Ｃバリオン, 64,横山典, 0.4, 71, -14,* 20, 3,  5.0, ⑮⑬, 2, 4,Ｂエアシェイディ, 95,安藤勝, 0.1, 93,   2,* 30, 2,  2.9, ⑪⑬
 3,12,Ｆトウショウサウンド, 43,郷原洋, 2.3, 46,*  4, -29, 9, 54.1,⑤③④, 3, 5, フサイチリニモ,---,横山典, 0.4, 61, -17,* 11, 2,  5.6, ⑬⑫, 3,15,Ｆテンザンモビｰル, 62,ルメｰ, 0.4, 64,  -7,  12, 5,  8.6, ⑨⑦, 3, 2,Ｌイｰスタｰ, 79,ルメｰ, 0.2, 84,   4,  23, 5, 14.4, ⑩⑨
 4,16,Ｍブラックジュニア, 34,柴山雄, 2.4, 46,*  4, -31,14,173.3,③②②, 4, 4, キタサンダイオウ,---,武士沢, 1.0, 45, -12,  -2,12, 82.7, ⑧⑧, 4, 2,Ｂヒカルマチェンドラ, 65,田中勝, 0.4, 67, -10,* 16, 6, 29.1, ⑨⑩, 4, 6,Ｇホッコｰソレソレｰ, 85,蛯名正, 0.3, 80,   5,  20, 6, 14.8, ⑧⑧
 5,13,Ｐセイウングレイシｰ, 22,村田一, 2.6, 44,  -2,*-17, 5, 28.0,⑭⑭⑯, 5, 6, ボストンアサｰテン,---,勝浦正, 1.0, 43,* -4, -12, 8, 22.3, ②①, 5, 5,Ｅチェルケッティ, 63,安藤勝, 0.7, 63, -11,  14, 1,  3.1, ⑬⑩, 5,14,Ｃグレイトジャｰニｰ, 92,ペリエ, 0.3, 87,   0,* 27, 8, 15.8, ⑭⑭
 6,15,Ｎアポロバンチョウ, 30,松岡正, 2.7, 44,   2, -28,11, 68.6,⑦⑦⑦, 6,16, メタリック,---,吉田隼, 1.0, 42,  -8,  -7, 3,  7.2, ④⑤, 6,14,Ａユウタｰジパング, 67,武豊  , 0.9, 55,* -4,   4, 4,  7.3, ②②, 6, 9,Ｆサンバレンティン, 85,後藤浩, 0.5, 80,   2,  21,10, 48.3, ⑪⑪
 7, 5,Ｉオンワｰドアリｰテ, 36,津村明, 3.0, 41,  -1, -26,16,716.2,⑭⑭⑫, 7,15, ブルｰカｰディナル,---,石神深, 1.1, 42,* -4, -13, 5, 16.6, ①②, 7, 3,Ｈレアルグロｰリｰ, 59,勝浦正, 1.0, 61, -14,  14, 8, 43.2, ⑬⑬, 7, 7,Ｊキストゥヘヴン, 82,横山典, 0.6, 74,   7,  13, 7, 14.8, ⑥⑥
 8,11,Ｋモリノカントリｰ, 35,木幡初, 3.2, 41,  -1, -26,13,128.3,⑯⑭⑬, 8, 1, ケイアイシアタｰ,---,武豊  , 1.2, 42, -10,  -6, 4, 11.1, ⑥⑥, 8, 7,Ｋサワッディ, 53,蛯名正, 1.1, 53,  -7,   5,10, 64.1, ⑥⑤, 8,13,Ｏロｰドマジェスティ, 76,柴山雄, 0.7, 80,  -2,  24,14,253.7, ⑮⑮
 9,10,Ｈトップオブボス, 42,柴田善, 3.6, 39,  -2, -27,10, 56.0,⑧⑫⑮, 9,12, サトノユウジ,---,的場勇, 1.3, 45, -21,*  4,11, 73.6, ⑮⑭, 9, 1,Ｍシャｰクブロｰド, 51,千葉直, 1.3, 49,  -9,   2,16,435.4, ⑥⑦, 9,16,Ｄキネティクス, 89,勝浦正, 0.8, 68,   9,   4, 9, 34.1, ④③
10, 7,Ｌノボスコｰピオ, 35,石橋脩, 3.9, 38,   1, -37, 7, 45.3,⑪⑫⑨,10, 3, スミノチェンタウロ,---,ペリエ, 2.1, 34, -15,  -9, 7, 21.8, ⑩⑨,10, 6,Ｎサンパレス, 46,松岡正, 1.4, 55, -14,  11,11, 73.1, ⑯⑮,10, 5,Ｉトｰルハンマｰ, 82,石橋脩, 1.2, 65,   8,  -1,15,292.5, ⑥③
11, 2,Ｃブルｰメンリッタｰ, 50,後藤浩, 3.9, 38,  -1, -32, 3,  5.9,⑧⑨⑬,11,13, プラズマトウショウ,---,小野次, 2.1, 35, -10, -15, 9, 62.6, ⑥⑥,11, 8,Ｊトウショウタイタン, 54,石橋脩, 1.7, 48,  -5,  -3, 9, 46.8, ④④,11, 8,Ｅキングストレイル, 86,北村宏, 1.3, 64,   8,  -2, 4, 11.4, ②③
12, 1,Ｊドキュメント, 36,穂苅寿, 4.6, 36,   0, -42,12,122.3,③⑤⑩,12,10, コパドムンド,---,柴山雄, 2.1, 36, -19,  -3,10, 63.2, ⑧⑭,12,12,Ｌラスカルシチｰ, 53,村田一, 1.8, 48,* -4,  -6,12,116.8, ①①,12,10,Ｈブラックバｰスピン, 85,田中勝, 1.5, 61,   4,   3, 3,  8.7, ⑧⑨
13, 6,Ｏラストアラシ, 29,江田照, 7.7,  7,   0, -72,15,430.1,②③⑩,13, 2, イガノガイセン,---,北村宏, 2.1, 34, -15,  -8,13,179.6, ⑪⑨,13, 9,Ｉオリオンザクロノス, 59,吉田隼, 2.2, 43, -11,  -2, 7, 41.7, ⑪⑩,13,11,Ｐグランリｰオ, 73,吉田隼, 1.7, 65,* 11, -13,12,160.8, ②②
,,,,,,,,,,,,14,11, ヒシカツレｰザｰ,---,千葉直, 2.8, 29, -28,  -1,16,442.6, ⑯⑯,14, 4, リネンミサイル,---,南田雅, 2.6, 45,  -7, -10,14,293.6, ④⑤,14, 1,Ｎダイワメンフィス, 77,武士沢, 1.7, 62,   6,  -5,11,149.1, ④⑥
,,,,,,,,,,,,15, 8, ビクトリアスチアｰ,---,村田一, 3.2, 28, -18, -15,14,220.3, ⑬⑫,15,10,Ｄタケデンバトル, 64,的場勇, 2.8, 41, -10, -10,13,161.0, ⑧⑨,15,15,Ｍシベリアンホｰク, 78,松岡正, 2.7, 35,* 12, -30,13,179.6, ①①
,,,,,,,,,,,,16,14, カリズマウイッシュ,---,江田照, 4.2, -9, -15, -29,15,387.4, ⑪⑨,16,16,Ｏマルタカクロッカス, 26,津村明, 4.8, -6, -15, -22,15,335.4, ⑪⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-6),,,,,,,,,,,
"単勝:2,810円 複勝:09=560円 08=490円 12=950円 枠連:5,490円",,,,,,,,,,,,"単勝:180円 複勝:07=110円 09=280円 05=200円 枠連:1,050円",,,,,,,,,,,,単勝:320円 複勝:13=140円 11=160円 15=200円 枠連:630円,,,,,,,,,,,,単勝:280円 複勝:12=120円 04=120円 02=290円 枠連:390円,,,,,,,,,,,
"馬連:12,780円 ワイド:08-09=2,870円 09-12=4,790円 08-12=5,100円",,,,,,,,,,,,"馬連:890円 ワイド:07-09=510円 05-07=360円 05-09=2,380円",,,,,,,,,,,,馬連:760円 ワイド:11-13=300円 13-15=420円 11-15=620円,,,,,,,,,,,,馬連:400円 ワイド:04-12=170円 02-12=710円 02-04=620円,,,,,,,,,,,
"馬単:31,260円 3連複:81,970円",,,,,,,,,,,,"馬単:1,370円 3連複:4,230円",,,,,,,,,,,,"馬単:1,420円 3連複:1,590円",,,,,,,,,,,,"馬単:800円 3連複:1,720円 3連単:6,690円",,,,,,,,,,,
■ 3R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■ 6R  芝1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-6.6,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｯｶｽｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅラストベガ, 49,吉田豊,, 50, -11,*  4, 3,  4.8, ⑬⑨, 1,14, アブソリュｰト,---,田中勝,, 61, -22,* 19, 3,  6.4,⑫⑨⑨, 1, 5,Ｂサｰプラスシンガｰ, 68,田中勝,, 71,* -3,  14, 3,  5.2, ①①, 1, 7,Ｈアルバレスト, 70,ルメｰ,, 81,   1,* 20, 1,  3.1, ⑬⑫
 2, 2,Ａナイスプレゼンタｰ, 56,ルメｰ, 0.3, 49,  -5,  -8, 2,  2.9, ③③, 2,12, トｰセンマｰチ,---,後藤浩, 0.2, 50, -20,* 13, 1,  2.7,⑦⑦⑤, 2, 1,Ｅウィズディクタット, 63,ペリエ, 0.2, 70,  -7,* 16, 1,  3.3, ②②, 2, 9,Ｎスパｰブスピリット, 64,北村宏, 0.3, 77,*  9,   6,10, 34.6, ①①
 3, 9,Ｊケｰジｰシルキｰ, 34,松岡正, 0.7, 44,  -8,  -7, 6, 23.8, ⑥⑥, 3, 7, アサヒバロン,---,小野次, 0.2, 48, -20,  11, 6, 13.3,⑧⑥⑤, 3, 6,Ａメダイヨン, 72,後藤浩, 0.4, 66,  -8,  14, 2,  3.5, ④④, 3,15,Ｌメジロファルカル, 65,安藤勝, 0.6, 75,   5,   9, 8, 19.6, ⑥⑥
 4,12,Ｂフジマリア, 51,後藤浩, 0.7, 46,* -3, -14, 8, 31.4, ①①, 4, 9, ゲイルスパｰキｰ,---,北村宏, 0.3, 52, -22,* 14, 5, 12.4,⑩⑨⑨, 4, 2,Ｆマイネルサニベル, 60,勝浦正, 0.6, 67, -10,* 17, 6, 14.8, ⑤⑤, 4,12,Ｄリワｰドパットン, 75,勝浦正, 0.7, 74,   7,   5, 2,  3.4, ⑤③
 5, 8,Ｏオｰチャｰドハウス, 27,北村宏, 1.0, 41, -11,  -5,14,314.4, ⑬⑩, 5, 8, ウエイクアイランド,---,ペリエ, 0.8, 41, -23,  10, 2,  2.8,⑧⑨⑪, 5, 3,Ｇコスモジエラ, 59,吉田豊, 0.8, 60, -11,  13, 7, 19.3, ⑧⑤, 5,16,Ｅゼンノスカイブルｰ, 74,石神深, 0.9, 73,   2,   9, 5, 15.1, ⑨⑨
 6, 3,Ｆニシノキンレンポ, 43,勝浦正, 1.3, 39, -11,  -8, 7, 30.2, ⑩⑩, 6,11, アｰバンスイｰツ,---,武豊  , 1.0, 32, -21,   2, 4, 10.4,⑤⑦⑧, 6, 8,Ｄアルシラｰト, 64,ルメｰ, 0.8, 64, -15,* 17, 5,  8.4, ⑩⑨, 6,11,Ｇシャコｰアデル, 71,村田一, 1.1, 70,*  8,   0, 6, 15.4, ②②
 7,13,Ｄエアリアｰナ, 50,田中勝, 1.4, 39,  -6, -16, 1,  2.4, ⑥⑤, 7, 5, アビリティガｰデン,---,吉田隼, 1.0, 30, -19,  -5, 8, 31.4,④⑤③, 7,10,Ｉケイアイスパイダｰ, 31,北村宏, 1.6, 45, -15,   5, 8, 31.2, ⑧⑨, 7, 1,Ｏガイヤｰル, 63,田中勝, 1.1, 71,   2,   7,12,129.4, ⑪⑨
 8, 4,Ｇパライッソ, 39,武士沢, 1.8, 37,  -8, -17, 9, 80.8, ⑩⑥, 8, 3, シルクミサイル,---,石橋脩, 1.3, 23,*-14, -19, 9, 52.5,①①①, 8, 9,Ｃビンチェロ, 64,武豊  , 1.7, 43, -11,  -1, 4,  5.6, ⑦⑤, 8, 8,Ｃメルボルンシチｰ, 75,千葉直, 1.2, 67,  -1,   6,11,128.9, ⑪⑫
 9,10,Ｌジェニｰサンサン, 31,的場勇, 2.1, 32, -12, -17,16,397.0, ⑮⑩, 9,10, ケイヨｰサンサン,---,勝浦正, 1.8, 24, -25,  -3,11,132.6,⑭⑫⑫, 9, 4,Ｈティムガッド, 53,津村明, 1.9, 45,* -6, -12, 9, 81.6, ②②, 9, 2,Ｂケイアイカｰルトン, 76,横山典, 1.3, 68,   7,  -1, 3,  4.5, ②③
10, 1,Ｐアポロシｰクレット, -1,小林淳, 2.6, 29,  -8, -25,13,312.8, ⑥⑥,10, 4, ボｰカルガイ,---,小林淳, 1.9,  8, -18, -19,13,286.4,⑤④③,10, 7,Ｊオｰプンザゲｰト,-12,安藤勝, 2.6, 33, -11, -15,10, 98.7, ⑤⑤,10,10,Ｆクリアエンデバｰ, 73,吉田豊, 1.3, 69,   2,   5, 7, 16.5, ⑩⑨
11,14,Ｉエタニティｰロｰズ, 35,黛弘人, 2.6, 28,  -6, -31,15,379.3, ③③,11,13, リワｰドレフラン,---,村田一, 2.4, 20, -27,  -8,10,105.2,⑭⑭⑭,,,,,,,,,,,,,11, 4,Ｉスマｰトエッジ, 69,武豊  , 1.4, 68,   5,   1, 9, 25.5, ⑥⑥
12,16,Ｎブルｰエタニティ, 27,津村明, 4.2, 18,* -4, -48,11,195.8, ②②,12,15, キャプテンロｰ,---,郷原洋, 2.8,-11, -26, -17,12,221.9,⑩⑫⑫,,,,,,,,,,,,,12,13,Ｋキャンディッド, 66,黛弘人, 1.8, 62,  -5,   5,16,485.3, ⑯⑮
,,,,,,,,,,,,13, 1, ストロングビｰト,---,穂苅寿, 2.8, -2, -27, -14,15,315.0,⑬⑭⑭,,,,,,,,,,,,,13, 6,Ａブラックシャドウ, 78,小林淳, 2.2, 60,   7, -10, 4, 13.8, ②③
,,,,,,,,,,,,14, 2, ミヤギハｰバｰ,---,江田照, 3.9, 3.9---,*-17, -53,16,330.0,②②②,,,,,,,,,,,,,14, 3,Ｍジョリｰズジョｰ, 64,武士沢, 2.3, 61,  -3,   2,14,209.9, ⑭⑮
,,,,,,,,,,,,15, 6, トップアラモアナ,---,松岡正, 4.2,-59, -30, -29, 7, 29.7,⑯⑯⑯,,,,,,,,,,,,,15,14,Ｐサｰジェナイト, 51,田中剛, 2.7, 57,  -1,  -5,15,473.0, ⑭⑭
,,,,,,,,,,,,16,16, タツショウサク,---,津村明,10.2,10.2---, -20, ---,14,290.1,②③⑤,,,,,,,,,,,,,16, 5,Ｊバｰドントロフィｰ, 68,松岡正, 4.0, 44,   4, -23,13,193.4, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,
単勝:480円 複勝:11=170円 02=160円 09=410円 枠連:660円,,,,,,,,,,,,単勝:640円 複勝:14=190円 12=150円 07=370円 枠連:770円,,,,,,,,,,,,"単勝:520円 複勝:05=150円 01=130円 06=130円 枠連:1,080円",,,,,,,,,,,,"単勝:310円 複勝:07=170円 09=640円 15=520円 枠連:1,630円",,,,,,,,,,,
"馬連:800円 ワイド:02-11=360円 09-11=1,270円 02-09=1,140円",,,,,,,,,,,,"馬連:1,160円 ワイド:12-14=440円 07-14=1,410円 07-12=980円",,,,,,,,,,,,"馬連:1,080円 ワイド:01-05=350円 05-06=320円 01-06=260円",,,,,,,,,,,,"馬連:5,270円 ワイド:07-09=1,890円 07-15=1,460円 09-15=6,040円",,,,,,,,,,,
